PLACEID	LCPRIDR4	ITEMPRC1	ITEMVND1	ITEMINF1	ITEMPRC2	ITEMVND2	ITEMINF2
101	1	1,5	1	13	1,5	1	16
101	2	32	1	17	35	1	18
101	3	15	1	17	16	1	18
101	4	15	1	17	15	1	18
101	5	28	1	17	25	1	18
101	6	25	1	17	25	1	18
101	7	0,73	9	8	0,5	3	9
101	8	0,06	9	8	0,02	3	9
101	9	0,12	9	8	0,11	3	9
101	10	0,04	9	8	0,02	3	9
101	11	1,2	14	25	1	14	26
101	12	2,2	1	16	2,3	14	26
101	13	3,5	1	16	3,6	14	26
101	15	0,8	1	16	0,8	14	26
101	16	2,8	1	16	2,8	14	26
101	17	1,8	1	16	1,8	14	26
101	18	-88	16	16	 	 	 
101	19	1	1	16	1	14	26
101	20	6,5	1	16	6,5	14	26
101	21	1	1	16	1	14	26
101	23	0,3	1	16	0,3	14	26
101	24	4,8	1	16	5	14	26
101	25	1	1	16	1	14	26
101	27	7	14	19	7,5	14	20
101	28	12	14	21	12	14	22
101	29	9	14	23	8	14	24
101	30	3,3	1	16	3	14	26
101	32	12	1	16	10	14	26
101	33	6	1	16	6,5	14	26
101	34	1,2	1	16	1	14	26
101	35	1,5	1	16	1,5	14	26
101	36	4	1	16	3,8	14	26
101	37	1	1	16	1	1	27
101	38	1	1	16	1	1	27
101	39	0,5	1	16	0,5	14	26
101	40	1,2	14	25	1,2	14	26
101	41	2	14	25	2	14	26
101	42	4	14	25	4	14	26
101	43	1,2	1	16	1,2	14	26
101	44	2	14	25	2	14	26
101	45	7	14	28	7	14	29
101	46	33	1	16	35	14	26
101	61	4,8	1	16	4,8	14	26
101	70	4	1	16	4	14	26
102	1	1,5	14	4	1,5	14	10
102	2	35	14	4	40	14	10
102	3	23	14	4	15	14	10
102	4	23	14	4	18	14	10
102	5	25	14	4	25	14	10
102	6	30	14	4	20	14	10
102	7	0,7	9	16	0,7	1	17
102	8	0,1	9	16	0,1	1	17
102	9	0,12	9	16	0,2	1	17
102	10	0,1	9	16	0,2	1	17
102	11	1,5	14	5	1,4	14	14
102	12	2	14	8	2	14	9
102	13	3,2	14	8	4	14	9
102	15	0,7	14	8	0,8	14	9
102	16	2,9	14	8	3	14	9
102	17	1,8	14	8	1,8	14	9
102	18	-88	88	8	 	 	 
102	19	1	14	8	1	14	9
102	20	4,4	14	8	4	14	9
102	21	1,7	14	8	1,5	14	9
102	23	0,2	14	8	0,2	14	9
102	24	4,5	14	8	4	14	9
102	25	2	14	8	1,5	14	9
102	27	9	14	6	8,5	14	19
102	28	14	14	8	10	14	20
102	29	9	14	7	9	14	18
102	30	1,8	14	8	1,5	14	9
102	32	12	14	8	12	14	9
102	33	6	14	8	6,5	14	9
102	34	1,2	14	8	1	14	9
102	35	1,5	14	8	1,5	14	9
102	36	4	14	8	4	14	9
102	37	-88	88	88	 	 	 
102	38	0,9	1	12	1	1	13
