PLACEID	HSTFIDR4	STAFFLL	STFFLNG1	STFFLNG2
1304	1	43	1	88
1304	2	15	1	88
1304	3	6	1	88
1304	4	0	 	 
1304	5	2	1	88
1304	6	94	1	88
1304	7	136	1	88
1304	8	13	1	88
1304	9	7	1	88
1304	10	3	1	88
1304	11	5	1	88
1304	12	11	1	88
1304	13	22	1	88
1304	14	39	1	88
1304	15	25	1	88
1304	16	2	1	88
1304	17	7	1	88
1402	1	1	1	88
1402	2	0	 	 
1402	3	1	1	88
1402	4	0	 	 
1402	5	0	 	 
1402	6	5	1	88
1402	7	1	1	88
1402	8	0	 	 
1402	9	0	 	 
1402	10	0	 	 
1402	11	0	 	 
1402	12	0	 	 
1402	13	0	 	 
1402	14	1	1	88
1402	15	1	1	88
1402	16	0	 	 
1402	17	0	 	 
1403	1	3	1	88
1403	2	3	1	88
1403	3	2	1	88
1403	4	0	 	 
1403	5	0	 	 
1403	6	3	1	88
1403	7	17	1	88
1403	8	1	1	88
1403	9	1	1	88
1403	10	2	1	88
1403	11	2	1	88
1403	12	2	1	88
1403	13	2	1	88
1403	14	14	1	88
1403	15	5	1	88
1403	16	1	1	88
1403	17	1	1	88
1404	1	3	1	88
1404	2	1	1	88
1404	3	2	1	88
1404	4	0	 	 
1404	5	0	 	 
1404	6	3	1	88
1404	7	17	1	88
1404	8	1	1	88
1404	9	1	1	88
1404	10	2	1	88
1404	11	2	1	88
1404	12	2	1	88
1404	13	2	1	88
1404	14	14	1	88
1404	15	5	1	88
1404	16	0	 	 
1404	17	0	 	 
1501	1	0	 	 
1501	2	0	 	 
1501	3	0	 	 
1501	4	0	 	 
1501	5	0	 	 
1501	6	1	1	88
1501	7	2	1	88
1501	8	0	 	 
1501	9	0	 	 
1501	10	0	 	 
1501	11	0	 	 
1501	12	0	 	 
1501	13	0	 	 
1501	14	1	1	88
1501	15	0	 	 
1501	16	0	 	 
1501	17	0	 	 
1502	1	0	 	 
1502	2	0	 	 
1502	3	0	 	 
1502	4	0	 	 
1502	5	0	 	 
1502	6	0	 	 
1502	7	2	1	88
1502	8	0	 	 
1502	9	0	 	 
1502	10	0	 	 
1502	11	0	 	 
1502	12	0	 	 
1502	13	0	 	 
1502	14	0	 	 
1502	15	0	 	 
