PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
101	1	6	2009	2	10	13	2	77	 	 
101	2	6	2010	2	10	13	1	1	88	 
101	3	6	2011	2	10	13	1	1	88	 
101	4	13	2012	2	6	1	1	1	88	 
102	1	13	2011	3	6	13	1	1	88	 
202	1	13	2011	1	6	88	1	1	88	 
202	2	13	2011	1	6	88	1	1	88	 
203	1	11	2009	1	12	14	1	0	 	 
204	1	10	2010	9	13	88	2	0	 	 
204	2	10	2011	9	10	88	2	4	88	 
204	3	10	2012	9	10	88	2	4	88	 
205	1	13	2012	1	6	88	1	1	0	 
205	2	13	2012	1	6	88	1	1	88	 
301	1	11	2012	3	10	88	1	0	 	 
301	2	12	2011	4	6	88	1	0	 	 
301	3	12	2012	5	6	88	1	0	 	 
304	1	4	2012	4	5	12	4	0	 	 
304	2	10	2012	8	6	7	1	0	 	 
304	3	12	2012	8	5	7	2	0	 	 
304	4	11	2012	4	8	88	1	0	 	 
305	1	4	2009	3	10	88	1	0	 	 
305	2	4	2012	3	10	5	2	2	0	 
306	1	11	2012	1	10	88	2	0	 	 
307	1	11	2013	5	10	88	1	0	 	 
308	1	4	2010	3	4	10	2	0	 	 
308	2	4	2011	3	10	88	2	0	 	 
308	3	4	2012	3	14	88	2	0	 	 
308	4	11	2012	3	10	88	2	0	 	 
308	5	3	2009	1	10	88	2	1	0	 
309	1	4	2011	2	5	6	1	0	 	 
309	2	11	2011	1	10	6	3	0	 	 
309	3	10	2012	4	10	6	1	0	 	 
309	4	13	2013	8	5	6	2	0	 	 
310	1	11	2011	3	10	88	1	1	88	 
310	2	4	2011	3	5	88	1	1	88	 
311	1	11	2010	3	10	88	2	0	 	 
311	2	11	2011	3	10	88	2	0	 	 
312	1	11	2013	7	10	7	3	0	 	 
312	2	10	2009	6	10	6	3	0	 	 
312	3	12	2010	10	10	6	1	0	 	 
314	1	11	2010	7	10	7	3	0	 	 
314	2	11	2010	12	10	6	2	0	 	 
314	3	3	2012	6	10	6	1	0	 	 
314	4	10	2011	5	10	6	1	0	 	 
314	5	12	2012	8	10	5	1	1	88	 
401	1	13	2012	10	13	88	1	1	88	 
401	2	10	2011	3	14	88	1	0	 	 
401	3	12	2013	9	15	88	1	1	88	 
