PLACEID	HCLOIDR4	CODE	ROUTE	TRNSPTNT	TIMEARRV
101	1	6	1	1	10
101	2	6	1	5	10
101	3	6	1	5	7
101	4	6	1	5	7
101	5	6	1	5	5
102	1	88	1	5	5
102	2	6	1	5	5
102	3	6	1	5	6
102	4	6	1	5	3
102	5	6	1	5	3
102	6	6	1	5	7
201	1	6	2	1	10
201	2	6	2	1	35
202	1	6	1	1	20
202	2	6	2	5	30
202	3	6	1	5	25
203	1	6	1	1	3
203	2	6	1	1	4
203	3	6	1	1	3
203	4	6	1	1	2
203	5	6	1	1	5
204	1	6	1	1	5
204	2	6	1	1	10
204	3	6	1	1	10
204	4	6	1	1	10
204	5	6	1	5	5
205	1	1	1	1	2
301	1	2	2	1	5
301	2	2	2	1	20
301	3	2	3	1	10
301	4	2	3	1	30
301	5	2	3	1	240
304	1	2	2	1	5
304	2	2	2	1	40
304	3	2	2	1	20
304	4	2	2	1	20
304	5	2	2	1	40
305	1	2	2	1	10
305	2	2	2	1	10
305	3	2	2	1	120
305	4	2	2	1	60
306	1	1	2	1	5
306	2	2	2	1	60
306	3	2	2	1	90
306	4	2	2	1	15
306	5	2	2	1	15
307	1	1	2	1	5
307	2	2	2	1	60
307	3	2	2	1	90
307	4	2	2	1	15
307	5	2	2	1	15
308	1	1	2	1	5
308	2	2	2	1	60
308	3	2	2	1	60
308	4	2	1	1	15
308	5	2	2	1	15
309	1	2	2	1	5
309	2	2	2	1	60
309	3	2	2	1	80
309	4	2	2	1	60
309	5	2	3	1	120
310	1	2	2	1	10
310	2	2	2	1	60
310	3	2	2	1	120
310	4	2	2	1	60
311	1	2	2	1	5
311	2	2	2	1	20
311	3	2	3	1	60
311	4	2	3	1	30
311	5	2	3	1	240
312	1	1	2	1	5
312	2	2	2	1	60
312	3	2	2	1	90
312	4	2	2	1	15
312	5	2	2	1	15
313	1	1	2	1	5
313	2	2	2	1	60
313	3	2	2	1	90
313	4	2	2	1	15
313	5	2	2	1	15
314	1	1	2	1	5
314	2	2	2	1	60
314	3	2	2	1	90
314	4	2	2	1	15
314	5	2	2	1	15
401	1	1	1	1	60
401	2	3	2	1	90
401	3	3	2	1	90
401	4	2	2	1	30
401	5	2	3	1	30
402	1	1	1	1	5
402	2	2	1	7	20
402	3	1	1	1	20
402	4	1	1	7	45
402	5	1	1	7	30
403	1	4	1	1	5
403	2	3	3	1	180
403	3	3	2	1	50
403	4	3	2	1	80
404	1	3	2	1	5
404	2	6	3	1	30
404	3	6	3	1	20
404	4	6	3	1	10
405	1	3	3	1	10
405	2	3	3	1	60
406	1	3	2	1	10
406	2	3	2	1	30
408	1	1	2	1	5
408	2	6	3	1	15
408	3	6	3	1	25
408	4	6	3	1	15
501	1	1	1	1	10
501	2	2	1	5	20
501	3	2	3	1	200
501	4	2	3	1	90
501	5	2	1	6	30
503	1	1	1	1	5
503	2	2	1	5	10
503	3	2	1	5	15
503	4	2	1	1	300
503	5	2	1	1	150
504	1	1	1	1	10
504	2	2	2	1	120
504	3	2	2	1	120
504	4	2	2	1	90
504	5	2	1	1	30
505	1	1	1	1	10
505	2	1	1	6	25
505	3	2	2	1	180
505	4	2	1	6	60
505	5	1	1	6	60
507	1	1	2	1	10
507	2	2	2	5	10
507	3	2	2	3	15
507	4	2	2	5	10
508	1	1	2	1	10
508	2	2	2	5	10
508	3	2	2	5	15
508	4	2	2	5	15
508	5	2	2	5	10
509	1	1	2	1	10
509	2	2	2	5	10
509	3	2	2	5	15
509	4	2	2	5	15
509	5	2	2	5	10
510	1	1	2	1	10
510	2	2	2	5	10
510	3	2	2	5	15
510	4	2	2	5	15
510	5	2	2	5	10
511	1	1	1	1	5
511	2	2	1	5	10
511	3	2	1	5	15
511	4	2	1	1	300
511	5	2	1	1	150
512	1	1	1	1	10
512	2	1	1	6	25
512	3	2	2	1	180
512	4	2	1	6	60
512	5	1	1	6	60
601	1	6	1	1	5
601	2	6	1	5	5
601	3	6	1	5	5
601	4	6	1	5	15
601	5	6	1	5	10
602	1	6	1	5	10
602	2	6	1	6	100
602	3	6	1	6	120
602	4	6	1	6	120
602	5	6	1	6	120
701	1	6	1	1	60
701	2	2	1	1	120
701	3	6	2	6	180
701	4	6	2	1	20
701	5	6	2	1	20
702	1	6	1	1	5
702	2	6	1	1	10
702	3	6	1	1	10
702	4	6	1	1	15
702	5	6	1	1	15
703	1	6	1	1	5
703	2	6	1	1	10
703	3	6	1	1	10
703	4	6	1	1	15
703	5	6	1	1	15
704	1	6	1	1	25
704	2	6	1	1	30
704	3	6	1	1	35
704	4	6	1	1	20
704	5	6	1	1	20
801	1	6	1	5	7
801	2	6	1	5	10
801	3	6	1	5	5
801	4	6	1	5	8
801	5	6	1	5	10
802	1	6	1	1	45
802	2	6	1	1	45
802	3	6	1	1	45
802	4	6	1	1	5
802	5	6	1	1	10
901	1	6	2	7	120
901	2	6	2	7	30
901	3	6	2	1	60
901	4	6	1	1	5
902	1	6	3	1	20
902	2	3	3	1	20
902	3	3	3	1	15
902	4	3	3	1	15
902	5	2	3	1	120
903	1	3	3	1	20
903	2	3	3	1	90
903	3	2	3	1	5
903	4	2	3	1	20
904	1	2	1	6	10
904	2	2	1	1	60
904	3	2	1	1	120
904	4	2	1	1	90
904	5	2	1	1	15
905	1	2	3	1	20
905	2	2	3	1	35
905	3	2	3	1	35
905	4	6	3	1	10
905	5	2	3	1	25
906	1	2	2	1	20
906	2	6	2	1	20
906	3	2	3	1	60
907	1	2	3	1	30
907	2	2	3	1	35
907	3	2	3	1	35
907	4	6	3	1	10
907	5	2	3	1	25
908	1	2	3	1	60
908	2	2	3	1	20
908	3	2	3	1	30
908	4	2	3	1	40
908	5	2	3	1	60
909	1	2	1	6	10
909	2	2	1	1	60
909	3	2	1	1	120
909	4	2	1	1	90
909	5	2	1	1	15
909	6	2	1	1	120
910	1	2	3	1	30
910	2	2	3	1	35
910	3	2	3	1	35
910	4	6	3	1	10
910	5	2	3	1	25
911	1	3	3	1	20
911	2	3	3	1	90
911	3	2	3	1	5
911	4	2	3	1	20
912	1	2	3	1	20
912	2	2	3	1	35
912	3	2	3	1	35
912	4	6	3	1	10
912	5	2	3	1	25
1001	1	6	1	1	10
1001	2	6	1	7	5
1001	3	6	1	7	15
1001	4	6	1	7	10
1001	5	6	1	7	10
1003	1	6	1	1	10
1003	2	6	1	1	10
1003	3	1	1	7	20
1003	4	6	1	1	10
1003	5	6	1	1	15
1004	1	6	1	1	10
1004	2	6	1	1	10
1004	3	1	1	7	20
1004	4	6	1	1	15
1004	5	6	1	1	10
1005	1	6	1	1	10
1005	2	6	1	1	10
1005	3	1	1	7	20
1005	4	6	1	1	15
1005	5	6	1	1	10
1006	1	6	1	1	10
1006	2	6	1	7	5
1006	3	6	1	7	15
1006	4	6	1	7	10
1006	5	6	1	7	10
1101	1	1	2	1	5
1101	2	2	2	1	60
1101	3	2	3	1	60
1101	4	2	2	1	30
1101	5	2	3	1	40
1102	1	1	2	1	20
1102	2	1	2	1	5
1102	3	2	3	1	40
1102	4	2	3	1	40
1102	5	2	3	1	60
1102	6	2	2	1	45
1102	7	1	2	1	120
1103	1	2	2	1	40
1103	2	2	3	1	60
1103	3	2	3	1	50
1103	4	2	3	1	60
1103	5	2	2	1	60
1104	1	3	2	1	20
1104	2	3	2	1	30
1104	3	3	3	1	30
1104	4	6	2	1	90
1104	5	3	3	1	30
1105	1	2	2	1	240
1105	2	2	2	1	120
1105	3	2	2	1	60
1105	4	2	2	1	30
1105	5	2	2	1	60
1106	1	2	3	1	120
1106	2	2	3	1	60
1106	3	2	3	1	30
1106	4	6	2	1	10
1107	1	3	2	1	30
1107	2	3	2	1	45
1107	3	3	2	1	90
1107	4	3	2	1	30
1107	5	3	2	1	45
1108	1	1	2	1	5
1108	2	2	2	1	60
1108	3	2	3	1	60
1108	4	2	2	1	30
1108	5	2	3	1	40
1202	1	1	1	1	5
1203	1	6	1	5	5
1203	2	6	1	7	5
1203	3	6	1	7	5
1203	4	6	1	7	10
1302	1	6	1	1	15
1302	2	6	1	1	10
