placeid	disastid	disaster	longago	efecct	pplaftcd	askhelp1	askhelp2	askhelp3	recvhlp1	recvhlp2	recvhlp3	typehlp1	enough1	typehlp2	enough2	typehlp3	enough3
PE01C01	1	11	15	6	20000	4	1	4	4	1	4	7	0	2	0	5	0
PE03C01	1	4	18	6	30	0	88	88	0	88	88	88	88	88	88	88	88
PE03C01	2	11	5	4	10	0	88	88	0	88	88	88	88	88	88	88	88
PE03C04	1	4	18	4	400	1	88	88	1	88	88	7	0	0	88	0	88
PE03C05	1	4	19	6	76	1	88	88	0	88	88	88	88	88	88	88	88
PE03C05	2	4	4	6	6	1	88	88	0	88	88	88	88	88	88	88	88
PE03C06	1	4	18	7	320	1	88	88	0	88	88	88	88	88	88	88	88
PE03C07	1	4	18	7	60	1	88	88	1	88	88	2	0	0	88	0	88
PE04C01	1	6	20	6	10	1	88	88	1	88	88	6	1	0	88	0	88
PE04C06	1	6	20	4	20	0	88	88	0	88	88	88	88	88	88	88	88
PE05C03	1	2	14	6	30	1	88	88	1	88	88	7	0	0	88	0	88
PE05C08	1	6	26	6	40	1	88	88	1	88	88	7	0	7	0	7	0
PE05C10	1	6	34	6	120	1	88	88	1	88	88	5	0	2	0	0	88
PE05C10	2	6	13	6	15	1	88	88	1	88	88	5	0	2	0	0	88
PE06C01	1	2	2	6	300	1	88	88	0	88	88	88	88	88	88	88	88
PE06C02	1	11	2	6	200	1	88	88	1	88	88	7	1	7	1	0	88
PE09C06	1	7	2	6	-77	0	88	88	0	88	88	88	88	88	88	88	88
PE15C04	1	2	3	2	20	0	88	88	3	88	88	2	1	0	88	0	88
PE16C01	1	7	24	7	190	0	88	88	0	88	88	88	88	88	88	88	88
PE16C02	1	7	12	6	280	1	88	88	1	88	88	2	1	6	1	0	88
PE16C02	2	11	12	6	300	1	88	88	1	88	88	5	0	0	88	0	88
PE16C03	1	7	6	7	100	1	88	88	0	88	88	88	88	88	88	88	88
PE16C04	1	7	24	11	350	1	88	88	1	88	88	7	0	6	0	0	88
PE16C06	1	7	12	6	800	1	88	88	0	88	88	88	88	88	88	88	88
PE16C06	2	11	12	2	18	1	88	88	0	88	88	88	88	88	88	88	88
PE16C07	1	7	24	7	330	1	88	88	1	88	88	6	0	0	88	0	88
PE16C07	2	2	36	2	115	1	88	88	1	88	88	5	0	0	88	0	88
PE16C08	1	7	24	7	259	1	88	88	1	88	88	6	0	0	88	0	88
PE17C01	1	7	24	6	200	0	88	88	0	88	88	88	88	88	88	88	88
PE17C08	1	11	24	7	150	1	88	88	0	88	88	88	88	88	88	88	88
PE17C11	1	1	9	7	100	0	88	88	0	88	88	88	88	88	88	88	88
PE17C11	2	7	9	7	50	0	88	88	0	88	88	88	88	88	88	88	88
PE18C01	1	7	12	5	250	1	88	88	1	88	88	7	0	0	88	0	88
PE18C02	1	2	12	2	360	1	88	88	1	88	88	5	0	2	0	0	88
PE18C02	2	7	12	5	2880	1	88	88	1	88	88	6	0	0	88	0	88
PE18C02	3	11	12	5	108	1	88	88	0	88	88	88	88	88	88	88	88
PE18C03	1	2	36	2	30	1	4	88	1	88	88	5	0	0	88	0	88
PE18C04	1	7	12	6	500	1	88	88	1	88	88	6	0	2	0	0	88
PE18C06	1	2	12	2	35	1	88	88	0	88	88	88	88	88	88	88	88
PE18C06	2	7	12	6	10	1	88	88	1	88	88	6	0	0	88	0	88
PE19C01	1	6	24	2	320	1	88	88	1	88	88	2	1	4	1	5	1
PE19C05	1	11	24	2	400	1	88	88	1	88	88	5	0	0	88	0	88
PE20C06	1	7	24	1	210	1	88	88	0	88	88	88	88	88	88	88	88
PE80C03	1	6	26	6	17466	1	88	88	1	88	88	7	0	4	0	2	0
PE80C12	1	6	9	2	100	1	88	88	1	88	88	7	0	4	0	2	0
