placeid	rsid	module	section	ageres	sexres	capac
PE01C01	1	1	1	28	1	2
PE01C01	2	2	6	48	1	8
PE01C01	3	1	1	31	2	2
PE01C01	4	2	5	39	1	2
PE01C01	5	2	6	27	2	2
PE01C01	6	2	5	52	2	3
PE01C01	7	2	5	32	1	3
PE01C01	8	2	1	51	1	4
PE01C01	9	1	5	68	1	7
PE01C01	10	1	5	43	2	3
PE01C01	11	1	5	37	1	7
PE01C01	12	1	5	30	2	7
PE01C01	13	1	5	43	2	8
PE01C01	14	1	5	-88	88	7
PE01C01	15	1	5	28	1	7
PE01C01	16	1	5	25	1	7
PE01C01	17	1	5	56	1	7
PE01C01	18	1	5	42	2	7
PE01C02	1	1	1	43	1	1
PE01C02	2	1	1	50	1	2
PE01C02	3	1	1	24	2	2
PE01C02	4	2	5	39	1	3
PE01C02	5	1	2	50	1	10
PE01C02	6	1	2	48	1	10
PE01C02	7	1	3	35	1	10
PE01C02	8	1	3	52	1	10
PE01C02	9	1	5	31	2	7
PE01C02	10	1	5	36	2	7
PE01C02	11	1	5	-88	88	7
PE01C02	12	1	5	31	2	7
PE01C02	13	1	5	56	2	7
PE01C02	14	2	1	37	2	4
PE01C02	15	2	1	34	2	4
PE01C02	16	1	4	50	2	10
PE01C02	17	2	6	32	1	8
PE01C02	18	2	6	27	2	2
PE02C01	1	2	1	44	1	4
PE02C01	2	2	1	51	1	4
PE02C01	3	2	5	25	2	3
PE02C01	4	1	1	44	1	9
PE02C01	5	1	5	49	2	10
PE02C01	6	1	1	27	1	9
PE02C01	7	1	5	40	2	7
PE02C01	8	2	6	33	2	2
PE02C02	1	1	1	49	1	2
PE02C02	2	2	5	35	2	3
PE02C02	3	2	5	34	2	3
PE02C02	4	1	1	47	1	2
PE02C02	5	1	2	27	2	10
PE02C02	6	1	5	29	2	7
PE02C02	7	1	2	60	2	10
PE02C02	8	1	3	44	1	10
PE02C02	9	1	4	38	1	10
PE02C02	10	1	4	69	1	10
PE02C02	11	1	4	36	1	10
PE02C02	12	2	2	53	1	4
PE02C02	13	1	5	30	2	7
PE02C02	14	1	1	43	1	10
PE02C02	15	1	1	69	1	10
PE02C02	16	1	1	36	1	10
PE02C02	17	1	5	36	2	7
PE02C02	18	1	5	42	1	7
PE02C02	19	2	6	33	2	2
PE02C03	1	1	1	48	1	9
PE02C03	2	2	5	39	2	3
PE02C03	3	2	5	46	2	3
PE02C03	4	1	1	55	1	9
PE02C03	5	2	1	56	1	4
PE02C03	6	2	1	52	1	4
PE02C03	7	1	1	38	1	2
PE02C03	8	2	6	33	2	2
PE02C03	9	1	5	54	2	10
PE02C03	10	1	5	30	2	7
PE02C03	11	1	5	33	2	7
PE02C04	1	1	1	44	1	2
PE02C04	2	1	1	39	1	2
PE02C04	3	1	1	50	1	10
PE02C04	4	1	2	67	1	10
PE02C04	5	1	4	56	1	10
PE02C04	6	1	4	57	2	2
PE02C04	7	1	1	68	1	10
PE02C04	8	1	5	36	1	7
PE02C04	9	2	1	59	1	4
PE02C04	10	2	1	41	1	4
PE02C04	11	2	5	35	1	3
PE02C04	12	2	5	33	2	3
PE02C04	13	2	5	41	2	3
PE02C04	14	1	4	29	2	10
PE02C04	15	1	1	42	2	10
PE02C04	16	1	3	30	2	6
PE02C04	17	1	2	50	1	2
PE02C04	18	2	6	33	2	2
PE02C04	19	1	1	38	1	2
PE02C04	20	1	5	36	2	7
PE02C04	21	1	5	42	1	7
PE02C05	1	2	1	60	1	4
