placeid	rsid	module	section	ageres	sexres	capac
PE02C05	2	2	1	46	2	4
PE02C05	3	1	1	57	1	9
PE02C05	4	2	5	36	2	3
PE02C05	5	2	5	45	1	3
PE02C05	6	2	5	38	2	3
PE02C05	7	1	1	42	2	9
PE02C05	8	1	1	35	1	9
PE02C05	9	1	5	34	2	3
PE02C05	10	1	5	30	2	8
PE02C05	11	1	5	63	2	7
PE02C05	12	1	5	27	1	7
PE02C05	13	2	6	33	2	2
PE03C01	1	2	5	24	2	3
PE03C01	2	2	5	32	1	3
PE03C01	3	1	1	29	1	9
PE03C01	4	2	1	37	2	4
PE03C01	5	1	1	41	1	9
PE03C01	6	1	1	43	1	9
PE03C01	7	1	5	38	2	7
PE03C01	8	1	5	38	2	7
PE03C01	9	1	5	42	1	7
PE03C01	10	1	5	35	2	7
PE03C01	11	1	5	40	2	7
PE03C01	12	1	5	38	2	7
PE03C01	13	2	6	38	2	2
PE03C04	1	1	3	37	2	3
PE03C04	2	1	5	21	2	7
PE03C04	3	2	4	42	1	4
PE03C04	4	1	3	46	2	4
PE03C04	5	1	1	27	1	1
PE03C04	6	1	1	45	2	1
PE03C04	7	1	1	45	1	9
PE03C04	8	1	5	33	1	7
PE03C04	9	2	6	38	2	2
PE03C05	1	1	1	32	1	9
PE03C05	2	1	1	37	2	10
PE03C05	3	1	1	48	1	10
PE03C05	4	1	1	44	1	10
PE03C05	5	1	1	50	1	10
PE03C05	6	1	1	51	1	10
PE03C05	7	1	5	34	2	7
PE03C05	8	2	1	48	2	4
PE03C05	9	1	5	38	1	7
PE03C05	10	1	5	42	1	7
PE03C05	11	1	5	35	1	7
PE03C05	12	2	4	36	2	4
PE03C05	13	2	5	35	2	3
PE03C05	14	2	5	27	2	3
PE03C05	15	2	6	38	2	2
PE03C06	1	1	1	56	1	9
PE03C06	2	1	1	34	1	8
PE03C06	3	1	1	57	1	10
PE03C06	4	1	2	52	2	10
PE03C06	5	1	3	57	1	9
PE03C06	6	1	4	48	1	10
PE03C06	7	1	4	47	2	10
PE03C06	8	1	4	48	1	10
PE03C06	9	2	1	62	1	4
PE03C06	10	2	1	55	1	4
PE03C06	11	2	5	30	1	8
PE03C06	12	2	4	35	2	4
PE03C06	13	1	5	29	2	7
PE03C06	14	2	5	29	2	3
PE03C06	15	1	5	38	2	7
PE03C06	16	1	5	42	1	7
PE03C06	17	1	5	35	2	7
PE03C06	18	2	5	27	1	3
PE03C06	19	2	5	34	1	3
PE03C06	20	2	6	38	2	2
PE03C07	1	2	6	38	2	2
PE03C07	2	2	5	27	1	3
PE03C07	3	2	5	34	1	3
PE03C07	4	1	5	38	2	7
PE03C07	5	1	5	35	2	7
PE03C07	6	1	5	42	1	7
PE03C07	7	1	1	57	1	8
PE03C07	8	1	1	30	2	6
PE03C07	9	1	1	60	1	10
PE03C07	10	1	1	69	2	10
PE03C07	11	1	4	26	1	10
PE03C07	12	1	4	58	1	10
PE03C07	13	1	2	30	1	9
PE03C07	14	2	1	50	2	4
PE03C07	15	2	4	61	1	4
PE03C07	16	1	5	40	2	7
PE03C07	17	1	5	38	2	7
PE03C08	1	2	3	49	2	4
PE03C08	2	2	3	34	2	4
PE03C08	3	1	5	35	2	3
PE03C08	4	2	5	27	1	3
PE03C08	5	2	5	34	1	3
PE03C08	6	1	5	38	2	7
PE03C08	7	1	5	43	2	7
PE03C08	8	1	1	53	1	9
PE03C08	9	1	1	42	1	1
PE03C08	10	2	6	38	2	2
PE03C08	11	2	4	61	1	4
PE03C08	12	1	5	40	2	7
PE03C09	1	1	5	47	2	10
PE03C09	2	2	3	48	2	8
PE03C09	3	1	5	38	2	7
PE03C09	4	2	4	49	1	4
PE03C09	5	2	3	54	1	4
PE03C09	6	2	5	27	1	3
PE03C09	7	1	1	41	1	9
PE03C09	8	2	6	38	2	2
PE03C10	1	2	3	45	2	4
PE03C10	2	1	5	30	2	7
PE03C10	3	1	5	-79	2	10
PE03C10	4	1	1	42	1	9
PE03C10	5	1	1	43	1	9
PE03C10	6	2	5	27	2	3
PE03C10	7	2	5	35	2	3
PE03C10	8	2	6	38	2	2
PE03C11	1	1	1	32	1	2
PE03C11	2	1	1	53	1	10
PE03C11	3	2	3	43	2	4
PE03C11	4	2	1	23	2	4
PE03C11	5	1	5	47	2	10
PE03C11	6	1	1	38	1	10
PE03C11	7	2	5	24	2	3
PE03C11	8	2	5	25	2	3
PE03C11	9	2	5	32	1	3
PE03C11	10	1	5	35	2	3
PE03C11	11	2	6	38	2	2
PE04C01	1	1	1	23	1	2
PE04C01	2	1	1	50	1	1
PE04C01	3	2	1	56	1	4
PE04C01	4	2	3	48	1	4
PE04C01	5	2	1	49	2	3
PE04C01	6	1	5	40	2	7
PE04C01	7	1	5	45	2	7
PE04C01	8	1	2	38	1	10
PE04C01	9	1	2	50	1	10
PE04C01	10	1	5	53	1	10
PE04C01	11	1	3	51	2	10
PE04C01	12	1	5	27	2	7
PE04C01	13	2	6	51	2	2
PE04C02	1	2	1	53	1	4
PE04C02	2	1	5	40	2	7
PE04C02	3	1	5	62	2	7
PE04C02	4	1	5	50	2	3
PE04C02	5	1	5	27	2	3
PE04C02	6	2	5	37	2	3
PE04C02	7	2	5	23	2	3
PE04C02	8	1	1	27	2	9
PE04C02	9	2	2	46	1	4
PE04C02	10	2	5	40	2	3
PE04C02	11	1	1	53	1	2
PE04C02	12	1	1	59	1	10
PE04C03	1	1	1	33	1	1
PE04C03	2	1	1	40	1	8
PE04C03	3	1	1	48	1	1
PE04C03	4	1	5	17	2	7
PE04C03	5	1	5	33	2	7
PE04C03	6	2	1	59	1	4
PE04C03	7	2	1	52	1	4
PE04C03	8	1	1	33	1	2
PE04C03	9	1	1	46	1	9
PE04C03	10	2	5	36	2	3
PE04C03	11	1	5	27	2	7
PE04C03	12	1	5	47	1	3
PE04C03	13	1	5	41	2	7
PE04C03	14	1	1	58	2	7
PE04C03	15	2	6	51	2	2
PE04C04	1	2	2	34	1	4
PE04C04	2	1	1	40	1	9
PE04C04	3	2	5	23	1	3
PE04C04	4	1	1	38	1	9
PE04C04	5	1	1	35	1	10
PE04C04	6	1	5	27	2	7
PE04C04	7	1	5	43	2	10
PE04C05	1	1	1	25	1	9
PE04C05	2	1	1	25	1	9
PE04C05	3	1	1	42	1	10
PE04C05	4	1	1	67	1	10
PE04C05	5	2	5	32	2	3
PE04C05	6	1	5	32	2	10
PE04C05	7	1	5	32	2	10
PE04C05	8	2	4	34	1	4
PE04C05	9	2	3	34	2	4
PE04C06	1	1	1	50	1	9
PE04C06	2	1	1	54	2	10
PE04C06	3	1	1	57	1	8
PE04C06	4	1	5	38	2	7
PE04C06	5	2	1	45	2	4
PE04C06	6	2	5	37	2	3
PE04C06	7	1	2	48	1	10
PE04C06	8	1	2	51	1	10
PE04C06	9	1	5	40	2	7
PE04C06	10	1	1	50	1	10
PE04C06	11	1	5	58	2	7
PE04C06	12	2	4	56	1	4
PE04C06	13	1	5	27	2	7
PE04C06	14	2	6	51	2	2
PE04C08	1	2	1	43	2	4
PE04C08	2	1	1	47	1	9
PE04C08	3	1	5	47	2	9
PE04C08	4	2	5	36	2	3
PE04C08	5	1	1	34	1	9
PE04C08	6	1	5	31	1	7
PE04C08	7	1	5	30	2	7
PE04C08	8	2	4	34	1	4
PE05C01	1	1	1	36	1	9
PE05C01	2	1	1	30	1	9
PE05C01	3	1	1	41	1	9
PE05C01	4	1	1	52	1	1
PE05C01	5	1	1	63	1	1
PE05C01	6	1	1	57	1	10
PE05C01	7	1	1	31	1	10
PE05C01	8	1	1	55	1	8
PE05C01	9	1	5	35	2	7
PE05C01	10	1	5	38	2	7
PE05C01	11	2	5	24	2	3
PE05C01	12	2	5	35	2	3
PE05C01	13	2	1	50	1	4
PE05C01	14	2	6	38	1	2
PE05C03	1	2	5	37	2	3
PE05C03	2	1	1	50	1	1
PE05C03	3	1	5	40	2	7
PE05C03	4	1	1	36	1	1
PE05C03	5	1	1	56	1	2
PE05C03	6	1	5	28	2	7
PE05C03	7	1	5	31	1	7
PE05C03	8	2	1	41	1	4
PE05C04	1	1	1	52	1	1
PE05C04	2	1	1	50	1	9
PE05C04	3	1	1	64	1	10
PE05C04	4	1	1	52	2	10
PE05C04	5	1	1	48	1	8
PE05C04	6	1	1	46	2	10
PE05C04	7	2	5	29	1	3
PE05C04	8	1	5	28	2	7
PE05C04	9	1	5	32	2	7
PE05C04	10	1	5	39	1	7
PE05C04	11	2	1	42	1	4
PE05C04	12	2	6	38	1	2
PE05C04	13	1	5	40	2	7
PE05C04	14	1	5	50	1	7
PE05C05	1	1	1	44	1	4
PE05C05	2	2	4	51	1	4
PE05C05	3	2	6	38	1	2
PE05C05	4	1	5	26	2	7
PE05C05	5	1	5	28	2	7
PE05C05	6	1	1	49	1	9
PE05C05	7	1	1	55	1	2
PE05C05	8	1	1	57	1	10
PE05C05	9	1	1	59	1	10
PE05C05	10	1	1	65	1	10
PE05C05	11	1	1	40	2	10
PE05C05	12	1	5	44	1	7
PE05C05	13	2	5	49	1	3
PE05C05	14	1	5	34	2	3
PE05C05	15	1	5	40	2	7
PE05C05	16	1	5	50	1	7
PE05C07	1	2	1	37	1	4
PE05C07	2	1	5	34	2	10
PE05C07	3	1	5	55	2	7
PE05C07	4	1	1	70	1	10
PE05C07	5	1	1	68	2	10
PE05C07	6	1	1	45	2	9
PE05C07	7	1	5	38	2	10
PE05C07	8	2	5	22	2	4
PE05C07	9	1	5	36	2	7
PE05C07	10	2	5	40	2	3
PE05C07	11	1	5	31	2	7
PE05C07	12	2	4	38	1	4
PE05C07	13	2	6	33	2	2
PE05C08	1	1	1	58	1	9
PE05C08	2	1	1	51	2	10
PE05C08	3	1	1	32	1	9
PE05C08	4	1	1	54	1	8
PE05C08	5	1	1	48	2	6
PE05C08	6	1	1	38	1	10
PE05C08	7	1	1	36	1	8
PE05C08	8	1	5	30	2	7
PE05C08	9	2	1	32	2	4
PE05C08	10	1	1	32	1	10
PE05C08	11	1	5	40	2	3
PE05C08	12	1	5	31	2	7
PE05C08	13	2	6	33	2	2
PE05C08	14	1	5	38	1	7
PE05C08	15	1	5	55	2	7
PE05C08	16	2	4	51	1	4
PE05C09	1	1	1	61	1	9
PE05C09	2	2	1	48	1	4
PE05C09	3	1	5	55	2	7
PE05C09	4	1	5	32	2	10
PE05C09	5	1	5	44	2	7
PE05C09	6	2	4	47	1	4
PE05C09	7	2	4	39	2	4
PE05C09	8	1	2	34	2	10
PE05C09	9	1	1	52	1	9
PE05C09	10	2	5	40	2	3
PE05C09	11	1	5	31	2	7
PE05C10	1	2	5	40	2	3
PE05C10	2	2	1	45	1	4
PE05C10	3	1	5	31	2	7
PE05C10	4	2	4	38	1	4
PE05C10	5	1	1	68	1	9
PE05C10	6	1	1	40	1	10
PE05C10	7	2	6	33	2	2
PE05C10	8	1	2	42	1	1
PE05C10	9	1	5	38	1	7
PE05C10	10	1	5	34	2	7
PE05C10	11	1	5	55	2	7
PE05C10	12	1	2	57	2	10
PE05C10	13	1	3	49	1	10
PE05C10	14	1	5	37	2	7
PE05C11	1	1	1	50	1	1
PE05C11	2	1	5	33	1	7
PE05C11	3	1	5	18	2	7
PE05C11	4	2	1	40	1	4
PE05C11	5	1	5	36	2	10
PE05C11	6	2	5	37	2	3
PE05C11	7	1	5	40	2	7
PE05C11	8	1	5	28	2	7
PE06C01	1	2	1	38	1	4
PE06C01	2	2	2	47	2	4
PE06C01	3	1	1	39	1	1
PE06C01	4	2	5	39	1	3
PE06C01	5	1	5	48	2	3
PE06C01	6	1	5	34	2	7
PE06C01	7	1	5	22	2	7
PE06C01	8	1	5	53	1	7
PE06C01	9	1	5	36	1	7
PE06C01	10	1	5	22	2	7
PE06C01	11	1	5	25	1	7
PE06C01	12	1	5	22	2	7
PE06C01	13	1	5	42	1	7
PE06C01	14	1	5	38	1	7
PE06C01	15	2	6	45	2	2
PE06C02	1	2	6	45	2	2
PE06C02	2	1	1	27	2	2
PE06C02	3	1	1	33	1	2
PE06C02	4	1	1	46	1	2
PE06C02	5	1	5	25	1	7
PE06C02	6	1	5	42	1	7
PE06C02	7	1	5	38	1	7
PE06C02	8	1	5	22	2	7
PE06C02	9	1	5	36	1	7
PE06C02	10	1	5	22	2	7
PE06C02	11	1	5	36	2	7
PE06C02	12	1	5	42	2	7
PE06C02	13	1	5	36	1	7
PE06C02	14	1	1	40	1	8
PE06C02	15	2	5	46	1	3
PE06C02	16	2	2	38	1	4
PE06C02	17	2	2	43	2	4
PE06C02	18	2	5	48	1	3
PE07C01	1	2	5	46	1	3
PE07C01	2	1	4	45	2	3
PE07C01	3	1	3	36	2	3
PE07C01	4	1	1	45	2	3
PE07C01	5	2	1	50	1	4
PE07C01	6	2	3	55	1	4
PE07C01	7	2	6	50	2	8
PE07C01	8	1	5	48	2	7
PE07C01	9	1	1	-79	1	8
PE07C01	10	1	2	-79	2	8
PE07C01	11	1	5	-79	2	8
PE07C01	12	1	5	-88	88	7
PE07C01	13	1	5	-88	88	7
PE07C01	14	1	5	-88	88	7
PE07C01	15	1	5	-88	88	7
PE07C01	16	1	5	-88	88	7
PE07C01	17	1	5	-88	88	7
PE07C01	18	1	5	-88	88	7
PE07C02	1	1	5	44	2	3
PE07C02	2	2	3	60	1	4
PE07C02	3	2	3	58	1	4
PE07C02	4	1	5	38	2	7
PE07C02	5	2	4	-79	1	4
PE07C02	6	2	4	54	1	4
PE07C02	7	1	5	59	1	7
PE07C02	8	1	3	57	1	2
PE07C02	9	2	5	-79	1	4
PE07C02	10	2	5	30	2	3
PE07C02	11	1	5	24	2	7
PE07C02	12	1	1	36	1	10
PE07C02	13	1	2	34	1	2
PE07C02	14	2	6	50	2	2
PE07C02	15	1	5	38	2	7
PE07C02	16	1	5	52	1	7
PE07C02	17	1	5	-79	2	7
PE07C03	1	1	1	44	2	3
PE07C03	2	1	4	30	2	3
PE07C03	3	1	1	57	1	2
PE07C03	4	1	1	34	1	10
PE07C03	5	1	2	28	2	10
PE07C03	6	2	3	45	2	4
PE07C03	7	1	5	53	2	4
PE07C03	8	1	3	48	2	4
PE07C03	9	1	5	47	2	4
PE07C03	10	2	3	-79	2	4
PE07C03	11	2	1	62	1	4
PE07C03	12	1	5	31	1	1
PE07C03	13	1	5	28	2	1
PE07C03	14	1	5	46	2	7
PE07C03	15	2	4	39	1	10
PE07C03	16	1	5	52	2	7
PE07C03	17	1	5	22	2	3
PE07C03	18	2	6	50	2	2
PE07C04	1	1	1	65	1	8
PE07C04	2	1	2	60	1	8
PE07C04	3	1	3	55	1	8
PE07C04	4	1	4	68	2	10
PE07C04	5	2	3	45	2	4
PE07C04	6	2	1	40	1	8
PE07C04	7	1	5	50	2	7
PE07C04	8	1	5	52	1	7
PE07C04	9	1	1	35	2	10
PE07C04	10	1	2	40	2	10
PE07C04	11	2	6	35	2	10
PE07C04	12	2	4	50	1	4
PE07C04	13	2	5	46	1	3
PE07C04	14	1	5	45	2	3
PE07C04	15	1	5	-88	88	7
PE07C04	16	1	5	-88	88	7
PE07C04	17	1	5	-88	88	7
PE07C04	18	1	5	-88	88	7
PE07C04	19	1	5	-88	88	7
PE07C04	20	1	5	-88	88	7
PE07C04	21	1	5	-88	88	7
PE07C04	22	2	6	50	2	8
PE08C01	1	2	5	53	1	3
PE08C01	2	1	5	34	1	3
PE08C01	3	1	4	34	2	3
PE08C01	4	2	2	50	1	4
PE08C01	5	1	1	45	1	8
PE08C01	6	1	2	40	2	10
PE08C01	7	1	3	46	1	10
PE08C01	8	2	6	26	2	8
PE08C01	9	2	1	30	2	10
PE08C01	10	1	2	52	1	10
PE08C01	11	2	6	37	1	10
PE08C01	12	1	5	-88	88	7
PE08C01	13	1	5	-88	88	7
PE08C01	14	1	5	-88	88	7
PE08C01	15	1	5	-88	88	7
PE08C02	1	2	2	57	1	4
PE08C02	2	2	2	65	1	4
PE08C02	3	2	5	56	2	3
PE08C02	4	2	5	-79	2	3
PE08C02	5	2	6	26	2	2
PE08C02	6	1	5	32	1	10
PE08C02	7	1	5	19	2	7
PE08C02	8	1	5	56	2	7
PE08C02	9	1	5	-88	2	7
PE08C02	10	1	5	-88	1	7
PE08C02	11	1	1	28	1	1
PE08C02	12	1	3	36	1	10
PE08C02	13	1	5	-79	2	3
PE09C01	1	2	1	47	2	4
PE09C01	2	2	1	30	1	4
PE09C01	3	1	5	32	2	3
PE09C01	4	2	5	42	2	3
PE09C01	5	1	5	68	1	3
PE09C01	6	2	1	37	1	10
PE09C01	7	1	1	-79	1	2
PE09C01	8	1	1	37	2	1
PE09C01	9	1	1	-79	1	1
PE09C01	10	1	5	38	2	7
PE09C01	11	1	5	40	1	7
PE09C01	12	2	6	29	2	1
PE09C02	1	1	1	37	1	2
PE09C02	2	2	1	49	1	4
PE09C02	3	1	2	39	1	8
PE09C02	4	1	3	26	2	8
PE09C02	5	2	5	40	2	3
PE09C02	6	1	4	49	2	10
PE09C02	7	1	5	46	2	7
PE09C02	8	1	5	47	1	10
PE09C02	9	1	5	33	2	7
PE09C02	10	1	5	45	2	7
PE09C02	11	2	6	41	1	8
PE09C02	12	1	5	20	1	8
PE09C03	1	1	1	40	1	1
PE09C03	2	2	5	42	2	3
PE09C03	3	2	1	41	2	4
PE09C03	4	2	1	25	2	4
PE09C03	5	2	5	29	2	3
PE09C03	6	1	3	35	2	4
PE09C03	7	1	1	75	1	10
PE09C03	8	1	5	-79	1	10
PE09C03	9	2	6	51	1	2
PE09C03	10	1	5	39	2	7
PE09C03	11	1	1	41	2	10
PE09C03	12	2	4	41	2	4
PE09C03	13	2	4	38	2	4
PE09C03	14	1	5	38	1	7
PE09C05	1	2	1	36	1	4
PE09C05	2	2	2	50	2	4
PE09C05	3	2	5	28	2	3
PE09C05	4	2	5	26	2	3
PE09C05	5	2	5	36	2	3
PE09C05	6	1	1	61	1	1
PE09C05	7	1	2	55	1	1
PE09C05	8	1	3	27	1	8
PE09C05	9	1	4	40	1	2
PE09C05	10	1	5	36	1	8
PE09C05	11	1	5	25	1	3
PE09C05	12	1	5	68	1	7
PE09C05	13	1	5	36	1	7
PE09C05	14	2	6	53	1	10
PE09C05	15	1	5	42	1	10
PE09C05	16	1	5	58	1	10
PE09C05	17	1	4	28	2	10
PE09C06	1	1	1	60	1	2
PE09C06	2	1	2	22	1	10
PE09C06	3	2	5	22	2	3
PE09C06	4	1	1	56	1	1
PE09C06	5	1	4	44	1	1
PE09C06	6	1	1	44	1	10
PE09C06	7	2	2	30	2	4
PE09C06	8	2	2	36	2	4
PE09C06	9	1	1	37	2	4
PE09C06	10	2	2	26	2	4
PE09C06	11	2	5	37	1	3
PE09C06	12	2	5	27	2	3
PE09C06	13	1	5	51	2	7
PE09C06	14	1	5	18	1	7
PE09C06	15	1	5	-79	1	7
PE09C06	16	1	5	64	1	7
PE09C06	17	1	5	51	1	7
PE09C07	1	2	1	36	1	4
PE09C07	2	2	2	50	2	4
PE09C07	3	2	5	28	2	3
PE09C07	4	2	5	26	2	3
PE09C07	5	1	1	36	1	10
PE09C07	6	1	1	58	1	10
PE09C07	7	1	1	19	1	10
PE09C07	8	1	3	40	1	10
PE09C07	9	1	5	39	1	10
PE09C07	10	1	5	36	1	7
PE09C08	1	2	5	33	1	3
PE09C08	2	2	5	31	2	3
PE09C08	3	1	1	42	1	1
PE09C08	4	1	5	40	1	8
PE09C08	5	2	3	41	2	4
PE09C08	6	2	3	38	2	4
PE09C08	7	1	5	59	2	7
PE09C08	8	1	2	61	1	10
PE09C08	9	1	3	38	1	10
PE09C08	10	1	4	25	2	10
PE09C08	11	2	6	70	1	8
PE09C08	12	1	5	47	1	7
PE09C08	13	2	4	47	2	4
PE09C08	14	2	4	52	2	4
PE09C09	1	2	3	43	1	4
PE09C09	2	1	1	60	1	8
PE09C09	3	1	2	36	2	10
PE09C09	4	1	3	38	2	10
PE09C09	5	1	4	58	1	8
PE09C09	6	2	6	67	1	10
PE09C09	7	1	5	62	2	7
PE09C09	8	2	4	47	2	4
PE09C09	9	2	4	52	2	4
PE09C09	10	2	5	36	1	3
PE09C09	11	2	5	26	2	3
PE10C01	1	1	1	54	2	8
PE10C01	2	1	2	25	2	8
PE10C01	3	2	6	48	2	8
PE10C01	4	2	6	53	2	3
PE10C01	5	2	2	50	2	4
PE10C01	6	2	1	38	2	4
PE10C01	7	1	3	45	2	4
PE10C01	8	1	4	53	1	8
PE10C01	9	2	5	42	2	3
PE10C01	10	1	4	37	1	3
PE10C01	11	2	5	38	1	3
PE10C01	12	1	5	28	1	3
PE10C01	13	1	5	35	1	7
PE10C01	14	1	5	42	1	7
PE10C01	15	1	5	38	1	7
PE10C01	16	1	5	36	1	7
PE10C01	17	1	5	26	2	7
PE10C01	18	1	5	28	2	7
PE10C03	1	1	1	62	1	8
PE10C03	2	1	2	52	2	8
PE10C03	3	1	3	35	2	10
PE10C03	4	1	4	45	1	10
PE10C03	5	2	1	52	2	4
PE10C03	6	2	2	50	1	4
PE10C03	7	2	2	53	2	4
PE10C03	8	2	5	56	1	3
PE10C03	9	2	5	49	1	3
PE10C03	10	2	5	55	1	3
PE10C03	11	2	5	45	1	3
PE10C03	12	2	5	54	2	3
PE10C03	13	1	5	23	2	3
PE10C03	14	1	5	36	2	7
PE10C03	15	2	6	48	2	8
PE10C04	1	1	1	51	1	8
PE10C04	2	1	2	53	1	8
PE10C04	3	1	3	55	1	10
PE10C04	4	1	4	25	1	10
PE10C04	5	1	6	60	1	10
PE10C04	6	2	1	52	2	4
PE10C04	7	2	2	50	1	4
PE10C04	8	2	2	53	2	4
PE10C04	9	2	5	56	1	3
PE10C04	10	2	5	49	1	3
PE10C04	11	2	5	55	1	3
PE10C04	12	2	5	45	1	3
PE10C04	13	2	5	54	2	3
PE10C04	14	1	5	23	2	3
PE10C04	15	1	5	36	2	7
PE10C04	16	2	6	48	2	8
PE10C05	1	1	1	50	1	8
PE10C05	2	1	2	27	2	10
PE10C05	3	2	1	52	2	4
PE10C05	4	1	3	50	1	4
PE10C05	5	2	2	53	2	4
PE10C05	6	1	3	37	1	8
PE10C05	7	2	5	56	1	3
PE10C05	8	1	3	49	1	3
PE10C05	9	2	5	55	1	3
PE10C05	10	2	5	45	1	3
PE10C05	11	2	5	54	2	3
PE10C05	12	1	5	23	2	3
PE10C05	13	1	5	40	2	7
PE10C05	14	1	4	38	1	10
PE10C05	15	1	4	42	2	10
PE10C05	16	1	5	32	2	7
PE10C05	17	1	5	45	1	7
PE10C05	18	2	6	42	1	10
PE10C05	19	1	5	48	2	7
PE10C05	20	1	5	45	1	7
PE10C05	21	2	6	48	2	8
PE11C01	1	1	1	40	1	1
PE11C01	2	1	2	27	1	1
PE11C01	3	1	3	27	1	2
PE11C01	4	2	4	47	1	4
PE11C01	5	2	1	29	1	4
PE11C01	6	2	3	44	1	4
PE11C01	7	1	4	37	2	4
PE11C01	8	1	1	48	1	8
PE11C01	9	1	3	32	1	8
PE11C01	10	2	5	32	1	3
PE11C01	11	1	4	28	2	3
PE11C01	12	1	5	35	1	7
PE11C01	13	1	5	34	2	7
PE11C01	14	2	6	36	1	9
PE11C01	15	1	4	36	2	10
PE11C02	1	1	1	48	1	1
PE11C02	2	1	3	29	1	3
PE11C02	3	2	1	23	1	4
PE11C02	4	2	1	56	1	1
PE11C02	5	2	1	43	1	4
PE11C02	6	1	1	39	1	1
PE11C02	7	1	5	34	2	10
PE11C02	8	1	5	22	2	10
PE11C02	9	1	5	32	2	3
PE11C02	10	1	5	27	2	7
PE11C02	11	2	1	29	1	10
PE11C02	12	1	5	-79	2	10
PE11C03	1	1	1	40	1	9
PE11C03	2	2	3	42	1	4
PE11C03	3	2	1	25	1	4
PE11C03	4	1	2	50	1	8
PE11C03	5	2	5	29	1	3
PE11C03	6	1	3	33	2	3
PE11C03	7	1	4	42	1	10
PE11C03	8	1	5	50	1	10
PE11C03	9	1	5	33	1	10
PE11C03	10	2	6	48	1	10
PE11C03	11	1	5	27	2	7
PE11C03	12	1	5	36	1	7
PE11C03	13	2	4	47	1	4
PE11C03	14	2	1	29	1	4
PE11C04	1	2	1	34	1	4
PE11C04	2	2	1	34	2	4
PE11C04	3	2	1	54	1	4
PE11C04	4	2	1	37	1	4
PE11C04	5	1	5	66	1	7
PE11C04	6	1	1	45	1	10
