placeid	locltyid	code	route	trnsptnt	timearrv
PE01C01	1	1	1	5	10
PE01C01	2	1	1	7	30
PE01C01	3	6	1	7	20
PE01C01	4	6	1	7	30
PE01C01	5	6	1	7	10
PE01C02	1	6	1	1	5
PE01C02	2	6	1	5	10
PE01C02	3	6	1	5	8
PE01C02	4	6	1	5	5
PE01C02	5	6	1	5	12
PE02C01	1	6	2	1	15
PE02C01	2	6	2	1	30
PE02C02	1	6	1	5	5
PE02C02	2	2	1	1	30
PE02C02	3	6	1	5	45
PE02C03	1	1	2	1	2
PE02C03	2	6	2	1	2
PE02C03	3	6	2	5	5
PE02C03	4	6	2	5	5
PE02C03	5	6	2	5	5
PE02C04	1	6	1	5	5
PE02C04	2	6	1	5	5
PE02C04	3	6	1	5	5
PE02C04	4	6	2	1	15
PE02C04	5	6	1	5	4
PE02C05	1	6	1	5	5
PE02C05	2	6	1	6	5
PE02C05	3	6	1	6	10
PE03C01	1	2	2	1	10
PE03C01	2	2	2	1	20
PE03C01	3	2	2	1	50
PE03C01	4	2	2	1	30
PE03C01	5	2	2	1	40
PE03C04	1	6	2	1	10
PE03C04	2	2	2	1	30
PE03C04	3	2	2	1	20
PE03C04	4	2	2	1	30
PE03C04	5	2	2	1	20
PE03C05	1	2	2	1	180
PE03C05	2	2	1	1	90
PE03C05	3	2	2	1	120
PE03C05	4	2	2	1	20
PE03C06	1	1	1	1	15
PE03C06	2	2	3	1	20
PE03C06	3	2	3	1	40
PE03C06	4	2	3	1	70
PE03C06	5	2	3	1	100
PE03C07	1	1	1	1	15
PE03C07	2	2	3	1	20
PE03C07	3	2	3	1	40
PE03C07	4	2	3	1	70
PE03C07	5	2	3	1	100
PE03C08	1	1	1	1	15
PE03C08	2	2	2	1	20
PE03C08	3	2	2	1	40
PE03C08	4	2	2	1	70
PE03C08	5	2	2	1	100
PE03C09	1	2	2	1	10
PE03C09	2	2	3	1	60
PE03C09	3	2	2	1	60
PE03C09	4	2	2	6	20
PE03C10	1	2	2	1	180
PE03C10	2	2	1	1	90
PE03C10	3	2	2	1	120
PE03C10	4	2	2	1	20
PE03C11	1	2	2	1	10
PE03C11	2	2	2	1	20
PE03C11	3	2	2	1	50
PE03C11	4	2	2	1	30
PE03C11	5	2	2	1	40
PE04C01	1	1	2	1	10
PE04C01	2	3	3	1	60
PE04C01	3	3	3	1	60
PE04C01	4	2	3	1	30
PE04C02	1	6	1	1	10
PE04C02	2	3	1	7	20
PE04C02	3	3	1	7	15
PE04C03	1	1	2	1	20
PE04C03	2	3	3	1	90
PE04C03	3	2	3	1	120
PE04C03	4	3	2	1	45
PE04C04	1	6	2	1	15
PE04C04	2	6	3	1	20
PE04C05	1	6	2	1	15
PE04C05	2	6	3	1	45
PE04C06	1	3	3	1	20
PE04C06	2	3	3	1	40
PE04C08	1	6	2	1	10
PE04C08	2	6	2	1	25
PE05C01	1	6	1	1	10
PE05C01	2	2	1	5	15
PE05C01	3	2	3	1	120
PE05C01	4	2	1	5	20
PE05C01	5	2	1	1	240
PE05C03	1	6	2	1	10
PE05C03	2	1	3	1	360
PE05C03	3	1	3	1	360
PE05C03	4	6	1	6	5
PE05C03	5	1	1	6	8
PE05C04	1	6	1	1	30
PE05C04	2	2	2	1	60
PE05C04	3	2	5	13	60
PE05C04	4	3	3	1	120
PE05C04	5	2	2	1	30
PE05C05	1	1	1	5	10
PE05C05	2	2	1	5	10
PE05C05	3	2	1	5	10
PE05C05	4	6	1	6	30
PE05C05	5	2	1	6	25
PE05C07	1	1	2	5	5
PE05C07	2	2	2	5	10
PE05C07	3	2	2	5	15
PE05C07	4	2	2	5	10
PE05C07	5	2	2	5	10
PE05C08	1	1	2	5	5
PE05C08	2	2	2	5	10
PE05C08	3	2	2	5	15
PE05C08	4	2	2	5	10
PE05C08	5	2	2	5	10
PE05C08	6	2	2	5	10
PE05C09	1	1	2	5	5
PE05C09	2	2	2	5	10
PE05C09	3	2	2	5	15
PE05C09	4	2	2	5	10
PE05C09	5	2	2	5	10
PE05C10	1	1	2	5	5
PE05C10	2	2	2	5	10
PE05C10	3	2	2	5	15
PE05C10	4	2	2	5	10
PE05C10	5	2	2	5	10
PE05C11	1	6	2	1	10
PE05C11	2	1	3	1	360
PE05C11	3	1	3	1	360
PE05C11	4	6	1	6	5
PE05C11	5	1	1	6	8
PE06C01	1	6	1	3	10
PE06C01	2	6	1	5	15
PE06C01	3	6	1	5	25
PE06C01	4	6	1	5	15
PE06C01	5	6	1	5	18
PE06C02	1	1	1	5	15
PE07C01	1	6	1	1	5
PE07C01	2	6	2	1	20
PE07C01	3	6	1	1	20
PE07C01	4	3	3	1	20
PE07C01	5	3	3	1	180
PE07C02	1	6	1	1	5
PE07C02	2	6	1	1	5
PE07C02	3	6	1	1	10
PE07C02	4	6	1	1	5
PE07C03	1	6	1	1	5
PE07C03	2	6	1	1	5
PE07C03	3	6	1	1	10
PE07C03	4	6	1	1	5
PE07C04	1	6	1	1	5
PE07C04	2	6	2	1	20
PE07C04	3	6	1	1	20
PE07C04	4	3	3	1	20
PE07C04	5	3	3	1	180
PE08C01	1	6	1	5	5
PE08C01	2	6	1	5	5
PE08C01	3	6	1	5	5
PE08C01	4	6	1	5	5
PE08C01	5	6	1	5	10
PE08C02	1	6	1	1	-77
PE08C02	2	6	1	1	5
PE08C02	3	6	1	1	10
PE08C02	4	6	1	1	20
PE08C02	5	6	1	1	20
PE09C01	1	6	2	1	30
PE09C01	2	6	2	1	30
PE09C01	3	6	2	1	45
PE09C02	1	2	2	1	20
PE09C02	2	6	2	1	30
PE09C02	3	2	3	1	180
PE09C02	4	2	3	1	210
PE09C03	1	6	2	1	-77
PE09C03	2	2	2	1	25
PE09C03	3	2	2	1	120
PE09C03	4	2	2	1	25
PE09C05	1	6	2	1	10
PE09C05	2	4	2	1	20
PE09C05	3	4	2	1	40
PE09C05	4	2	2	1	60
PE09C05	5	2	2	1	40
PE09C06	1	2	2	1	-77
PE09C06	2	2	2	1	20
PE09C07	1	6	2	1	10
PE09C07	2	4	2	1	20
PE09C07	3	4	2	1	40
PE09C07	4	2	2	1	60
PE09C07	5	2	2	1	40
PE09C08	1	1	1	1	10
PE09C08	2	2	2	1	60
PE09C08	3	2	2	1	45
PE09C08	4	2	2	1	20
PE09C08	5	2	2	1	50
PE09C09	1	2	1	1	10
PE09C09	2	2	1	6	10
PE09C09	3	2	2	1	90
PE09C09	4	2	2	1	60
PE09C09	5	2	2	1	100
PE10C01	1	6	1	1	10
PE10C01	2	1	1	7	20
