CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10008	24	0	 	 	 	 
10009	0	1	20	0	0	 
10009	1	1	5	0	0	 
10009	2	1	0	270	0	 
10009	3	1	500	0	0	 
10009	4	0	 	 	 	 
10009	5	1	10	0	0	 
10009	6	1	300	0	0	 
10009	7	0	 	 	 	 
10009	8	0	 	 	 	 
10009	9	1	30	0	0	 
10009	10	0	 	 	 	 
10009	11	1	30	0	0	 
10009	12	1	25	0	0	 
10009	13	1	50	0	0	 
10009	14	1	30	0	0	 
10009	15	1	35	0	0	 
10009	16	1	5	0	0	 
10009	17	0	 	 	 	 
10009	18	0	 	 	 	 
10009	19	1	40	0	0	 
10009	20	0	 	 	 	 
10009	21	1	15	0	0	 
10009	24	0	 	 	 	 
10010	0	0	 	 	 	 
10010	1	0	 	 	 	 
10010	2	1	0	180	0	 
10010	3	1	20	0	0	 
10010	4	0	 	 	 	 
10010	5	1	30	0	0	 
10010	6	1	200	0	0	 
10010	7	0	 	 	 	 
10010	8	0	 	 	 	 
10010	9	1	70	0	0	 
10010	10	0	 	 	 	 
10010	11	1	75	0	0	 
10010	12	1	30	0	0	 
10010	13	1	10	0	0	 
10010	14	1	30	0	0	 
10010	15	1	30	0	0	 
10010	16	1	54	0	0	 
10010	17	0	 	 	 	 
10010	18	0	 	 	 	 
10010	19	1	20	0	0	 
10010	20	0	 	 	 	 
10010	21	0	 	 	 	 
10010	24	0	 	 	 	 
10011	0	0	 	 	 	 
10011	1	0	 	 	 	 
10011	2	1	150	0	-88	 
10011	3	0	 	 	 	 
10011	4	0	 	 	 	 
10011	5	1	20	0	-88	 
10011	6	1	150	0	-88	 
10011	7	0	 	 	 	 
10011	8	0	 	 	 	 
10011	9	1	170	0	-88	 
10011	10	0	 	 	 	 
10011	11	1	30	0	-88	 
10011	12	1	40	0	-88	 
10011	13	1	70	0	-88	 
10011	14	1	50	0	-88	 
10011	15	1	40	0	-88	 
10011	16	1	8	0	-88	 
10011	17	1	50	0	-88	 
10011	18	0	 	 	 	 
10011	19	0	 	 	 	 
10011	20	0	 	 	 	 
10011	21	0	 	 	 	 
10011	24	0	 	 	 	 
10012	0	1	45	0	0	 
10012	1	0	 	 	 	 
10012	2	1	58	120	0	 
10012	3	1	70	0	0	 
10012	4	0	 	 	 	 
10012	5	0	 	 	 	 
10012	6	1	180	0	0	 
10012	7	0	 	 	 	 
10012	8	1	80	0	0	 
10012	9	1	250	0	0	 
10012	10	0	 	 	 	 
10012	11	0	 	 	 	 
10012	12	1	50	0	0	 
10012	13	1	75	0	0	 
10012	14	1	45	0	0	 
10012	15	1	30	0	0	 
10012	16	0	 	 	 	 
10012	17	0	 	 	 	 
10012	18	0	 	 	 	 
10012	19	0	 	 	 	 
10012	20	1	68	0	0	 
10012	21	0	 	 	 	 
10012	24	0	 	 	 	 
10013	0	1	5	0	0	 
10013	1	1	5	0	0	 
10013	2	1	150	0	0	 
10013	3	1	300	0	0	 
10013	4	0	 	 	 	 
10013	5	1	5	0	0	 
10013	6	1	450	0	0	 
10013	7	0	 	 	 	 
10013	8	1	120	0	0	 
10013	9	1	300	0	0	 
10013	10	0	 	 	 	 
10013	11	1	15	0	0	 
10013	12	1	20	0	0	 
10013	13	1	150	0	0	 
10013	14	1	5	0	0	 
10013	15	1	25	0	0	 
10013	16	1	5	0	0	 
10013	17	0	 	 	 	 
10013	18	1	5	0	0	 
10013	19	1	15	0	0	 
10013	20	0	 	 	 	 
10013	21	0	 	 	 	 
10013	24	0	 	 	 	 
10014	0	1	10	0	0	 
10014	1	0	 	 	 	 
10014	2	1	0	150	0	 
10014	3	0	 	 	 	 
10014	4	0	 	 	 	 
10014	5	1	20	0	0	 
10014	6	1	450	0	0	 
10014	7	0	 	 	 	 
10014	8	1	375	0	0	 
10014	9	1	300	0	0	 
10014	10	0	 	 	 	 
10014	11	1	80	0	0	 
10014	12	1	75	0	0	 
10014	13	1	200	0	0	 
10014	14	1	28	0	0	 
10014	15	1	30	0	0	 
10014	16	1	15	0	0	 
10014	17	0	 	 	 	 
10014	18	0	 	 	 	 
10014	19	1	270	0	0	 
10014	20	0	 	 	 	 
10014	21	0	 	 	 	 
10014	24	0	 	 	 	 
10015	0	0	 	 	 	 
10015	1	1	15	0	0	 
10015	2	1	50	0	0	 
10015	3	1	100	0	0	 
10015	4	0	 	 	 	 
10015	5	0	 	 	 	 
10015	6	1	250	0	0	 
10015	7	0	 	 	 	 
10015	8	0	 	 	 	 
10015	9	1	100	0	0	 
10015	10	0	 	 	 	 
10015	11	1	30	15	0	 
10015	12	1	30	20	0	 
10015	13	1	50	0	0	 
10015	14	1	50	0	0	 
10015	15	1	60	0	0	 
10015	16	0	 	 	 	 
10015	17	0	 	 	 	 
10015	18	0	 	 	 	 
10015	19	0	 	 	 	 
10015	20	1	50	0	0	 
10015	21	1	100	0	0	 
10015	24	0	 	 	 	 
10016	0	1	20	0	0	 
10016	1	1	20	0	0	 
10016	2	1	0	200	0	 
10016	3	1	100	0	0	 
10016	4	0	 	 	 	 
10016	5	0	 	 	 	 
10016	6	1	215	0	0	 
10016	7	0	 	 	 	 
10016	8	0	 	 	 	 
10016	9	1	150	0	0	 
10016	10	0	 	 	 	 
10016	11	1	30	0	0	 
10016	12	1	40	0	20	1
10016	13	1	30	0	0	 
10016	14	1	50	0	0	 
