CHILDCODE	SPPGIDR5	SUPKNDR5	SUPWHOR5	SUPSRTR5	SUPENDR5	SUPFRQR5
10003	1	12	1	2013	99	4
10003	2	14	1	2015	2015	4
10014	1	14	1	2016	2016	6
10029	1	14	2	2016	2016	4
10061	1	6	2	2005	99	8
10073	1	14	1	2016	2016	1
10079	1	19	1	2016	2016	4
10089	1	14	1	2016	2016	4
10118	1	19	1	2013	99	4
10118	2	18	1	2013	99	4
20001	1	 	 	 	 	 
20005	1	19	1	2013	2013	77
20017	1	6	1	2008	99	6
20017	2	6	2	2015	99	6
20019	1	6	1	2004	99	7
20023	1	 	 	 	 	 
20032	1	19	1	2015	99	7
20032	2	18	1	2014	99	7
20036	1	19	1	2007	99	7
20052	1	 	 	 	 	 
20079	1	19	1	2012	2015	8
20091	1	19	1	2006	99	7
20098	1	6	1	2014	99	8
20098	2	14	2	2015	2015	4
20099	1	19	1	2008	99	8
20106	1	14	2	2016	2016	4
20129	1	19	1	2009	99	7
20136	1	19	1	2001	99	7
30001	1	19	1	-77	99	4
30002	1	19	1	-77	99	4
30003	1	19	1	-77	99	4
30004	1	19	1	-77	99	4
30005	1	12	1	2016	2016	4
30005	2	19	1	-77	99	4
30006	1	12	1	2016	99	4
30007	1	19	1	2013	99	4
30007	2	12	1	2015	99	8
30008	1	19	1	2013	99	4
30009	1	19	1	-77	99	4
30009	2	12	2	2015	99	8
30010	1	19	1	2013	99	4
30011	1	19	1	-77	99	4
30012	1	19	1	-77	99	4
30013	1	12	1	-77	99	4
30013	2	19	1	-77	99	4
30014	1	19	1	2013	99	4
30015	1	19	1	2013	99	4
30016	1	12	1	2016	99	4
30016	2	19	1	-77	99	4
30017	1	12	1	2016	99	4
30017	2	19	1	-77	99	4
30019	1	19	1	2015	99	4
30020	1	19	1	2015	99	4
30021	1	19	1	2013	99	4
30022	1	19	1	-77	99	4
30023	1	19	1	2015	99	4
30024	1	19	1	2013	99	4
30025	1	19	1	-77	99	4
30026	1	19	1	-77	99	4
30027	1	19	1	2013	99	4
30027	2	19	1	2016	99	6
30027	3	12	1	-77	99	4
30028	1	19	1	2013	99	6
30028	2	19	1	-77	99	4
30029	1	19	1	-77	99	4
30029	2	12	1	-77	99	4
30030	1	19	1	-77	99	4
30031	1	19	1	2013	99	4
30032	1	19	1	-77	99	4
30033	1	19	1	2013	99	4
30034	1	19	1	-77	99	4
30035	1	19	1	-77	99	4
30036	1	19	1	-77	99	4
30037	1	19	1	2013	99	4
30038	1	19	1	-77	99	4
30039	1	19	1	2013	99	4
30039	2	12	1	-77	99	4
30040	1	12	1	2013	99	4
30041	1	19	1	-77	99	4
30041	2	6	1	2010	99	8
30046	1	19	1	2013	99	4
30047	1	19	1	-77	99	4
30048	1	19	1	2013	99	6
30048	2	19	1	2013	99	4
30049	1	19	1	-77	99	4
30050	1	19	1	-77	99	4
30051	1	19	1	-77	99	4
30053	1	14	1	2010	99	4
30053	2	19	1	-77	99	4
30055	1	19	1	2013	99	4
30055	2	19	1	2013	99	6
30056	1	19	1	-77	99	4
30057	1	19	1	-77	99	4
30058	1	19	1	-77	99	4
30059	1	19	1	-77	99	4
30061	1	19	1	2001	99	4
30062	1	19	1	-77	99	4
30063	1	19	1	-77	99	4
30064	1	14	1	2016	99	4
30064	2	19	1	2013	99	4
30064	3	19	1	2016	99	6
30065	1	19	1	2013	99	4
30066	1	19	1	2013	99	4
30067	1	19	1	-77	99	4
30079	1	19	1	-77	99	4
30082	1	19	1	2013	99	6
30082	2	19	1	2013	99	6
30093	1	19	1	2013	99	6
30099	1	19	1	-77	99	4
30131	1	14	1	2016	2016	4
30131	2	19	1	2013	99	4
30138	1	19	1	2012	2015	4
30138	2	19	1	2013	2015	6
40005	1	14	2	2015	2015	7
40007	1	19	2	2015	2015	7
40010	1	19	1	2016	2016	4
40017	2	18	1	2015	2015	4
40018	1	 	 	 	 	 
40020	1	 	 	 	 	 
40022	1	3	1	2013	2015	4
40029	1	19	1	2013	99	7
40029	2	6	1	2016	99	7
40029	3	16	1	2013	2013	4
40036	1	4	2	2013	99	6
40039	1	 	 	 	 	 
40044	1	19	1	2013	2013	77
40044	2	19	2	2015	2015	7
40048	1	19	1	2015	2015	77
40052	1	18	1	2013	2014	4
40077	1	19	1	2015	99	8
40119	1	14	2	2016	2016	4
40145	1	6	1	2013	99	4
40145	2	19	1	2016	99	5
50008	1	19	1	2006	99	4
50024	1	18	1	2016	99	4
50032	1	14	1	2016	99	5
50041	1	19	1	2001	99	4
50058	1	19	1	2005	99	4
50068	1	14	1	2016	99	4
50082	1	19	1	2016	2016	7
50091	1	19	1	2015	99	7
50097	1	9	1	2011	99	4
50118	1	19	1	2004	99	4
60013	1	15	1	2014	2014	7
60023	1	18	1	2016	99	4
60025	1	6	1	2016	99	8
60033	1	19	1	2015	99	8
60035	1	19	1	2015	99	4
60041	1	12	1	2016	99	8
60050	1	19	1	2013	99	4
60061	1	6	1	2012	99	8
60078	1	19	1	2012	99	6
60081	1	18	1	2016	99	8
60100	1	14	2	2015	2015	7
60104	1	19	1	2016	2016	77
60115	1	 	 	 	 	 
70008	1	19	1	2011	99	7
70018	1	 	 	 	 	 
70044	1	14	1	2011	99	6
70053	1	19	1	2011	99	7
70072	1	18	1	2012	99	6
70100	1	14	1	2002	99	4
80009	1	6	1	2014	99	8
80022	1	6	1	2014	99	8
80035	1	19	1	2016	99	4
80036	1	6	1	2013	99	8
80050	1	19	1	2016	99	5
80053	1	 	 	 	 	 
80065	1	14	1	2014	99	4
80071	1	19	1	2015	99	8
80078	1	18	1	2012	99	4
80078	2	18	2	2012	99	4
80124	1	18	1	2011	2017	6
