CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5
10001	1	88	 	 	 	 
10001	2	88	 	 	 	 
10001	3	88	 	 	 	 
10002	1	88	 	 	 	 
10002	2	88	 	 	 	 
10002	3	88	 	 	 	 
10003	1	88	 	 	 	 
10003	2	88	 	 	 	 
10003	3	88	 	 	 	 
10004	1	88	 	 	 	 
10004	2	88	 	 	 	 
10004	3	88	 	 	 	 
10005	1	88	 	 	 	 
10005	2	88	 	 	 	 
10005	3	88	 	 	 	 
10006	1	25	 	 	 	2
10006	2	88	 	 	 	 
10006	3	88	 	 	 	 
10007	1	13	 	3	 	 
10007	2	88	 	 	 	 
10007	3	88	 	 	 	 
10008	1	42	1	1	1	1
10008	2	88	 	 	 	 
10008	3	88	 	 	 	 
10009	1	39	 	 	 	4
10009	2	88	 	 	 	 
10009	3	88	 	 	 	 
10010	1	88	 	 	 	 
10010	2	88	 	 	 	 
10010	3	88	 	 	 	 
10011	1	88	 	 	 	 
10011	2	88	 	 	 	 
10011	3	88	 	 	 	 
10012	1	42	2	2	2	2
10012	2	88	 	 	 	 
10012	3	88	 	 	 	 
10013	1	88	 	 	 	 
10013	2	88	 	 	 	 
10013	3	88	 	 	 	 
10014	1	38	3	3	3	3
10014	2	88	 	 	 	 
10014	3	88	 	 	 	 
10015	1	37	 	 	 	2
10015	2	38	 	 	2	 
10015	3	42	1	1	1	1
10016	1	88	 	 	 	 
10016	2	88	 	 	 	 
10016	3	88	 	 	 	 
10017	1	88	 	 	 	 
10017	2	88	 	 	 	 
10017	3	88	 	 	 	 
10018	1	38	 	 	 	2
10018	2	29	 	 	 	1
10018	3	88	 	 	 	 
10019	1	37	2	1	1	1
10019	2	28	 	 	1	1
10019	3	29	 	 	 	1
10020	1	88	 	 	 	 
10020	2	88	 	 	 	 
10020	3	88	 	 	 	 
10021	1	88	 	 	 	 
10021	2	88	 	 	 	 
10021	3	88	 	 	 	 
10022	1	88	 	 	 	 
10022	2	88	 	 	 	 
10022	3	88	 	 	 	 
10024	1	88	 	 	 	 
10024	2	88	 	 	 	 
10024	3	88	 	 	 	 
10025	1	88	 	 	 	 
10025	2	88	 	 	 	 
10025	3	88	 	 	 	 
10026	1	39	2	 	 	 
10026	2	42	2	2	2	2
10026	3	88	 	 	 	 
10027	1	88	 	 	 	 
10027	2	88	 	 	 	 
10027	3	88	 	 	 	 
10029	1	38	 	 	 	1
10029	2	88	 	 	 	 
10029	3	88	 	 	 	 
10030	1	38	 	 	 	4
10030	2	88	 	 	 	 
10030	3	88	 	 	 	 
10031	1	88	 	 	 	 
10031	2	88	 	 	 	 
10031	3	88	 	 	 	 
10032	1	88	 	 	 	 
10032	2	88	 	 	 	 
10032	3	88	 	 	 	 
10033	1	88	 	 	 	 
10033	2	88	 	 	 	 
10033	3	88	 	 	 	 
10034	1	42	2	2	2	2
10034	2	29	 	 	 	1
10034	3	30	 	 	 	1
10035	1	38	 	 	3	2
10035	2	42	 	 	1	2
10035	3	24	 	 	1	1
10036	1	88	 	 	 	 
10036	2	88	 	 	 	 
10036	3	88	 	 	 	 
10037	1	39	 	 	 	3
10037	2	88	 	 	 	 
10037	3	88	 	 	 	 
10038	1	88	 	 	 	 
10038	2	88	 	 	 	 
10038	3	88	 	 	 	 
10039	1	88	 	 	 	 
10039	2	88	 	 	 	 
10039	3	88	 	 	 	 
10040	1	88	 	 	 	 
10040	2	88	 	 	 	 
10040	3	88	 	 	 	 
10041	1	42	 	 	3	3
10041	2	88	 	 	 	 
10041	3	88	 	 	 	 
10042	1	88	 	 	 	 
10042	2	88	 	 	 	 
10042	3	88	 	 	 	 
10043	1	41	 	 	1	2
10043	2	88	 	 	 	 
10043	3	88	 	 	 	 
10044	1	88	 	 	 	 
10044	2	88	 	 	 	 
10044	3	88	 	 	 	 
10045	1	88	 	 	 	 
10045	2	88	 	 	 	 
10045	3	88	 	 	 	 
10046	1	88	 	 	 	 
10046	2	88	 	 	 	 
10046	3	88	 	 	 	 
10047	1	38	 	3	3	3
10047	2	88	 	 	 	 
10047	3	88	 	 	 	 
10048	1	88	 	 	 	 
10048	2	88	 	 	 	 
10048	3	88	 	 	 	 
10049	1	37	 	 	1	 
10049	2	25	1	 	 	1
10049	3	42	1	1	1	1
10050	1	88	 	 	 	 
10050	2	88	 	 	 	 
10050	3	88	 	 	 	 
10051	1	38	 	 	 	1
10051	2	88	 	 	 	 
10051	3	88	 	 	 	 
10052	1	88	 	 	 	 
10052	2	88	 	 	 	 
10052	3	88	 	 	 	 
10053	1	88	 	 	 	 
10053	2	88	 	 	 	 
10053	3	88	 	 	 	 
10054	1	 	 	 	 	 
10054	2	 	 	 	 	 
10054	3	 	 	 	 	 
10055	1	88	 	 	 	 
10055	2	88	 	 	 	 
10055	3	88	 	 	 	 
10056	1	34	 	 	 	3
10056	2	88	 	 	 	 
10056	3	88	 	 	 	 
10057	1	38	2	2	2	2
10057	2	42	1	1	1	1
10057	3	28	1	1	1	1
10058	1	39	 	 	 	2
10058	2	42	1	1	1	1
10058	3	88	 	 	 	 
10059	1	42	1	1	1	1
10059	2	88	 	 	 	 
10059	3	88	 	 	 	 
10060	1	88	 	 	 	 
10060	2	88	 	 	 	 
10060	3	88	 	 	 	 
10061	1	88	 	 	 	 
10061	2	88	 	 	 	 
10061	3	88	 	 	 	 
10062	1	88	 	 	 	 
10062	2	88	 	 	 	 
10062	3	88	 	 	 	 
10063	1	88	 	 	 	 
10063	2	88	 	 	 	 
10063	3	88	 	 	 	 
10064	1	37	 	 	2	2
10064	2	29	 	 	 	2
10064	3	25	 	 	 	2
10065	1	88	 	 	 	 
10065	2	88	 	 	 	 
10065	3	88	 	 	 	 
10067	1	14	1	 	 	 
10067	2	88	 	 	 	 
10067	3	88	 	 	 	 
10068	1	88	 	 	 	 
10068	2	88	 	 	 	 
10068	3	88	 	 	 	 
10069	1	42	2	2	2	2
10069	2	1	2	2	 	 
10069	3	88	 	 	 	 
10070	1	14	 	 	 	2
10070	2	88	 	 	 	 
10070	3	88	 	 	 	 
10071	1	88	 	 	 	 
10071	2	88	 	 	 	 
10071	3	88	 	 	 	 
10072	1	29	 	 	2	 
10072	2	88	 	 	 	 
10072	3	88	 	 	 	 
10073	1	1	 	 	1	 
10073	2	88	 	 	 	 
10073	3	88	 	 	 	 
10074	1	88	 	 	 	 
10074	2	88	 	 	 	 
10074	3	88	 	 	 	 
10075	1	88	 	 	 	 
10075	2	88	 	 	 	 
10075	3	88	 	 	 	 
10076	1	88	 	 	 	 
10076	2	88	 	 	 	 
10076	3	88	 	 	 	 
10077	1	88	 	 	 	 
10077	2	88	 	 	 	 
10077	3	88	 	 	 	 
10078	1	42	3	3	3	4
10078	2	14	 	 	 	2
