CHILDID	PLANID	PLAN
IN030013	1	8
IN030013	2	10
IN030014	1	2
IN030014	2	1
IN030015	1	1
IN030016	1	3
IN030017	1	5
IN030017	2	8
IN030018	1	2
IN030018	2	1
IN030019	1	2
IN030019	2	1
IN030020	1	2
IN030020	2	1
IN030021	1	3
IN030021	2	8
IN030022	1	2
IN030023	1	2
IN030024	1	2
IN030024	2	10
IN030025	1	8
IN030025	2	5
IN030026	1	8
IN030026	2	10
IN030028	1	8
IN030028	2	10
IN030029	1	2
IN030029	2	1
IN030030	1	8
IN030030	2	2
IN030031	1	8
IN030031	2	1
IN030032	1	2
IN030032	2	1
IN030033	1	8
IN030033	2	2
IN030034	1	2
IN030035	1	8
IN030036	1	2
IN030037	1	5
IN030038	1	8
IN030038	2	10
IN030039	1	8
IN030039	2	10
IN030040	1	10
IN030040	2	10
IN030041	1	8
IN030041	2	10
IN030042	1	8
IN030042	2	10
IN030043	1	8
IN030043	2	10
IN030044	1	8
IN030044	2	10
IN030045	1	8
IN030045	2	10
IN030046	1	8
IN030046	2	10
IN030047	1	8
IN030048	1	3
IN030048	2	8
IN030049	1	3
IN030050	1	3
IN030051	1	8
IN030052	1	2
IN030053	1	3
IN030054	1	5
IN030054	2	3
IN030055	1	3
IN030055	2	2
IN030056	1	2
IN030056	2	1
IN030057	1	3
IN030057	2	5
IN030058	1	3
IN030058	2	2
IN030059	1	5
IN030059	2	2
IN030060	1	8
IN030060	2	1
IN030061	1	8
IN030061	2	10
IN030062	1	8
IN030062	2	10
IN030063	1	8
IN030063	2	10
IN030064	1	8
IN030064	2	10
IN030065	1	8
IN030065	2	10
IN030066	1	8
IN030066	2	10
IN030067	1	8
IN030067	2	10
IN030068	1	8
IN030068	2	10
IN030069	1	8
IN030069	2	10
IN030070	1	8
IN030070	2	1
IN030071	1	8
IN030071	2	1
IN030072	1	8
IN030072	2	3
IN030073	1	5
IN030073	2	2
IN030074	1	8
IN030074	2	1
IN030075	1	8
IN030075	2	2
IN030076	1	2
IN030076	2	1
IN030077	1	8
IN030077	2	4
IN030078	1	2
IN030078	2	1
IN030079	1	8
IN030079	2	1
IN030080	1	8
IN030080	2	3
IN030081	1	2
IN030081	2	3
IN030082	1	3
IN030083	1	8
IN030084	1	2
IN030085	1	2
IN030085	2	3
IN030086	1	10
IN030087	1	2
IN030088	1	8
IN030089	1	2
IN030090	1	10
IN030091	1	8
IN030091	2	2
IN030092	1	5
IN030092	2	2
IN030093	1	8
IN030093	2	2
IN030094	1	8
IN030094	2	10
IN030095	1	8
IN030095	2	10
IN030096	1	8
IN030096	2	10
IN030097	1	8
IN030097	2	10
IN030098	1	2
IN030099	1	10
IN030100	1	10
IN040001	1	8
IN040001	2	10
IN040002	1	8
IN040002	2	1
IN040003	1	7
IN040003	2	8
IN040004	1	8
IN040004	2	10
IN040005	1	7
IN040005	2	8
IN040006	1	8
IN040006	2	10
IN040007	1	8
IN040007	2	9
IN040008	1	8
IN040008	2	9
IN040009	1	8
IN040009	2	10
IN040010	1	8
IN040010	2	1
IN040011	1	3
IN040011	2	8
IN040012	1	8
IN040012	2	9
IN040013	1	10
IN040013	2	3
IN040014	1	8
IN040014	2	3
IN040015	1	10
IN040015	2	2
IN040016	1	10
IN040016	2	8
IN040017	1	1
IN040018	1	1
IN040019	1	3
IN040019	2	8
IN040020	1	3
IN040020	2	8
IN040021	1	3
IN040021	2	8
IN040022	1	8
IN040022	2	3
IN040023	1	8
IN040023	2	1
IN040024	1	7
IN040024	2	1
IN040025	1	8
IN040025	2	3
IN040026	1	8
IN040026	2	3
IN040027	1	8
IN040027	2	1
IN040028	1	10
IN040028	2	2
IN040029	1	8
IN040029	2	3
IN040030	1	8
IN040030	2	10
IN040031	1	4
IN040031	2	8
IN040032	1	10
IN040032	2	1
IN040033	1	7
IN040033	2	10
IN040034	1	3
IN040034	2	8
IN040035	1	3
IN040035	2	8
IN040036	1	3
IN040036	2	8
IN040037	1	3
IN040037	2	8
IN040038	1	8
IN040039	1	8
IN040039	2	7
IN040040	1	3
IN040040	2	8
IN040041	1	8
IN040041	2	10
IN040042	1	8
IN040042	2	1
IN040043	1	8
IN040043	2	1
IN040044	1	8
IN040044	2	1
IN040045	1	3
IN040045	2	8
IN040046	1	3
IN040046	2	8
IN040047	1	10
IN040047	2	8
IN040048	1	8
IN040048	2	3
IN040049	1	8
IN040049	2	10
IN040050	1	1
IN040051	1	3
IN040051	2	8
IN040052	1	8
IN040052	2	7
IN040053	1	10
IN040053	2	8
IN040054	1	8
IN040054	2	3
IN040055	1	2
IN040055	2	10
IN040056	1	3
IN040056	2	8
IN040057	1	5
IN040057	2	8
IN040058	1	8
IN040058	2	1
IN040059	1	8
IN040059	2	10
IN040060	1	3
IN040060	2	8
IN040061	1	8
IN040061	2	10
IN040062	1	5
IN040062	2	8
IN040063	1	5
IN040063	2	6
IN040064	1	8
IN040064	2	1
IN040065	1	3
IN040065	2	8
IN040066	1	2
IN040066	2	7
IN040067	1	8
IN040067	2	3
IN040068	1	4
IN040068	2	8
IN040069	1	8
IN040069	2	3
IN040070	1	3
IN040070	2	8
IN040071	1	3
IN040071	2	10
IN040072	1	3
IN040072	2	8
IN040073	1	8
IN040073	2	10
IN040074	1	8
IN040074	2	10
IN040075	1	8
IN040075	2	10
IN040076	1	3
IN040076	2	8
IN040077	1	5
IN040077	2	8
IN040078	1	4
IN040078	2	6
IN040079	1	5
IN040079	2	10
IN040080	1	4
IN040080	2	2
IN040081	1	8
IN040081	2	10
