CHILDID	CAID	WHO	TIMECARE	PAYCARE
IN010008	1	1	2	2
IN010026	1	1	1	2
IN010027	1	1	1	2
IN010030	1	1	1	2
IN010031	1	1	1	2
IN010041	1	1	2	2
IN010042	1	1	2	2
IN010048	1	1	1	2
IN010049	1	2	1	2
IN010059	1	1	1	2
IN010094	1	1	2	1
IN020004	1	1	1	2
IN020005	1	1	4	2
IN020010	1	1	1	2
IN020012	1	1	1	2
IN020016	1	1	1	2
IN020021	1	1	2	2
IN020023	1	1	1	2
IN020025	1	1	1	2
IN020026	1	3	2	2
IN020029	1	1	1	2
IN020030	1	1	1	2
IN020035	1	1	3	2
IN020036	1	1	1	2
IN020037	1	1	1	2
IN020038	1	1	1	2
IN020039	1	2	1	2
IN020041	1	1	3	2
IN020041	2	3	3	2
IN020046	1	1	2	2
IN020049	1	1	3	2
IN020055	1	1	2	2
IN020060	1	1	1	2
IN020063	1	1	1	2
IN020064	1	1	1	2
IN020066	1	1	1	2
IN020067	1	1	1	2
IN020068	1	1	1	2
IN020070	1	1	1	2
IN020072	1	1	1	2
IN020077	1	2	1	2
IN020083	1	1	1	2
IN020084	1	2	1	2
IN020087	1	2	1	2
IN020094	1	1	3	2
IN030032	1	1	4	2
IN030033	1	1	4	2
IN040015	1	1	2	2
IN040016	1	1	2	2
IN040031	1	1	2	2
IN040033	1	1	3	2
IN040038	1	3	1	2
IN040045	1	3	1	2
IN040050	1	1	1	2
IN040070	1	2	1	2
IN040087	1	2	1	2
IN040090	1	1	2	2
IN040093	1	2	3	2
IN050009	1	1	1	2
IN050014	1	1	1	2
IN050022	1	1	4	2
IN050023	1	2	1	2
IN050029	1	1	4	1
IN050058	1	1	1	2
IN060002	1	1	4	2
IN060050	1	2	1	2
IN060050	2	2	1	2
IN060058	1	2	2	2
IN060068	1	2	4	2
IN080005	1	3	1	2
IN080005	2	1	1	2
IN100003	1	3	1	1
IN100005	1	3	1	1
IN110002	1	2	1	1
IN110006	1	2	2	2
IN110015	1	2	2	2
IN110036	1	1	3	2
IN110071	1	2	1	2
IN110084	1	1	4	2
IN110096	1	1	1	2
IN110097	1	2	1	2
IN110098	1	1	1	2
IN120008	1	2	1	2
IN120028	2	1	2	2
IN120041	1	1	1	2
IN120043	1	1	1	2
IN120080	1	1	4	2
IN130010	2	1	1	2
IN130033	1	1	4	2
IN130041	1	1	4	2
IN130091	1	2	1	2
IN150005	1	2	1	2
IN150023	1	1	1	2
IN150030	1	1	4	2
IN150097	1	1	4	2
IN160043	1	1	1	2
IN160049	1	1	2	2
IN170012	1	1	2	2
IN170031	1	1	2	2
IN170032	1	1	4	2
IN170048	1	1	2	2
IN170049	1	1	3	2
IN170050	1	1	3	2
IN170051	1	1	3	2
IN170052	1	1	2	2
IN170053	1	2	2	2
IN170053	2	1	2	2
IN170054	1	1	3	2
IN170075	1	2	4	2
IN170079	1	1	4	2
IN170081	1	1	1	2
IN170099	1	1	1	2
IN180020	1	2	1	2
IN180022	1	1	4	2
IN180023	1	1	1	2
IN180044	1	1	2	2
IN180044	2	2	3	2
IN180044	3	1	3	2
IN180059	1	1	2	2
IN190052	1	1	1	1
IN190080	1	2	2	2
IN200011	1	1	1	2
IN200018	1	1	1	2
IN200022	1	2	1	2
IN200043	1	2	1	1
IN200048	1	2	1	2
IN200064	1	1	2	2
IN200095	1	1	2	2
