CHILDID	REMID	REMREL	REMQNT	REMTYPE
IN010001	1	1	4	2
IN010001	2	2	2	2
IN010004	1	3	5	2
IN010006	1	3	9	3
IN010008	1	3	4	3
IN010012	1	3	8	3
IN010026	1	3	2	2
IN010027	1	3	2	2
IN010028	1	1	2	2
IN010028	2	3	2	2
IN010028	3	4	1	2
IN010031	1	3	2	2
IN010035	1	3	2	2
IN010037	1	1	2	2
IN010038	1	2	2	2
IN010041	1	3	2	2
IN010042	1	3	5	3
IN010047	1	3	5	2
IN010048	1	2	5	2
IN010052	1	2	5	2
IN010077	1	3	7	3
IN010089	1	3	8	3
IN010090	1	3	5	3
IN010091	1	3	5	2
IN010093	1	2	4	2
IN010093	2	3	4	2
IN010094	1	3	5	3
IN010095	1	3	6	3
IN010096	1	3	7	2
IN010099	1	3	4	2
IN010100	1	3	4	2
IN020005	1	2	1	2
IN020009	1	2	2	1
IN020016	1	2	3	2
IN020019	1	1	2	1
IN020019	2	4	4	1
IN020023	1	2	1	2
IN020026	1	1	1	1
IN020031	1	3	2	1
IN020033	1	1	2	1
IN020034	1	3	2	2
IN020045	1	2	3	2
IN020045	2	3	1	2
IN020045	3	1	1	2
IN020055	1	3	3	1
IN020055	2	2	2	2
IN020055	3	2	2	2
IN020056	1	3	2	2
IN020060	1	3	2	2
IN020060	2	2	2	2
IN020063	1	2	5	2
IN020063	2	2	4	1
IN020065	1	3	3	2
IN020068	1	3	4	2
IN020069	1	3	3	1
IN020073	1	2	2	3
IN020076	1	3	3	1
IN020077	1	3	4	2
IN020080	1	3	3	1
IN020081	1	3	5	3
IN020083	1	3	8	2
IN020084	1	3	4	2
IN020087	1	2	3	2
IN020098	1	2	1	2
IN030027	1	99	1	2
IN030027	2	99	1	2
IN030035	1	1	3	1
IN030049	1	1	4	3
IN030052	1	3	3	3
IN030053	1	1	3	3
IN030081	1	1	5	3
IN030082	1	1	1	1
IN030084	1	1	4	1
IN030085	1	1	3	1
IN030086	1	1	3	1
