childid	id	age	sex	relate	still	yrschool	disabled	care	support	grading
IN010001	1	27	1	1	2	23	2	1	1	5
IN010001	2	19	2	1	2	25	2	1	2	10
IN010002	1	41	1	1	2	25	2	1	1	15
IN010002	2	32	2	1	2	25	2	1	2	15
IN010003	1	70	2	3	2	0	2	1	2	0
IN010003	2	30	1	1	2	23	2	1	1	5
IN010003	3	22	2	1	2	24	2	1	2	7
IN010004	1	35	1	1	2	25	2	1	1	15
IN010004	2	27	2	1	2	25	2	1	2	10
IN010004	3	6	2	5	1	23	2	2	2	2
IN010004	4	5	2	5	 	 	2	 	 	0
IN010005	1	72	1	3	2	25	2	2	2	12
IN010005	2	62	2	3	2	0	2	1	2	0
IN010005	3	38	1	1	2	25	2	1	1	15
IN010005	4	27	2	1	2	25	2	1	2	10
IN010006	1	75	2	3	2	0	2	2	2	0
IN010006	2	41	1	4	2	25	2	2	1	15
IN010006	3	39	2	4	2	25	2	1	1	15
IN010006	4	32	1	1	2	25	2	1	1	15
IN010006	5	25	2	1	2	25	2	1	2	15
IN010006	6	14	1	5	1	25	2	2	2	9
IN010006	7	11	1	5	1	24	2	2	2	6
IN010007	1	26	1	1	2	25	2	1	1	10
IN010007	2	22	2	1	2	25	2	1	2	9
IN010007	28	3	1	5	 	 	2	 	 	 
IN010008	1	30	1	1	2	25	2	1	1	12
IN010008	2	26	2	1	2	23	2	1	2	5
IN010009	1	56	1	3	2	0	2	1	1	0
IN010009	2	45	2	2	2	0	2	1	1	0
IN010009	3	23	1	1	2	0	2	1	2	0
IN010009	4	20	2	1	2	23	2	1	1	5
IN010009	28	3	1	5	 	 	2	 	 	 
IN010010	1	20	1	1	2	25	2	1	1	10
IN010010	2	24	2	1	2	23	2	1	2	5
IN010010	3	6	1	5	1	23	2	2	2	2
IN010011	1	35	1	1	2	0	2	2	1	0
IN010011	2	25	2	1	2	0	2	1	2	0
IN010011	3	7	2	5	1	23	2	2	2	1
IN010012	1	26	1	1	2	25	2	1	1	10
IN010012	2	20	2	1	2	24	2	1	2	7
IN010013	1	25	1	1	2	25	2	1	1	10
IN010013	2	21	2	1	2	24	2	1	2	7
IN010014	1	65	2	3	2	0	1	2	2	0
IN010014	2	29	1	1	2	25	2	1	1	15
IN010014	3	22	2	1	2	24	2	1	2	7
IN010015	1	35	1	1	2	25	2	1	1	15
IN010015	2	30	2	1	2	25	2	1	2	10
IN010015	3	7	2	5	2	23	2	2	2	2
IN010016	1	60	2	3	2	0	2	2	2	0
IN010016	2	26	1	1	2	0	2	1	1	0
IN010016	3	22	2	1	2	25	2	1	1	10
IN010017	1	35	1	1	2	24	2	1	1	7
IN010017	2	26	2	1	2	24	2	1	2	7
IN010018	1	26	1	1	2	0	2	1	1	0
IN010018	2	21	2	1	2	25	2	1	2	10
IN010019	1	55	2	3	2	0	2	2	2	0
IN010019	2	35	1	1	2	25	2	1	1	10
IN010019	3	28	2	1	2	25	2	1	2	15
IN010020	1	72	1	3	2	0	2	2	2	0
IN010020	2	58	2	3	2	0	2	1	1	0
IN010020	3	30	1	1	2	25	2	1	2	10
IN010020	4	21	2	1	2	25	2	2	2	10
IN010020	5	9	2	5	1	23	2	2	2	3
IN010021	1	24	1	1	2	0	2	1	1	0
IN010021	2	20	2	1	2	0	2	1	2	0
IN010022	1	29	1	1	2	25	2	1	1	15
IN010022	2	25	2	1	2	25	2	1	2	15
IN010023	1	50	2	3	2	0	2	2	2	0
IN010023	2	25	1	1	2	25	2	1	1	15
IN010023	3	24	2	1	2	25	2	1	2	15
IN010024	1	24	2	1	2	25	2	1	1	10
IN010025	1	67	2	3	2	23	2	2	2	5
IN010025	2	42	1	1	2	25	2	2	1	10
IN010025	3	38	2	4	2	25	2	1	2	8
IN010025	4	35	2	1	2	25	2	1	2	10
IN010025	5	19	1	4	2	25	2	2	2	10
IN010025	6	20	2	4	2	25	2	2	2	15
IN010026	1	52	2	3	2	0	2	2	2	0
IN010026	2	27	1	1	2	25	2	2	1	15
IN010026	3	23	1	4	2	25	2	2	2	10
IN010026	4	20	2	1	2	25	2	1	2	12
IN010027	1	29	1	1	2	25	2	2	1	15
IN010027	2	24	2	1	2	25	2	1	2	10
IN010027	3	5	2	5	1	22	2	2	2	0
IN010028	1	63	1	3	2	25	2	2	2	12
IN010028	2	61	2	3	2	25	2	2	2	9
IN010028	3	33	1	1	2	25	2	2	1	12
IN010028	4	31	2	1	2	25	2	1	2	10
IN010028	5	6	2	5	1	23	2	2	2	1
IN010028	28	4	2	5	 	 	2	 	 	 
IN010029	1	29	1	1	2	24	2	1	1	7
IN010029	2	25	2	1	2	24	2	1	2	7
IN010030	1	50	2	3	2	0	2	2	2	0
IN010030	2	27	1	1	2	0	2	2	1	0
IN010030	3	26	2	1	2	23	2	1	2	5
IN010031	1	32	1	1	2	25	2	2	1	12
IN010031	2	25	2	1	2	25	2	1	2	10
IN010032	1	30	1	1	2	25	2	2	1	15
IN010032	2	23	2	1	2	25	2	1	2	15
IN010032	3	5	1	5	1	22	2	2	2	0
IN010033	1	50	2	3	2	0	2	2	2	0
IN010033	2	28	1	1	2	23	2	2	1	5
IN010033	3	22	2	1	2	0	2	1	2	0
IN010033	4	20	1	4	2	24	2	2	2	7
IN010033	28	3	1	5	 	 	2	 	 	 
IN010034	1	40	1	3	2	23	2	2	2	5
IN010034	2	35	2	3	2	25	2	2	2	10
IN010034	3	25	1	1	2	25	2	2	1	15
IN010034	4	20	2	1	2	25	2	1	2	15
IN010034	5	14	1	4	1	25	2	2	2	10
IN010034	6	13	2	4	1	25	2	2	2	8
IN010035	1	23	1	1	2	23	2	2	1	5
IN010035	2	18	2	1	2	24	2	1	2	7
IN010036	1	90	2	7	2	0	1	2	2	0
IN010036	2	45	2	3	2	0	2	2	2	0
IN010036	3	25	1	1	2	24	2	2	1	7
IN010036	4	20	2	1	2	24	2	1	2	7
IN010037	1	27	1	1	2	0	2	1	1	0
IN010037	2	23	2	1	2	23	2	1	2	5
IN010037	28	4	1	5	 	 	2	 	 	 
IN010038	1	65	1	3	2	0	2	2	1	0
