CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN020014	2	1	1	6	3	1
IN020015	1	1	2	4	3	1
IN020015	2	1	2	12	3	1
IN020015	3	3	1	7	2	1
IN020015	4	4	1	5	2	1
IN020016	1	3	2	5	2	1
IN020016	2	3	1	4	3	1
IN020017	1	1	1	4	3	1
IN020017	2	2	2	12	3	1
IN020017	3	2	2	1	1	2
IN020017	4	4	2	5	3	1
IN020017	5	4	2	2	3	2
IN020018	1	2	1	10	2	1
IN020018	2	3	1	9	2	1
IN020018	3	4	1	8	2	1
IN020018	4	5	1	5	2	1
IN020019	1	1	1	10	3	1
IN020019	2	2	1	10	3	1
IN020020	1	1	1	4	1	1
IN020020	2	1	2	2	2	2
IN020020	3	1	2	6	2	2
IN020021	1	1	2	12	2	45
IN020022	1	1	2	8	2	45
IN020022	2	2	2	9	2	1
IN020022	3	3	1	3	1	80
IN020023	1	1	1	12	1	80
IN020023	2	2	1	8	1	80
IN020024	1	1	2	12	3	1
IN020025	1	1	2	12	2	1
IN020025	2	2	1	3	3	1
IN020026	1	1	1	4	2	1
IN020026	2	1	2	8	3	2
IN020027	1	1	1	6	2	1
IN020028	1	1	1	9	1	1
IN020028	2	2	1	5	3	1
IN020028	3	3	1	10	2	1
IN020028	4	5	2	11	1	1
IN020029	1	1	1	12	3	1
IN020030	1	1	1	12	2	1
IN020030	2	2	1	2	3	1
IN020031	1	1	1	7	3	1
IN020031	2	2	1	8	2	1
IN020031	3	3	1	5	2	1
IN020032	1	1	1	4	2	1
IN020032	2	1	2	10	2	19
IN020033	1	1	2	7	2	1
IN020033	2	2	1	7	2	1
IN020034	1	1	2	12	2	20
IN020035	1	1	2	12	2	1
IN020036	1	1	2	12	1	17
IN020037	1	1	1	12	1	1
IN020038	1	1	2	12	1	20
IN020039	1	2	1	12	1	60
IN020040	1	1	1	10	2	1
IN020040	2	2	1	4	2	1
IN020041	1	1	1	12	2	1
IN020041	2	2	1	2	2	1
IN020042	1	1	1	9	2	1
