PLACEID	LCPRIDR4	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102
5	17	10	19	3	-88	16	3
5	18	5	19	3	-88	16	3
5	19	7	19	3	-88	16	3
5	20	4.5	19	1	-88	16	1
5	21	-77	16	5	-88	16	5
5	22	7.40000009536743	19	4	-88	16	4
5	23	-77	16	1	-88	16	1
5	24	24	1	3	-88	16	3
5	25	7	19	6	-88	16	6
5	26	10	19	4	-88	16	4
5	27	8	19	3	-88	16	3
5	28	-77	16	5	-88	16	5
5	29	-77	16	6	-88	88	6
5	30	10	17	4	-88	16	4
5	31	-77	16	5	-88	16	5
5	32	130	19	3	-88	16	3
5	33	2	19	3	2	1	3
5	34	-77	16	6	-88	88	6
5	35	-77	16	4	-88	88	4
5	36	-77	16	2	-88	88	2
5	37	-77	16	6	-88	88	6
5	38	6	19	3	-88	16	3
5	39	8	19	3	-88	16	3
5	40	100	6	3	-88	16	3
5	41	-77	16	1	-88	16	1
5	42	-77	16	2	-88	88	2
5	43	-77	16	3	-88	88	3
5	44	-88	88	4	-88	88	4
5	45	120	19	6	-88	16	6
5	46	48	19	1	-88	16	1
5	47	10	17	5	-88	16	5
5	48	80	19	3	80	1	3
5	49	-88	16	4	-88	88	4
5	50	24	1	6	-88	88	6
5	51	6	1	2	5	19	2
5	52	25	19	3	25	19	3
5	53	10	1	1	9	19	1
5	54	35	19	2	-88	88	2
5	55	-88	88	3	-88	88	3
5	56	2	1	1	-88	88	1
5	57	-77	16	4	-88	88	4
5	58	10	1	5	8	19	5
5	59	8	19	5	-88	88	5
5	60	10	19	2	-88	88	2
5	61	20	1	3	18	19	3
5	62	10	19	5	-88	88	5
5	63	20	19	3	-88	88	3
5	64	-77	16	4	-88	88	4
5	65	10	19	4	-88	16	4
5	66	10	19	3	-88	16	3
5	67	-88	16	4	-88	88	5
5	68	-77	16	4	-88	16	4
5	69	-77	16	5	-88	88	5
5	70	-88	88	6	-88	88	6
5	71	80	19	3	-88	88	3
6	0	-88	16	36	88	16	36
6	1	6.5	1	4	6	1	9
6	2	150	17	20	130	17	19
6	3	100	19	22	85	19	23
6	4	100	19	22	120	19	23
6	5	150	19	22	135	19	23
6	6	100	19	22	11	19	23
6	7	6	9	25	3	10	24
6	8	.200000002980232	9	25	.100000001490116	10	24
6	9	1.5	9	25	.75	10	24
6	10	1	9	25	.5	10	24
6	11	11.5	1	4	12	1	9
6	12	45	1	4	45	1	9
6	13	18	19	21	18	19	9
6	14	16.2700004577637	2	5	-88	16	36
6	15	13.1099996566772	2	5	-88	16	36
6	16	14	19	14	13.5	1	4
6	17	13	19	14	12.5	1	4
6	18	8	19	26	8	19	27
6	19	6	19	14	6.5	1	4
6	20	6	19	26	6	19	27
6	21	9	19	26	9	19	27
6	22	7.5	19	26	7	19	27
6	23	18	17	28	20	17	29
6	24	14	19	15	15	2	4
6	25	7.5	1	4	8	19	26
6	26	9	19	27	9.5	19	26
6	27	7.5	19	14	7	1	4
6	28	-88	16	36	-88	16	36
6	29	-88	16	36	-88	16	36
6	30	8.5	17	30	9	17	31
6	31	14	17	30	16	17	31
6	32	125	17	30	135	17	31
6	33	2	19	15	2	19	16
6	34	28	19	26	26	19	27
6	35	-88	16	36	-88	16	36
6	36	-88	16	36	-88	16	36
6	37	19	19	26	17	19	27
6	38	15	19	26	15	19	27
6	39	15	19	26	16.5	16	27
6	40	120	6	10	110	6	11
6	41	170	6	32	150	6	33
6	42	90	6	32	80	6	33
6	43	160	6	32	200	6	33
6	44	-88	16	36	-88	16	36
6	45	180	17	34	200	17	35
6	46	45	1	4	40	19	12
6	47	11	1	10	10	1	11
6	48	75	1	4	80	1	9
6	49	5	19	12	6	19	13
6	50	15	1	4	15	1	9
6	51	5	1	4	5	1	9
6	52	30	1	5	36	2	9
6	53	20	19	16	19	19	17
6	54	35	19	28	35	19	29
6	55	-88	16	36	-88	16	36
6	56	1.25	1	9	1.5	1	4
6	57	35	19	16	32	1	18
6	58	6	19	16	5.5	19	17
6	59	6	19	16	5	19	17
6	60	10	19	16	8	19	17
6	61	10	17	28	9	17	29
6	62	7	19	17	8	19	16
6	63	22	19	18	22	19	16
6	64	22	19	16	20	19	18
6	65	17	17	28	18	17	29
6	66	7	1	9	6	19	17
6	67	9	19	16	9.5	19	17
6	68	25	17	30	30	17	31
6	69	35	17	29	40	17	28
6	70	-88	16	36	-88	16	36
6	71	80	17	28	90	17	29
7	0	15	15	4	15	15	1
7	1	5.5	1	8	5	1	7
7	2	75	1	8	80	1	7
7	3	40	1	8	45	1	7
7	4	35	1	7	45	1	8
7	5	70	1	8	60	1	7
7	6	100	1	8	120	1	7
7	7	30	17	2	50	9	6
7	8	10	10	5	8	17	3
7	9	18	9	2	18	9	5
7	10	3.5	1	7	3	10	2
7	11	14	1	8	14	1	7
7	12	50	1	7	55	3	4
7	13	13	19	8	13	19	7
7	14	16.7999992370605	12	1	16.7999992370605	13	5
7	15	7.75	13	6	7.75	12	1
7	16	12	19	7	12.1999998092651	19	8
7	17	9	19	7	9.5	19	8
7	18	7	19	7	7.19999980926514	19	8
7	19	7.5	19	8	8	19	7
7	20	5	19	7	5.09999990463257	1	8
7	21	5	19	7	5	1	8
7	22	5	1	8	5	19	7
7	23	15	1	7	15.1999998092651	1	8
7	24	25	1	7	25	1	8
7	25	7	1	7	7	19	8
7	26	12	1	7	12	19	8
7	27	12	1	7	12	19	8
7	28	17	19	7	17	19	8
7	29	-88	88	7	-88	88	8
7	30	15	1	8	15	1	7
7	31	20	1	8	20	19	7
7	32	90	1	6	80	19	8
7	33	2.25	1	8	2	19	5
7	34	15	4	6	14	19	3
7	35	25	4	7	24	1	8
7	36	-77	16	7	-77	16	8
7	37	14	3	5	13	19	7
7	38	11	3	8	9	19	5
7	39	16	4	6	14	19	7
7	40	80	6	6	100	17	5
7	41	90	6	6	100	17	7
7	42	60	3	2	45	19	5
7	43	90	6	7	100	17	1
7	44	-88	88	8	-77	88	7
7	45	70	19	6	80	3	7
7	46	40	19	5	50	1	7
7	47	15	1	7	12	14	5
7	48	60	1	8	55	19	5
7	49	-88	88	8	-77	88	7
7	50	22	1	7	20	19	3
7	51	5	1	8	4.5	19	1
7	52	30	1	7	28	1	8
7	53	10	3	2	8	19	5
7	54	50	1	8	40	19	1
7	55	-88	88	8	-77	88	8
7	56	3	1	7	3	1	8
7	57	10	3	5	8	19	8
7	58	9	3	6	7	19	1
7	59	6	3	5	5	19	7
7	60	10	3	6	8	19	8
7	61	12	1	8	10	19	3
7	62	5	3	2	4	19	4
7	63	25	3	6	20	19	8
7	64	-77	16	6	-77	16	5
7	65	20	3	7	18	19	8
7	66	8	3	5	7	19	7
7	67	-88	88	6	-77	88	5
7	68	30	1	8	25	19	4
7	69	35	1	8	40	19	5
7	70	-88	88	8	-77	88	8
7	71	70	4	6	60	19	8
8	0	22	1	5	22	1	6
8	1	5	1	6	5	1	7
8	2	30	1	5	25	1	6
8	3	40	1	7	40	1	8
8	4	25	1	7	30	1	8
8	5	120	1	7	100	1	8
8	6	60	19	7	55	19	8
8	7	4	9	11	-88	9	11
8	8	1	9	11	-88	9	11
8	9	5	9	11	-88	9	11
8	10	2	9	11	-88	9	11
8	11	15	1	5	15	1	6
8	12	10	1	5	10	1	6
8	13	21	19	9	21	19	10
8	14	14.2399997711182	16	2	14.2399997711182	16	1
8	15	12	16	2	12	16	1
8	16	1600	1	5	1600	1	6
8	17	1500	1	5	1500	1	6
8	18	9	19	9	-77	19	10
8	19	-88	1	5	-88	19	10
8	20	6	1	5	6	1	6
8	21	-88	1	5	-88	1	6
8	22	-88	1	5	-88	1	6
8	23	-77	1	5	-77	1	6
8	24	23	1	5	23	1	6
8	25	12	1	5	12	1	6
8	26	11	1	5	-77	1	6
8	27	11	1	5	10	1	6
8	28	-77	1	5	-77	1	6
8	29	-88	1	5	-88	1	6
8	30	10	1	5	12	1	6
8	31	45	1	5	40	1	6
8	32	100	19	9	120	19	10
8	33	2	1	5	2	1	6
8	34	-88	1	5	-88	1	6
8	35	-88	1	5	-88	1	6
8	36	-88	1	5	-88	1	6
8	37	-88	1	5	-88	1	6
8	38	-88	1	5	-88	1	6
8	39	-88	1	5	-88	1	6
8	40	-88	1	5	-88	1	6
8	41	-88	1	5	-88	1	6
8	42	60	19	9	70	19	10
8	43	-88	1	5	-88	1	6
8	44	-88	1	5	-88	1	6
8	45	-77	1	5	30	19	9
8	46	30	1	5	-77	1	6
8	47	8	1	5	8	1	6
8	48	40	1	5	40	1	6
8	49	-88	1	5	-88	1	6
8	50	24	1	5	24	1	6
8	51	5	1	5	5	1	6
8	52	40	1	5	40	1	6
8	53	20	1	5	-77	1	6
8	54	50	1	5	50	1	6
8	55	-88	1	5	-88	88	6
8	56	1	1	5	1	1	6
8	57	8	19	9	5	19	10
8	58	5	19	9	5	19	10
8	59	6	19	9	4	19	10
8	60	-88	19	9	-88	19	10
8	61	-77	1	9	-77	19	10
8	62	-88	19	9	-88	19	10
8	63	30	19	9	25	19	10
8	64	-88	19	9	-88	19	10
8	65	-88	19	9	-88	19	10
8	66	10	1	5	10	1	6
8	67	-88	19	9	-88	19	10
8	68	-88	1	5	-88	1	6
8	69	-88	19	8	-88	19	9
8	70	-88	1	5	-88	1	6
8	71	-88	1	5	-88	1	6
9	0	15	1	11	15	19	7
9	1	7	1	7	7	19	11
9	2	200	1	7	180	19	11
9	3	80	1	11	70	19	7
9	4	50	1	11	45	19	7
9	5	110	1	7	90	19	11
9	6	45	1	7	35	19	11
9	7	6	9	8	6	9	9
9	8	.150000005960464	9	8	.150000005960464	9	9
9	9	.699999988079071	9	8	.699999988079071	9	9
9	10	1.60000002384186	9	8	1.60000002384186	9	9
9	11	11	1	7	11	19	11
9	12	22	1	7	22	19	11
9	13	24	1	7	24	19	11
9	14	17.3999996185303	12	5	18	19	2
9	15	14.6999998092651	12	2	15	19	5
9	16	16	1	12	13	19	13
9	17	12	1	12	11.8000001907349	19	13
9	18	8	1	12	7.80000019073486	19	13
9	19	6.5	1	13	7	19	12
9	20	6	1	12	5.5	19	13
9	21	4.5	1	12	4.5	19	13
9	22	4.5	1	13	4.5	19	12
9	23	20	1	13	19.5	19	12
9	24	24	1	12	24	19	13
9	25	6	1	12	6	19	13
9	26	14	1	13	13.6000003814697	19	12
9	27	4.5	1	13	4.5	19	12
9	28	5	1	12	5	19	13
9	29	-88	88	13	-88	88	13
9	30	10	1	10	10	19	10
9	31	24	1	10	24	19	10
9	32	145	1	10	145	19	10
9	33	2.5	1	11	2	19	7
9	34	12	1	12	12	19	13
9	35	35	19	13	40	1	12
9	36	-88	88	12	-88	88	13
9	37	-88	88	13	-88	88	11
9	38	20	19	12	20	1	13
9	39	9	1	12	9	19	13
9	40	120	1	11	120	6	7
9	41	140	1	11	140	6	7
9	42	120	19	11	-88	88	11
9	43	140	1	7	-88	88	11
9	44	-88	88	11	-88	88	11
9	45	100	1	13	100	19	12
9	46	18	1	7	18	19	12
9	47	6	1	1	-88	88	7
9	48	90	1	7	85	19	11
9	49	-88	88	11	-88	88	12
9	50	16	2	11	24	1	7
9	51	4	1	7	4	19	11
9	52	24	1	11	24	19	7
9	53	25	14	11	25	19	7
9	54	24	1	7	24	19	11
9	55	-88	88	7	-88	88	11
9	56	1	1	12	1.5	19	13
9	57	12	5	10	12	19	10
9	58	5	5	10	5	19	10
9	59	10	5	10	10	19	10
9	60	12	5	10	12	19	10
9	61	27	1	11	27	5	7
9	62	16	5	10	16	19	10
9	63	25	5	10	25	19	10
9	64	-88	88	10	-88	88	10
9	65	20	1	12	20	19	13
9	66	12	5	10	12	19	10
9	67	-88	88	10	-88	88	10
9	68	-88	88	10	-88	88	10
9	69	25	1	7	25	19	11
9	70	-88	88	12	-88	88	13
9	71	85	1	7	85	19	11
10	0	-77	16	13	-77	16	14
10	1	6	1	13	5.75	1	14
10	2	70	1	5	60	1	6
10	3	45	1	5	40	1	6
10	4	130	1	5	120	1	6
10	5	160	1	5	150	1	6
10	6	70	1	5	65	1	6
10	7	5	9	7	4.5	9	8
10	8	1	9	7	1	9	8
10	9	.699999988079071	9	7	.800000011920929	9	8
10	10	.600000023841858	9	7	.5	9	8
10	11	15	1	13	14	1	14
10	12	60	1	13	62	1	14
10	13	20	1	13	20	1	14
10	14	16.4500007629395	12	15	16.4500007629395	12	15
10	15	12.7799997329712	12	15	12.7799997329712	12	15
10	16	17.5	19	9	17.5	19	10
10	17	11.5	19	9	12	19	10
10	18	6.5	19	9	7	19	10
10	19	9	19	9	8	19	10
10	20	8	19	9	8	19	10
10	21	11.5	19	9	12	19	10
10	22	12	19	9	11	19	10
10	23	20	19	9	20	19	10
10	24	20	19	9	22	19	10
10	25	15	19	9	16	19	10
10	26	-77	16	9	-77	16	10
10	27	20	19	9	21	19	10
10	28	15	19	9	14	19	10
10	29	-88	88	9	-88	88	10
10	30	12	1	13	11.5	1	14
10	31	20	1	13	20	2	14
10	32	130	1	13	125	1	14
10	33	2.75	1	13	2.5	1	14
10	34	-77	16	9	-77	16	10
10	35	-77	16	9	-77	16	10
10	36	-77	16	9	-77	16	10
10	37	-77	16	9	-77	16	10
10	38	-77	16	9	-77	16	13
10	39	11	19	9	13	19	10
10	40	120	6	11	120	6	12
10	41	180	6	11	180	6	12
10	42	-88	16	11	-88	16	12
10	43	180	6	11	180	6	12
10	44	-88	6	11	-88	6	12
10	45	180	1	16	180	1	17
10	46	36	1	18	35	1	19
10	47	28	1	18	30	1	19
10	48	80	1	13	80	1	14
10	49	-88	1	13	-88	1	14
10	50	16	1	13	15	1	14
10	51	5	1	13	4.5	1	14
10	52	22	1	13	25	1	14
10	53	24	1	13	25	1	14
10	54	38	1	13	40	2	14
10	55	-88	1	13	-88	1	14
10	56	1.25	1	13	1.25	1	14
10	57	-77	16	20	-77	16	21
10	58	7	5	20	6.5	5	21
10	59	12	5	20	11	5	21
10	60	12	5	20	12	5	21
10	61	15	5	20	16	5	21
10	62	4	5	20	3.5	5	21
10	63	20	5	20	22	5	21
10	64	-77	16	20	-77	16	21
10	65	18	1	13	18	1	14
10	66	12	5	20	12	5	21
10	67	-88	5	20	-88	5	21
10	68	-77	16	13	-77	16	14
10	69	22	1	13	21	1	14
10	70	-88	19	9	-88	19	10
10	71	140	1	13	140	1	14
11	0	-88	88	1	-88	88	1
11	1	5.5	1	1	5.5	19	5
11	2	32	1	1	33	19	5
11	3	60	1	1	50	19	5
11	4	80	1	1	80	19	5
11	5	250	1	1	270	19	5
11	6	100	1	1	100	19	5
11	7	1	1	1	-88	88	1
11	8	.0700000002980232	10	3	-88	88	3
11	9	.5	10	3	-88	88	3
11	10	-88	88	3	-88	88	3
11	11	.75	1	1	.699999988079071	19	5
11	12	35	1	1	38	19	5
11	13	18	1	1	18	19	5
11	14	15.4399995803833	12	2	-88	88	3
11	15	12.6400003433228	12	2	-88	88	3
11	16	13.5	1	1	13	19	5
11	17	12	1	1	12	19	5
11	18	6.5	1	1	6.75	19	5
11	19	8.5	1	1	8.25	19	5
11	20	9	1	1	9	19	5
11	21	7.5	1	1	7.5	19	5
11	22	-88	88	5	-88	88	5
11	23	-88	88	5	-88	88	5
11	24	18	1	1	17.5	19	5
11	25	8.25	1	1	8	19	5
11	26	8.25	1	1	8.25	19	5
11	27	10.5	1	1	10.3000001907349	19	5
11	28	-88	88	5	-88	88	5
11	29	-88	88	5	-88	88	5
11	30	10	1	1	10	19	5
11	31	10	1	1	10	19	5
11	32	280	1	1	260	19	5
11	33	2.5	1	1	2.25	19	5
11	34	-88	88	5	-88	88	5
11	35	-88	88	5	-88	88	5
11	36	-88	88	5	-88	88	5
11	37	-88	88	5	-88	88	5
11	38	-88	88	5	-88	88	5
11	39	9	1	1	9	19	5
11	40	120	1	1	-88	88	1
11	41	-88	88	1	-88	88	1
11	42	135	1	1	125	19	5
11	43	-88	88	1	-88	88	1
11	44	-88	88	1	-88	88	1
11	45	-88	88	1	-88	88	1
11	46	70	1	1	-88	88	1
11	47	-88	88	5	-88	88	5
11	48	80	1	1	80	19	5
11	49	-88	88	5	-88	88	5
11	50	16	1	1	16	19	5
11	51	6.5	1	1	6	19	5
11	52	26.6000003814697	1	1	28.2999992370605	19	5
11	53	22	1	1	20	19	5
11	54	36	1	1	35	19	5
11	55	-88	88	5	-88	88	5
11	56	1.5	1	1	1.5	19	5
11	57	-88	88	1	-88	88	1
11	58	5	1	1	5	19	5
11	59	-88	88	5	-88	88	5
11	60	11	19	5	-88	88	5
11	61	35	1	1	35	19	5
11	62	10	19	5	-88	88	5
11	63	50	1	1	50	19	5
11	64	-88	88	5	-88	88	5
11	65	22.5	1	5	25	19	5
11	66	10	1	1	10	19	5
11	67	-88	88	5	-88	88	5
11	68	-88	88	5	-88	88	5
11	69	-88	88	5	-88	88	5
11	70	-88	88	5	-88	88	5
11	71	160	1	1	150	19	5
12	0	-77	16	11	-77	16	12
