PLACEID	DWAGIDR4	MAVWG	MADWG01	MADWG02	MADWG03	FAVWG	FADWG01	FADWG02	FADWG03
21	5	-88	88	88	88	-88	88	88	88
21	6	-88	88	88	88	-88	88	88	88
21	7	-88	88	88	88	-88	88	88	88
22	1	-88	88	88	88	-88	88	88	88
22	2	-88	88	88	88	-88	88	88	88
22	3	-88	88	88	88	-88	88	88	88
22	4	-88	88	88	88	-88	88	88	88
22	5	-88	88	88	88	-88	88	88	88
22	6	-88	88	88	88	-88	88	88	88
22	7	-88	88	88	88	-88	88	88	88
23	1	-88	88	88	88	-88	88	88	88
23	2	-88	88	88	88	-88	88	88	88
23	3	-88	88	88	88	-88	88	88	88
23	4	-88	88	88	88	-88	88	88	88
23	5	-88	88	88	88	-88	88	88	88
23	6	-88	88	88	88	-88	88	88	88
23	7	-88	88	88	88	-88	88	88	88
24	1	100	1	2	3	-1111	 	 	 
24	2	100	1	2	3	-1111	 	 	 
24	3	100	1	2	3	100	1	2	3
24	4	100	1	2	3	-1111	 	 	 
24	5	100	1	2	3	-1111	 	 	 
24	6	-1111	 	 	 	-1111	 	 	 
24	7	-1111	 	 	 	-1111	 	 	 
