PLACEID	HLTHIDR4	CUR	OTHHLTHSP	TRN	TIM
1	1	0	 	6	90
1	2	3	 	 	 
1	3	1	 	 	 
1	4	0	 	6	90
1	5	3	 	 	 
1	6	3	 	 	 
1	7	1	 	 	 
1	8	3	 	 	 
1	9	3	 	 	 
1	10	3	 	 	 
1	11	3	 	 	 
1	12	1	 	 	 
2	1	3	 	 	 
2	2	3	 	 	 
2	3	1	 	 	 
2	4	0	 	1	120
2	5	3	 	 	 
2	6	3	 	 	 
2	7	0	 	1	120
2	8	3	 	 	 
2	9	3	 	 	 
2	10	3	 	 	 
2	11	3	 	 	 
2	12	1	 	 	 
3	1	3	 	 	 
3	2	3	 	 	 
3	3	0	 	1	60
3	4	0	 	1	60
3	5	3	 	 	 
3	6	3	 	 	 
3	7	0	 	1	60
3	8	3	 	 	 
3	9	3	 	 	 
3	10	3	 	 	 
3	11	3	 	 	 
3	12	1	 	 	 
4	1	0	 	1	50
4	2	0	 	1	35
4	3	0	 	1	50
4	4	0	 	1	50
4	5	3	 	 	 
4	6	0	 	1	50
4	7	0	 	1	50
4	8	3	 	 	 
4	9	3	 	 	 
4	10	3	 	 	 
4	11	3	 	 	 
4	12	1	 	 	 
5	1	3	 	 	 
5	2	3	 	 	 
5	3	0	 	1	60
5	4	0	 	1	60
5	5	3	 	 	 
5	6	3	 	 	 
5	7	0	 	1	60
5	8	3	 	 	 
5	9	0	 	1	60
5	10	3	 	 	 
5	11	3	 	 	 
5	12	1	 	 	 
6	1	1	 	 	 
6	2	3	 	 	 
6	3	0	 	1	55
6	4	1	 	 	 
6	5	77	 	 	 
6	6	3	 	 	 
6	7	3	 	 	 
6	8	3	 	 	 
6	9	77	 	 	 
6	10	3	 	 	 
6	11	3	 	 	 
6	12	1	 	 	 
7	1	0	 	13	50
7	2	3	 	 	 
7	3	0	 	13	50
7	4	0	 	13	50
7	5	0	 	13	50
7	6	0	 	13	50
7	7	0	 	13	50
7	8	3	 	 	 
7	9	3	 	 	 
7	10	3	 	 	 
7	11	3	 	 	 
7	12	1	 	 	 
8	1	0	 	6	15
8	2	3	 	 	 
8	3	0	 	6	20
8	4	0	 	6	20
8	5	0	 	6	20
8	6	0	 	6	20
8	7	0	 	6	17
8	8	3	 	 	 
8	9	1	 	 	 
8	10	77	 	 	 
8	11	3	 	 	 
8	12	1	 	 	 
9	1	3	 	 	 
9	2	77	 	 	 
9	3	1	 	 	 
9	4	3	 	 	 
9	5	3	 	 	 
9	6	3	 	 	 
9	7	1	 	 	 
9	8	3	 	 	 
9	9	3	 	 	 
9	10	3	 	 	 
9	11	3	 	 	 
9	12	1	 	 	 
10	1	0	 	1	90
10	2	3	 	 	 
10	3	1	 	 	 
10	4	3	 	 	 
10	5	3	 	 	 
10	6	3	 	 	 
10	7	0	 	1	90
10	8	77	 	 	 
10	9	77	 	 	 
10	10	77	 	 	 
10	11	3	 	 	 
10	12	3	 	 	 
11	1	3	 	 	 
11	2	3	 	 	 
11	3	1	 	 	 
11	4	3	 	 	 
11	5	3	 	 	 
11	6	3	 	 	 
11	7	1	 	 	 
11	8	1	 	 	 
11	9	3	 	 	 
11	10	3	 	 	 
11	11	3	 	 	 
11	12	1	 	 	 
12	1	0	 	8	45
12	2	3	 	 	 
12	3	1	 	 	 
12	4	0	 	8	45
12	5	3	 	 	 
12	6	3	 	 	 
12	7	0	 	8	45
12	8	3	 	 	 
12	9	3	 	 	 
12	10	3	 	 	 
12	11	3	 	 	 
12	12	3	 	 	 
13	1	0	 	1	10
13	2	1	 	 	 
13	3	1	 	 	 
13	4	1	 	 	 
13	5	3	 	 	 
13	6	1	 	 	 
13	7	1	 	 	 
13	8	1	 	 	 
13	9	1	 	 	 
13	10	77	 	 	 
13	11	1	 	 	 
13	12	1	 	 	 
14	1	0	 	12	15
14	2	3	 	 	 
14	3	1	 	 	 
14	4	1	 	 	 
14	5	3	 	 	 
14	6	3	 	 	 
14	7	1	 	 	 
14	8	0	 	1	15
14	9	3	 	 	 
14	10	3	 	 	 
14	11	3	 	 	 
14	12	3	 	 	 
15	1	3	 	 	 
15	2	0	 	1	10
15	3	1	 	 	 
15	4	1	 	 	 
15	5	3	 	 	 
15	6	3	 	 	 
15	7	1	 	 	 
15	8	3	 	 	 
15	9	3	 	 	 
15	10	3	 	 	 
15	11	3	 	 	 
15	12	3	 	 	 
16	1	0	 	7	30
16	2	3	 	 	 
16	3	1	 	 	 
16	4	1	 	 	 
16	5	3	 	 	 
16	6	3	 	 	 
16	7	1	 	 	 
16	8	3	 	 	 
16	9	3	 	 	 
16	10	3	 	 	 
16	11	3	 	 	 
16	12	3	 	 	 
17	1	3	 	 	 
17	2	3	 	 	 
17	3	0	 	1	20
17	4	1	 	 	 
17	5	3	 	 	 
17	6	3	 	 	 
17	7	1	 	 	 
17	8	3	 	 	 
17	9	3	 	 	 
17	10	3	 	 	 
17	11	0	 	1	12
17	12	3	 	 	 
18	1	1	 	 	 
18	2	3	 	 	 
18	3	1	 	 	 
18	4	1	 	 	 
18	5	3	 	 	 
18	6	3	 	 	 
18	7	1	 	 	 
18	8	1	 	 	 
18	9	3	 	 	 
18	10	3	 	 	 
18	11	3	 	 	 
18	12	1	 	 	 
19	1	0	 	13	30
19	2	77	 	 	 
19	3	1	 	 	 
19	4	1	 	 	 
19	5	3	 	 	 
19	6	3	 	 	 
19	7	1	 	 	 
19	8	3	 	 	 
19	9	3	 	 	 
19	10	3	 	 	 
19	11	3	 	 	 
19	12	1	 	 	 
20	1	3	 	 	 
20	2	3	 	 	 
20	3	1	 	 	 
20	4	1	 	 	 
20	5	3	 	 	 
20	6	3	 	 	 
20	7	1	 	 	 
20	8	1	 	 	 
20	9	1	 	 	 
20	10	77	 	 	 
20	11	3	 	 	 
20	12	1	 	 	 
21	1	0	 	5	25
21	2	0	 	1	40
21	3	0	 	1	30
21	4	1	 	 	 
21	5	0	 	1	10
21	6	1	 	 	 
21	7	0	 	1	10
21	8	1	 	 	 
21	9	1	 	 	 
21	10	3	 	 	 
21	11	77	 	 	 
21	12	0	 	1	40
22	1	0	 	1	20
22	2	0	 	1	10
22	3	0	 	5	3
22	4	1	 	 	 
22	5	0	 	1	10
22	6	1	 	 	 
22	7	1	 	 	 
22	8	1	 	 	 
22	9	77	 	 	 
22	10	3	 	 	 
22	11	77	 	 	 
22	12	1	 	 	 
23	1	0	 	1	30
23	2	0	 	1	30
23	3	1	 	 	 
23	4	1	 	 	 
23	5	1	 	 	 
23	6	1	 	 	 
23	7	1	 	 	 
23	8	0	 	1	30
23	9	3	 	 	 
23	10	77	 	 	 
23	11	3	 	 	 
23	12	1	 	 	 
24	1	3	 	 	 
24	2	3	 	 	 
24	3	1	 	 	 
24	4	1	 	 	 
24	5	3	 	 	 
24	6	1	 	 	 
24	7	1	 	 	 
24	8	1	 	 	 
24	9	1	 	 	 
24	10	3	 	 	 
24	11	3	 	 	 
24	12	1	 	 	 
