PLACEID	EDUCIDR4	SCHLOC	SCHDES	SCHLOW	SCHHIGH
2	1	2	4	1	8
2	2	2	4	1	8
2	3	2	4	1	8
2	4	2	4	9	12
2	5	2	4	17	17
2	6	1	4	0	6
2	7	1	4	0	4
2	8	1	4	1	4
2	9	1	4	1	6
2	10	1	4	0	4
2	11	1	4	0	4
3	1	2	77	1	8
3	2	1	4	1	8
3	3	1	4	1	4
3	4	1	4	1	7
3	5	1	4	1	4
3	6	1	4	1	4
3	7	2	4	1	8
3	8	77	4	1	4
3	9	2	4	9	10
3	10	2	4	11	12
3	11	2	4	1	8
3	12	2	4	1	8
4	1	1	4	0	8
4	2	2	4	5	8
4	3	2	4	9	10
4	4	2	4	11	12
4	5	2	4	1	8
4	6	2	3	1	10
4	7	2	1	1	9
5	1	1	4	1	5
5	2	1	4	1	6
5	3	1	4	1	6
5	4	2	4	1	6
5	5	2	4	1	8
5	6	2	4	1	6
5	7	2	4	1	6
5	8	2	4	9	12
5	9	2	4	17	17
6	1	1	4	1	8
6	2	1	4	1	4
6	3	1	4	9	10
6	4	2	4	1	8
6	5	2	4	1	4
6	6	1	4	1	4
6	7	2	4	9	10
6	8	2	4	11	12
8	1	1	4	0	8
8	2	2	4	0	7
8	3	2	3	0	0
8	4	2	4	9	10
8	5	2	4	9	12
8	6	2	4	17	17
9	1	1	4	1	4
9	2	1	4	1	8
9	3	1	4	1	6
9	4	2	4	1	8
9	5	2	4	1	8
9	6	2	4	1	8
9	7	2	4	9	10
10	1	1	4	1	8
10	2	1	4	0	8
10	3	1	4	0	4
10	4	1	4	0	4
10	5	1	4	0	4
10	6	2	4	9	12
11	1	1	4	0	4
11	2	1	4	0	8
11	3	1	4	0	6
11	4	1	4	9	10
11	5	2	4	0	8
11	6	2	4	0	8
11	7	2	4	0	4
11	8	2	4	9	12
12	1	1	4	0	8
12	2	1	4	0	4
12	3	2	4	9	10
12	4	77	4	9	10
12	5	2	4	11	12
14	1	1	4	0	8
14	2	1	4	0	8
14	3	1	1	0	7
14	4	2	4	0	8
14	5	2	4	0	8
14	6	2	4	0	8
14	7	2	3	0	12
14	8	2	4	9	10
14	9	2	4	9	12
14	10	2	4	9	10
14	11	2	4	11	12
14	12	2	1	0	12
14	13	2	3	0	12
15	1	1	3	0	4
15	2	1	4	0	8
15	3	1	1	0	8
15	4	1	4	9	10
15	5	2	4	0	8
15	6	2	4	0	8
15	7	2	4	0	8
15	8	2	1	1	8
15	9	2	1	0	8
15	10	1	1	0	4
16	1	1	4	0	8
16	2	1	1	1	8
16	3	1	1	0	4
16	4	1	1	0	4
16	5	1	1	0	4
16	6	1	1	0	8
16	7	1	1	0	8
16	8	1	1	0	8
16	9	1	1	0	8
16	10	1	1	1	10
16	11	1	1	0	4
16	12	1	1	0	4
16	13	1	1	1	4
16	14	1	4	9	10
16	15	1	4	11	12
17	1	1	4	0	8
17	2	1	4	0	8
17	3	1	4	0	8
17	4	1	1	0	4
17	5	2	4	9	10
17	6	2	4	10	12
18	1	1	4	1	8
19	1	1	4	1	8
19	2	1	4	1	5
19	3	1	4	1	4
19	4	1	4	9	12
20	1	1	4	0	8
20	2	1	3	0	8
20	3	1	4	9	12
20	4	2	1	0	8
20	5	1	4	1	8
21	1	1	4	0	7
21	2	1	2	4	7
21	3	1	2	1	4
21	4	2	4	0	8
21	5	2	4	0	8
21	6	2	4	0	8
21	7	2	4	9	12
21	8	2	4	9	12
21	9	1	1	0	8
22	1	2	4	1	8
22	2	2	4	0	8
22	3	2	4	1	6
22	4	2	4	1	6
22	5	2	4	9	12
23	1	1	4	1	4
23	2	1	4	1	8
23	3	1	1	1	8
23	4	1	1	1	8
24	1	1	4	9	12
24	2	1	4	1	8
24	3	1	4	1	4
24	4	1	4	1	8
24	5	1	1	0	0
