PLACEID	GBGEIDR4	GRBDIS	AVGCOL
1	1	0	 
1	2	1	 
1	3	1	 
1	4	0	 
1	5	1	 
1	6	0	 
1	7	1	 
1	8	1	 
1	9	1	 
2	1	0	 
2	2	0	 
2	3	0	 
2	4	0	 
2	5	0	 
2	6	1	 
2	7	0	 
2	8	0	 
2	9	0	 
3	1	0	 
3	2	0	 
3	3	1	 
3	4	1	 
3	5	1	 
3	6	1	 
3	7	1	 
3	8	1	 
3	9	1	 
4	1	0	 
4	2	0	 
4	3	0	 
4	4	0	 
4	5	0	 
4	6	0	 
4	7	1	 
4	8	0	 
4	9	0	 
5	1	0	 
5	2	0	 
5	3	0	 
5	4	0	 
5	5	0	 
5	6	0	 
5	7	1	 
5	8	1	 
5	9	0	 
6	1	0	 
6	2	1	 
6	3	0	 
6	4	0	 
6	5	0	 
6	6	0	 
6	7	1	 
6	8	1	 
6	9	0	 
7	1	0	 
7	2	1	 
7	3	0	 
7	4	0	 
7	5	0	 
7	6	1	 
7	7	1	 
7	8	1	 
7	9	0	 
8	1	0	 
8	2	0	 
8	3	1	 
8	4	1	 
8	5	0	 
8	6	0	 
8	7	0	 
8	8	1	 
8	9	0	 
9	1	0	 
9	2	0	 
9	3	0	 
9	4	0	 
9	5	0	 
9	6	0	 
9	7	1	 
9	8	1	 
9	9	0	 
10	1	0	 
10	2	0	 
10	3	1	 
10	4	0	 
10	5	0	 
10	6	0	 
10	7	1	 
10	8	1	 
10	9	0	 
11	1	0	 
11	2	1	 
11	3	0	 
11	4	0	 
11	5	0	 
11	6	0	 
11	7	1	 
11	8	1	 
11	9	0	 
12	1	0	 
12	2	0	 
12	3	1	 
12	4	0	 
12	5	0	 
12	6	0	 
12	7	1	 
12	8	1	 
12	9	0	 
13	1	1	4
13	2	1	 
13	3	0	 
13	4	1	 
13	5	1	 
13	6	0	 
13	7	0	 
13	8	1	 
13	9	0	 
14	1	1	8
14	2	1	 
14	3	1	 
14	4	1	 
14	5	1	 
14	6	1	 
14	7	1	 
14	8	0	 
14	9	0	 
15	1	1	8
15	2	1	 
15	3	1	 
15	4	1	 
15	5	1	 
15	6	0	 
15	7	0	 
15	8	1	 
15	9	0	 
16	1	1	8
16	2	1	 
16	3	1	 
16	4	1	 
16	5	1	 
16	6	0	 
16	7	1	 
16	8	0	 
16	9	0	 
17	1	1	8
17	2	1	 
17	3	1	 
17	4	0	 
17	5	0	 
17	6	0	 
17	7	0	 
17	8	0	 
17	9	0	 
18	1	0	 
18	2	1	 
18	3	1	 
18	4	0	 
18	5	1	 
18	6	1	 
18	7	0	 
18	8	1	 
18	9	0	 
19	1	1	2
19	2	0	 
19	3	1	 
19	4	1	 
19	5	1	 
19	6	0	 
19	7	1	 
19	8	1	 
19	9	0	 
20	1	0	 
20	2	1	 
20	3	1	 
20	4	0	 
20	5	0	 
20	6	1	 
20	7	1	 
20	8	1	 
20	9	0	 
21	1	0	 
21	2	0	 
21	3	0	 
21	4	1	 
21	5	0	 
21	6	0	 
21	7	0	 
21	8	1	 
21	9	0	 
22	1	0	 
22	2	0	 
22	3	1	 
22	4	1	 
22	5	0	 
22	6	0	 
22	7	0	 
22	8	0	 
22	9	0	 
23	1	0	 
23	2	0	 
23	3	0	 
23	4	1	 
23	5	0	 
23	6	0	 
23	7	0	 
23	8	0	 
23	9	1	 
24	1	1	2
24	2	0	 
24	3	0	 
24	4	1	 
24	5	0	 
24	6	0	 
24	7	1	 
24	8	1	 
24	9	0	 
