PLACEID	RSID	AGERES	SEXRES	CAPAC	LIVRES
1	1	70	1	7	34
1	2	48	1	8	22
1	3	45	2	7	23
1	4	37	2	8	11
1	5	38	1	2	11
1	6	32	2	2	10
1	7	53	1	1	43
2	1	45	1	7	35
2	2	40	1	2	28
2	3	24	1	9	24
2	4	29	1	12	22
2	5	42	1	8	40
2	6	-77	 	8	88
2	7	-88	 	88	88
3	1	45	1	8	34
3	2	40	1	8	40
3	3	68	1	11	60
3	4	32	1	8	2
3	5	45	1	8	38
3	6	41	1	8	41
3	7	28	1	8	20
3	8	34	1	8	25
3	9	26	1	10	16
3	10	47	1	8	43
3	11	27	1	8	27
3	12	29	2	8	29
3	13	32	2	8	27
3	14	34	1	8	26
3	15	31	2	8	31
3	16	25	2	8	25
3	17	36	2	8	23
3	18	-77	 	88	88
4	1	40	1	8	40
4	2	38	1	1	38
4	3	40	1	1	40
4	4	50	1	5	50
4	5	48	1	11	48
4	6	35	1	1	35
5	1	37	1	8	37
5	2	62	1	11	62
5	3	37	1	1	37
5	4	45	1	2	45
5	5	40	1	7	40
5	6	50	1	5	50
6	1	44	1	1	44
6	2	54	1	1	54
6	3	26	1	9	26
6	4	45	1	8	45
6	5	28	1	10	1
6	6	26	2	3	6
6	7	40	2	1	40
6	8	36	1	4	2
6	9	38	1	8	38
6	10	40	1	8	15
6	11	45	1	8	45
6	12	38	2	8	38
6	13	38	2	8	38
6	14	28	2	8	9
6	15	22	2	8	22
6	16	50	2	8	50
6	17	28	2	8	28
6	18	48	2	8	0
6	19	22	2	8	0
6	20	40	1	8	0
6	21	35	2	8	35
6	22	35	2	8	0
6	23	42	1	8	0
6	24	32	2	3	4
6	25	39	1	8	3
6	26	32	2	8	0
6	27	30	1	8	0
6	28	31	2	8	0
6	29	38	2	8	0
6	30	30	1	8	0
6	31	33	1	8	0
6	32	42	1	8	0
6	33	37	1	8	0
6	34	30	1	8	0
6	35	28	1	8	0
6	36	-77	 	88	88
7	1	27	1	10	7
7	2	21	2	3	6
7	3	25	1	1	8
7	4	62	1	4	28
7	5	47	2	7	47
7	6	53	1	5	53
7	7	30	2	8	30
7	8	38	1	8	38
8	1	36	1	1	36
8	2	26	1	2	26
8	3	24	2	3	7
8	4	32	1	4	3
8	5	34	1	8	34
8	6	40	1	8	40
8	7	24	1	8	24
8	8	41	1	8	41
8	9	31	1	8	31
8	10	28	2	8	28
8	11	26	2	8	26
9	1	48	1	4	6
9	2	43	1	7	43
9	3	38	1	5	38
9	4	38	2	3	4
9	5	32	1	10	32
9	6	53	1	11	53
9	7	26	1	8	26
9	8	28	1	8	28
9	9	25	2	8	25
9	10	27	2	8	27
9	11	28	1	8	28
9	12	35	1	8	35
9	13	28	1	8	28
10	1	45	1	1	45
10	2	60	1	11	60
10	3	40	1	3	6
10	4	39	1	4	2
10	5	35	1	8	15
10	6	41	1	8	20
10	7	45	1	8	9
10	8	55	1	8	20
10	9	51	1	8	15
10	10	49	1	8	12
10	11	30	1	8	7
10	12	36	1	8	10
10	13	34	1	8	34
10	14	36	1	8	25
10	15	33	1	10	10
10	16	29	1	8	6
10	17	38	1	8	8
10	18	40	2	8	12
10	19	45	2	8	9
10	20	40	1	8	9
10	21	36	2	8	5
11	1	40	1	8	16
11	2	20	2	1	1
11	3	24	2	3	1
11	4	50	1	7	47
11	5	32	2	8	25
12	1	58	1	1	25
12	2	24	1	2	24
12	3	28	2	8	2
12	4	29	1	4	1
12	5	50	1	8	19
12	6	45	2	8	12
12	7	38	1	8	8
12	8	40	1	8	10
12	9	46	2	8	6
12	10	50	2	8	8
12	11	38	2	8	4
12	12	36	2	8	6
12	13	30	2	8	5
12	14	28	2	8	3
12	15	28	1	8	4
12	16	32	1	8	6
12	17	47	2	8	11
12	18	45	2	8	10
12	19	50	1	8	12
12	20	42	1	8	8
12	21	35	1	8	4
12	22	29	1	8	6
13	1	13	1	3	30
13	2	12	1	4	36
13	3	62	1	11	46
13	4	35	1	1	5
13	5	25	1	6	10
13	6	28	1	12	28
13	7	36	1	8	36
13	8	29	2	8	29
14	1	30	1	2	2
14	2	30	2	2	30
