PLACEID	SPIDR4	SUPKIND	WHOSUP	WHATSUP	YEARSUP	WHENSUP	FEQSUP
1	1	14	28	5	1998	9999	11
1	2	5	13	31	1988	9999	4
1	3	24	38	31	1996	2000	4
1	4	1	15	5	2000	9999	4
1	5	2	15	29	2002	2004	12
1	6	24	15	29	2003	9999	9
1	7	24	15	31	2003	2004	5
1	8	9	6	31	1999	9999	13
1	9	24	15	31	2006	9999	11
2	1	1	5	2	1986	9999	12
2	2	9	6	31	1997	9999	11
2	3	5	13	31	1988	9999	9
2	4	24	15	31	1984	9999	13
2	5	27	27	21	1989	9999	4
2	6	27	25	21	2004	9999	8
2	7	4	39	31	1998	9999	2
2	8	14	39	31	1998	9999	10
2	9	3	39	31	1998	9999	10
2	10	24	39	31	1999	9999	4
2	11	29	15	31	2004	9999	4
2	12	21	15	31	2005	9999	4
2	13	6	15	31	2005	9999	4
2	14	15	25	14	1999	9999	8
2	15	30	7	27	2004	9999	4
2	16	17	15	31	2005	9999	11
2	17	8	15	31	2006	1999	11
3	1	1	5	2	1986	9999	7
3	2	9	6	31	1996	9999	7
3	3	14	39	31	1998	9999	10
3	4	21	5	31	2003	9999	6
3	5	7	5	31	2002	9999	9
3	6	6	15	31	2002	9999	4
3	7	29	15	31	2002	9999	4
3	8	5	13	31	1998	9999	11
3	9	5	15	31	1994	9999	11
3	10	20	5	31	1970	9999	7
3	11	30	30	27	2002	9999	5
3	12	2	42	31	2000	9999	4
3	13	13	5	4	1986	9999	5
3	14	22	39	25	1998	9999	10
3	15	27	5	14	2004	2005	4
3	16	10	5	31	1998	9999	5
3	17	28	15	31	2003	9999	5
3	18	8	30	25	2002	9999	4
3	19	29	28	31	1999	9999	4
3	20	2	27	31	2003	2005	4
3	21	5	15	31	1998	2003	11
3	22	25	6	28	2003	20006	2
3	23	15	27	31	1996	9999	2
4	1	3	39	31	1997	9999	10
4	2	5	40	31	2005	9999	4
4	3	10	50	18	2002	9999	7
4	4	22	24	31	1996	9999	4
4	5	10	28	31	2003	2005	7
4	6	22	15	31	2003	2005	7
4	7	1	5	31	1987	9999	5
4	8	9	6	31	1997	9999	7
5	1	1	5	31	1991	9999	5
5	2	9	6	31	1998	9999	7
5	3	3	39	18	1999	9999	5
5	4	4	39	31	1999	9999	5
5	5	5	15	0	2002	2006	4
5	6	24	8	0	2005	2010	5
5	7	5	15	0	2002	9999	4
6	1	24	15	31	1994	9999	5
6	2	1	5	2	1980	9999	12
6	3	13	5	31	2000	9999	5
6	4	24	5	31	1990	9999	12
6	5	10	15	31	2000	2003	5
6	6	15	15	31	2003	9999	5
6	7	15	15	31	2000	2003	12
6	8	1	5	31	2004	2005	4
6	9	24	15	31	2003	2003	4
6	10	24	15	31	1992	9999	4
6	11	24	15	31	2001	9999	2
6	12	21	15	31	1996	9999	2
6	13	12	15	31	1998	9999	13
6	14	24	15	31	2000	9999	4
6	15	24	42	31	1995	9999	9
6	16	7	15	31	1998	9999	12
6	17	24	15	31	2003	9999	5
6	18	13	15	31	2003	9999	4
6	19	24	15	31	1998	9999	9
6	20	13	15	31	1994	2004	4
6	21	5	13	31	2000	9999	7
6	22	5	15	31	1995	9999	7
6	23	9	6	31	1995	9999	13
6	24	25	15	31	2006	9999	12
6	25	27	5	31	2003	9999	4
6	26	24	5	31	2003	9999	3
6	27	24	58	31	1985	9999	5
6	28	13	15	31	1999	2004	5
6	29	24	15	31	2002	9999	4
6	30	24	15	31	2005	9999	5
6	31	24	15	31	1999	9999	4
6	32	8	15	31	2005	9999	5
7	1	1	5	25	1992	9999	12
7	2	9	6	25	1987	9999	10
7	3	5	13	25	-7777	9999	4
7	4	5	15	31	2000	9999	4
7	5	11	15	25	2003	9999	5
7	6	30	15	28	2003	9999	4
7	7	15	15	14	2004	2006	3
8	1	1	5	2	1986	9999	4
8	2	2	42	31	1983	9999	13
8	3	3	15	31	1998	9999	7
8	4	5	13	31	2000	999	13
8	5	7	6	31	1999	9999	13
8	6	8	6	31	19999	9999	13
8	7	9	6	31	1999	9999	13
8	8	10	5	0	-88	-88	77
8	9	11	6	23	19999	9999	12
8	10	12	15	31	2004	2005	4
8	11	14	15	22	1998	2007	6
8	12	13	15	31	2006	9999	7
8	13	21	5	31	2006	9999	4
8	14	24	15	31	2000	2005	5
9	1	1	5	2	1995	9999	11
9	2	9	6	25	1997	9999	11
9	3	3	5	10	1998	9999	10
9	4	4	5	10	1998	9999	10
9	5	5	13	31	2004	9999	4
9	6	14	5	31	1998	1998	10
9	7	8	6	31	2001	9999	11
10	1	1	5	10	1982	9999	9
10	2	3	33	5	2000	9999	11
10	3	4	33	5	2000	9999	11
10	4	14	33	0	2000	9999	11
10	5	7	6	31	1996	9999	11
10	6	8	6	31	1990	9999	9
10	7	9	6	31	1996	9999	9
10	8	11	6	31	1996	9999	9
10	9	23	22	31	-7777	9999	11
10	10	30	6	31	1996	9999	4
10	11	12	20	28	-7777	9999	77
10	12	10	8	21	2003	9999	4
10	13	31	15	31	2003	9999	4
11	1	3	39	5	1997	9999	10
11	2	4	39	5	1997	9999	10
11	3	5	5	2	1994	9999	4
11	4	5	1	31	1996	9999	4
11	5	5	13	31	1995	9999	4
11	6	9	6	31	1990	9999	11
11	7	13	5	31	1987	9999	5
11	8	14	39	0	1996	9999	10
11	9	15	23	14	1996	9999	4
11	10	19	23	31	1996	9999	13
11	11	20	15	31	1996	9999	5
11	12	27	5	21	1996	9999	5
11	13	29	23	30	1996	9999	13
12	1	14	33	0	1995	-7777	11
12	2	3	33	5	1995	-7777	11
12	3	4	33	5	1995	-7777	11
