comnro	marid	market	posell	mardis	martme
1	1	1	2	0	1
1	8	2	8	88	88
1	8	2	8	88	88
1	8	2	8	88	88
1	8	2	8	88	88
1	8	2	8	88	88
1	1	1	2	0	1
1	8	2	8	88	88
2	2	2	2	12	60
2	2	2	2	12	60
2	2	2	2	12	60
2	2	2	2	12	60
2	2	2	2	12	60
2	2	2	2	12	60
2	2	2	2	12	60
2	1	1	1	0	0
3	8	2	8	88	88
3	8	2	8	88	88
3	8	2	8	88	88
3	8	2	8	88	88
3	8	2	8	88	88
3	8	2	8	88	88
3	8	2	8	88	88
3	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
4	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
5	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
6	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
7	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
8	8	2	8	88	88
9	8	2	9	99	180
9	8	2	9	99	180
9	8	2	9	99	180
9	8	2	9	99	180
9	8	2	9	99	180
9	8	2	9	99	180
9	8	2	9	99	180
9	8	2	9	99	180
10	8	2	9	99	99
10	8	2	9	99	99
10	8	2	9	99	99
10	8	2	9	99	99
10	8	2	9	99	99
10	8	2	9	99	99
10	1	1	2	99	0
10	8	2	9	99	99
11	8	2	9	99	120
11	8	2	9	99	120
11	8	2	9	99	120
11	8	2	9	99	120
11	8	2	9	99	120
11	8	2	9	99	120
11	8	2	9	99	120
11	8	2	9	99	120
12	8	2	8	88	88
12	8	2	8	88	88
12	8	2	8	88	88
12	8	2	8	88	88
12	8	2	8	88	88
12	8	2	8	88	88
12	8	2	8	88	88
12	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
13	8	2	8	88	88
14	8	2	9	99	45
14	8	2	9	99	45
14	8	2	9	99	45
14	8	2	9	99	45
14	8	2	9	99	45
14	8	2	9	99	45
14	8	2	9	99	45
14	8	2	9	99	45
15	2	1	1	88	88
15	2	1	1	88	88
15	2	1	1	88	88
15	2	1	1	88	88
15	2	1	1	88	88
15	8	2	8	88	88
15	2	1	1	88	88
15	8	2	8	88	88
16	2	1	1	0	75
16	8	2	9	18	75
16	8	2	9	18	75
16	2	1	1	0	0
16	8	2	9	18	75
16	8	2	9	99	99
16	8	2	9	18	75
16	8	2	9	99	99
17	8	2	9	99	30
17	8	2	9	99	30
17	8	2	9	99	30
17	8	2	9	99	30
17	8	2	9	99	30
17	8	2	9	99	30
17	8	2	9	99	30
17	8	2	9	99	30
18	8	2	9	99	90
18	8	2	9	99	90
18	8	2	9	99	90
18	8	2	9	99	90
18	8	2	9	99	90
18	8	2	9	99	90
18	8	2	9	99	90
18	8	2	9	99	90
19	8	2	9	2	60
19	8	2	9	2	60
19	8	2	9	2	60
19	8	2	9	2	60
19	8	2	9	2	60
19	8	2	9	2	60
19	8	2	9	2	60
19	8	2	9	2	60
20	8	2	1	99	60
20	8	2	1	99	60
20	8	2	1	99	60
20	8	2	2	88	88
20	8	2	2	88	88
20	8	2	2	88	88
20	8	2	2	88	88
20	8	2	2	88	88
21	8	2	9	99	30
21	8	2	9	99	30
21	8	2	9	99	30
21	8	2	9	99	30
21	8	2	9	99	30
21	8	2	9	99	99
21	8	2	9	99	30
21	8	2	9	99	30
22	8	2	1	3	90
22	8	2	1	3	90
22	8	2	1	3	90
22	8	2	2	99	99
22	8	2	1	3	90
22	8	2	2	99	99
22	1	1	1	3	90
22	9	9	9	99	99
23	2	1	1	0	2
23	2	1	1	0	2
23	2	2	1	0	2
23	8	2	8	88	8
23	8	2	8	88	8
23	2	1	1	0	2
23	2	1	1	0	2
23	8	2	8	88	8
24	8	2	8	9	30
24	8	2	8	9	30
24	8	2	8	9	30
24	8	2	8	9	30
24	8	2	8	9	30
24	8	2	8	9	99
24	1	1	1	0	2
24	8	2	8	9	99
25	8	8	8	88	88
25	8	8	8	88	88
25	8	8	8	88	88
25	8	8	8	88	88
25	8	8	8	88	88
25	8	8	8	88	88
25	8	8	8	88	88
25	8	8	8	88	88
26	8	2	9	99	5
26	8	2	9	99	5
26	8	2	9	99	5
26	8	2	9	99	5
26	8	2	9	99	5
26	8	2	9	99	5
26	8	2	9	99	99
26	8	2	9	99	99
27	8	2	1	3	3
27	8	2	1	3	3
27	8	2	1	3	3
27	8	2	1	3	3
27	8	2	1	3	3
27	8	2	8	88	88
27	1	1	1	0	0
27	8	2	8	88	88
28	8	2	9	99	60
28	8	2	9	99	60
28	8	2	9	99	60
28	8	2	9	99	60
28	8	2	9	99	60
28	8	2	9	99	60
28	8	2	9	99	60
28	8	2	9	99	60
29	8	2	9	99	45
29	8	2	9	99	45
29	8	2	9	99	45
29	8	2	9	99	45
29	8	2	9	99	45
29	8	2	9	99	45
29	1	1	1	0	0
29	8	2	9	99	99
30	8	2	8	3	15
30	8	2	8	3	15
30	8	2	8	3	15
30	8	2	8	3	15
30	8	2	8	3	15
30	8	2	8	88	88
30	1	1	1	0	1
30	8	2	8	88	88
31	2	2	9	10	15
31	2	2	9	10	15
31	2	2	9	10	15
31	2	2	9	10	15
31	2	2	9	10	15
31	2	2	9	0	88
31	1	1	9	10	15
31	2	2	8	88	88
32	1	1	1	0	88
32	1	1	1	0	88
32	1	1	1	0	88
32	1	1	1	0	88
32	1	1	1	0	88
32	1	1	1	0	88
32	1	1	1	0	88
32	1	1	1	0	88
33	1	1	1	88	88
33	1	1	1	88	88
33	1	1	1	88	88
33	1	1	1	88	88
33	1	1	1	88	88
33	1	1	1	88	88
33	1	1	1	88	88
33	8	8	8	88	88
34	8	2	8	5	20
34	8	2	8	5	20
34	8	2	8	5	20
34	8	2	8	5	20
34	8	2	8	5	20
34	8	2	8	5	20
34	1	1	1	88	88
34	8	2	8	88	88
35	1	1	1	88	88
35	1	1	1	88	88
35	1	1	1	88	88
35	1	1	1	88	88
35	1	1	1	88	88
35	1	1	1	88	88
35	1	1	1	88	88
35	1	1	1	88	88
36	8	2	9	4	20
36	8	2	9	4	20
36	8	2	9	4	20
36	8	2	9	4	20
36	8	2	9	4	20
36	8	2	9	8	28
36	1	1	1	88	88
36	8	2	9	88	88
37	8	2	9	6	120
37	8	2	9	6	120
37	8	2	9	9	88
37	8	2	9	3	90
37	8	2	9	6	120
37	8	2	9	9	88
37	1	1	2	88	88
37	8	2	9	88	88
38	1	1	1	0	2
38	1	1	1	0	2
38	8	2	8	88	2
38	1	1	1	0	2
38	1	1	1	0	2
38	1	1	1	0	2
38	1	1	1	0	2
38	8	8	8	88	88
39	1	1	1	1	10
39	8	2	9	88	88
39	8	2	9	88	88
39	1	1	1	1	10
39	1	1	1	1	10
39	8	2	9	88	88
39	1	1	1	1	10
39	8	2	9	88	88
40	8	2	8	35	190
40	8	2	8	35	190
40	8	2	8	35	190
40	8	2	8	35	190
40	8	2	8	35	190
40	8	2	8	35	190
40	2	1	1	88	88
40	8	2	8	88	88
41	8	2	8	20	90
41	8	2	8	20	90
41	8	2	8	40	88
41	8	2	8	20	90
41	8	2	8	20	90
41	8	2	8	40	88
41	1	1	8	88	88
41	8	2	8	88	88
