commid	comnro	clustid	dint	dfint	area	pop	popchg	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	specpol	shanty	semi	perm	story	bigmult	smalmult	planoc	pland1	pland2	pland3	pland4	pland5	pland6	pland7	pland8	pland9	pland10	pland11	twndem	provdem	vivspec	mat1	mat2	mat3	mat4	mat5	mat6	mat7	legal	conclive	concvist	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	plang1	plang2	plang3	plang4	plang5	prel1	prel2	prel3	prel4	prel5	prel6	prel7	prel8	prel9	prel10	conelec	concase	concorr	concadm	otrcrm	ptoil1	toilapro	ptoil2	ptoil3	ptoil4	ptoil5	ptoil6	pwater1	wathora	watdias	wataprox	pwater2	pwater3	pwater4	pwater5	pgarb1	garprom	pgarb2	pgarb3	pgarb4	pgarb5	pgarb6	pgarb7	pshop3	pshop5	pshop4	pshop1	pshop6	buy1	buy2	buy3	buy4	buy5	buy6	proad1	proad2	proad3	proad4	proad6	proad7	frqpass	ppubtran1	ppubtran2	ppubtran3	ppubtran4	ppubtran5	ppubtran6	ppubtran7	ppubtran8	ppubtran9	ppubtran11	ppubtran12	ppubtran13	ppubtran14	ppubtran10	pcomgrp1	pcomgrp2	pcomgrp3	pcomgrp4	pcomgrp5	pcomgrp6	pcomgrp7	pcomgrp8	pcomgrp10	pcomgrp11	pcomgrp12	pcomgrp9	pincome1	pincome2	pincome3	pincome4	pincome5	pincome6	pincome7	pincome8	pincome9	pincome10	pincome11	pincome12	pincome13	pincome14	pincome15	pincome16	pincome17	pincome18	pincome19	pincome20	pincome21	pinc1	pinc2	pinc3	own10	own5	paqu1	paqu2	paqu3	paqu4	paqu5	paqu6	paqu7	pfrmhlp1	pfrmhlp3	pfrmhlp4	pfrmhlp5	pfrmhlp6	pfrmhlp7	pfrmhlp8	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	medhel	mesphel	aneshel	bsanhel
PE01C01	1	01	9/16/2002	9/18/2002	10000000	14000	1	1	9999	88	2	2	2	1	2	1	1	1	2	1	2	2	1	8	1	1	8	8	8	8	8	1	8	8	5	88	2	1	2	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	8	8	8	8	1	6	6	6	2	6	6	3	4	6	2	2	1	1	1	1	30	1	2	1	2	2	1	8	7	90	2	2	2	2	1	15	2	1	2	2	2	2	1	2	1	2	2	2	1	1	2	1	2	2	2	1	2	2	2	12	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	1	1	1	2	1	1	2	1	1	1	2	1	2	2	5	1	2	9	1	1	1	2	1	1	1	1
PE02C01	2	02	10/5/2002	10/5/2002	10000000	600	2	1	9999	10	2	3	3	3	3	3	1	2	2	2	2	2	2	8	1	1	8	8	8	8	1	8	1	8	30	60	2	2	1	1	1	2	1	2	1	2	2	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	6	6	6	6	6	6	2	2	2	2	2	2	100	1	2	2	2	2	2	88	8	88	2	2	1	2	2	88	1	2	2	1	2	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	2	2	2	9	2	2	1	2	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	3	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	5	2	2	2	1	2	2	1	1	2	2	2
PE02C02	3	02	10/7/2002	10/7/2002	10000000	2100	1	1	9999	9	3	3	3	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	30	40	2	2	2	1	1	2	1	2	1	2	2	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	6	6	6	6	6	6	2	2	2	2	2	2	10	2	2	1	1	2	1	12	1	50	2	2	1	2	2	88	1	2	1	2	2	2	1	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	12	2	2	1	2	1	2	2	2	2	1	1	1	2	2	2	2	2	1	1	2	2	1	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	8	2	2	1	2	1	2	1	2	2	2	1	2	2	2	2	1	1.5	2	2	2	2	2	2	2	2	2	2	2
PE02C03	4	02	10/2/2002	10/2/2002	7500	7000	1	1	9999	13	2	3	3	1	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	1	1	8	8	15	25	2	1	2	1	1	2	1	2	1	1	2	1	2	2	2	1	1	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	1	2	2	2	2	2	80	1	2	1	2	2	1	3	3	60	2	2	1	2	2	88	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	12	2	2	1	2	1	2	1	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	1	1	1	2	1	2	2	1	1	1	2	1	2	2	9999	1	1	2	1	2	2	1	1	2	2	2
PE02C04	5	02	10/4/2002	10/4/2002	10000000	5600	1	1	6050	10	3	1	3	1	3	3	2	1	2	2	2	2	1	8	1	1	8	8	8	8	1	1	8	1	10	10	2	2	1	1	1	2	1	2	1	8	8	1	1	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	3	6	6	2	2	2	2	1	2	80	1	2	1	2	2	1	3	1	98	2	2	1	2	2	88	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	12	2	2	2	2	1	2	1	2	2	2	1	1	2	2	2	2	2	1	1	1	2	1	2	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	1	2	2	1	2	8	2	2	1	1	1	2	1	2	2	2	2	2	2	2	1	2	3	1	1	1	1	2	2	1	1	2	2	2
PE03C01	6	03	10/9/2002	10/9/2002	10000000	9999	3	1	9999	99	4	3	3	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	90	 	2	2	1	1	1	2	2	2	1	8	8	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	2	2	1	2	2	2	88	2	2	1	2	2	1	24	7	100	2	2	1	2	2	88	1	2	1	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	2	2	2	2	1	2	1	2	2	2	1	2	2	1	1	1	0	1	1	1	1	2	2	2	1	1	1	2
PE03C02	7	03	10/12/2001	10/12/2001	10000000	9999	2	1	9999	99	4	3	3	1	3	3	1	2	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	99	 	1	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	2	2	1	2	1	2	88	2	2	1	2	2	1	24	7	50	2	1	1	2	2	88	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	1	3	2	1	2	2	2	2	1	2	2	2	2
PE03C03	8	03	10/21/2002	10/21/2002	10000000	9999	2	1	9999	8	4	3	3	2	3	3	1	2	2	2	2	2	2	8	1	1	8	8	8	8	1	8	8	8	180	99	2	2	2	1	2	2	2	2	1	8	8	2	2	2	2	2	2	1	8	8	8	8	1	6	6	6	6	6	6	6	6	6	2	2	2	2	2	2	88	1	2	1	2	1	1	24	7	100	2	2	1	2	2	88	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	8	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	8	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	1	2	2	2	2	2	2	2
PE03C04	9	03	10/23/2002	10/23/2002	10000000	200	3	1	9999	99	4	3	3	3	3	3	1	1	2	2	2	2	2	8	1	1	8	8	8	8	1	1	8	8	180	180	2	2	1	1	1	2	2	2	1	1	8	2	2	2	2	2	2	1	8	8	8	8	1	6	6	6	2	6	6	6	6	6	1	2	2	2	2	2	99	1	2	1	2	2	1	24	7	100	2	2	1	2	2	88	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	 	2	2	2	2	2	2	2	2	2	2	2	2	1	8	8	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	3	2	1	1	2	2	2	2	2	2	2	2
PE03C05	10	03	10/24/2002	10/24/2002	500	300	2	1	9999	18	4	3	3	3	3	3	1	2	2	2	2	2	2	8	1	1	8	8	8	8	8	8	8	8	150	99	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	1	8	8	8	8	1	6	6	6	2	6	6	3	6	6	2	2	2	2	2	2	88	1	1	2	2	2	1	24	3	95	2	2	2	2	2	88	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	6	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	2	1	2	1	1	2	1	2	2	2	2	2	2	2	1	2	9999	2	1	2	1	2	2	2	2	2	2	2
