comnro	disid	szdis	disrel	rel1	rel2	rel3	rel4	anydis1
1	1	100	1	7	5	8	8	6
1	2	88	8	8	8	8	8	8
2	1	80	1	5	8	8	8	6
2	2	888	8	8	8	8	8	8
3	1	888	8	8	8	8	8	4
4	1	70	1	5	2	3	4	6
4	2	888	8	8	8	8	8	8
5	1	10	2	8	8	8	8	9
5	2	888	8	8	8	8	8	8
6	1	20	2	8	8	8	8	4
6	2	888	8	8	8	8	8	8
7	1	888	8	8	8	8	8	0
8	1	100	2	8	8	8	8	9
8	2	888	8	8	8	8	8	8
9	1	100	2	8	8	8	8	9
9	2	888	8	8	8	8	8	8
10	1	80	2	8	8	8	8	9
10	2	80	2	8	8	8	8	9
10	3	888	8	8	8	8	8	8
11	1	70	1	7	8	8	8	4
11	2	888	8	8	8	8	8	8
12	1	80	2	8	8	8	8	7
12	2	80	2	8	8	8	8	2
12	3	888	8	8	8	8	8	8
13	1	5	1	5	6	8	8	4
13	2	70	2	8	8	8	8	7
13	3	888	8	8	8	8	8	8
14	1	10	2	7	8	8	8	6
14	2	888	8	8	8	8	8	8
15	1	888	8	8	8	8	8	0
16	1	888	8	8	8	8	8	0
17	1	888	8	8	8	8	8	0
18	1	888	8	8	8	8	8	0
19	1	10	1	2	5	8	8	6
19	2	888	8	8	8	8	8	8
20	1	8	8	8	8	8	8	0
20	2	888	8	8	8	8	8	8
21	1	8	8	8	8	8	8	0
21	2	888	8	8	8	8	8	8
22	1	8	8	8	8	8	8	0
22	2	888	8	8	8	8	8	8
23	1	8	8	8	8	8	8	0
23	2	888	8	8	8	8	8	8
24	1	888	8	8	8	8	8	0
24	2	888	8	8	8	8	8	8
25	1	100	2	8	8	8	8	3
25	2	888	8	8	8	8	8	8
26	1	8	8	8	8	8	8	0
26	2	888	8	8	8	8	8	8
27	1	8	8	8	8	8	8	0
27	2	888	8	8	8	8	8	8
28	1	50	1	2	8	8	8	6
28	2	888	8	8	8	8	8	8
29	1	8	8	8	8	8	8	0
30	1	6	1	5	8	8	8	2
30	2	10	1	2	8	8	8	6
30	3	888	8	8	8	8	8	8
31	1	8	8	8	8	8	8	0
32	1	888	8	8	8	8	8	9
33	1	88	8	8	8	8	8	0
34	1	88	8	8	8	8	8	0
34	2	88	8	8	8	8	8	8
35	1	88	8	8	8	8	8	0
35	2	88	8	8	8	8	8	8
36	1	88	8	8	8	8	8	0
36	2	88	8	8	8	8	8	8
37	1	88	8	8	8	8	8	0
38	1	88	8	8	8	8	8	0
38	2	88	8	8	8	8	8	8
39	1	888	8	8	8	8	8	0
40	1	888	8	8	8	8	8	0
41	1	888	8	8	8	8	8	0
42	1	888	8	8	8	8	8	0
43	1	30	1	2	3	5	4	4
43	2	888	8	8	8	8	8	8
44	1	888	8	8	8	8	8	0
45	1	888	8	8	8	8	8	0
46	1	888	8	8	8	8	8	0
47	1	888	8	8	8	8	8	0
48	1	888	8	8	8	8	8	0
49	1	888	8	8	8	8	8	0
50	1	60	2	8	8	8	8	7
50	2	888	8	8	8	8	8	8
51	1	50	1	2	8	8	8	7
51	2	888	8	8	8	8	8	8
52	1	888	8	8	8	8	8	0
53	1	50	2	8	8	8	8	7
53	2	888	8	8	8	8	8	8
54	1	888	8	8	8	8	8	0
55	1	60	2	8	8	8	8	9
55	2	888	8	8	8	8	8	8
56	1	88	8	8	8	8	8	0
56	2	88	8	8	8	8	8	8
57	1	88	8	8	8	8	8	0
57	2	88	8	8	8	8	8	8
58	1	15	1	4	8	8	8	5
58	2	8	2	8	8	8	8	9
58	3	50	1	2	8	8	8	7
58	4	88	8	8	8	8	8	8
59	1	0	1	2	8	8	8	7
59	2	88	8	8	8	8	8	8
60	1	70	1	4	5	8	8	9
60	2	88	8	8	8	8	8	8
61	1	88	8	8	8	8	8	0
62	1	88	8	8	8	8	8	0
62	2	88	8	8	8	8	8	8
63	1	100	2	8	8	8	8	9
63	2	88	8	8	8	8	8	8
64	1	50	2	8	8	8	8	6
64	2	88	8	8	8	8	8	8
65	1	88	8	8	8	8	8	0
66	1	50	2	8	8	8	8	9
66	2	88	8	8	8	8	8	8
67	1	88	8	8	8	8	8	0
67	2	88	8	8	8	8	8	8
68	1	88	8	8	8	8	8	0
68	2	88	8	8	8	8	8	8
69	1	88	8	8	8	8	8	0
69	2	88	8	8	8	8	8	8
70	1	5	1	2	4	8	8	5
70	2	888	8	8	8	8	8	8
71	1	10	1	5	6	8	8	5
71	2	88	8	8	8	8	8	8
72	1	2	1	2	4	8	8	5
72	2	88	8	8	8	8	8	8
73	1	30	1	2	4	5	7	5
73	2	88	8	8	8	8	8	8
74	1	1	7	8	8	8	8	6
74	2	88	8	8	8	8	8	8
75	1	888	8	8	8	8	8	0
76	1	888	8	8	8	8	8	0
77	1	25	2	8	8	8	8	4
78	1	70	2	8	8	8	8	7
79	1	50	8	8	8	8	8	7
79	2	70	8	8	8	8	8	3
80	1	25	2	8	8	8	8	3
81	1	80	2	8	8	8	8	7
82	1	80	2	8	8	8	8	9
