comnro	services	seraval	serchng	serdis	sertme
11	14	2	8	99	99
11	15	2	8	99	99
11	16	2	8	99	99
12	1	2	8	2	120
12	2	2	8	88	88
12	3	2	8	88	88
12	4	1	3	0	20
12	5	2	8	88	88
12	6	2	8	2	120
12	7	2	8	2	120
12	8	2	8	88	88
12	9	2	8	2	120
12	10	2	8	2	120
12	11	2	8	2	120
12	12	2	8	2	120
12	13	2	8	88	88
12	14	2	8	88	88
12	15	2	8	88	88
12	16	2	8	88	88
13	1	1	1	0	2
13	2	1	1	0	5
13	3	2	8	88	88
13	4	1	1	0	0
13	5	2	8	88	88
13	6	1	1	0	0
13	7	1	1	0	2
13	8	2	8	88	88
13	9	1	3	0	5
13	10	1	1	0	3
13	11	1	3	0	0
13	12	1	1	0	0
13	13	2	8	88	88
13	14	2	8	88	88
13	15	1	2	88	3
13	16	1	1	0	8
14	1	1	1	0	0
14	2	2	8	77	180
14	3	2	8	77	180
14	4	1	1	0	0
14	5	2	8	77	180
14	6	1	1	0	0
14	7	2	8	3	50
14	8	2	8	77	180
14	9	1	1	0	0
14	10	1	3	0	0
14	11	1	3	0	0
14	12	2	8	77	180
14	13	2	8	77	180
14	14	2	8	77	180
14	15	2	8	88	88
14	16	2	8	88	88
15	1	2	8	12	180
15	2	2	8	12	180
15	3	2	8	80	180
15	4	1	3	0	0
15	5	2	8	80	180
15	6	1	3	0	0
15	7	1	1	0	0
15	8	2	8	80	180
15	9	1	1	0	0
15	10	2	8	99	99
15	11	2	8	80	180
15	12	2	8	80	180
15	13	2	8	80	180
15	14	2	8	80	180
15	15	2	8	80	180
15	16	2	8	80	180
16	1	1	3	0	0
16	2	1	3	0	0
16	3	2	8	78	180
16	4	1	3	0	0
16	5	2	8	78	180
16	6	1	1	0	0
16	7	1	3	0	0
16	8	2	8	78	180
16	9	1	1	0	0
16	10	2	8	99	99
16	11	1	1	0	0
16	12	2	8	78	180
16	13	2	8	78	180
16	14	2	8	78	180
16	15	2	8	78	180
16	16	2	8	78	180
17	1	2	8	5	180
17	2	2	8	5	180
17	3	2	8	99	180
17	4	1	1	0	0
17	5	2	8	88	180
17	6	1	2	0	0
17	7	2	8	99	20
17	8	2	8	99	180
17	9	2	8	99	180
17	10	2	8	99	88
17	11	2	8	99	180
17	12	2	8	99	180
17	13	2	8	99	180
17	14	2	8	99	180
17	15	1	3	0	0
17	16	2	8	99	180
18	1	2	8	99	60
18	2	2	8	99	60
18	3	2	8	99	240
18	4	2	8	99	240
18	5	2	8	99	240
18	6	2	8	99	60
18	7	2	8	5	40
18	8	2	8	99	240
18	9	2	8	99	60
18	10	2	8	88	240
18	11	2	8	99	60
18	12	2	8	99	240
18	13	2	8	99	240
18	14	2	8	99	240
18	15	2	8	99	240
18	16	1	8	0	0
19	1	2	8	2	45
19	2	2	8	2	45
19	3	2	8	99	180
19	4	1	3	0	0
19	5	2	8	2	180
19	6	1	1	0	0
19	7	2	8	2	60
19	8	2	8	2	60
19	9	2	8	2	45
19	10	2	8	88	88
19	11	2	8	88	88
19	12	2	8	99	180
19	13	2	8	99	180
19	14	2	8	88	180
19	15	2	8	88	88
19	16	2	8	88	88
20	1	2	8	99	99
20	2	1	3	0	99
20	3	2	8	88	99
20	4	2	8	0	99
20	5	2	8	88	99
20	6	2	8	99	99
20	7	2	8	99	99
20	8	2	8	99	99
20	9	2	8	99	99
20	10	1	3	0	99
20	11	1	3	0	99
20	12	2	8	99	99
20	13	2	8	99	99
20	14	2	8	99	99
20	15	8	8	99	99
20	16	8	8	99	99
21	1	2	8	99	60
21	2	2	8	99	180
21	3	2	8	99	180
21	4	2	8	99	180
21	5	2	8	99	180
21	6	2	8	99	30
21	7	1	3	0	0
21	8	2	8	99	180
21	9	2	8	99	30
21	10	2	8	99	88
21	11	1	3	0	0
21	12	2	8	99	180
21	13	2	8	99	180
21	14	2	8	99	180
21	15	2	8	99	99
21	16	2	8	99	99
22	1	2	8	8	8
22	2	2	8	8	8
22	3	2	8	8	8
22	4	1	2	0	5
22	5	2	8	8	8
22	6	1	3	0	5
22	7	2	8	8	8
22	8	2	8	8	8
22	9	2	8	8	8
22	10	2	8	8	8
22	11	1	3	0	5
22	12	2	8	8	8
22	13	2	8	8	8
22	14	2	8	8	8
22	15	2	8	8	8
22	16	2	8	8	8
23	1	2	3	17	15
23	2	2	3	17	15
23	3	2	8	8	8
23	4	1	1	0	0
23	5	2	8	8	8
23	6	1	1	0	2
23	7	1	1	0	2
23	8	2	8	8	8
23	9	2	3	17	15
23	10	2	8	8	8
23	11	2	2	2	30
23	12	2	3	35	60
23	13	2	3	40	80
23	14	2	3	35	60
23	15	2	8	8	8
23	16	2	8	8	8
24	1	2	8	99	50
24	2	2	8	99	90
24	3	2	8	99	90
24	4	1	3	0	0
24	5	2	8	99	60
24	6	1	3	0	0
24	7	2	8	99	50
24	8	2	8	99	60
24	9	2	8	99	50
24	10	2	8	99	99
24	11	2	8	99	60
24	12	2	8	99	60
24	13	2	8	99	90
24	14	2	8	99	90
24	15	2	8	99	99
24	16	2	8	99	99
25	1	1	3	0	0
25	2	2	3	2	40
25	3	2	8	88	88
25	4	1	3	0	0
25	5	2	1	40	60
25	6	1	1	0	0
25	7	1	3	0	0
25	8	2	8	88	88
25	9	1	3	0	2
25	10	2	3	88	10
25	11	1	3	0	10
25	12	2	1	40	60
25	13	2	2	62	80
25	14	2	1	40	60
25	15	2	8	88	88
25	16	2	8	88	88
26	1	2	8	4	5
26	2	2	8	99	90
26	3	2	8	99	90
26	4	1	3	0	0
26	5	2	9	4	90
26	6	1	3	0	0
26	7	1	3	0	0
26	8	2	9	4	90
26	9	2	8	4	5
26	10	2	8	99	99
26	11	2	8	99	75
26	12	2	8	99	75
26	13	2	8	99	90
26	14	2	8	99	90
26	15	1	3	0	0
26	16	2	8	88	90
27	1	2	8	3	3
27	2	2	8	88	88
27	3	2	8	88	88
27	4	1	0	0	2
27	5	2	8	88	88
27	6	2	8	3	3
27	7	1	0	0	2
27	8	2	8	88	88
27	9	2	8	3	3
27	10	2	8	88	88
27	11	2	8	3	3
27	12	2	8	88	88
27	13	2	8	88	88
27	14	2	8	88	88
27	15	1	0	0	88
27	16	8	8	88	88
28	1	2	8	99	60
28	2	2	8	99	120
28	3	2	8	99	120
28	4	1	1	0	0
28	5	2	8	99	120
28	6	2	8	99	120
28	7	2	8	99	60
28	8	2	8	99	120
28	9	2	8	99	60
28	10	2	8	99	60
28	11	2	8	99	60
28	12	2	8	99	120
28	13	2	8	99	120
28	14	2	8	99	120
28	15	1	3	0	0
28	16	2	8	88	88
29	1	2	8	4	60
29	2	2	8	4	60
29	3	2	8	99	88
29	4	1	3	0	88
29	5	2	8	99	88
29	6	1	3	0	88
29	7	2	8	4	60
29	8	2	8	99	88
29	9	1	1	0	88
29	10	1	3	0	88
29	11	2	8	4	60
29	12	2	8	99	88
29	13	2	8	99	88
29	14	2	8	99	88
29	15	2	8	88	88
29	16	2	8	88	88
30	1	2	8	3	20
30	2	2	8	3	20
30	3	2	8	88	88
30	4	1	3	0	20
30	5	2	8	88	88
30	6	1	3	0	88
30	7	2	8	88	88
30	8	2	8	3	88
30	9	2	8	3	88
30	10	1	2	0	88
30	11	2	8	88	88
30	12	2	8	22	40
30	13	2	8	22	88
30	14	2	8	22	88
30	15	2	8	88	88
30	16	2	8	88	88
31	1	2	8	6	10
31	2	2	8	88	88
31	3	2	8	88	88
31	4	1	1	0	3
31	5	2	8	88	88
31	6	1	2	0	1
31	7	2	8	3	5
31	8	2	8	3	5
31	9	2	8	3	5
31	10	2	8	0	88
31	11	2	8	88	88
31	12	2	8	50	99
31	13	2	8	50	99
31	14	2	8	50	99
31	15	2	8	88	88
31	16	2	8	88	88
32	1	1	3	0	3
32	2	1	3	0	3
32	3	1	3	0	5
32	4	1	3	0	1
32	5	1	3	0	5
32	6	1	3	0	0
32	7	1	3	0	0
32	8	1	3	0	0
32	9	1	3	0	0
32	10	2	8	0	99
32	11	1	3	0	0
32	12	1	3	0	10
32	13	1	3	0	10
32	14	1	3	0	10
32	15	2	8	0	88
32	16	2	8	0	88
33	1	1	1	88	88
33	2	1	3	88	88
33	3	1	1	88	88
33	4	1	1	88	88
33	5	1	1	88	88
33	6	1	1	88	88
33	7	1	1	88	88
33	8	1	1	88	88
33	9	1	1	88	88
33	10	1	3	88	88
33	11	1	1	88	88
33	12	1	3	88	88
33	13	1	1	88	88
33	14	1	1	88	88
33	15	8	8	88	88
33	16	8	8	88	88
34	1	2	8	5	20
34	2	2	8	5	20
34	3	2	8	5	2
34	4	1	3	88	88
34	5	2	8	5	20
34	6	1	1	88	88
34	7	1	1	88	88
34	8	1	1	88	88
34	9	1	3	88	88
34	10	1	3	88	88
34	11	1	3	88	88
34	12	2	8	5	20
34	13	2	8	5	20
34	14	2	8	3	15
34	15	8	8	88	88
34	16	8	8	8	88
35	1	1	3	88	88
35	2	2	8	8	60
35	3	1	8	88	88
35	4	1	8	88	88
35	5	1	8	88	88
35	6	1	8	88	88
35	7	1	8	88	88
35	8	1	8	88	88
35	9	1	8	88	88
35	10	2	5	5	40
35	11	1	8	88	88
35	12	2	8	88	60
35	13	2	8	88	60
35	14	2	8	88	60
35	15	8	8	88	88
35	16	8	8	88	88
36	1	2	8	4	20
36	2	2	8	6	50
36	3	2	8	5	2
36	4	1	3	88	88
36	5	1	1	88	88
36	6	1	1	88	88
36	7	1	1	88	88
36	8	1	1	88	88
36	9	1	1	88	88
36	10	1	1	88	88
36	11	1	1	88	88
36	12	2	8	8	3
36	13	2	8	8	3
36	14	2	8	8	3
36	15	2	8	88	88
36	16	2	8	88	88
37	1	2	8	6	120
37	2	2	8	9	84
37	3	2	8	9	64
37	4	1	3	88	88
37	5	1	3	6	88
37	6	1	1	88	88
37	7	1	3	88	88
37	8	2	8	6	120
37	9	2	8	3	90
37	10	1	3	88	88
37	11	2	8	3	90
37	12	2	8	10	84
37	13	2	8	10	84
37	14	2	8	10	84
37	15	1	3	88	88
37	16	2	8	88	88
38	1	1	1	88	88
38	2	1	1	88	88
38	3	1	1	88	88
38	4	1	1	88	88
38	5	1	1	88	88
38	6	1	1	88	88
38	7	1	1	88	88
38	8	1	1	88	88
38	9	1	1	88	88
38	10	2	8	88	88
38	11	1	1	88	88
38	12	1	1	88	88
38	13	1	1	88	88
38	14	1	1	88	88
38	15	8	8	88	88
38	16	8	8	88	88
39	1	2	8	1	15
39	2	2	8	2	30
39	3	2	8	1	15
39	4	1	3	88	88
39	5	2	8	1	15
39	6	1	1	88	88
39	7	1	1	88	88
39	8	1	3	88	88
39	9	1	3	88	88
39	10	2	8	2	30
39	11	1	3	88	88
39	12	2	8	1	15
39	13	2	8	1	15
39	14	2	8	1	15
39	15	8	8	88	88
39	16	8	8	88	88
40	1	2	8	35	190
40	2	2	8	80	88
40	3	2	8	35	190
40	4	1	3	88	88
40	5	2	8	35	190
40	6	1	3	88	88
40	7	1	3	88	88
40	8	2	8	35	190
40	9	1	3	88	88
40	10	1	3	88	88
40	11	1	3	88	88
40	12	2	8	80	88
40	13	2	8	80	88
40	14	2	8	35	190
40	15	2	8	88	88
40	16	2	8	88	88
41	1	2	8	25	180
41	2	2	8	40	88
41	3	2	8	25	180
41	4	1	3	88	88
41	5	2	8	25	180
41	6	1	3	88	88
41	7	2	8	15	180
41	8	2	8	25	180
41	9	2	8	25	180
41	10	1	3	88	88
41	11	1	2	88	88
41	12	2	8	40	88
41	13	2	8	25	180
41	14	2	8	25	180
41	15	2	8	99	99
41	16	2	8	99	99
42	1	2	8	5	8
42	2	1	1	88	88
42	3	2	8	20	35
42	4	1	1	88	88
42	5	2	8	20	35
42	6	1	1	88	88
42	7	1	1	88	88
42	8	1	1	88	88
42	9	1	3	88	88
