comnro	helid	facility	heldis	heltme
32	9	1	9	10
32	10	2	9	88
33	1	1	88	88
33	2	1	88	88
33	3	1	88	88
33	4	1	88	88
33	5	1	88	88
33	6	1	88	88
33	7	1	88	88
33	8	1	88	88
33	9	2	88	88
33	10	8	88	88
34	1	2	5	20
34	2	2	5	20
34	3	1	88	88
34	4	2	5	20
34	5	2	5	20
34	6	2	5	20
34	7	2	5	20
34	8	2	5	20
34	9	2	5	20
34	10	8	88	88
35	1	2	8	60
35	2	1	8	88
35	3	1	8	88
35	4	1	8	88
35	5	1	8	88
35	6	1	8	88
35	7	1	8	88
35	8	1	8	88
35	9	2	8	60
35	10	8	8	88
36	1	2	6	180
36	2	2	6	180
36	3	2	3	30
36	4	2	6	180
36	5	1	88	88
36	6	2	3	30
36	7	2	3	180
36	8	1	88	88
36	9	2	6	180
36	10	8	88	88
37	1	2	5	30
37	2	2	5	30
37	3	2	5	30
37	4	2	5	30
37	5	1	88	88
37	6	2	5	30
37	7	2	10	140
37	8	2	5	30
37	9	2	10	140
37	10	8	8	88
38	1	1	0	10
38	2	1	0	10
38	3	1	0	5
38	4	1	0	5
38	5	1	0	5
38	6	1	0	5
38	7	1	0	5
38	8	1	0	0
38	9	1	0	10
38	10	8	0	88
39	1	2	0	10
39	2	2	0	10
39	3	2	0	10
39	4	2	0	10
39	5	2	0	10
39	6	2	0	10
39	7	2	0	10
39	8	2	0	10
39	9	2	0	10
39	10	2	0	10
40	1	2	35	190
40	2	2	35	190
40	3	2	35	190
40	4	2	35	190
40	5	1	88	88
40	6	2	35	190
40	7	2	35	190
40	8	2	35	190
40	9	2	80	88
40	10	8	88	88
41	1	2	25	120
41	2	2	25	120
41	3	2	25	120
41	4	2	25	120
41	5	1	88	88
41	6	2	25	120
41	7	2	25	120
41	8	2	25	120
41	9	2	25	120
41	10	2	28	120
42	1	1	88	88
42	2	2	1	5
42	3	1	88	88
42	4	1	88	88
42	5	2	1	5
42	6	1	88	88
42	7	2	1	5
42	8	1	88	88
42	9	2	1	5
42	10	2	88	88
43	1	1	0	10
43	2	1	0	10
43	3	1	0	10
43	4	1	1	10
43	5	1	0	10
43	6	1	1	10
43	7	1	0	10
43	8	1	0	10
43	9	2	88	88
43	10	2	88	88
44	1	2	88	88
44	2	2	88	88
44	3	1	0	10
44	4	2	88	88
44	5	2	88	88
44	6	1	0	15
44	7	2	88	88
44	8	1	0	10
44	9	2	88	88
44	10	8	88	88
45	1	2	10	120
45	2	2	25	180
45	3	2	2	10
45	4	2	25	180
45	5	1	88	88
45	6	2	2	15
45	7	2	25	180
45	8	2	2	15
45	9	2	99	99
45	10	2	99	99
46	1	2	8	30
46	2	2	25	120
46	3	2	8	30
46	4	2	10	30
46	5	1	88	88
46	6	2	8	30
46	7	2	99	99
46	8	2	88	99
46	9	2	99	99
46	10	2	99	99
47	1	2	8	30
47	2	2	25	150
47	3	2	8	30
47	4	2	25	30
47	5	2	8	30
47	6	2	25	150
47	7	2	25	150
47	8	2	8	30
47	9	2	30	180
47	10	2	8	88
48	1	2	88	2
48	2	2	88	88
48	3	2	88	88
48	4	2	88	88
48	5	2	88	88
48	6	2	88	88
48	7	2	88	88
48	8	2	88	88
48	9	2	88	88
48	10	8	88	88
49	1	2	88	88
49	2	2	88	88
49	3	1	0	2
49	4	2	88	88
49	5	2	88	88
49	6	2	88	88
49	7	2	88	88
49	8	2	88	88
49	9	2	88	88
49	10	8	88	88
50	1	2	88	88
50	2	2	88	88
50	3	1	0	1
50	4	2	88	88
50	5	2	88	88
50	6	2	88	88
50	7	2	88	88
50	8	2	88	88
50	9	2	88	88
50	10	8	88	88
51	1	2	88	88
51	2	2	88	88
51	3	2	88	88
51	4	2	88	88
51	5	2	88	88
51	6	2	88	88
51	7	2	88	88
51	8	2	88	88
51	9	2	88	88
51	10	8	88	88
52	1	2	88	88
52	2	2	88	88
52	3	2	88	88
52	4	2	88	88
52	5	1	0	0
52	6	2	88	88
52	7	2	88	88
