comnro	payid	tuition	repairs	otherfee	apafa
1	1	0	0	0	0
1	2	0	0	0	10
1	3	0	0	0	10
2	1	0	0	20	15
2	2	0	0	20	15
2	3	0	0	20	15
3	1	0	8	2	16
3	2	0	0	2	16
3	3	0	0	2	16
4	1	0	0	5	15
4	2	0	0	5	15
4	3	0	0	5	15
5	1	0	0	20	15
5	2	0	0	20	15
5	3	0	0	20	15
6	1	0	0	0	0
6	2	0	0	0	5
6	3	88	88	88	88
7	1	0	0	0	5
7	2	0	0	0	5
7	3	0	0	0	5
8	1	88	88	88	88
8	2	0	0	0	0
8	3	88	88	88	88
9	1	0	0	0	5
9	2	0	0	0	5
9	3	0	0	0	5
10	1	0	0	0	10
10	2	0	0	0	10
10	3	0	0	0	88
11	1	0	0	0	10
11	2	0	0	0	10
11	3	88	0	0	88
12	1	0	0	15	5
12	2	0	0	30	15
12	3	88	0	88	88
13	1	0	50	10	5
13	2	0	80	10	10
13	3	0	100	15	10
14	1	0	0	0	0
14	2	0	0	0	0
14	3	0	0	0	0
15	1	0	0	5	20
15	2	0	0	10	20
15	3	0	0	10	20
16	1	0	0	0	25
16	2	0	0	0	25
16	3	0	0	0	15
17	1	0	0	0	0
17	2	5	0	0	10
17	3	99	99	99	99
18	1	0	0	0	0
18	2	5	0	0	0
18	3	99	88	88	88
19	1	0	0	0	99
19	2	0	0	0	1
19	3	0	0	0	99
20	1	20	0	0	0
20	2	20	0	0	0
20	3	8888	8888	8888	8888
21	1	0	88	88	0
21	2	0	88	88	0
21	3	99	88	88	88
22	1	0	0	5	0
22	2	0	0	5	0
22	3	8	8	8	8
23	1	0	0	0	20
23	2	0	0	0	42
23	3	0	0	0	42
24	1	0	0	5	10
24	2	0	0	5	10
24	3	99	99	99	99
25	1	0	0	5	10
25	2	0	0	15	15
25	3	0	0	18	15
26	1	10	0	0	0
26	2	10	0	0	0
26	3	10	0	0	0
27	1	5	0	9	3
27	2	10	0	5	15
27	3	88	88	88	88
28	1	0	0	0	0
28	2	0	0	0	10
28	3	0	0	0	99
29	1	88	99	99	88
29	2	0	88	100	10
29	3	99	99	99	99
30	1	88	88	88	88
30	2	0	88	88	30
30	3	88	88	88	88
31	1	0	0	0	5
31	2	0	0	0	5
31	3	88	88	88	88
32	1	0	9	5	70
32	2	0	9	10	90
32	3	0	9	10	220
33	1	10	0	0	0
33	2	10	0	0	0
33	3	15	0	0	0
34	1	0	0	0	0
34	2	2	0	0	0
34	3	5	0	0	0
35	1	2	0	0	0
35	2	10	0	0	0
35	3	15	0	0	0
36	1	0	0	0	0
36	2	10	0	0	10
36	3	15	0	0	10
37	1	0	0	0	0
37	2	0	0	0	2
37	3	0	0	0	5
38	1	50	0	0	0
38	2	30	0	10	20
38	3	50	0	10	20
39	1	20	0	0	10
39	2	20	0	10	10
39	3	20	0	10	15
40	1	10	0	0	0
40	2	10	0	0	0
40	3	10	0	0	0
41	1	88	0	0	0
41	2	5	0	0	0
41	3	88	88	88	88
42	1	0	0	0	6
42	2	0	0	4	6
42	3	0	0	4	6
43	1	88	88	88	0
43	2	88	88	88	0
43	3	88	88	88	0
44	1	0	50	100	40
44	2	0	88	100	40
44	3	0	88	100	40
45	1	0	0	0	0
45	2	10	0	0	0
45	3	0	0	0	0
46	1	0	0	0	0
46	2	10	0	0	0
46	3	0	0	0	0
47	1	0	0	0	0
47	2	3	0	0	0
47	3	5	0	0	0
48	1	88	88	88	88
48	2	0	0	0	2
48	3	88	88	88	88
49	1	0	88	88	88
49	2	0	88	88	10
49	3	0	88	88	10
50	1	0	200	20	1
50	2	0	300	20	1
50	3	0	400	20	2
51	1	5	100	0	0
51	2	5	120	0	0
51	3	88	88	88	88
52	1	0	99	99	99
52	2	0	40	0	5
52	3	0	50	0	5
53	1	99	99	99	99
53	2	0	99	99	5
53	3	0	99	99	5
54	1	0	99	99	99
54	2	0	99	99	10
54	3	0	99	99	10
55	1	99	99	99	99
55	2	99	99	99	99
55	3	99	99	99	99
56	1	0	150	10	25
56	2	0	300	15	26
56	3	0	500	20	25
57	1	99	88	88	99
57	2	0	120	0	10
57	3	0	200	99	10
58	1	0	50	99	5
58	2	0	100	99	5
58	3	0	150	99	5
59	1	8888	8888	8888	8888
59	2	10	80	2	10
59	3	8888	8888	8888	8888
60	1	0	0	0	0
60	2	0	0	0	0
61	1	8888	8888	8888	8888
61	2	0	50	0	0
62	1	99	88	0	5
62	2	99	88	0	5
62	3	99	99	99	99
63	1	0	9999	99	3
63	2	0	9999	99	3
64	1	9999	9999	9999	9999
64	2	50	0	0	0
64	3	9999	9999	9999	9999
65	1	8888	8888	8888	8888
65	2	0	0	0	3
66	1	8888	8888	8888	8888
66	2	5	150	9999	0
66	3	8888	8888	8888	8888
67	1	9999	9999	9999	9999
67	2	9999	9999	9999	9999
67	3	9999	9999	9999	9999
68	1	0	0	0	0
68	2	0	0	0	0
68	3	0	0	0	0
69	1	9	15	15	0
69	2	9	65	15	10
69	3	9999	9999	9999	9999
70	1	0	0	9	20
70	2	0	0	9	25
71	1	8888	8888	8888	8888
71	2	8888	8888	36	15
72	1	8888	8888	8888	8888
72	2	0	0	7	15
73	1	88	60	5	43
73	2	88	60	10	43
73	3	88	60	10	43
74	1	0	0	0	0
74	2	0	0	0	10
74	3	0	5	0	20
75	1	0	100	0	2
75	2	0	200	0	5
75	3	0	300	0	5
76	1	0	100	0	2
76	2	0	250	0	5
76	3	0	500	0	5
77	1	0	150	0	10
77	2	0	150	0	10
77	3	0	250	0	10
78	1	0	200	0	5
78	2	0	250	0	5
78	3	0	300	0	5
79	1	8888	8888	8888	8888
79	2	0	200	0	2
79	3	0	300	0	10
80	1	0	100	0	5
80	2	0	250	0	10
80	3	0	300	0	10
81	1	0	200	0	5
81	2	0	200	0	5
81	3	0	300	0	5
82	1	0	200	0	5
82	2	0	250	0	5
82	3	0	300	0	15
