comnro	frmid	frman	frmwom	frmchld
1	1	15	0	0
1	2	15	8	0
1	3	0	7	0
1	4	15	15	0
1	5	25	0	0
2	1	10	10	0
2	2	10	10	0
2	3	10	10	0
2	4	15	15	0
2	5	10	10	0
3	1	10	0	5
3	2	10	0	5
3	3	10	0	5
3	4	15	0	10
3	5	10	0	5
4	1	12	12	0
4	2	12	12	0
4	3	12	12	0
4	4	30	15	0
4	5	12	10	0
5	1	10	0	0
5	2	15	0	0
5	3	10	0	0
5	4	25	0	0
5	5	10	0	0
6	1	5	7	2
6	2	5	7	2
6	3	5	7	2
6	4	5	7	2
6	5	5	7	2
7	1	5	5	2
7	2	5	5	2
7	3	5	5	1
7	4	5	5	2
7	5	5	5	1
8	1	5	7	0
8	2	5	7	0
8	3	5	7	0
8	4	5	7	0
8	5	5	5	0
9	1	5	5	3
9	2	5	5	3
9	3	5	5	3
9	4	5	5	3
9	5	5	5	3
10	1	5	5	2
10	2	5	5	2
10	3	5	5	2
10	4	5	5	2
10	5	5	5	5
11	1	5	10	5
11	2	10	10	5
11	3	10	10	5
11	4	10	10	5
11	5	10	10	5
12	1	7	0	0
12	2	7	0	0
12	3	7	0	0
12	4	7	0	0
12	5	7	0	0
13	1	5	7	7
13	2	5	7	7
13	3	5	7	7
13	4	5	7	7
13	5	5	7	7
14	1	7	7	5
14	2	7	7	5
14	3	7	7	5
14	4	7	7	5
14	5	7	7	5
15	1	8	8	5
15	2	10	8	5
15	3	10	8	5
15	4	10	8	5
15	5	10	8	5
16	1	10	10	5
16	2	10	10	5
16	3	10	10	5
16	4	10	10	5
16	5	10	10	5
17	1	6	5	2
17	2	6	5	3
17	3	6	5	2
17	4	6	5	3
17	5	6	5	2
18	1	7	0	0
18	2	7	0	0
18	3	7	0	0
18	4	7	0	0
18	5	7	0	0
19	1	8	8	5
19	2	8	8	5
19	3	8	8	5
19	4	8	8	5
19	5	8	8	5
20	1	8	5	9
20	2	8	5	9
20	3	8	5	9
20	4	8	5	9
20	5	0	0	9
21	1	8	8	0
21	2	8	8	0
21	3	8	8	0
21	4	8	8	0
21	5	8	8	0
22	1	8	6	4
22	2	8	6	4
22	3	8	6	4
22	4	8	6	4
22	5	8	6	4
23	1	8	6	4
23	2	8	6	4
23	3	8	6	4
23	4	8	6	4
23	5	8	6	4
24	1	5	0	0
24	2	5	0	0
24	3	5	0	0
24	4	7	8	0
24	5	7	8	0
25	1	8	0	0
25	2	8	0	0
25	3	8	0	0
25	4	8	8	0
25	5	8	0	0
26	1	6	6	6
26	2	6	6	6
26	3	6	6	6
26	4	6	6	6
26	5	6	6	6
27	1	7	7	0
27	2	7	7	0
27	3	7	7	0
27	4	7	7	6
27	5	8	8	0
28	1	10	10	5
28	2	8	10	5
28	3	10	10	5
28	4	10	10	5
28	5	10	10	5
29	1	10	10	5
29	2	10	10	5
29	3	10	10	5
29	4	10	10	5
29	5	10	10	5
30	1	15	10	5
30	2	15	10	5
30	3	15	10	5
30	4	15	10	5
30	5	15	10	5
31	1	88	88	88
31	2	88	88	88
31	3	88	88	88
31	4	88	88	88
31	5	88	88	88
32	1	88	88	88
32	2	88	88	88
32	3	88	88	88
32	4	88	88	88
32	5	88	88	88
33	1	8888	8888	8888
33	2	8888	8888	8888
33	3	8888	8888	8888
33	4	8888	8888	8888
33	5	8888	8888	8888
34	1	12	10	10
34	2	12	10	10
34	3	12	10	10
34	4	12	10	10
34	5	12	10	10
35	1	88	88	88
35	2	88	88	88
35	3	88	88	88
35	4	88	88	88
35	5	88	88	88
36	1	15	10	10
36	2	15	10	10
36	3	15	10	10
36	4	88	10	10
36	5	15	10	10
37	1	15	10	5
37	2	15	10	5
37	3	15	10	5
37	4	15	10	5
37	5	15	10	5
38	1	88	88	88
38	2	88	88	88
38	3	88	88	88
38	4	88	88	88
38	5	88	88	88
39	1	15	15	10
39	2	15	15	10
39	3	15	15	10
39	4	15	15	10
39	5	15	15	10
40	1	5	5	5
40	2	88	88	88
40	3	88	88	88
40	4	88	88	88
40	5	88	88	88
41	1	10	10	5
41	2	10	10	5
41	3	10	10	5
41	4	10	10	5
41	5	10	10	5
42	1	88	88	88
42	2	88	88	88
42	3	88	88	88
42	4	88	88	88
42	5	88	88	88
43	1	88	88	88
43	2	88	88	88
43	3	88	88	88
43	4	88	88	88
43	5	88	88	88
44	1	88	88	88
44	2	88	88	88
44	3	88	88	88
44	4	88	88	88
44	5	88	88	88
45	1	12	12	10
45	2	12	12	10
45	3	12	12	10
45	4	12	12	10
45	5	12	12	10
46	1	12	12	10
46	2	10	10	5
46	3	10	10	5
46	4	12	12	10
46	5	10	10	5
47	1	15	12	12
47	2	12	10	10
47	3	12	10	10
47	4	15	12	12
47	5	12	10	10
48	1	10	5	5
48	2	10	5	5
