comnro	crpid	crop	harvest
1	1	1	1
1	2	22	5
1	3	3	8
2	1	2	4
2	2	22	6
2	3	1	5
3	1	22	4
3	2	1	6
3	3	1	5
4	1	1	1
4	2	7	4
4	3	4	5
5	1	1	1
5	2	22	4
5	3	2	5
6	1	2	5
6	2	27	5
6	3	6	4
7	1	2	5
7	2	6	5
7	3	28	4
8	1	22	4
8	2	18	4
8	3	13	4
9	1	13	4
9	2	22	5
9	3	18	1
10	1	22	4
10	2	13	4
10	3	18	4
11	1	2	5
11	2	13	5
11	3	22	5
12	1	2	5
12	2	27	5
12	3	28	5
13	1	6	1
13	2	2	1
13	3	7	1
14	1	6	1
14	2	2	1
14	3	7	1
15	1	2	4
15	2	6	4
15	3	7	4
16	1	2	1
16	2	7	1
16	3	6	1
17	1	2	1
17	2	6	1
17	3	7	1
18	1	2	1
18	2	6	1
18	3	7	1
19	1	2	4
19	2	7	4
19	3	6	4
20	1	2	1
20	2	6	1
20	3	88	8
21	1	2	1
21	2	6	1
21	3	7	1
22	1	2	2
22	2	6	2
22	3	27	2
23	1	18	4
23	2	22	4
23	3	24	4
24	1	18	4
24	2	22	1
24	3	2	4
25	1	18	4
25	2	2	4
25	3	22	4
26	1	18	4
26	2	2	5
26	3	4	5
27	1	18	4
27	2	22	1
27	3	2	4
28	1	1	1
28	2	88	8
29	1	1	1
29	2	2	1
29	3	4	1
30	1	1	1
30	2	2	2
30	3	4	2
31	1	1	1
31	2	2	5
31	3	88	8
32	1	88	8
33	1	88	8
34	1	27	1
34	2	6	1
34	3	2	1
35	1	88	8
36	1	27	5
36	2	2	5
36	3	5	5
37	1	27	5
37	2	9	5
37	3	2	5
38	1	88	8
39	1	28	5
39	2	23	5
39	3	88	8
40	1	6	5
40	2	2	5
40	3	4	5
41	1	6	5
41	2	2	5
41	3	5	5
42	1	88	8
43	1	88	8
44	1	88	8
45	1	18	1
45	2	22	1
45	3	4	1
46	1	4	1
46	2	23	1
46	3	22	1
47	1	18	1
47	2	22	1
47	3	4	5
48	1	6	1
48	2	27	1
48	3	88	8
49	1	6	1
49	2	2	1
49	3	27	1
50	1	6	5
50	2	27	5
50	3	5	5
51	1	6	5
51	2	27	5
51	3	27	5
52	1	2	5
52	2	6	5
52	3	28	5
53	1	6	6
53	2	2	6
53	3	27	6
54	1	23	1
54	2	28	1
54	3	22	1
55	1	18	1
55	2	28	1
55	3	22	1
56	1	23	1
56	2	18	1
56	3	22	1
57	1	6	5
57	2	2	5
57	3	27	5
58	1	27	4
58	2	6	4
58	3	2	4
59	1	5	6
59	2	2	6
59	3	27	6
60	1	6	5
60	2	5	5
60	3	27	5
61	1	2	5
61	2	6	5
61	3	27	5
62	1	27	5
62	2	27	5
62	3	6	5
63	1	2	5
63	2	6	5
63	3	27	5
64	1	27	5
64	2	27	5
64	3	6	5
65	1	27	5
65	2	6	5
65	3	2	5
66	1	6	5
66	2	28	5
66	3	28	5
67	1	1	5
67	2	6	5
67	3	27	5
68	1	6	1
68	2	2	1
68	3	27	1
69	1	6	5
69	2	2	5
69	3	27	5
70	1	1	4
70	2	7	4
70	3	28	4
71	1	1	8
71	2	7	8
71	3	88	8
72	1	1	4
72	2	7	4
72	3	2	5
73	1	1	4
73	2	7	4
73	3	28	8
74	1	88	8
75	1	2	5
75	2	26	5
75	3	6	5
76	1	2	5
76	2	26	5
76	3	27	5
77	1	26	5
77	2	2	5
77	3	6	5
78	1	6	5
78	2	2	5
78	3	26	5
79	1	6	5
79	2	5	5
79	3	26	5
80	1	6	5
80	2	2	5
80	3	26	5
81	1	6	5
81	2	9	5
81	3	26	5
82	1	22	5
82	2	23	5
82	3	4	5
