CHILDCODE	GFMRIDR5	GFTOFDR5	OFNTYUR5	VLNTYUR5	OFNTSPR5	VLNTSPR5	OFSPYUR5	VLSPYUR5	OFSPNTR5	VLSPNTR5
11010	5	 	 	 	 	 	 	 	 	 
11010	6	 	 	 	 	 	 	 	 	 
11010	7	 	 	 	 	 	 	 	 	 
11010	8	 	 	 	 	 	 	 	 	 
11010	9	 	 	 	 	 	 	 	 	 
11010	10	 	 	 	 	 	 	 	 	 
11010	11	 	 	 	 	 	 	 	 	 
11010	12	 	 	 	 	 	 	 	 	 
11010	13	 	 	 	 	 	 	 	 	 
11012	1	 	 	 	 	 	 	 	 	 
11012	2	 	 	 	 	 	 	 	 	 
11012	3	 	 	 	 	 	 	 	 	 
11012	4	 	 	 	 	 	 	 	 	 
11012	5	 	 	 	 	 	 	 	 	 
11012	6	 	 	 	 	 	 	 	 	 
11012	7	 	 	 	 	 	 	 	 	 
11012	8	 	 	 	 	 	 	 	 	 
11012	9	 	 	 	 	 	 	 	 	 
11012	10	 	 	 	 	 	 	 	 	 
11012	11	 	 	 	 	 	 	 	 	 
11012	12	 	 	 	 	 	 	 	 	 
11012	13	 	 	 	 	 	 	 	 	 
11014	1	 	 	 	 	 	 	 	 	 
11014	2	 	 	 	 	 	 	 	 	 
11014	3	 	 	 	 	 	 	 	 	 
11014	4	 	 	 	 	 	 	 	 	 
11014	5	 	 	 	 	 	 	 	 	 
11014	6	 	 	 	 	 	 	 	 	 
11014	7	 	 	 	 	 	 	 	 	 
11014	8	 	 	 	 	 	 	 	 	 
11014	9	 	 	 	 	 	 	 	 	 
11014	10	 	 	 	 	 	 	 	 	 
11014	11	 	 	 	 	 	 	 	 	 
11014	12	 	 	 	 	 	 	 	 	 
11014	13	 	 	 	 	 	 	 	 	 
11016	1	 	 	 	 	 	 	 	 	 
11016	2	 	 	 	 	 	 	 	 	 
11016	3	 	 	 	 	 	 	 	 	 
11016	4	 	 	 	 	 	 	 	 	 
11016	5	 	 	 	 	 	 	 	 	 
11016	6	 	 	 	 	 	 	 	 	 
11016	7	 	 	 	 	 	 	 	 	 
11016	8	 	 	 	 	 	 	 	 	 
11016	9	 	 	 	 	 	 	 	 	 
11016	10	 	 	 	 	 	 	 	 	 
11016	11	 	 	 	 	 	 	 	 	 
11016	12	 	 	 	 	 	 	 	 	 
11016	13	 	 	 	 	 	 	 	 	 
11017	1	 	 	 	 	 	 	 	 	 
11017	2	 	 	 	 	 	 	 	 	 
11017	3	 	 	 	 	 	 	 	 	 
11017	4	 	 	 	 	 	 	 	 	 
11017	5	 	 	 	 	 	 	 	 	 
11017	6	 	 	 	 	 	 	 	 	 
11017	7	 	 	 	 	 	 	 	 	 
11017	8	 	 	 	 	 	 	 	 	 
11017	9	 	 	 	 	 	 	 	 	 
11017	10	 	 	 	 	 	 	 	 	 
11017	11	 	 	 	 	 	 	 	 	 
11017	12	 	 	 	 	 	 	 	 	 
11017	13	 	 	 	 	 	 	 	 	 
11018	1	 	 	 	 	 	 	 	 	 
11018	2	 	 	 	 	 	 	 	 	 
11018	3	 	 	 	 	 	 	 	 	 
11018	4	 	 	 	 	 	 	 	 	 
11018	5	 	 	 	 	 	 	 	 	 
11018	6	 	 	 	 	 	 	 	 	 
11018	7	 	 	 	 	 	 	 	 	 
11018	8	 	 	 	 	 	 	 	 	 
11018	9	 	 	 	 	 	 	 	 	 
11018	10	 	 	 	 	 	 	 	 	 
11018	11	 	 	 	 	 	 	 	 	 
11018	12	 	 	 	 	 	 	 	 	 
11018	13	 	 	 	 	 	 	 	 	 
11019	1	 	 	 	 	 	 	 	 	 
11019	2	 	 	 	 	 	 	 	 	 
11019	3	 	 	 	 	 	 	 	 	 
11019	4	 	 	 	 	 	 	 	 	 
11019	5	 	 	 	 	 	 	 	 	 
11019	6	 	 	 	 	 	 	 	 	 
11019	7	 	 	 	 	 	 	 	 	 
