CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
11003	1	2	1	1	1
11003	2	15	3	4	5
11003	3	19	1	1	1
11004	1	2	1	1	1
11004	2	19	4	3	3
11006	1	2	1	1	1
11006	2	19	3	2	2
11007	1	2	1	1	1
11007	2	19	3	2	2
11008	1	2	1	1	1
11008	2	19	2	2	2
11008	3	15	3	5	5
11009	1	2	1	1	1
11009	2	19	2	2	2
11010	1	2	1	1	1
11010	2	19	2	1	1
11012	1	2	1	1	1
11012	2	19	1	1	1
11014	1	2	1	1	1
11014	2	19	3	3	3
11016	1	2	1	1	1
11016	2	11	2	5	5
11017	1	2	1	1	1
11018	1	2	1	1	1
11018	2	15	3	3	4
11019	1	2	1	1	1
11019	2	19	3	2	2
11021	1	2	1	1	1
11021	2	13	3	5	5
11021	3	8	3	5	5
11021	4	18	4	1	2
11021	5	19	4	1	2
11022	1	2	1	1	1
11024	1	2	1	1	1
11024	2	15	1	1	4
11024	3	19	3	2	2
11025	1	2	1	1	1
11026	1	2	1	1	1
11027	1	2	1	1	1
11028	1	2	1	1	1
11028	2	19	3	2	2
11029	1	2	1	1	1
11030	1	2	1	1	1
11030	2	19	3	2	2
11030	3	18	2	4	4
11031	1	2	1	1	1
11031	2	19	2	1	2
11034	1	2	1	1	1
11037	1	2	1	1	1
11037	2	19	4	2	2
11038	1	2	1	1	1
11039	1	2	1	1	1
11039	2	19	3	2	2
11040	1	2	1	1	1
11041	1	2	1	1	1
11042	1	2	1	1	1
11042	2	19	3	1	1
11043	1	2	1	1	1
11045	1	2	1	1	1
11045	2	19	3	1	1
11046	1	1	1	1	1
11046	2	19	4	3	3
21002	1	2	1	1	1
21002	2	11	1	1	1
21002	3	19	4	3	3
21003	1	2	1	1	1
21003	2	19	3	2	2
21004	1	2	1	1	1
21004	2	19	2	1	1
21005	1	2	1	1	1
21005	2	11	2	4	4
21005	3	19	4	4	4
21006	1	2	1	1	1
21006	2	19	4	3	3
21007	1	2	1	1	1
21007	2	19	3	1	2
21008	1	2	1	1	1
21008	2	19	4	3	3
21010	1	2	1	1	1
21010	2	11	4	3	4
21010	3	19	4	3	3
21011	1	2	1	1	1
21011	2	11	1	1	2
21011	3	19	3	2	2
21012	1	2	1	1	1
21012	2	11	2	4	4
21013	1	2	1	1	1
21013	2	19	3	2	2
21013	3	11	3	2	4
21014	1	2	1	1	1
21014	2	19	4	3	3
21015	1	2	1	1	1
21015	2	19	4	2	3
21016	1	2	1	1	1
21016	2	19	2	1	1
21016	3	11	2	2	2
21017	1	2	1	1	1
21017	2	19	5	4	4
21018	1	2	1	1	1
21018	2	11	3	4	4
21018	3	19	4	4	4
21019	1	2	1	1	1
21019	2	19	5	2	3
21020	1	2	1	1	1
21020	2	19	2	1	1
21021	1	2	2	2	1
21021	2	19	2	2	2
21023	1	2	1	1	1
21023	2	11	1	2	4
21023	3	19	4	2	2
21025	1	2	1	1	1
21025	2	11	4	5	5
21025	3	19	5	4	4
21030	1	2	1	1	1
21030	2	11	1	4	4
21030	3	18	1	4	4
21030	4	19	4	4	4
21031	1	2	1	1	1
21031	2	11	2	2	4
21031	3	19	4	2	2
21033	1	2	1	1	1
21033	2	19	4	2	3
21036	1	2	1	1	1
21036	2	11	2	3	4
21036	3	19	2	2	1
21037	1	2	1	1	1
21037	2	11	4	4	4
21037	3	19	4	3	3
21038	1	2	1	1	1
21038	2	19	2	1	1
21039	1	2	1	1	1
21039	2	11	2	2	4
21039	3	19	4	4	4
21039	4	18	2	4	4
21040	1	2	1	1	1
21040	2	19	4	2	2
21041	1	2	1	1	1
21041	2	19	2	1	1
21042	1	2	1	1	1
21042	2	11	3	5	5
21042	3	19	4	2	2
21043	1	2	1	1	1
21043	2	19	4	4	4
21045	1	2	1	1	1
21045	2	11	2	4	4
21045	3	19	4	2	2
21046	1	2	1	1	1
21046	2	11	1	1	1
21046	3	19	3	2	2
21047	1	2	1	1	1
21047	2	19	3	2	2
21048	1	2	1	1	1
21048	2	11	3	3	3
21048	3	19	4	2	2
31001	1	2	1	1	1
31001	2	19	3	2	1
31002	1	2	1	1	1
31002	2	19	2	1	1
31003	1	2	1	1	1
31003	2	15	2	1	1
31003	3	19	2	2	2
31006	1	2	1	1	1
31006	2	19	1	1	1
31009	1	2	1	1	1
31009	2	19	4	4	4
