CHILDCODE	MOVEIDR5	YRMOVER5	WHMOVER5	TYPKEBR5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
11006	1	2009	3	4	0	N	N	N	N	Y	N	N	N	N	N	N	N	21	88	1	4
11009	1	2008	2	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	37	88	0	 
11012	1	2006	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
11016	1	2009	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	1
11037	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	29	88	1	1
11037	2	2007	3	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
11042	1	2009	3	4	0	N	N	N	N	N	N	N	N	N	N	Y	N	34	14	0	 
21002	1	2008	2	6	0	N	N	N	N	N	N	N	N	N	N	Y	N	14	23	1	1
21016	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21016	2	2006	3	4	29	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21019	1	2008	3	2	0	N	N	N	N	Y	N	N	N	N	N	N	N	38	88	0	 
21020	1	2008	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	30	88	1	1
21020	2	2008	3	4	6	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	0	 
21021	1	2009	3	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21021	2	2008	3	6	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
21021	3	2008	3	5	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21021	4	2007	3	6	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
21021	5	2007	3	5	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21021	6	2006	3	6	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
21021	7	2006	3	5	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21030	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
21030	2	2006	4	 	38	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
21032	1	2006	3	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21036	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	38	88	0	 
21039	1	2009	2	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
21039	2	2006	4	 	26	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
31003	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31003	2	2008	3	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	22	88	1	4
31010	1	2009	3	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	4	1	5
31010	2	2008	3	4	8	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31010	3	2007	3	4	8	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31010	4	2006	3	4	7	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31012	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31012	2	2007	3	5	1	Y	 	 	 	 	 	 	 	 	 	 	 	22	88	1	4
31025	1	2009	4	 	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31025	2	2006	4	 	39	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
31031	1	2008	1	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	5	1	1
31031	2	2006	3	4	24	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
31034	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	30	88	1	1
31034	2	2008	3	5	7	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
31035	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	1
31035	2	2008	3	4	9	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	1	5
31035	3	2007	3	4	9	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	1	5
31035	4	2006	3	4	8	N	N	N	N	N	N	N	N	N	N	N	Y	5	88	1	5
31038	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31038	2	2008	3	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
31038	3	2008	3	6	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31038	4	2007	3	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31038	5	2007	3	6	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31038	6	2006	3	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
31038	7	2006	3	6	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31039	1	2006	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31039	2	2006	3	5	7	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31043	1	2006	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31043	2	2006	3	4	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
31044	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
31044	2	2008	3	5	12	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
31050	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31050	2	2008	3	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31050	3	2008	3	6	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31050	5	2007	3	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31050	6	2007	3	6	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
31050	7	2006	3	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
31050	8	2006	3	6	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
41001	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41001	2	2008	2	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
41003	1	2008	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
41009	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	7
41010	1	2008	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	2
41010	2	2008	2	4	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41011	1	2007	2	4	0	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	1	2
41012	1	2008	2	5	1	Y	 	 	 	 	 	 	 	 	 	 	 	38	88	0	 
41013	1	2008	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41013	2	2008	2	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41014	1	2009	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41014	2	2007	2	4	28	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41015	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41015	2	2008	2	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
41015	3	2008	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41015	4	2007	2	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	24	88	1	1
41015	5	2007	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41017	1	2006	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
41018	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41022	1	2008	3	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	23	1	1
41025	1	2007	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	25	88	1	1
41027	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41027	2	2008	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41029	1	2008	1	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
41030	1	2008	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	20	88	1	4
41030	2	2008	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	9	88	0	 
41030	3	2007	2	1	8	Y	 	 	 	 	 	 	 	 	 	 	 	9	88	0	 
41030	4	2006	3	6	21	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
41032	1	2006	3	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	1
41034	1	2008	1	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	2
41035	1	2009	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
41035	2	2009	2	4	2	Y	 	 	 	 	 	 	 	 	 	 	 	6	88	1	5
41040	1	2007	2	3	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	5
41040	2	2007	2	5	1	N	N	N	N	N	N	N	N	N	N	N	Y	38	88	0	 
41042	1	2007	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	1
41043	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	5	1	4
41045	1	2008	3	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	9	88	1	1
41045	2	2008	3	5	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41046	1	2009	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	2
41046	2	2008	2	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	22	88	1	2
41047	1	2006	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
41048	1	2009	3	6	0	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	0	 
41048	2	2008	3	3	20	N	N	N	Y	N	N	N	N	N	N	N	N	23	88	1	1
41050	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51001	1	2009	3	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	1
51001	2	2008	3	6	1	N	N	N	Y	N	N	N	N	N	N	N	N	22	88	1	4
51003	1	2009	2	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51003	2	2008	2	5	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
51004	1	2008	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51004	2	2007	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51004	3	2006	2	4	8	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51005	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51007	1	2008	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
51008	1	2008	2	1	0	N	N	N	Y	N	N	N	N	N	N	N	N	23	88	1	1
51008	2	2008	2	2	3	N	N	N	Y	N	N	N	N	N	N	N	N	24	88	0	 
51010	1	2008	3	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51010	2	2006	3	6	24	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
51012	1	2007	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51013	1	2008	3	1	0	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51013	2	2007	3	6	5	Y	 	 	 	 	 	 	 	 	 	 	 	22	88	1	2
51014	1	2006	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
51015	1	2008	2	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	5	1	4
51016	1	2008	2	1	0	N	N	N	Y	N	N	N	N	N	N	N	N	23	88	1	1
51017	1	2008	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
51017	2	2007	3	4	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51022	1	2007	3	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51024	1	2007	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51025	1	2007	3	5	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51027	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51027	2	2008	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	0	 
51027	3	2008	2	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51027	4	2007	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51027	5	2007	2	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51027	6	2006	1	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51030	1	2007	1	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
51031	1	2008	3	3	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51031	2	2008	3	3	5	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
51031	3	2007	2	3	12	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51036	1	2008	1	1	0	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	1	5
51037	1	2009	2	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51037	2	2006	2	1	36	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
51038	1	2008	3	2	0	Y	 	 	 	 	 	 	 	 	 	 	 	21	2	1	3
51041	1	2008	2	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	23	88	1	1
51041	2	2008	2	2	2	Y	 	 	 	 	 	 	 	 	 	 	 	22	88	1	4
51042	1	2007	3	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51043	1	2009	2	4	0	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51043	2	2008	2	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51043	3	2008	2	4	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
51043	4	2007	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	5	23	1	1
51043	5	2007	2	4	9	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51043	6	2006	2	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
51046	1	2009	3	1	0	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
51046	2	2006	3	1	4	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
51047	1	2009	3	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	21	88	1	3
51047	2	2009	3	4	1	N	N	N	N	N	N	N	Y	N	N	N	N	8	88	1	4
51047	3	2006	3	6	34	Y	 	 	 	 	 	 	 	 	 	 	 	14	88	1	4
51048	1	2008	1	6	0	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	1
51048	2	2007	3	3	7	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	1
