CHILDCODE	EDCHSTR5	EDAGR5	EDGRADER5	CMPGRDR5	SMESCHR5	TYSCR5	REGNR5	SCHNMER5
11003	1	19	37	1	1	4	7	1034
11003	2	20	38	1	1	 	 	 
11003	3	21	0	 	 	 	 	 
11003	4	22	0	 	 	 	 	 
11004	1	18	0	 	 	 	 	 
11004	2	19	0	 	 	 	 	 
11004	3	20	0	 	 	 	 	 
11004	4	21	0	 	 	 	 	 
11005	1	19	32	1	1	1	14	1540
11005	2	20	33	1	1	 	 	 
11005	3	21	34	1	1	 	 	 
11005	4	22	0	 	 	 	 	 
11006	1	19	36	1	1	1	14	1365
11006	2	20	37	1	1	 	 	 
11006	3	21	38	1	1	 	 	 
11006	4	22	39	4	1	 	 	 
11007	1	19	36	1	1	1	14	552
11007	2	20	37	1	1	 	 	 
11007	3	21	38	1	1	 	 	 
11007	4	22	39	4	1	 	 	 
11008	1	18	11	1	1	4	14	601
11008	2	19	12	1	1	 	 	 
11008	3	20	36	1	0	4	14	1366
11008	4	21	37	4	0	1	14	1445
11009	1	19	0	 	 	 	 	 
11009	2	20	0	 	 	 	 	 
11009	3	21	0	 	 	 	 	 
11009	4	22	0	 	 	 	 	 
11010	1	18	21	1	1	1	14	552
11010	2	19	32	1	1	 	 	 
11010	3	20	37	1	1	 	 	 
11010	4	21	38	4	1	 	 	 
11012	1	19	32	1	0	4	3	804
11012	2	20	33	1	1	 	 	 
11012	3	21	38	1	1	 	 	 
11012	4	22	39	4	1	 	 	 
11014	1	18	9	1	1	4	14	12
11014	2	19	10	1	1	 	 	 
11014	3	20	0	 	 	 	 	 
11014	4	21	0	 	 	 	 	 
11016	1	19	10	1	1	4	14	1367
11016	2	20	11	1	0	4	14	566
11016	3	21	12	1	1	 	 	 
11016	4	22	0	 	 	 	 	 
11017	1	19	12	2	0	4	14	429
11017	2	20	36	1	1	 	 	 
11017	3	21	33	1	1	 	 	 
11017	4	22	34	2	1	 	 	 
11018	1	19	13	1	1	4	14	1369
11018	2	20	14	1	1	 	 	 
11018	3	21	0	 	 	 	 	 
11018	4	22	0	 	 	 	 	 
11019	1	19	12	1	1	4	14	1370
11019	2	20	32	1	0	1	14	1371
11019	3	21	33	1	1	 	 	 
11019	4	22	34	4	1	 	 	 
11021	1	19	36	3	0	1	14	1365
11021	2	20	0	 	 	 	 	 
11021	3	21	0	 	 	 	 	 
11021	4	22	0	 	 	 	 	 
11022	1	19	0	 	 	 	 	 
11022	2	20	0	 	 	 	 	 
11022	3	21	0	 	 	 	 	 
11022	4	22	0	 	 	 	 	 
11024	1	19	22	1	1	1	14	570
11024	2	20	23	1	1	 	 	 
11024	3	21	35	3	1	 	 	 
11024	4	22	0	 	 	 	 	 
