CHILDCODE	ACTIDR5	ACTR5	ACTOWNR5	ACTMTHR5	ACTDYMTR5	ACTHRSR5	PYMRECR5	ERNCSHR5	ERNKNDR5	HWPAIDR5	PRFACTR5	MTHPRFR5
121024	1	11	6	12	30	10	0	 	 	 	1	12
121026	1	12	3	11	26	8	1	30	 	2	0	0
121026	2	10	2	1	30	13	0	 	 	 	1	12
121027	1	10	2	12	26	9	0	 	 	 	1	12
121028	1	3	2	12	26	8	0	 	 	 	1	12
121030	1	10	6	12	28	7	1	10000	 	5	1	12
121031	1	10	2	12	30	15	0	 	 	 	1	12
121034	1	10	6	12	30	13	0	 	 	 	1	12
121037	1	10	2	12	30	8	0	 	 	 	1	12
121038	1	9	1	6	30	12	1	60	 	2	0	0
121038	2	8	1	4	25	10	1	3500	 	4	1	12
121039	1	13	3	2	30	16	1	3225	 	4	0	-77
121040	1	10	5	3	30	6	6	0	0	88	0	0
121043	1	1	2	12	25	6	0	 	 	 	1	10
121043	2	5	3	10	5	8	1	60	 	2	1	10
121046	1	10	6	3	20	9	1	60	 	2	0	0
121047	1	9	6	12	26	9	2	 	200	2	1	12
121050	1	10	6	2	7	5	0	 	 	 	1	12
121053	1	10	6	12	16	11	1	4500	 	4	1	12
121054	1	12	3	12	20	6	1	50	 	2	1	2
121055	1	5	3	12	15	11	1	60	 	2	1	12
121055	2	1	6	3	7	5	0	 	 	 	1	12
121057	1	13	3	2	26	10	1	300	 	4	1	12
131001	1	20	2	12	26	2	0	 	 	 	1	12
131004	1	10	6	12	10	8	1	200	 	2	1	12
131005	1	11	2	12	30	2	0	 	 	 	1	12
131005	2	10	2	2	4	1	0	 	 	 	0	0
131006	1	12	3	12	30	10	1	30	 	2	1	12
131009	1	11	2	12	26	4	0	 	 	 	1	12
131009	2	10	2	12	26	3	0	 	 	 	1	12
131011	1	12	3	8	30	9	1	50	 	2	1	12
131011	2	7	2	10	22	2	0	 	 	 	1	12
131012	1	10	6	12	26	10	1	40	 	2	1	12
131012	2	1	2	3	15	5	0	 	 	 	1	2
131013	1	13	3	9	26	9	1	450	 	4	0	0
131013	2	11	2	12	30	4	0	 	 	 	1	12
131015	1	1	2	12	15	2	0	 	 	 	1	12
131015	2	12	3	12	6	4	1	60	 	2	1	7
131016	1	9	3	9	21	7	1	30	 	2	0	0
131016	2	20	2	12	15	2	0	 	 	 	1	8
131018	1	10	1	10	15	5	0	 	 	 	0	0
131018	2	7	2	12	22	2	0	 	 	 	1	12
131018	3	13	1	3	21	8	1	30	 	2	1	6
131020	1	12	3	11	26	10	1	70	 	2	1	12
131021	1	12	3	2	6	16	1	100	 	2	0	12
131022	1	10	2	9	30	8	0	 	 	 	1	12
131022	2	11	2	9	20	2	0	 	 	 	1	12
131022	3	10	6	3	30	5	1	5000	 	4	0	0
131023	1	11	2	6	15	4	0	 	 	 	1	6
131027	1	13	3	12	22	12	1	500	 	4	1	0
131027	2	11	2	12	8	1	0	 	 	 	1	12
131028	1	10	6	12	26	8	0	 	 	 	1	12
131029	1	2	2	1	8	5	0	 	 	 	1	12
131031	1	1	2	10	20	3	0	 	 	 	1	9
131031	2	4	2	12	28	2	0	 	 	 	1	12
131033	1	12	3	7	18	9	1	1500	 	3	1	12
131034	1	19	2	8	30	4	0	 	 	 	1	6
131034	2	13	3	2	26	8	1	300	 	4	1	6
131035	1	20	2	6	21	3	0	 	 	 	1	6
131036	1	11	2	11	26	3	0	 	 	 	1	12
131038	1	20	2	12	26	4	0	 	 	 	1	12
131039	1	1	2	6	18	5	0	 	 	 	1	8
131039	2	4	2	12	30	3	0	 	 	 	1	12
131042	1	10	2	10	15	4	0	 	 	 	1	12
131042	2	20	2	12	28	2	0	 	 	 	1	12
131045	1	20	2	12	26	5	0	 	 	 	1	9
131046	1	9	6	12	26	10	0	 	 	 	1	12
131046	2	20	2	10	15	2	0	 	 	 	1	12
131047	1	12	3	6	19	8	1	800	 	3	1	12
131048	1	13	3	6	29	14	1	800	 	4	1	12
141001	1	9	1	3	30	10	1	3000	 	4	1	-77
141004	1	12	1	4	3	12	1	50	 	2	1	5
141006	1	4	2	10	8	6	0	 	 	 	1	12
141006	2	9	6	1	2	12	0	 	 	 	0	0
141007	1	13	3	5	25	12	1	700	 	4	0	0
141007	2	13	4	4	22	8	1	750	 	4	1	12
141009	1	13	3	12	26	5	1	7800	 	5	1	12
141010	1	10	6	12	7	4	1	500	 	4	1	12
141011	1	13	4	12	22	5	1	582	 	4	1	-77
141013	1	10	2	3	10	1	0	 	 	 	1	3
141015	1	11	1	5	26	3	1	1000	 	4	1	12
141016	1	13	1	9	26	8	1	700	 	4	1	10
141017	1	4	2	12	30	1	0	 	 	 	1	12
141020	1	10	6	12	30	11	1	600	 	4	1	12
141022	1	10	6	12	24	6	1	2500	 	4	1	12
141025	1	4	2	12	10	1	0	 	 	 	1	12
141026	1	9	6	12	4	8	1	800	 	4	1	12
141028	1	5	1	9	27	12	1	80	 	2	1	5
141028	2	2	6	4	12	3	1	1200	 	4	0	8
141030	1	9	1	10	1	3	3	200	200	4	1	10
141038	1	10	2	12	26	5	3	50	25	3	1	12
141039	1	9	1	9	23	8	1	1957	 	4	1	12
141040	1	13	1	6	15	8	1	600	 	3	1	12
141041	1	13	1	1	23	9	1	150	 	4	0	0
141042	1	8	1	6	26	5	3	6000	500	5	1	12
141045	1	2	6	12	16	6	1	40	 	4	1	2
141047	1	10	6	12	10	2	1	1000	 	4	1	12
141048	1	10	7	1	26	12	3	1500	2000	4	0	2
151001	1	10	6	12	25	10	1	900	 	4	1	12
151001	2	1	2	8	5	3	0	 	 	 	1	8
151004	1	5	3	2	26	8	1	800	 	4	1	-77
151004	2	2	2	3	10	10	0	 	 	 	1	3
151005	1	10	6	7	20	4	1	1000	 	4	0	-77
151005	2	12	1	1	30	9	1	70	 	2	1	12
151008	1	10	6	12	25	4	1	420	 	4	1	12
151008	2	3	2	5	10	4	0	 	 	 	1	5
151009	1	13	1	5	20	8	1	1800	 	4	0	-77
151009	2	3	2	4	25	4	0	 	 	 	1	6
151010	1	1	2	6	10	3	0	 	 	 	1	8
151012	1	12	3	7	30	8	1	60	 	2	1	12
151012	2	2	2	6	10	6	0	 	 	 	1	8
151014	1	1	6	2	10	10	1	100	 	3	1	12
151015	1	10	6	4	22	9	1	10	 	2	1	-77
151015	2	2	2	12	20	6	0	 	 	 	1	12
151016	1	4	2	3	4	1	0	 	 	 	0	0
151016	2	1	2	3	6	6	0	 	 	 	1	12
151018	1	10	6	12	20	10	1	60	 	4	1	6
151019	1	1	2	3	15	6	0	 	 	 	1	5
151020	1	3	2	6	12	7	0	 	 	 	1	7
151020	2	10	6	9	3	10	1	2100	 	4	0	10
151023	1	2	2	7	30	12	0	 	 	 	0	0
151023	2	1	2	8	6	5	0	 	 	 	1	8
151023	3	5	1	5	30	8	1	1200	 	4	1	12
151024	1	10	2	12	30	4	0	 	 	 	1	12
151024	2	1	2	2	4	8	0	 	 	 	0	2
151025	1	10	6	12	18	12	1	3000	 	4	1	12
151026	1	10	6	12	20	10	1	30	 	2	1	12
151026	2	20	7	12	10	8	1	50	 	2	1	12
151026	3	1	2	3	5	4	0	 	 	 	1	12
151027	1	3	2	4	15	2	0	 	 	 	1	5
151028	1	10	6	12	22	10	1	200	 	2	1	12
151028	2	3	2	3	4	8	0	 	 	 	0	3
151030	1	1	3	8	28	6	0	 	 	 	0	12
151030	2	4	3	9	20	2	0	 	 	 	0	-77
151031	1	1	2	12	5	4	0	 	 	 	1	2
151032	1	13	1	8	26	13	1	100	 	2	1	12
151032	2	3	2	3	10	3	0	 	 	 	1	2
151033	1	10	2	10	26	12	0	 	 	 	1	12
151034	1	10	3	3	26	14	0	 	 	 	0	0
151034	2	1	3	1	1	5	0	 	 	 	0	0
151039	1	1	2	2	10	3	0	 	 	 	1	5
151041	1	1	2	6	17	7	0	 	 	 	1	6
151042	1	1	2	6	7	5	0	 	 	 	1	4
151042	2	9	6	7	30	14	1	1000	 	4	1	12
151043	1	1	2	3	10	2	0	 	 	 	1	3
151044	1	10	2	12	25	8	1	100	 	3	1	12
151044	2	1	2	5	4	6	0	 	 	 	1	6
151045	1	1	3	6	5	4	0	 	 	 	0	0
151045	2	4	3	6	8	8	0	 	 	 	0	0
151045	3	12	1	6	24	9	1	30	 	2	1	12
151049	1	10	2	12	24	10	1	-77	 	88	1	12
151049	2	4	2	12	30	1	0	 	 	 	1	12
151049	3	1	2	3	10	2	0	 	 	 	1	12
151051	1	1	2	3	12	5	0	 	 	 	1	2
151052	1	4	2	12	18	3	0	 	 	 	1	12
151052	2	1	2	8	6	5	0	 	 	 	1	7
151053	1	1	2	6	10	5	0	 	 	 	1	6
151054	1	1	2	6	24	7	0	 	 	 	1	6
151056	1	10	2	10	8	6	1	2000	 	4	1	12
151056	2	1	2	3	20	5	0	 	 	 	1	3
151057	1	2	2	12	15	4	0	 	 	 	1	12
151058	1	1	2	3	1	4	0	 	 	 	1	-77
151059	1	10	6	12	30	12	1	500	 	3	1	12
151067	1	1	2	12	5	5	0	 	 	 	1	12
151068	1	3	2	6	20	4	0	 	 	 	1	6
151069	1	1	2	11	12	4	0	 	 	 	1	10
151069	2	10	6	4	22	9	1	30	 	2	1	12
151070	1	1	2	12	20	5	0	 	 	 	1	12
161003	1	10	6	6	30	10	0	 	 	 	0	0
161006	1	12	3	12	24	10	1	200	 	2	1	12
161007	1	1	2	4	15	4	0	 	 	 	1	4
161008	1	1	2	6	22	6	0	 	 	 	1	6
161008	2	2	3	3	26	8	1	700	 	4	0	-77
161009	1	11	2	12	20	2	0	 	 	 	1	2
161009	2	1	2	7	20	4	0	 	 	 	1	2
161009	3	5	3	2	10	6	0	 	 	 	1	2
161010	1	13	3	2	30	10	1	700	 	4	0	-77
161010	2	1	2	1	16	5	0	 	 	 	1	4
161011	1	1	2	6	18	5	0	 	 	 	1	6
161013	1	19	3	11	28	7	1	5000	 	4	0	12
161016	1	13	4	10	22	4	1	1400	 	4	0	0
161016	2	1	2	2	13	5	0	 	 	 	1	4
161017	1	12	1	9	22	9	1	1500	 	4	0	12
161018	1	1	2	5	10	6	0	 	 	 	1	12
161018	2	12	3	2	26	9	1	90	 	2	0	0
161019	1	1	2	8	6	8	0	 	 	 	1	6
161020	1	11	2	11	30	9	0	 	 	 	1	12
161020	2	1	2	5	20	8	0	 	 	 	1	5
161021	1	19	3	10	29	10	1	700	 	4	0	10
161021	2	11	2	2	30	6	0	 	 	 	1	2
161022	1	1	2	7	10	5	0	 	 	 	1	12
161022	2	10	6	6	4	5	1	30	 	2	0	6
161023	1	1	2	2	10	2	0	 	 	 	0	2
161023	2	4	2	3	26	2	0	 	 	 	1	3
161024	1	1	2	6	20	4	0	 	 	 	1	6
161025	1	19	3	2	30	11	1	600	 	4	0	12
161026	1	19	3	6	30	8	1	800	 	4	0	11
161026	2	11	2	12	25	3	0	 	 	 	1	3
161029	1	11	2	12	30	3	0	 	 	 	1	12
161030	1	1	2	6	18	3	0	 	 	 	1	5
161030	2	4	2	10	26	2	0	 	 	 	1	10
161031	1	11	2	12	30	6	0	 	 	 	1	12
161031	2	1	2	5	15	6	0	 	 	 	1	5
161032	1	4	2	12	26	2	0	 	 	 	1	12
161032	2	1	2	12	30	3	0	 	 	 	1	12
161034	1	1	2	12	30	2	0	 	 	 	1	12
161034	2	11	2	12	30	3	0	 	 	 	1	12
161035	1	6	3	12	30	5	1	100	 	2	1	-77
161037	1	1	2	12	24	3	0	 	 	 	1	9
161037	2	4	2	12	25	3	0	 	 	 	1	10
161038	1	10	2	11	30	4	1	10000	 	4	1	12
161038	2	11	2	11	30	2	0	 	 	 	1	12
161038	3	4	2	11	30	1	0	 	 	 	1	12
161039	1	11	2	7	30	9	0	 	 	 	1	12
161039	2	1	2	5	20	2	0	 	 	 	1	5
161041	1	19	3	11	28	14	1	700	 	4	1	-77
161042	1	4	2	12	28	5	0	 	 	 	1	12
161042	2	1	2	12	24	5	0	 	 	 	1	8
161043	1	1	2	6	4	4	0	 	 	 	1	12
161044	1	9	1	12	26	10	1	700	 	4	1	12
161045	2	4	2	12	28	2	0	 	 	 	1	12
161045	3	1	2	6	18	4	0	 	 	 	1	6
161046	1	4	2	10	30	5	0	 	 	 	1	0
161046	2	11	2	12	30	3	0	 	 	 	1	0
161046	3	1	2	4	29	5	0	 	 	 	0	0
161047	1	10	2	11	30	10	0	 	 	 	1	10
161047	2	1	2	2	15	7	0	 	 	 	1	1
161048	1	13	1	12	26	8	1	600	 	4	0	12
161048	2	11	2	1	6	6	0	 	 	 	1	1
161049	1	11	2	11	30	5	0	 	 	 	1	12
161049	2	4	2	11	30	2	0	 	 	 	1	12
161050	1	11	2	12	26	5	0	 	 	 	1	12
161050	2	1	2	4	15	5	0	 	 	 	1	4
171001	1	1	2	4	6	6	0	 	 	 	1	4
171002	1	1	2	4	15	6	0	 	 	 	1	4
171003	1	1	2	2	5	6	0	 	 	 	1	2
171005	1	13	1	6	26	8	1	800	 	4	1	12
171006	1	12	1	12	16	6	1	900	 	4	1	12
171007	1	10	3	6	26	10	0	 	 	 	1	12
171008	1	12	3	5	22	9	1	500	 	3	0	0
171008	2	1	2	2	15	8	0	 	 	 	1	0
171009	1	10	6	12	26	10	1	3000	 	4	1	12
171010	1	10	2	12	30	6	0	 	 	 	1	12
171012	1	5	1	4	14	11	1	1200	 	4	0	6
171012	2	1	2	2	20	12	0	 	 	 	1	2
171013	1	19	3	12	30	8	0	 	 	 	1	12
171014	1	13	1	6	26	10	1	900	 	4	1	12
171017	1	1	2	3	5	10	0	 	 	 	1	3
171017	2	5	1	2	4	8	1	40	 	2	1	3
171019	1	1	2	2	5	8	0	 	 	 	1	2
171021	1	1	2	6	20	8	0	 	 	 	1	6
171021	2	9	2	2	15	11	0	 	 	 	1	10
171022	1	1	2	4	17	10	0	 	 	 	1	0
171023	1	1	2	11	26	9	0	 	 	 	1	8
171023	2	12	3	1	23	8	1	150	 	2	0	2
171025	1	1	2	4	5	4	0	 	 	 	0	4
171026	1	1	2	8	20	10	0	 	 	 	1	10
171026	2	4	2	4	20	12	0	 	 	 	0	4
171028	1	1	2	3	7	8	0	 	 	 	1	3
171029	1	1	2	12	10	3	0	 	 	 	0	0
171029	2	13	1	1	26	8	1	800	 	4	1	12
171030	1	13	1	4	26	8	1	200	 	3	1	12
171031	1	10	6	3	30	8	1	2000	 	4	1	12
171032	1	1	2	10	22	10	0	 	 	 	1	2
171032	2	12	3	2	26	11	1	1500	 	4	0	4
171033	1	13	1	12	26	9	1	910	 	4	1	12
171034	1	13	1	12	24	10	1	800	 	4	1	12
171039	1	1	2	2	24	8	0	 	 	 	0	2
171040	1	1	2	8	20	8	0	 	 	 	1	12
171040	2	4	2	12	15	10	0	 	 	 	1	12
171042	1	12	1	6	26	8	1	1600	 	4	1	12
171043	1	10	3	12	30	7	0	 	 	 	1	12
171045	1	12	1	12	26	8	1	1000	 	4	1	12
171046	1	1	2	6	20	8	0	 	 	 	1	12
171046	2	11	2	6	15	10	0	 	 	 	1	6
171047	1	1	2	7	15	6	0	 	 	 	1	7
171048	1	1	2	3	15	6	0	 	 	 	0	3
171049	1	1	2	8	5	8	0	 	 	 	1	8
171050	1	1	2	2	3	5	0	 	 	 	1	2
181001	1	4	2	12	22	5	0	 	 	 	1	6
181001	2	1	2	6	10	5	0	 	 	 	1	0
181001	3	13	4	1	22	2	1	500	 	4	1	6
181001	4	5	1	1	7	10	1	50	 	2	1	1
181002	1	10	6	12	30	12	0	 	 	 	1	12
181003	1	20	1	5	26	8	1	300	 	3	1	1
181004	1	12	3	10	30	10	3	1200	900	4	1	5
181004	2	1	2	2	10	8	0	 	 	 	1	4
181005	1	13	1	12	26	8	1	1500	 	4	1	12
181007	1	13	1	12	30	14	3	600	1400	4	1	2
181008	1	13	1	4	30	12	1	1000	 	4	1	5
181010	1	1	2	2	5	4	0	 	 	 	1	1
181010	2	4	2	4	3	2	0	 	 	 	1	1
181012	1	9	6	12	30	12	1	120	 	2	1	12
181013	1	1	2	12	15	5	0	 	 	 	1	12
181013	2	5	3	3	10	10	1	120	 	2	1	2
181014	1	10	6	12	30	12	1	50	 	2	1	12
181016	1	19	3	9	26	12	1	500	 	4	1	8
181016	2	1	2	4	4	6	0	 	 	 	1	5
181017	1	4	2	12	15	6	0	 	 	 	1	5
181017	2	1	2	3	10	7	0	 	 	 	1	1
181018	1	1	2	12	30	2	0	 	 	 	1	0
181018	2	4	2	12	7	6	0	 	 	 	1	1
181018	3	10	3	10	4	6	1	120	 	4	1	1
181019	1	13	3	12	26	8	1	600	 	3	1	12
181021	1	13	3	8	26	12	1	3000	 	4	0	0
181021	2	12	3	1	30	18	1	2000	 	4	1	5
181022	1	19	3	2	26	12	1	750	 	4	1	-88
181023	1	13	3	12	26	14	3	600	1000	4	1	12
181024	1	10	6	4	30	10	1	4000	 	4	1	12
181025	1	10	6	12	30	9	1	5000	 	4	1	12
181027	1	4	2	12	15	8	0	 	 	 	1	5
181027	2	1	2	6	10	6	0	 	 	 	1	12
181028	1	13	3	12	30	12	3	800	800	4	1	1
181029	1	13	3	12	29	9	1	1100	 	4	1	12
181031	1	4	2	5	5	4	0	 	 	 	1	12
181032	1	13	1	12	30	12	1	900	 	4	1	12
181033	1	10	2	8	30	12	0	 	 	 	0	0
181034	1	10	2	12	7	5	0	 	 	 	1	12
181036	1	13	3	1	15	4	0	 	 	 	0	0
181036	2	1	3	6	30	8	1	1100	 	4	1	1
181037	1	4	2	12	25	3	0	 	 	 	1	6
181037	2	1	2	4	15	5	0	 	 	 	1	0
181038	1	20	3	8	28	12	1	1000	 	4	1	12
181039	1	13	4	10	20	6	1	1439	 	4	1	12
181040	1	12	1	4	30	6	3	1000	400	4	0	10
181040	2	1	2	1	10	8	0	 	 	 	0	2
181041	1	13	3	11	30	8	1	1000	 	4	1	4
181041	2	1	2	1	16	1	0	 	 	 	0	2
181043	1	13	4	2	26	8	1	1400	 	4	1	12
181045	1	19	3	6	28	14	1	700	 	4	1	6
181047	1	4	2	12	10	3	0	 	 	 	1	5
181047	2	1	2	7	10	4	0	 	 	 	1	12
181048	1	19	3	4	26	8	1	550	 	4	0	0
181048	2	4	2	3	15	3	0	 	 	 	1	6
181048	3	1	2	2	10	3	0	 	 	 	1	6
181049	1	13	1	12	20	11	1	100	 	2	1	12
181049	2	1	2	1	20	6	0	 	 	 	0	1
181050	1	10	2	12	30	12	0	 	 	 	1	12
191001	1	10	2	12	25	10	0	 	 	 	1	3
191002	1	12	3	7	30	15	3	400	1100	4	1	5
191003	1	10	6	5	26	11	1	2080	 	4	1	12
191004	1	10	2	12	30	8	0	 	 	 	1	12
191005	1	12	3	3	26	8	1	1200	 	4	0	0
191006	1	12	1	4	22	8	1	1000	 	4	1	12
191007	1	13	4	4	20	8	1	1500	 	4	1	12
191009	1	10	2	12	30	10	0	 	 	 	1	10
191010	1	12	1	1	30	15	1	1600	 	4	0	0
191012	1	19	3	1	30	12	1	700	 	4	0	6
191013	1	12	3	2	30	7	1	1000	 	4	1	12
191014	1	10	2	11	8	8	0	 	 	 	0	0
191014	2	13	3	1	30	10	1	500	 	4	1	6
191015	1	12	4	8	15	6	1	70	 	2	1	0
191016	1	4	2	12	30	2	0	 	 	 	1	12
191016	2	10	6	12	30	12	1	400	 	3	1	12
191017	1	10	2	12	8	9	0	 	 	 	1	6
191018	1	9	2	12	30	12	0	 	 	 	1	12
191022	1	13	3	1	26	12	1	2200	 	4	1	12
191024	1	4	2	12	15	1	0	 	 	 	1	1
191026	1	10	2	12	15	4	1	200	 	4	1	0
191026	2	9	2	12	4	6	0	 	 	 	1	12
191030	1	19	3	12	30	19	1	6000	 	4	0	0
191030	2	10	2	9	16	6	0	 	 	 	1	0
191031	1	13	3	11	26	10	1	400	 	3	1	12
191032	1	10	2	7	30	12	0	 	 	 	1	12
191033	1	10	2	2	10	4	0	 	 	 	0	2
191036	1	19	3	6	30	15	1	500	 	4	0	0
191036	2	13	1	3	24	12	1	1200	 	4	0	6
191037	1	10	2	3	10	4	0	 	 	 	1	2
191039	1	12	3	12	24	11	1	750	 	4	1	8
191040	1	10	2	3	25	10	0	 	 	 	1	12
191042	1	10	2	6	30	6	0	 	 	 	0	0
191042	2	13	3	6	30	8	1	700	 	4	1	12
191043	1	10	6	9	30	9	1	60	 	2	0	3
191043	2	3	2	3	30	2	0	 	 	 	0	2
191047	1	12	3	2	25	8	1	4000	 	4	0	0
191049	1	2	2	2	20	3	0	 	 	 	0	1
191050	1	12	3	8	30	12	1	4500	 	4	0	8
201001	1	13	1	9	30	14	1	4000	 	4	1	12
201003	1	20	3	9	18	8	1	80	 	2	0	0
201005	1	13	1	6	30	14	1	2500	 	4	0	0
201009	1	13	1	12	26	8	1	2200	 	4	1	12
201010	1	13	4	12	30	8	1	2500	 	4	1	12
201012	1	1	2	4	12	8	0	 	 	 	1	2
201013	1	19	3	10	30	7	1	500	 	4	1	7
201017	1	12	1	2	20	8	1	1300	 	4	1	12
201018	1	1	2	12	24	8	0	 	 	 	1	12
201019	1	13	7	12	26	8	1	1800	 	4	1	12
201020	1	10	2	7	30	14	0	 	 	 	0	12
201021	1	9	6	12	30	12	1	70	 	2	1	12
201022	1	13	1	7	26	10	1	2600	 	4	0	0
201027	1	10	2	12	30	12	0	 	 	 	1	12
201028	1	10	2	5	26	10	0	 	 	 	1	12
201028	2	1	2	4	10	6	0	 	 	 	0	0
201029	1	1	2	12	20	8	0	 	 	 	1	12
201030	1	13	1	12	26	15	1	500	 	4	1	12
201031	1	12	1	5	24	12	1	31000	 	7	0	0
201031	2	10	6	0	7	14	1	50	 	2	1	12
201032	1	1	2	5	10	6	0	 	 	 	1	12
201035	1	1	2	2	30	5	0	 	 	 	1	2
201036	1	1	2	6	15	6	0	 	 	 	1	0
201037	1	12	1	3	12	10	1	70	 	2	1	5
201039	1	13	1	7	26	8	1	300	 	3	1	5
201039	2	1	2	1	5	2	0	 	 	 	0	1
201042	1	1	2	12	20	8	0	 	 	 	1	12
201044	1	13	4	10	24	8	1	1200	 	4	0	0
201046	1	12	3	5	22	9	1	90	 	2	0	5
201046	2	1	2	3	14	10	0	 	 	 	1	1
201047	1	13	3	5	30	8	1	5000	 	4	0	7
201049	1	19	3	4	30	10	1	400	 	4	0	0
201049	2	10	6	8	30	12	0	 	 	 	1	12
