CHILDCODE	SLVSIDR5	SOWNLVR5	SNMOWNR5	SVLOWNR5
11018	16	 	 	 
11018	17	 	 	 
11018	31	 	 	 
11018	32	 	 	 
11019	1	 	 	 
11019	2	 	 	 
11019	3	 	 	 
11019	4	 	 	 
11019	6	 	 	 
11019	9	 	 	 
11019	10	 	 	 
11019	11	 	 	 
11019	12	 	 	 
11019	13	 	 	 
11019	14	 	 	 
11019	15	 	 	 
11019	16	 	 	 
11019	17	 	 	 
11019	31	 	 	 
11019	32	 	 	 
11021	1	 	 	 
11021	2	 	 	 
11021	3	 	 	 
11021	4	 	 	 
11021	6	 	 	 
11021	9	 	 	 
11021	10	 	 	 
11021	11	 	 	 
11021	12	 	 	 
11021	13	 	 	 
11021	14	 	 	 
11021	15	 	 	 
11021	16	 	 	 
11021	17	 	 	 
11021	31	 	 	 
11021	32	 	 	 
11022	1	 	 	 
11022	2	 	 	 
11022	3	 	 	 
11022	4	 	 	 
11022	6	 	 	 
11022	9	 	 	 
11022	10	 	 	 
11022	11	 	 	 
11022	12	 	 	 
11022	13	 	 	 
11022	14	 	 	 
11022	15	 	 	 
11022	16	 	 	 
11022	17	 	 	 
11022	31	 	 	 
11022	32	 	 	 
11024	1	 	 	 
11024	2	 	 	 
11024	3	 	 	 
11024	4	 	 	 
11024	6	 	 	 
11024	9	 	 	 
11024	10	 	 	 
11024	11	 	 	 
11024	12	 	 	 
11024	13	 	 	 
11024	14	 	 	 
11024	15	 	 	 
11024	16	 	 	 
11024	17	 	 	 
11024	31	 	 	 
11024	32	 	 	 
11025	1	 	 	 
11025	2	 	 	 
11025	3	 	 	 
11025	4	 	 	 
11025	6	 	 	 
11025	9	 	 	 
11025	10	 	 	 
11025	11	 	 	 
11025	12	 	 	 
11025	13	 	 	 
11025	14	 	 	 
11025	15	 	 	 
11025	16	 	 	 
11025	17	 	 	 
11025	31	 	 	 
11025	32	 	 	 
11026	1	 	 	 
11026	2	 	 	 
11026	3	 	 	 
11026	4	 	 	 
11026	6	 	 	 
11026	9	 	 	 
11026	10	 	 	 
11026	11	 	 	 
11026	12	 	 	 
11026	13	 	 	 
11026	14	 	 	 
11026	15	 	 	 
11026	16	 	 	 
11026	17	 	 	 
11026	31	 	 	 
11026	32	 	 	 
11027	1	 	 	 
11027	2	 	 	 
11027	3	 	 	 
11027	4	 	 	 
11027	6	 	 	 
11027	9	 	 	 
11027	10	 	 	 
11027	11	 	 	 
11027	12	 	 	 
11027	13	 	 	 
11027	14	 	 	 
11027	15	 	 	 
11027	16	 	 	 
11027	17	 	 	 
11027	31	 	 	 
11027	32	 	 	 
11028	1	 	 	 
11028	2	 	 	 
11028	3	 	 	 
11028	4	 	 	 
11028	6	 	 	 
11028	9	 	 	 
11028	10	 	 	 
11028	11	 	 	 
11028	12	 	 	 
11028	13	 	 	 
11028	14	 	 	 
11028	15	 	 	 
11028	16	 	 	 
11028	17	 	 	 
11028	31	 	 	 
11028	32	 	 	 
11029	1	 	 	 
11029	2	 	 	 
11029	3	 	 	 
11029	4	 	 	 
11029	6	 	 	 
11029	9	 	 	 
11029	10	 	 	 
11029	11	 	 	 
11029	12	 	 	 
11029	13	 	 	 
11029	14	 	 	 
11029	15	 	 	 
11029	16	 	 	 
11029	17	 	 	 
11029	31	 	 	 
11029	32	 	 	 
11030	1	 	 	 
11030	2	 	 	 
11030	3	 	 	 
11030	4	 	 	 
11030	6	 	 	 
11030	9	 	 	 
11030	10	 	 	 
11030	11	 	 	 
11030	12	 	 	 
11030	13	 	 	 
11030	14	 	 	 
11030	15	 	 	 
11030	16	 	 	 
11030	17	 	 	 
11030	31	 	 	 
11030	32	 	 	 
11031	1	 	 	 
11031	2	 	 	 
11031	3	 	 	 
11031	4	 	 	 
11031	6	 	 	 
11031	9	 	 	 
11031	10	 	 	 
11031	11	 	 	 
11031	12	 	 	 
11031	13	 	 	 
11031	14	 	 	 
11031	15	 	 	 
11031	16	 	 	 
11031	17	 	 	 
11031	31	 	 	 
11031	32	 	 	 
11032	1	 	 	 
11032	2	 	 	 
11032	3	 	 	 
11032	4	 	 	 
11032	6	 	 	 
11032	9	 	 	 
11032	10	 	 	 
11032	11	 	 	 
11032	12	 	 	 
11032	13	 	 	 
11032	14	 	 	 
11032	15	 	 	 
11032	16	 	 	 
11032	17	 	 	 
11032	31	 	 	 
11032	32	 	 	 
11033	1	 	 	 
11033	2	 	 	 
11033	3	 	 	 
11033	4	 	 	 
11033	6	 	 	 
11033	9	 	 	 
11033	10	 	 	 
11033	11	 	 	 
11033	12	 	 	 
11033	13	 	 	 
11033	14	 	 	 
11033	15	 	 	 
11033	16	 	 	 
11033	17	 	 	 
11033	31	 	 	 
11033	32	 	 	 
11034	1	 	 	 
11034	2	 	 	 
11034	3	 	 	 
11034	4	 	 	 
11034	6	 	 	 
11034	9	 	 	 
11034	10	 	 	 
11034	11	 	 	 
11034	12	 	 	 
11034	13	 	 	 
11034	14	 	 	 
11034	15	 	 	 
11034	16	 	 	 
11034	17	 	 	 
11034	31	 	 	 
11034	32	 	 	 
11037	1	 	 	 
11037	2	 	 	 
11037	3	 	 	 
11037	4	 	 	 
11037	6	 	 	 
11037	9	 	 	 
11037	10	 	 	 
11037	11	 	 	 
11037	12	 	 	 
11037	13	 	 	 
11037	14	 	 	 
11037	15	 	 	 
11037	16	 	 	 
11037	17	 	 	 
11037	31	 	 	 
11037	32	 	 	 
11038	1	 	 	 
11038	2	 	 	 
11038	3	 	 	 
11038	4	 	 	 
11038	6	 	 	 
11038	9	 	 	 
11038	10	 	 	 
11038	11	 	 	 
11038	12	 	 	 
11038	13	 	 	 
11038	14	 	 	 
11038	15	 	 	 
11038	16	 	 	 
11038	17	 	 	 
11038	31	 	 	 
11038	32	 	 	 
11039	1	 	 	 
11039	2	 	 	 
11039	3	 	 	 
11039	4	 	 	 
11039	6	 	 	 
11039	9	 	 	 
11039	10	 	 	 
11039	11	 	 	 
11039	12	 	 	 
11039	13	 	 	 
11039	14	 	 	 
11039	15	 	 	 
11039	16	 	 	 
11039	17	 	 	 
11039	31	 	 	 
11039	32	 	 	 
11040	1	 	 	 
11040	2	 	 	 
11040	3	 	 	 
11040	4	 	 	 
11040	6	 	 	 
11040	9	 	 	 
11040	10	 	 	 
11040	11	 	 	 
11040	12	 	 	 
11040	13	 	 	 
11040	14	 	 	 
11040	15	 	 	 
11040	16	 	 	 
11040	17	 	 	 
11040	31	 	 	 
11040	32	 	 	 
11041	1	 	 	 
11041	2	 	 	 
11041	3	 	 	 
11041	4	 	 	 
11041	6	 	 	 
11041	9	 	 	 
11041	10	 	 	 
11041	11	 	 	 
11041	12	 	 	 
11041	13	 	 	 
11041	14	 	 	 
11041	15	 	 	 
11041	16	 	 	 
11041	17	 	 	 
11041	31	 	 	 
11041	32	 	 	 
11042	1	 	 	 
11042	2	 	 	 
11042	3	 	 	 
11042	4	 	 	 
11042	6	 	 	 
11042	9	 	 	 
11042	10	 	 	 
11042	11	 	 	 
11042	12	 	 	 
11042	13	 	 	 
11042	14	 	 	 
11042	15	 	 	 
11042	16	 	 	 
11042	17	 	 	 
11042	31	 	 	 
11042	32	 	 	 
11043	1	 	 	 
11043	2	 	 	 
11043	3	 	 	 
11043	4	 	 	 
11043	6	 	 	 
11043	9	 	 	 
11043	10	 	 	 
11043	11	 	 	 
11043	12	 	 	 
11043	13	 	 	 
11043	14	 	 	 
11043	15	 	 	 
11043	16	 	 	 
11043	17	 	 	 
11043	31	 	 	 
11043	32	 	 	 
11045	1	 	 	 
11045	2	 	 	 
11045	3	 	 	 
11045	4	 	 	 
11045	6	 	 	 
11045	9	 	 	 
11045	10	 	 	 
11045	11	 	 	 
11045	12	 	 	 
11045	13	 	 	 
11045	14	 	 	 
11045	15	 	 	 
11045	16	 	 	 
11045	17	 	 	 
11045	31	 	 	 
11045	32	 	 	 
11046	1	 	 	 
11046	2	 	 	 
11046	3	 	 	 
11046	4	 	 	 
11046	6	 	 	 
11046	9	 	 	 
11046	10	 	 	 
11046	11	 	 	 
11046	12	 	 	 
11046	13	 	 	 
11046	14	 	 	 
11046	15	 	 	 
11046	16	 	 	 
11046	17	 	 	 
11046	31	 	 	 
11046	32	 	 	 
11048	1	 	 	 
11048	2	 	 	 
11048	3	 	 	 
11048	4	 	 	 
11048	6	 	 	 
11048	9	 	 	 
11048	10	 	 	 
11048	11	 	 	 
11048	12	 	 	 
11048	13	 	 	 
11048	14	 	 	 
11048	15	 	 	 
11048	16	 	 	 
11048	17	 	 	 
11048	31	 	 	 
11048	32	 	 	 
21002	1	 	 	 
21002	2	 	 	 
21002	3	 	 	 
21002	4	 	 	 
21002	6	 	 	 
21002	9	 	 	 
21002	10	 	 	 
21002	11	 	 	 
21002	12	 	 	 
21002	13	 	 	 
21002	14	 	 	 
21002	15	 	 	 
21002	16	 	 	 
21002	17	 	 	 
21002	31	 	 	 
21002	32	 	 	 
21003	1	 	 	 
21003	2	 	 	 
21003	3	 	 	 
21003	4	 	 	 
21003	6	 	 	 
21003	9	 	 	 
21003	10	 	 	 
21003	11	 	 	 
21003	12	 	 	 
21003	13	 	 	 
21003	14	 	 	 
21003	15	 	 	 
21003	16	 	 	 
21003	17	 	 	 
21003	31	 	 	 
21003	32	 	 	 
21004	1	 	 	 
21004	2	 	 	 
21004	3	 	 	 
21004	4	 	 	 
21004	6	 	 	 
21004	9	 	 	 
21004	10	 	 	 
21004	11	 	 	 
21004	12	 	 	 
21004	13	 	 	 
21004	14	 	 	 
21004	15	 	 	 
21004	16	 	 	 
21004	17	 	 	 
21004	31	 	 	 
21004	32	 	 	 
21005	1	 	 	 
21005	2	 	 	 
21005	3	 	 	 
21005	4	 	 	 
21005	6	 	 	 
21005	9	 	 	 
21005	10	 	 	 
21005	11	 	 	 
21005	12	 	 	 
21005	13	 	 	 
21005	14	 	 	 
21005	15	 	 	 
21005	16	 	 	 
21005	17	 	 	 
21005	31	 	 	 
21005	32	 	 	 
21006	1	 	 	 
21006	2	 	 	 
21006	3	 	 	 
21006	4	 	 	 
21006	6	 	 	 
21006	9	 	 	 
21006	10	 	 	 
21006	11	 	 	 
21006	12	 	 	 
21006	13	 	 	 
21006	14	 	 	 
21006	15	 	 	 
21006	16	 	 	 
21006	17	 	 	 
21006	31	 	 	 
21006	32	 	 	 
21007	1	 	 	 
21007	2	 	 	 
21007	3	 	 	 
21007	4	 	 	 
21007	6	 	 	 
21007	9	 	 	 
21007	10	 	 	 
21007	11	 	 	 
21007	12	 	 	 
21007	13	 	 	 
21007	14	 	 	 
21007	15	 	 	 
21007	16	 	 	 
21007	17	 	 	 
21007	31	 	 	 
21007	32	 	 	 
21008	1	 	 	 
21008	2	 	 	 
21008	3	 	 	 
21008	4	 	 	 
21008	6	 	 	 
21008	9	 	 	 
21008	10	 	 	 
21008	11	 	 	 
21008	12	 	 	 
21008	13	 	 	 
21008	14	 	 	 
21008	15	 	 	 
21008	16	 	 	 
21008	17	 	 	 
21008	31	 	 	 
21008	32	 	 	 
21010	1	 	 	 
21010	2	 	 	 
21010	3	 	 	 
21010	4	 	 	 
21010	6	 	 	 
21010	9	 	 	 
21010	10	 	 	 
21010	11	 	 	 
21010	12	 	 	 
21010	13	 	 	 
21010	14	 	 	 
21010	15	 	 	 
21010	16	 	 	 
21010	17	 	 	 
21010	31	 	 	 
21010	32	 	 	 
21011	1	 	 	 
21011	2	 	 	 
21011	3	 	 	 
21011	4	 	 	 
21011	6	 	 	 
21011	9	 	 	 
21011	10	 	 	 
21011	11	 	 	 
21011	12	 	 	 
21011	13	 	 	 
21011	14	 	 	 
21011	15	 	 	 
21011	16	 	 	 
21011	17	 	 	 
21011	31	 	 	 
21011	32	 	 	 
21012	1	 	 	 
21012	2	 	 	 
21012	3	 	 	 
21012	4	 	 	 
21012	6	 	 	 
21012	9	 	 	 
21012	10	 	 	 
21012	11	 	 	 
21012	12	 	 	 
21012	13	 	 	 
21012	14	 	 	 
21012	15	 	 	 
21012	16	 	 	 
21012	17	 	 	 
21012	31	 	 	 
21012	32	 	 	 
21013	1	 	 	 
21013	2	 	 	 
21013	3	 	 	 
21013	4	 	 	 
21013	6	 	 	 
21013	9	 	 	 
21013	10	 	 	 
21013	11	 	 	 
21013	12	 	 	 
21013	13	 	 	 
21013	14	 	 	 
21013	15	 	 	 
21013	16	 	 	 
21013	17	 	 	 
21013	31	 	 	 
21013	32	 	 	 
21014	1	 	 	 
21014	2	 	 	 
21014	3	 	 	 
21014	4	 	 	 
21014	6	 	 	 
21014	9	 	 	 
21014	10	 	 	 
21014	11	 	 	 
21014	12	 	 	 
21014	13	 	 	 
21014	14	 	 	 
21014	15	 	 	 
21014	16	 	 	 
21014	17	 	 	 
21014	31	 	 	 
21014	32	 	 	 
21015	1	 	 	 
21015	2	 	 	 
21015	3	 	 	 
21015	4	 	 	 
21015	6	 	 	 
21015	9	 	 	 
21015	10	 	 	 
21015	11	 	 	 
21015	12	 	 	 
21015	13	 	 	 
21015	14	 	 	 
21015	15	 	 	 
21015	16	 	 	 
21015	17	 	 	 
21015	31	 	 	 
21015	32	 	 	 
21016	1	 	 	 
21016	2	 	 	 
21016	3	 	 	 
21016	4	 	 	 
21016	6	 	 	 
21016	9	 	 	 
21016	10	 	 	 
21016	11	 	 	 
21016	12	 	 	 
21016	13	 	 	 
21016	14	 	 	 
21016	15	 	 	 
21016	16	 	 	 
21016	17	 	 	 
21016	31	 	 	 
21016	32	 	 	 
21017	1	 	 	 
21017	2	 	 	 
21017	3	 	 	 
21017	4	 	 	 
21017	6	 	 	 
21017	9	 	 	 
21017	10	 	 	 
21017	11	 	 	 
21017	12	 	 	 
21017	13	 	 	 
21017	14	 	 	 
21017	15	 	 	 
21017	16	 	 	 
21017	17	 	 	 
21017	31	 	 	 
21017	32	 	 	 
21018	1	 	 	 
21018	2	 	 	 
21018	3	 	 	 
21018	4	 	 	 
21018	6	 	 	 
21018	9	 	 	 
21018	10	 	 	 
21018	11	 	 	 
21018	12	 	 	 
21018	13	 	 	 
21018	14	 	 	 
21018	15	 	 	 
21018	16	 	 	 
21018	17	 	 	 
21018	31	 	 	 
21018	32	 	 	 
21019	1	 	 	 
21019	2	 	 	 
21019	3	 	 	 
21019	4	 	 	 
21019	6	 	 	 
21019	9	 	 	 
21019	10	 	 	 
21019	11	 	 	 
21019	12	 	 	 
21019	13	 	 	 
21019	14	 	 	 
21019	15	 	 	 
21019	16	 	 	 
21019	17	 	 	 
21019	31	 	 	 
21019	32	 	 	 
21020	1	 	 	 
21020	2	 	 	 
21020	3	 	 	 
21020	4	 	 	 
21020	6	 	 	 
21020	9	 	 	 
21020	10	 	 	 
21020	11	 	 	 
21020	12	 	 	 
21020	13	 	 	 
21020	14	 	 	 
21020	15	 	 	 
21020	16	 	 	 
21020	17	 	 	 
21020	31	 	 	 
21020	32	 	 	 
21021	1	 	 	 
21021	2	 	 	 
21021	3	 	 	 
21021	4	 	 	 
21021	6	 	 	 
21021	9	 	 	 
21021	10	 	 	 
21021	11	 	 	 
21021	12	 	 	 
21021	13	 	 	 
21021	14	 	 	 
21021	15	 	 	 
21021	16	 	 	 
21021	17	 	 	 
21021	31	 	 	 
21021	32	 	 	 
21023	1	 	 	 
21023	2	 	 	 
21023	3	 	 	 
21023	4	 	 	 
21023	6	 	 	 
21023	9	 	 	 
21023	10	 	 	 
21023	11	 	 	 
21023	12	 	 	 
21023	13	 	 	 
21023	14	 	 	 
21023	15	 	 	 
21023	16	 	 	 
21023	17	 	 	 
21023	31	 	 	 
21023	32	 	 	 
21025	1	 	 	 
21025	2	 	 	 
21025	3	 	 	 
21025	4	 	 	 
21025	6	 	 	 
21025	9	 	 	 
21025	10	 	 	 
21025	11	 	 	 
21025	12	 	 	 
21025	13	 	 	 
21025	14	 	 	 
21025	15	 	 	 
21025	16	 	 	 
21025	17	 	 	 
21025	31	 	 	 
21025	32	 	 	 
21030	1	 	 	 
21030	2	 	 	 
21030	3	 	 	 
21030	4	 	 	 
21030	6	 	 	 
21030	9	 	 	 
21030	10	 	 	 
21030	11	 	 	 
21030	12	 	 	 
21030	13	 	 	 
21030	14	 	 	 
21030	15	 	 	 
21030	16	 	 	 
21030	17	 	 	 
21030	31	 	 	 
21030	32	 	 	 
21031	1	 	 	 
21031	2	 	 	 
21031	3	 	 	 
21031	4	 	 	 
21031	6	 	 	 
21031	9	 	 	 
21031	10	 	 	 
21031	11	 	 	 
21031	12	 	 	 
21031	13	 	 	 
21031	14	 	 	 
21031	15	 	 	 
21031	16	 	 	 
21031	17	 	 	 
21031	31	 	 	 
21031	32	 	 	 
21032	1	 	 	 
21032	2	 	 	 
21032	3	 	 	 
21032	4	 	 	 
21032	6	 	 	 
21032	9	 	 	 
21032	10	 	 	 
21032	11	 	 	 
21032	12	 	 	 
21032	13	 	 	 
21032	14	 	 	 
21032	15	 	 	 
21032	16	 	 	 
21032	17	 	 	 
21032	31	 	 	 
21032	32	 	 	 
21033	1	 	 	 
21033	2	 	 	 
21033	3	 	 	 
21033	4	 	 	 
21033	6	 	 	 
21033	9	 	 	 
21033	10	 	 	 
21033	11	 	 	 
21033	12	 	 	 
21033	13	 	 	 
21033	14	 	 	 
21033	15	 	 	 
21033	16	 	 	 
21033	17	 	 	 
21033	31	 	 	 
21033	32	 	 	 
21036	1	 	 	 
21036	2	 	 	 
21036	3	 	 	 
21036	4	 	 	 
21036	6	 	 	 
21036	9	 	 	 
21036	10	 	 	 
21036	11	 	 	 
21036	12	 	 	 
21036	13	 	 	 
21036	14	 	 	 
21036	15	 	 	 
21036	16	 	 	 
21036	17	 	 	 
21036	31	 	 	 
21036	32	 	 	 
21037	1	 	 	 
21037	2	 	 	 
21037	3	 	 	 
21037	4	 	 	 
21037	6	 	 	 
21037	9	 	 	 
21037	10	 	 	 
21037	11	 	 	 
21037	12	 	 	 
21037	13	 	 	 
21037	14	 	 	 
21037	15	 	 	 
21037	16	 	 	 
21037	17	 	 	 
21037	31	 	 	 
21037	32	 	 	 
21038	1	 	 	 
21038	2	 	 	 
21038	3	 	 	 
21038	4	 	 	 
21038	6	 	 	 
21038	9	 	 	 
21038	10	 	 	 
21038	11	 	 	 
21038	12	 	 	 
21038	13	 	 	 
21038	14	 	 	 
21038	15	 	 	 
21038	16	 	 	 
21038	17	 	 	 
21038	31	 	 	 
21038	32	 	 	 
21039	1	 	 	 
21039	2	 	 	 
21039	3	 	 	 
21039	4	 	 	 
21039	6	 	 	 
21039	9	 	 	 
21039	10	 	 	 
21039	11	 	 	 
21039	12	 	 	 
21039	13	 	 	 
21039	14	 	 	 
21039	15	 	 	 
21039	16	 	 	 
21039	17	 	 	 
21039	31	 	 	 
21039	32	 	 	 
21040	1	 	 	 
21040	2	 	 	 
21040	3	 	 	 
21040	4	 	 	 
21040	6	 	 	 
21040	9	 	 	 
21040	10	 	 	 
21040	11	 	 	 
21040	12	 	 	 
21040	13	 	 	 
21040	14	 	 	 
21040	15	 	 	 
21040	16	 	 	 
21040	17	 	 	 
21040	31	 	 	 
21040	32	 	 	 
21041	1	 	 	 
21041	2	 	 	 
21041	3	 	 	 
21041	4	 	 	 
21041	6	 	 	 
21041	9	 	 	 
21041	10	 	 	 
21041	11	 	 	 
21041	12	 	 	 
21041	13	 	 	 
21041	14	 	 	 
21041	15	 	 	 
21041	16	 	 	 
21041	17	 	 	 
21041	31	 	 	 
21041	32	 	 	 
21042	1	 	 	 
21042	2	 	 	 
21042	3	 	 	 
21042	4	 	 	 
21042	6	 	 	 
21042	9	 	 	 
21042	10	 	 	 
21042	11	 	 	 
21042	12	 	 	 
21042	13	 	 	 
21042	14	 	 	 
21042	15	 	 	 
21042	16	 	 	 
21042	17	 	 	 
21042	31	 	 	 
21042	32	 	 	 
21043	1	 	 	 
21043	2	 	 	 
21043	3	 	 	 
21043	4	 	 	 
21043	6	 	 	 
21043	9	 	 	 
21043	10	 	 	 
21043	11	 	 	 
21043	12	 	 	 
21043	13	 	 	 
21043	14	 	 	 
21043	15	 	 	 
21043	16	 	 	 
21043	17	 	 	 
21043	31	 	 	 
21043	32	 	 	 
21045	1	 	 	 
21045	2	 	 	 
21045	3	 	 	 
21045	4	 	 	 
21045	6	 	 	 
21045	9	 	 	 
21045	10	 	 	 
21045	11	 	 	 
21045	12	 	 	 
21045	13	 	 	 
21045	14	 	 	 
21045	15	 	 	 
21045	16	 	 	 
21045	17	 	 	 
21045	31	 	 	 
21045	32	 	 	 
21046	1	 	 	 
21046	2	 	 	 
21046	3	 	 	 
21046	4	 	 	 
21046	6	 	 	 
21046	9	 	 	 
21046	10	 	 	 
21046	11	 	 	 
21046	12	 	 	 
21046	13	 	 	 
21046	14	 	 	 
21046	15	 	 	 
21046	16	 	 	 
21046	17	 	 	 
21046	31	 	 	 
21046	32	 	 	 
21047	1	 	 	 
21047	2	 	 	 
21047	3	 	 	 
21047	4	 	 	 
21047	6	 	 	 
21047	9	 	 	 
21047	10	 	 	 
21047	11	 	 	 
21047	12	 	 	 
21047	13	 	 	 
21047	14	 	 	 
21047	15	 	 	 
21047	16	 	 	 
21047	17	 	 	 
21047	31	 	 	 
21047	32	 	 	 
21048	1	 	 	 
21048	2	 	 	 
21048	3	 	 	 
21048	4	 	 	 
21048	6	 	 	 
21048	9	 	 	 
21048	10	 	 	 
21048	11	 	 	 
21048	12	 	 	 
21048	13	 	 	 
21048	14	 	 	 
21048	15	 	 	 
21048	16	 	 	 
21048	17	 	 	 
21048	31	 	 	 
21048	32	 	 	 
31001	1	 	 	 
31001	2	 	 	 
31001	3	 	 	 
31001	4	 	 	 
31001	6	 	 	 
31001	9	 	 	 
31001	10	 	 	 
31001	11	 	 	 
31001	12	 	 	 
31001	13	 	 	 
31001	14	 	 	 
31001	15	 	 	 
31001	16	 	 	 
31001	17	 	 	 
31001	31	 	 	 
31001	32	 	 	 
31002	1	 	 	 
31002	2	 	 	 
31002	3	 	 	 
31002	4	 	 	 
31002	6	 	 	 
31002	9	 	 	 
31002	10	 	 	 
31002	11	 	 	 
31002	12	 	 	 
31002	13	 	 	 
31002	14	 	 	 
31002	15	 	 	 
31002	16	 	 	 
31002	17	 	 	 
31002	31	 	 	 
31002	32	 	 	 
31003	1	 	 	 
31003	2	 	 	 
31003	3	 	 	 
31003	4	 	 	 
31003	6	 	 	 
31003	9	 	 	 
31003	10	 	 	 
31003	11	 	 	 
31003	12	 	 	 
31003	13	 	 	 
31003	14	 	 	 
31003	15	 	 	 
31003	16	 	 	 
31003	17	 	 	 
31003	31	 	 	 
31003	32	 	 	 
31006	1	 	 	 
31006	2	 	 	 
31006	3	 	 	 
31006	4	 	 	 
31006	6	 	 	 
31006	9	 	 	 
31006	10	 	 	 
31006	11	 	 	 
31006	12	 	 	 
31006	13	 	 	 
31006	14	 	 	 
31006	15	 	 	 
31006	16	 	 	 
31006	17	 	 	 
31006	31	 	 	 
31006	32	 	 	 
31009	1	 	 	 
31009	2	 	 	 
31009	3	 	 	 
31009	4	 	 	 
31009	6	 	 	 
31009	9	 	 	 
31009	10	 	 	 
31009	11	 	 	 
31009	12	 	 	 
31009	13	 	 	 
31009	14	 	 	 
31009	15	 	 	 
31009	16	 	 	 
31009	17	 	 	 
31009	31	 	 	 
31009	32	 	 	 
