CHILDCODE	HHDCIDR5	HVEMDER5	MADDECR5	WHOPRVR5
11038	8	1	1	3
11038	9	1	1	3
11038	10	0	0	88
11039	1	1	1	1
11039	2	1	1	1
11039	3	1	1	1
11039	4	0	1	1
11039	5	1	1	1
11039	6	0	0	1
11039	7	1	0	6
11039	8	1	0	7
11039	9	1	1	7
11039	10	0	1	7
11040	1	1	1	1
11040	2	1	1	1
11040	3	1	1	1
11040	4	1	1	1
11040	5	1	1	1
11040	6	0	1	1
11040	7	0	1	1
11040	8	1	1	3
11040	9	1	0	3
11040	10	0	0	3
11041	1	1	1	1
11041	2	1	1	1
11041	3	1	1	1
11041	4	1	1	1
11041	5	1	1	1
11041	6	1	1	1
11041	7	0	1	1
11041	8	1	0	4
11041	9	1	0	4
11041	10	0	0	4
11042	1	1	1	8
11042	2	1	1	8
11042	3	1	1	4
11042	4	1	1	4
11042	5	1	1	8
11042	6	1	1	8
11042	7	1	1	1
11042	8	1	1	4
11042	9	1	1	4
11042	10	0	0	88
11043	1	1	1	1
11043	2	1	1	1
11043	3	1	1	1
11043	4	1	1	8
11043	5	1	1	1
11043	6	1	1	1
11043	7	1	1	1
11043	8	1	1	4
11043	9	1	1	4
11043	10	0	0	88
11045	1	1	1	7
11045	2	1	1	7
11045	3	1	1	7
11045	4	0	1	1
11045	5	0	1	1
11045	6	0	1	7
11045	7	0	1	6
11045	8	0	1	6
11045	9	0	1	1
11045	10	0	1	1
11046	1	1	1	7
11046	2	1	1	1
11046	3	0	1	7
11046	4	1	1	7
11046	5	1	1	7
11046	6	0	1	1
11046	7	0	1	6
11046	8	1	0	4
11046	9	1	1	7
11046	10	0	0	4
11048	1	1	1	1
11048	2	1	1	1
11048	3	1	1	1
11048	4	1	1	7
11048	5	1	1	7
11048	6	0	1	1
11048	7	0	1	1
11048	8	1	1	3
11048	9	1	1	3
11048	10	0	1	3
21002	1	1	1	1
21002	2	1	1	1
21002	3	1	1	1
21002	4	1	1	1
21002	5	1	1	1
21002	6	0	1	1
21002	7	0	1	1
21002	8	1	1	3
21002	9	1	1	3
21002	10	0	0	88
21003	1	1	1	1
21003	2	1	1	1
21003	3	0	1	1
21003	4	0	1	7
21003	5	1	1	7
21003	6	0	1	7
21003	7	0	1	1
21003	8	1	1	1
21003	9	1	1	7
21003	10	0	1	88
21004	1	1	1	1
21004	2	1	1	1
21004	3	1	1	1
21004	4	1	1	1
21004	5	1	1	1
21004	6	0	1	1
21004	7	0	1	1
21004	8	1	1	3
21004	9	1	1	3
21004	10	1	0	88
21005	1	1	1	1
21005	2	1	1	8
21005	3	1	1	1
21005	4	0	1	1
21005	5	1	1	8
21005	6	0	1	1
