childid	outid	remrel	remqnt	remtype
PE018012	1	3	4	2
PE018014	1	1	3	2
PE018014	2	1	4	2
PE018015	1	3	2	2
PE018017	1	3	2	1
PE018021	1	3	1	3
PE018026	1	3	15	3
PE018031	1	3	6	1
PE018036	1	4	4	3
PE018036	2	2	3	3
PE018038	1	3	12	1
PE018042	1	5	2	2
PE018042	2	3	12	2
PE018044	1	3	99	2
PE018045	1	1	4	3
PE018049	1	5	48	2
PE018050	1	1	12	3
PE018050	2	1	12	2
PE028004	1	5	5	3
PE028005	1	2	3	2
PE028008	1	3	1	2
PE028009	1	4	1	3
PE028010	1	5	2	2
PE028016	1	2	3	1
PE028017	1	5	3	1
PE028019	1	6	12	1
PE028020	1	3	2	2
PE028020	2	3	4	2
PE028020	3	2	3	2
PE028020	4	5	2	2
PE028024	1	2	4	2
PE028025	1	1	2	2
PE028025	2	4	12	2
PE038006	1	3	5	2
PE038006	2	2	5	2
PE038011	1	6	3	3
PE038012	1	4	8	1
PE038013	1	3	12	3
PE038013	2	2	12	3
PE038013	3	5	6	2
PE038014	1	5	3	2
PE038015	1	2	2	2
PE038022	1	2	2	2
PE038022	2	2	1	2
PE038023	1	4	6	3
PE038024	1	3	4	1
PE048005	1	4	3	2
PE048006	1	6	2	2
PE048007	1	2	3	2
PE048010	1	1	5	2
PE048011	1	5	1	1
PE048011	2	5	1	2
PE048018	1	2	10	2
PE048020	1	2	1	3
PE048023	1	5	2	2
PE048026	1	3	4	2
PE058003	1	2	2	2
PE058004	1	3	3	1
PE058007	1	3	10	2
PE058007	2	2	7	2
PE058008	1	2	1	2
PE058012	1	3	2	2
PE058016	1	5	30	2
PE058017	1	6	2	2
PE058020	1	2	2	2
PE058022	1	3	20	3
PE058025	1	2	4	2
PE058025	2	3	1	2
PE058026	1	4	12	3
PE058028	1	5	3	2
PE058030	1	3	2	1
PE068002	1	6	5	2
PE068003	1	2	90	2
PE068005	1	2	4	3
PE068007	1	3	2	2
PE068008	1	3	3	1
PE068009	1	3	2	1
PE068010	1	3	2	2
PE068012	1	5	5	1
PE068014	1	4	30	3
PE068015	1	2	20	2
PE068019	1	4	2	1
PE068019	2	3	2	1
PE068021	1	3	4	2
PE068023	1	3	3	1
PE068024	1	3	3	2
PE078001	1	5	1	2
PE078002	1	3	1	1
PE078004	1	2	3	3
PE078006	1	3	1	1
PE078007	1	5	1	1
PE078008	1	4	12	1
PE078022	1	2	2	3
PE078025	1	6	8	3
PE078025	2	6	12	1
PE078028	1	2	6	2
PE078030	1	2	12	1
PE078030	2	3	12	1
PE078032	1	2	1	1
PE078039	1	3	3	2
PE078043	1	3	15	3
PE088004	1	5	3	3
PE088012	1	2	2	2
PE088023	1	6	48	1
PE088024	1	3	2	1
PE088030	1	2	6	1
PE088032	1	6	12	3
PE098003	1	1	3	2
PE098003	2	2	2	2
PE098004	1	3	2	3
PE098005	1	4	3	3
PE098007	1	2	2	2
PE098011	1	2	3	2
PE098016	1	4	1	1
PE098020	1	2	3	2
PE098025	1	2	3	2
PE108002	1	1	1	1
PE108002	2	2	1	1
PE108006	1	2	1	1
PE108007	1	5	1	2
PE108010	1	3	99	1
PE108012	1	2	6	2
PE108016	1	3	8	2
PE108023	1	4	2	2
PE108029	1	3	12	1
PE108029	2	3	6	2
PE118003	1	2	2	2
PE118004	1	4	12	3
PE118018	1	4	4	2
PE118024	1	3	2	3
PE118026	1	4	2	3
PE118027	1	4	1	2
PE118029	1	2	6	3
PE128003	1	3	2	1
PE128005	1	2	1	1
PE128007	1	3	1	2
PE128008	1	2	2	2
PE128010	1	2	1	1
PE128011	1	3	1	1
PE128013	1	2	32	2
PE128022	1	6	99	1
PE128022	2	6	99	1
PE128024	1	3	1	1
PE128025	1	6	3	2
PE128026	1	2	5	1
PE128029	1	5	1	2
PE128030	1	6	3	3
PE128031	1	3	2	2
PE128038	1	2	1	2
PE128038	2	3	2	2
PE128039	1	2	11	1
PE128048	1	2	2	2
PE128049	1	6	2	1
PE128049	2	2	1	1
PE138008	1	2	1	1
PE138009	1	2	6	1
PE138010	1	5	1	2
PE138011	1	2	4	1
PE138013	1	6	2	3
PE138014	1	3	5	2
PE138019	1	3	12	1
PE138022	1	3	2	3
PE138032	1	3	1	2
PE138041	1	4	4	3
PE138044	1	3	8	3
PE138047	1	4	6	3
PE138049	1	4	1	1
PE148001	1	3	1	2
PE148002	1	6	3	1
PE148003	1	3	4	2
PE148006	1	6	3	2
PE148007	1	2	12	1
PE148007	2	6	12	1
PE148008	1	3	2	1
PE148013	1	3	1	1
PE148019	1	6	1	1
PE148020	1	3	12	1
PE148023	1	3	1	1
PE148023	2	5	7	2
PE148027	1	5	1	2
PE148027	2	5	1	2
PE148031	1	2	1	2
PE148032	1	6	2	2
PE148033	1	3	2	1
PE148034	1	3	1	2
PE148034	2	6	1	2
PE148036	1	3	3	2
PE148044	1	3	3	2
PE148045	1	3	12	3
PE148046	1	6	6	2
PE148046	2	1	10	2
PE158006	1	4	2	3
PE158010	1	3	6	1
PE158016	1	3	2	1
PE158016	2	2	3	1
PE158018	1	2	1	3
PE158021	1	4	48	3
PE158025	1	3	2	2
PE158033	1	5	1	2
PE158037	1	1	12	3
PE158038	1	3	2	2
PE158042	1	3	4	2
PE158047	1	3	5	1
PE158049	1	2	1	2
PE158050	1	3	2	2
PE158051	1	2	6	2
PE158055	1	4	1	2
PE168002	1	2	8	2
PE168002	2	2	4	1
PE168004	1	2	2	2
PE168005	1	2	3	2
PE168005	2	2	3	2
PE168006	1	4	48	3
PE168008	1	2	2	1
PE168008	2	3	5	1
PE168010	1	2	2	1
PE168018	1	2	1	2
PE168020	1	1	12	1
PE168021	1	3	12	1
PE168021	2	2	12	1
PE168022	1	4	3	3
PE168024	1	2	1	2
PE178002	1	5	3	2
PE178006	1	1	2	2
PE178013	1	4	12	3
PE178013	2	4	12	3
PE178019	1	4	5	2
PE178020	1	6	3	2
PE178020	2	6	12	2
PE178022	1	3	8	2
PE178028	1	4	6	3
PE178030	1	2	2	2
PE188002	1	1	1	3
PE188008	1	3	2	2
PE188008	2	2	2	2
PE188010	1	3	3	2
