childid	linecode	paymt	place	months	days	importa	horas	falta	actcode
PE018011	19	2	5	8	1	1	2	2	91
PE018030	19	2	6	12	2	1	0	2	 
PE028005	19	2	6	12	1	1	1	2	61
PE028018	19	1	4	1	3	1	5	2	92
PE038007	19	2	4	1	3	1	8	1	92
PE038015	19	1	5	12	3	1	1	2	91
PE048003	19	1	6	12	1	1	2	2	61
PE048010	19	2	4	2	1	1	6	2	92
PE048019	19	2	4	12	1	1	6	 	92
PE048021	19	2	4	12	3	1	4	2	92
PE048025	19	2	4	12	3	1	9	2	92
PE058004	19	2	4	0	3	1	1	2	92
PE058007	19	2	4	2	2	1	4	1	92
PE058007	20	1	4	1	2	2	3	1	92
PE058016	19	2	4	12	3	1	3	2	92
PE058025	19	2	4	1	1	1	1	2	92
PE058027	19	2	4	1	3	1	2	2	92
PE068025	19	2	5	1	3	1	0	2	91
PE088003	19	1	5	1	3	1	5	2	91
PE088011	19	2	5	1	3	1	3	2	91
PE088028	19	1	6	5	2	1	1	2	91
PE098005	19	2	4	12	3	1	4	2	92
PE098007	19	2	4	12	1	1	3	2	61
PE098009	19	2	4	12	1	2	1	2	61
PE098009	20	2	4	12	1	1	1	2	92
PE098010	19	2	4	12	1	1	1	2	92
PE098010	20	2	4	12	1	2	1	2	61
PE098013	19	2	4	12	1	1	2	2	61
PE098014	19	2	1	12	1	1	2	2	92
PE098015	19	2	1	12	3	1	2	2	92
PE098016	19	2	4	12	3	1	3	2	61
PE098019	19	2	4	3	1	1	10	2	92
PE098022	19	2	4	12	3	1	8	2	61
PE098022	20	2	4	12	3	2	8	2	92
PE098025	19	2	1	12	1	1	1	2	61
PE098026	19	2	4	12	1	1	1	2	61
PE118003	19	2	1	12	3	1	1	2	93
PE118003	20	2	4	12	3	2	1	2	92
PE118005	19	2	4	12	3	1	2	2	61
PE118007	19	2	4	5	3	1	1	2	92
PE118010	19	2	4	12	3	1	2	2	92
PE118012	19	2	4	12	2	1	3	1	92
PE118014	19	2	1	12	3	1	6	1	92
PE118018	19	2	4	12	3	1	8	1	61
PE118018	20	2	4	12	3	2	2	2	93
PE118019	19	2	4	12	1	1	3	2	92
PE118019	20	2	4	12	1	2	3	2	61
PE118020	19	2	4	0	3	1	7	2	92
PE118021	19	2	4	12	3	1	3	2	92
PE118025	19	2	4	12	3	1	7	1	92
PE118026	19	2	4	12	2	1	4	 	61
PE118026	20	2	4	12	2	2	4	 	93
PE118027	19	2	4	12	3	1	7	1	61
PE128004	19	2	5	0	1	1	6	2	91
PE128005	19	2	6	0	3	1	3	2	34
PE128047	19	2	5	4	3	1	4	2	91
PE138007	19	2	5	2	2	1	2	2	91
PE138021	19	1	3	2	1	1	6	1	93
PE138024	19	2	1	3	3	1	4	2	91
PE138028	19	2	1	4	2	1	3	2	91
PE138028	20	2	2	4	2	3	2	2	91
PE138028	21	2	3	5	3	2	3	2	74
PE138034	19	2	5	12	1	1	5	1	91
PE148031	19	1	5	1	3	1	2	2	91
PE148035	19	2	5	1	1	1	12	2	91
PE158001	19	2	4	12	3	1	3	2	92
PE158003	19	2	3	12	3	1	2	2	72
PE158008	19	2	4	12	2	1	2	2	92
PE158023	19	2	1	12	3	1	1	2	93
PE158031	19	2	4	12	3	1	1	2	92
PE158045	19	2	4	12	2	1	1	2	 
PE158050	19	2	4	12	3	1	3	2	92
PE158057	19	2	5	5	3	1	3	2	91
PE168001	19	2	4	3	2	1	6	2	92
PE168008	19	2	4	12	3	1	8	1	61
PE168010	19	1	4	1	3	1	1	2	92
PE168011	19	2	4	12	3	1	8	2	92
PE168017	19	2	4	12	3	1	3	2	92
PE168020	19	2	4	12	3	1	8	1	61
PE168021	19	2	4	12	3	1	6	2	61
PE168023	19	2	4	12	3	1	8	2	92
PE168025	19	1	4	8	3	1	8	2	92
PE168025	20	2	4	8	3	2	8	2	92
PE178006	19	2	4	12	1	1	3	1	61
PE178009	19	2	5	2	2	1	3	2	91
PE178010	19	2	4	6	3	1	3	2	92
PE178010	20	2	4	12	3	2	4	2	61
PE178011	19	2	6	3	3	1	1	2	93
PE178030	19	2	5	12	3	1	8	2	92
PE178035	19	1	4	2	3	1	3	2	92
PE188027	19	1	4	1	2	1	8	2	92
PE188027	20	2	4	12	3	2	3	2	92
PE198011	19	2	4	12	3	1	4	2	61
PE208022	19	2	5	1	2	1	4	2	91
PE208040	19	2	5	2	3	1	7	2	91
PE208048	19	2	6	1	3	1	2	2	93
