childid	id	age	sex	relate	still	yrschool	disabled	support	edinicia	grado	anhos
PE018001	1	25	2	1	2	33	1	1	 	5	 
PE018001	2	26	1	2	2	34	2	1	 	 	3
PE018001	3	9	2	5	1	33	2	2	 	3	 
PE018001	15	4	1	10	 	 	2	 	1	 	 
PE018002	1	31	1	1	2	34	2	1	 	 	5
PE018002	2	27	2	1	2	 	2	2	 	 	1
PE018002	15	2	1	5	 	 	2	 	2	 	 
PE018003	1	43	1	1	2	34	2	1	 	 	1
PE018003	2	31	2	1	2	33	2	2	 	6	 
PE018003	3	11	1	5	1	33	2	2	 	5	 
PE018003	4	9	1	5	1	33	2	2	 	3	 
PE018004	1	30	2	1	2	34	2	1	 	 	5
PE018004	2	12	2	5	1	33	2	2	 	6	 
PE018004	3	27	1	2	2	33	2	1	 	6	 
PE018004	15	4	1	5	 	 	2	 	1	 	 
PE018005	1	32	1	1	2	34	1	1	 	 	2
PE018005	2	32	2	1	2	34	2	2	 	 	2
PE018005	3	6	1	5	1	32	2	2	 	 	 
PE018006	1	43	1	1	2	34	2	1	 	 	3
PE018006	2	33	2	1	1	35	2	1	 	 	3
PE018006	3	13	1	5	1	34	2	2	 	 	1
PE018007	1	40	1	1	2	34	1	1	 	 	3
PE018007	2	34	2	1	2	34	2	1	 	 	1
PE018007	3	8	1	5	1	33	2	2	 	3	 
PE018007	4	6	1	5	1	32	1	2	 	 	 
PE018007	15	4	2	5	 	 	2	 	1	 	 
PE018008	1	45	1	1	2	35	2	1	 	 	1
PE018008	2	39	2	1	2	34	2	1	 	 	1
PE018008	3	14	1	5	1	34	2	2	 	 	1
PE018008	4	12	2	5	1	33	2	2	 	5	 
PE018009	1	43	1	1	2	36	2	1	 	 	3
PE018009	2	45	2	1	2	34	2	2	 	 	5
PE018009	3	10	2	5	2	33	2	2	 	4	 
PE018009	4	7	2	5	2	0	2	2	 	 	 
PE018010	1	28	1	1	2	33	2	1	 	5	 
PE018010	2	27	2	1	2	34	2	2	 	 	1
PE018011	1	30	1	1	2	33	2	1	 	6	 
PE018011	2	28	2	1	2	34	2	2	 	 	3
PE018011	3	10	1	5	1	33	2	2	 	2	 
PE018011	4	5	2	5	2	0	2	2	 	 	 
PE018011	15	1	1	5	 	 	2	 	2	 	 
PE018012	1	41	1	1	2	33	2	1	 	 	2
PE018012	2	36	2	1	2	33	2	2	 	 	5
PE018012	15	3	2	5	 	 	2	 	3	 	 
PE018013	1	41	1	1	2	34	2	1	 	 	1
PE018013	2	38	2	1	2	34	2	2	 	 	1
PE018013	3	19	2	5	1	35	2	2	 	 	1
PE018013	4	18	2	5	2	34	2	2	 	 	4
PE018013	5	14	1	5	1	34	2	2	 	 	3
PE018013	15	0	2	9	 	 	2	 	2	 	 
PE018014	1	42	1	4	2	34	2	1	 	 	5
PE018014	2	39	2	4	2	34	2	1	 	 	5
PE018014	3	20	1	6	2	34	2	2	 	 	5
PE018014	4	16	1	6	1	34	2	2	 	 	4
