childid	linecode	id	paymt	months	days	importa	actcode
PE018001	1	1	1	2	1	1	51
PE018001	2	1	1	1	3	2	51
PE018001	3	2	2	12	1	1	51
PE018002	1	1	2	12	1	1	83
PE018002	2	1	1	2	1	2	93
PE018003	1	1	1	12	2	1	92
PE018004	1	1	2	12	1	2	52
PE018004	2	1	2	12	1	1	 
PE018004	3	3	2	12	1	1	52
PE018005	1	1	2	1	1	1	71
PE018005	2	1	2	2	1	2	92
PE018005	3	2	2	12	1	1	91
PE018006	1	1	2	12	1	1	91
PE018006	2	2	1	6	3	1	91
PE018007	1	1	2	6	2	1	61
PE018007	2	1	2	6	3	2	93
PE018007	3	2	2	6	3	1	91
PE018008	1	1	1	3	2	1	71
PE018008	2	1	2	6	3	2	71
PE018008	3	1	2	2	2	3	42
PE018008	4	2	1	12	1	1	91
PE018009	1	1	1	12	1	1	1
PE018010	1	1	2	12	1	1	61
PE018011	1	1	1	12	1	1	92
PE018011	2	1	2	8	1	2	92
PE018011	3	2	2	4	2	1	91
PE018011	4	3	2	8	1	1	91
PE018012	1	1	2	6	2	1	61
PE018012	2	1	1	6	3	2	92
PE018013	1	1	2	12	1	1	72
PE018014	1	1	1	12	1	1	93
PE018015	1	1	2	12	1	1	93
PE018016	1	1	1	12	2	1	23
PE018016	2	1	2	12	3	2	61
PE018016	3	2	2	12	1	1	52
PE018017	1	1	1	2	1	1	71
PE018017	2	1	1	3	1	2	93
PE018017	3	1	2	5	1	3	93
PE018017	4	2	1	1	2	1	93
PE018018	1	1	2	12	1	1	61
PE018018	2	2	2	1	3	2	91
PE018018	3	2	2	2	1	3	91
PE018019	1	1	1	3	2	1	71
PE018019	2	1	2	3	3	2	93
PE018019	3	2	2	8	1	1	91
PE018019	4	4	1	4	1	1	91
PE018020	1	1	2	12	2	1	51
PE018020	2	1	2	12	1	2	52
PE018020	3	3	1	4	1	1	93
PE018020	4	3	2	5	1	2	93
PE018021	1	1	2	12	1	1	61
PE018021	2	2	2	4	1	1	52
PE018022	1	1	2	4	2	1	72
PE018022	2	1	2	2	3	2	92
PE018022	3	1	2	12	1	3	32
PE018022	4	2	2	12	2	1	92
PE018023	1	1	1	12	2	1	51
PE018024	1	1	1	12	1	1	51
PE018024	2	1	2	4	1	2	83
PE018024	3	2	2	12	1	1	52
PE018025	1	1	2	12	1	1	61
PE018025	2	2	2	3	1	1	91
PE018025	3	2	2	5	1	2	91
PE018026	1	1	1	6	1	1	83
PE018026	2	1	1	4	1	2	92
PE018026	3	1	1	2	1	3	93
PE018026	4	2	1	3	1	1	91
PE018026	5	2	1	3	1	2	34
PE018027	1	1	1	12	1	1	51
PE018027	2	1	2	12	3	2	83
PE018028	1	1	2	12	1	1	92
PE018029	1	1	2	6	1	3	91
PE018029	2	1	2	12	1	1	51
PE018029	3	1	2	12	2	2	91
PE018030	1	1	2	12	1	1	52
PE018030	2	1	2	12	1	2	91
PE018031	1	1	2	11	2	1	31
PE018031	2	1	1	1	2	2	31
PE018032	1	1	2	4	1	2	61
PE018032	2	1	2	9	1	1	83
PE018032	3	2	2	2	1	1	91
PE018034	1	1	1	10	1	1	33
PE018034	2	2	1	10	2	1	23
PE018035	1	1	2	12	1	1	51
PE018035	2	2	2	12	1	1	51
PE018035	3	5	1	1	1	2	91
PE018035	4	5	1	6	1	1	91
PE018036	1	1	1	12	2	1	93
PE018036	2	1	2	6	1	2	91
PE018037	1	1	1	6	2	1	92
PE018037	2	1	2	3	2	2	61
PE018037	3	2	1	5	2	1	51
PE018038	1	1	2	12	1	1	61
PE018038	2	1	2	12	2	2	61
PE018039	1	1	2	12	2	1	61
PE018039	2	1	1	1	1	3	93
PE018039	3	2	1	12	2	1	92
PE018041	1	1	2	12	2	1	61
PE018041	2	2	2	12	2	1	91
PE018042	1	1	1	12	2	1	61
PE018042	2	1	2	12	1	2	61
PE018043	1	1	2	7	1	1	61
PE018043	2	2	2	12	2	1	91
PE018043	3	6	1	1	1	1	52
PE018043	4	7	1	2	2	1	52
PE018044	1	1	2	12	1	1	83
PE018044	2	2	2	12	1	1	52
PE018045	1	1	1	4	1	1	91
PE018045	2	1	1	8	4	2	93
PE018045	3	2	1	2	1	1	92
PE018046	1	1	2	12	2	1	61
PE018047	1	1	2	12	1	1	61
PE018047	2	1	2	12	1	2	52
PE018047	3	2	2	12	1	1	52
PE018048	1	1	2	12	2	1	61
PE018048	2	3	2	12	2	1	92
PE018049	1	1	2	12	1	1	91
PE018050	1	1	1	12	2	1	91
PE018050	2	1	2	12	4	2	72
PE018050	3	3	2	4	2	1	41
PE028001	1	1	1	12	2	1	92
PE028001	2	1	1	12	3	2	92
PE028001	3	2	2	12	2	1	91
PE028002	1	1	1	2	2	2	92
PE028002	2	1	1	2	2	1	92
PE028002	3	1	2	6	1	3	92
PE028003	1	1	2	12	1	1	61
PE028003	2	2	2	12	1	1	91
PE028004	1	2	2	12	1	1	61
PE028004	2	2	2	12	1	2	61
PE028004	3	4	1	12	1	2	92
PE028004	4	4	1	12	1	1	61
PE028005	1	1	2	12	2	1	61
PE028005	2	2	2	12	1	1	61
PE028005	3	2	2	12	1	2	61
PE028005	4	2	2	12	3	3	52
PE028005	5	4	1	3	1	1	51
