childid	plot	larea	lown	luse	luse1
PE018016	1	1000	1	1	88
PE018031	1	136	4	7	88
PE018048	1	100	4	1	88
PE028004	1	160000	4	1	2
PE028005	1	5000	4	1	88
PE028007	1	5000	4	1	88
PE028008	1	25	4	1	88
PE028009	1	25000	4	1	88
PE028011	1	125	4	1	88
PE028013	1	10000	4	1	88
PE028016	1	15000	4	1	88
PE028017	1	5000	4	1	88
PE028017	2	3400	4	1	88
PE028019	1	1250	2	1	88
PE028020	1	12500	4	1	7
PE028022	1	15000	3	1	88
PE028023	1	15000	4	1	88
PE028025	1	5000	4	1	88
PE038001	1	800	4	1	88
PE038002	1	300	4	1	88
PE038003	1	400	4	1	88
PE038004	1	250	4	1	88
PE038004	2	1250	3	1	88
PE038005	1	200	4	1	88
PE038005	2	400	3	1	88
PE038006	1	600	4	1	88
PE038007	1	400	3	1	88
PE038008	1	2800	4	1	2
PE038009	1	1200	4	1	2
PE038011	1	20000	4	1	2
PE038015	1	1250	4	1	88
PE038015	2	3750	4	2	88
PE038016	1	10000	1	1	88
PE038016	2	100	3	1	88
PE038017	1	200	4	1	88
PE038018	1	4000	4	1	88
PE038019	1	500	4	1	2
PE038020	1	1200	4	1	88
PE038020	2	800	3	1	88
PE038020	3	1200	3	1	88
PE038021	1	6000	4	1	88
PE038022	1	240	4	1	88
PE038025	1	200	4	1	88
PE048002	1	37500	4	1	2
PE048003	1	3750	4	1	88
PE048003	2	10000	1	1	88
PE048004	1	20000	2	1	2
PE048005	1	30000	4	1	2
PE048006	1	30000	4	1	2
PE048007	1	400000	4	1	2
PE048008	1	60000	4	1	2
PE048009	1	20000	4	1	2
PE048010	1	300000	4	1	2
PE048011	1	100000	4	1	88
PE048011	2	300000	4	2	88
PE048012	1	50000	4	1	2
PE048012	2	20000	4	1	88
PE048013	1	50000	4	1	2
PE048014	1	10000	4	1	2
PE048014	2	2500	1	1	88
PE048015	1	10000	4	1	2
PE048016	1	30000	4	1	2
PE048017	1	50000	4	1	2
PE048018	1	20000	4	1	2
PE048018	2	10000	4	1	88
PE048019	1	30000	4	1	2
PE048019	2	10000	4	1	2
PE048020	1	30000	4	1	2
PE048020	2	20000	4	1	2
PE048021	1	15000	4	1	2
PE048021	2	10000	4	1	2
PE048021	3	10000	4	1	2
PE048022	1	10000	2	1	88
PE048023	1	30000	4	1	88
PE048023	2	20000	4	1	88
PE048023	3	20000	4	2	88
PE048023	4	10000	4	1	88
PE048023	5	1500	4	1	88
PE048024	1	20000	4	1	2
PE048026	1	40000	4	1	88
PE048026	2	20000	4	2	88
PE048026	3	200	4	1	88
PE058003	1	10000	3	1	2
PE058004	1	20000	4	1	88
PE058006	1	10000	2	1	88
PE058007	1	10000	1	1	88
PE058008	1	10000	4	1	88
PE058008	2	5000	1	2	88
PE058011	1	1700	4	1	88
PE058012	1	20000	1	1	88
PE058012	2	20000	4	1	88
PE058013	1	2500	2	1	88
PE058014	1	25000	4	1	88
PE058016	1	5000	1	1	88
PE058017	1	250000	4	1	2
PE058019	1	100000	3	1	88
PE058020	1	70000	4	1	88
PE058022	1	25000	4	1	2
PE058023	1	20000	4	1	7
PE058025	1	10000	4	1	88
PE058026	1	100000	4	1	88
PE058027	1	2500	4	1	88
PE058028	1	60000	4	1	88
PE058029	1	5000	4	1	88
PE058030	1	30000	4	1	88
PE068007	1	10000	2	1	88
PE068016	1	20000	4	7	88
PE068020	1	40000	4	1	88
PE078003	1	100	4	7	88
PE078004	1	400	4	1	4
PE078005	1	360	4	7	88
PE078007	1	340	4	5	88
PE078010	1	200	4	4	7
PE078013	1	1500	4	1	88
PE078013	2	1400	4	1	88
PE078017	1	200	4	7	88
PE078021	1	400	4	1	88
PE078023	1	140	4	7	88
PE078025	1	1000	4	7	88
PE078026	1	100	4	1	8
PE078045	1	700	4	1	88
PE078047	1	20000	4	1	4
PE078048	1	500	3	1	88
PE088016	1	240	4	4	88
PE088016	2	200	4	4	88
PE098001	1	7500	4	1	2
PE098001	2	7500	3	1	2
PE098002	1	100	4	1	88
PE098003	1	3750	4	1	2
PE098004	1	2500	3	1	2
PE098005	1	10000	4	1	2
PE098006	1	30000	4	1	88
PE098007	1	200	3	1	88
PE098008	1	7500	4	1	88
PE098009	1	2500	4	1	2
PE098009	2	2500	3	1	2
PE098009	3	2500	3	1	2
PE098009	4	2500	3	1	2
PE098010	1	1200	4	1	2
PE098010	2	2500	4	1	2
PE098010	3	1200	4	1	2
PE098010	4	400	4	1	2
PE098010	5	200	4	1	2
PE098010	6	3500	3	1	2
PE098010	7	3500	3	1	2
PE098010	8	2600	3	1	2
PE098010	9	1750	3	1	2
PE098011	1	3750	3	1	2
PE098011	2	1250	3	1	2
PE098011	3	1250	3	1	2
PE098011	4	2500	3	1	2
PE098012	1	2500	4	1	2
PE098013	1	5000	3	1	2
PE098013	2	1200	3	1	2
PE098013	3	1250	3	1	2
PE098013	4	200	3	1	2
PE098013	5	200	3	1	2
PE098014	1	5000	3	1	88
PE098016	1	1250	4	1	2
PE098016	2	500	4	1	2
PE098016	3	7500	4	1	2
PE098017	1	1250	3	1	2
PE098017	2	500	3	1	2
PE098017	3	500	3	1	2
PE098019	1	500	4	1	2
PE098019	2	500	4	1	2
PE098019	3	700	4	1	2
PE098020	1	5000	4	1	2
PE098020	2	10000	4	1	2
PE098020	3	800	4	1	2
PE098020	4	500	4	1	2
PE098020	5	700	4	1	2
PE098020	6	600	4	1	2
PE098020	7	1500	3	1	2
PE098020	8	2000	4	1	2
PE098020	9	3000	4	1	2
PE098021	1	6250	4	1	88
PE098022	1	7500	4	1	88
PE098023	1	1250	4	1	88
PE098024	1	500	4	1	88
PE098025	1	1500	3	1	2
PE098026	1	5000	4	1	2
PE098026	2	5000	3	1	2
PE098026	3	5000	3	1	2
PE098026	4	2500	3	1	2
PE098026	5	2500	3	1	2
PE098026	6	1200	3	1	2
PE098026	7	800	3	1	2
PE098026	8	800	3	1	2
PE098028	1	800	4	1	2
PE098029	1	2500	4	1	2
PE098029	2	5000	4	1	2
PE108002	1	2500	3	1	2
PE108002	2	2500	3	1	2
PE108012	1	400	4	1	88
PE108014	1	500	4	7	88
PE108015	1	250	4	1	2
PE108023	1	5000	4	7	88
PE108026	1	5000	4	7	88
PE108029	1	2500	4	7	88
PE118002	1	360	4	1	2
PE118002	2	50000	3	1	88
PE118003	1	50000	4	1	88
PE118003	2	20000	4	1	88
PE118003	3	30000	4	1	88
PE118003	4	150000	4	1	88
PE118004	1	2500	4	1	88
PE118004	2	2500	4	1	88
PE118004	3	3750	4	1	88
PE118005	1	1000	4	1	2
PE118005	2	13332	4	1	2
