childid	planid	plan	peplan	penplan
PE078031	1	1	1	1
PE078032	1	10	1	10
PE078033	1	8	1	8
PE078034	1	1	1	1
PE078035	1	1	1	1
PE078036	1	1	1	1
PE078037	1	10	10	 
PE078038	1	4	1	4
PE078039	1	1	1	1
PE078040	1	10	10	 
PE078041	1	2	2	 
PE078041	2	8	8	 
PE078042	1	10	10	 
PE078042	2	4	4	 
PE078043	1	5	1	5
PE078044	1	7	1	7
PE078045	1	7	7	 
PE078046	1	4	1	4
PE078047	1	2	1	2
PE078048	1	10	10	 
PE078049	1	7	1	7
PE078050	1	3	1	3
PE078051	1	3	1	3
PE078051	2	2	 	2
PE078052	1	4	1	4
PE088001	1	4	1	4
PE088002	1	1	1	1
PE088003	1	1	1	1
PE088004	1	4	1	4
PE088005	1	4	4	 
PE088006	1	1	1	1
PE088007	1	4	4	 
PE088008	1	5	5	 
PE088009	1	1	1	1
PE088010	1	1	1	1
PE088011	1	1	1	1
PE088012	1	1	1	1
PE088013	1	9	9	 
PE088014	1	10	10	 
PE088014	2	4	4	 
PE088015	1	2	1	2
PE088016	1	1	1	1
PE088017	1	1	1	1
PE088018	1	1	1	1
PE088019	1	1	1	1
PE088020	1	2	1	2
PE088021	1	4	4	 
PE088022	1	10	10	 
PE088023	1	10	10	 
PE088024	1	4	4	 
PE088024	2	8	8	 
PE088025	1	1	1	1
PE088026	1	1	1	1
PE088027	1	4	4	 
PE088028	1	4	4	 
PE088028	2	10	10	 
PE088029	1	10	10	 
PE088030	1	2	1	2
PE088031	1	4	4	 
PE088032	1	10	10	 
PE098001	1	1	1	1
PE098002	1	4	1	4
PE098003	1	1	1	1
PE098004	1	4	1	4
PE098004	2	3	 	3
PE098005	1	4	1	4
PE098006	1	10	1	10
PE098007	1	4	1	4
PE098008	1	5	5	 
PE098008	2	6	6	 
PE098009	1	1	1	1
PE098010	1	10	10	 
PE098011	1	2	2	 
PE098012	1	1	1	1
PE098013	1	1	1	1
PE098014	1	6	6	 
PE098015	1	1	1	1
PE098016	1	10	10	 
PE098016	2	4	4	 
PE098017	1	10	10	 
PE098018	1	4	1	4
PE098019	1	1	1	1
PE098020	1	6	6	 
PE098021	1	4	1	4
PE098022	1	8	8	 
PE098022	2	6	6	 
PE098023	1	1	1	1
PE098024	1	4	4	 
PE098025	1	10	1	10
PE098025	2	4	 	4
PE098026	1	4	4	 
PE098027	1	1	1	1
PE098028	1	1	1	1
PE098029	1	10	1	10
PE098029	2	4	 	4
PE108001	1	2	2	 
PE108002	1	4	4	 
PE108002	2	10	10	 
PE108003	1	2	2	 
PE108004	1	1	1	1
PE108005	1	4	4	 
PE108006	1	1	1	1
PE108007	1	4	4	 
PE108008	1	1	1	1
PE108009	1	4	4	 
PE108010	1	1	1	1
PE108011	1	7	7	 
PE108011	2	4	4	 
