CHILDCODE	HHDCIDR4	MADDECR4	WHOPRVR4
18001	1	0	3
18001	2	1	3
18001	4	1	1
18001	5	1	1
18001	6	1	1
18001	7	1	1
18002	1	0	3
18002	2	1	3
18002	4	1	3
18002	5	1	1
18002	6	1	3
18002	7	1	3
18003	1	0	3
18003	2	0	3
18003	4	1	3
18003	5	1	1
18003	6	1	1
18003	7	1	1
18004	1	1	6
18004	2	1	1
18004	4	1	6
18004	5	1	6
18004	6	1	1
18004	7	1	1
18005	1	1	6
18005	2	1	1
18005	4	1	6
18005	5	1	1
18005	6	1	6
18005	7	1	6
18006	1	0	3
18006	2	0	3
18006	4	1	3
18006	5	1	1
18006	6	1	1
18006	7	1	1
18007	1	0	3
18007	2	0	3
18007	4	1	7
18007	5	1	1
18007	6	1	7
18007	7	1	7
18008	1	1	3
18008	2	1	4
18008	4	1	3
18008	5	1	1
18008	6	1	3
18008	7	1	3
18009	1	1	3
18009	2	1	3
18009	4	1	3
18009	5	1	1
18009	6	1	3
18009	7	1	1
18010	1	1	3
18010	2	1	3
18010	4	1	1
18010	5	0	3
18010	6	0	1
18010	7	1	3
18011	1	1	2
18011	2	1	1
18011	4	1	2
18011	5	1	2
18011	6	1	2
18011	7	1	1
18012	1	1	3
18012	2	1	3
18012	4	1	1
18012	5	1	1
18012	6	1	1
18012	7	1	1
18013	1	0	3
18013	2	1	3
18013	4	1	1
18013	5	1	1
18013	6	1	1
18013	7	1	1
18015	1	1	3
18015	2	0	3
18015	4	1	3
18015	5	1	1
18015	6	1	8
18015	7	1	8
18016	1	0	3
18016	2	1	3
18016	4	1	1
18016	5	1	1
18016	6	1	1
18016	7	1	1
18017	1	0	3
18017	2	1	3
18017	4	1	1
18017	5	0	3
18017	6	1	3
18017	7	0	3
18018	1	1	6
18018	2	1	1
18018	4	1	2
18018	5	1	1
18018	6	1	1
18018	7	1	6
18019	1	0	3
18019	2	0	3
18019	4	1	3
18019	5	1	1
18019	6	1	3
18019	7	1	3
18020	1	1	4
18020	2	1	4
18020	4	1	4
18020	5	1	4
18020	6	1	4
18020	7	1	4
18021	1	1	4
18021	2	1	1
18021	4	1	7
18021	5	1	7
18021	6	1	7
18021	7	1	7
18022	1	1	2
18022	2	1	2
18022	4	1	2
18022	5	1	2
18022	6	1	2
18022	7	1	2
18023	1	0	3
18023	2	0	3
18023	4	0	3
18023	5	1	1
18023	6	1	1
18023	7	1	1
18024	1	1	3
18024	2	1	3
18024	4	1	1
18024	5	1	1
18024	6	1	1
18024	7	1	1
18025	1	1	3
18025	2	1	3
18025	4	1	1
18025	5	1	1
18025	6	1	1
18025	7	1	1
18026	1	0	3
18026	2	0	3
18026	4	1	3
18026	5	0	3
18026	6	1	3
18026	7	0	3
18027	1	1	6
18027	2	1	1
18027	4	1	6
18027	5	1	1
18027	6	1	6
18027	7	1	6
18028	1	1	3
18028	2	1	3
18028	4	1	1
18028	5	1	3
18028	6	1	3
18028	7	1	1
18029	1	1	3
18029	2	1	3
18029	4	1	3
18029	5	1	1
18029	6	1	1
18029	7	1	1
18030	1	0	3
18030	2	1	3
18030	4	1	3
18030	5	1	1
18030	6	1	1
18030	7	1	1
18031	1	0	4
18031	2	1	8
18031	4	1	1
18031	5	1	1
18031	6	1	1
18031	7	1	1
18032	1	1	2
18032	2	1	2
18032	4	1	2
18032	5	1	2
18032	6	1	2
18032	7	1	2
18034	1	1	3
18034	2	1	3
18034	4	0	1
18034	5	1	1
18034	6	0	3
18034	7	1	1
18035	1	0	4
18035	2	0	4
18035	4	1	1
18035	5	1	4
18035	6	1	1
18035	7	1	4
18036	1	1	4
18036	2	1	4
18036	4	1	1
18036	5	1	1
18036	6	1	1
18036	7	1	1
18037	1	1	3
18037	2	0	3
18037	4	1	3
18037	5	1	1
18037	6	1	3
18037	7	1	1
18038	1	1	1
18038	2	1	1
18038	4	1	1
18038	5	1	1
18038	6	1	1
18038	7	1	1
18039	1	0	3
18039	2	0	3
18039	4	0	3
18039	5	0	3
18039	6	1	3
18039	7	1	3
18040	1	0	4
18040	2	0	4
18040	4	1	1
18040	5	1	1
18040	6	1	1
18040	7	1	1
18041	1	1	3
18041	2	0	3
18041	4	1	3
18041	5	0	3
18041	6	1	1
