CHILDCODE	TRANIDR4	TYPTRNR4	DELTRNR4	PAYTRNR4	DURTTLR4	RQATTDR4	TRNCMPR4	DURATTR4	CRTDIPR4
18012	1	4	1	0	8	5	1	 	1
18042	1	1	1	0	12	3	1	 	0
18043	1	1	1	0	16	5	1	 	1
28017	1	1	3	0	2	6	1	 	0
28024	1	1	3	0	1	5	1	 	1
38007	1	1	2	0	2	4	1	 	 
38010	1	1	1	0	104	7	0	32	1
38011	1	1	7	0	0	1	1	 	 
38021	1	1	2	1	12	1	1	 	 
38023	1	1	1	1	1	6	1	 	1
48001	1	1	3	0	2	3	1	 	0
48004	1	1	1	0	6	6	1	 	1
48016	1	1	4	0	1	7	1	 	0
48019	1	1	1	0	4	2	1	 	1
48023	1	1	3	0	1	2	1	 	0
48025	1	4	1	0	1	1	1	 	0
48026	1	1	1	0	8	3	1	 	1
58028	1	2	3	0	0	1	1	 	0
58030	1	2	3	1	1	6	1	 	0
68003	1	1	7	1	11	3	1	 	 
68010	1	1	3	0	18	6	1	 	0
68011	1	1	2	0	3	1	1	 	 
68016	1	1	2	1	1	5	1	 	 
68016	2	1	2	1	1	5	1	 	 
68016	3	1	2	1	1	5	1	 	 
68020	1	1	3	1	24	6	1	 	1
68021	1	1	3	1	1	1	1	 	1
78001	1	1	2	1	11	7	1	 	 
78006	1	1	3	0	4	4	1	 	0
78007	1	1	3	0	1	4	1	 	0
78012	1	1	7	0	1	3	1	 	 
78017	1	1	3	0	4	6	1	 	1
78031	1	3	5	0	4	4	1	 	 
78032	1	1	3	0	2	5	1	 	0
78032	2	1	3	0	1	2	1	 	0
78038	1	2	2	1	12	2	1	 	 
78050	1	1	1	1	24	5	1	 	1
78051	1	1	7	0	2	3	1	 	 
88001	1	1	2	0	4	3	1	 	 
88013	1	1	7	1	4	5	1	 	 
88013	2	1	3	1	4	5	0	4	1
88013	3	1	1	0	24	5	1	 	0
88026	1	1	3	0	1	5	1	 	0
98001	1	1	3	0	1	6	1	 	0
98013	1	1	3	0	0	1	1	 	0
98017	1	1	7	0	72	5	0	72	 
108003	1	1	7	1	6	2	1	 	 
108009	1	1	1	0	2	7	1	 	1
108013	1	1	2	0	1	5	1	 	 
118030	1	1	2	1	10	2	1	 	 
128008	1	1	3	0	1	1	1	 	0
128016	1	1	7	1	48	1	1	 	 
128019	1	1	7	0	1	1	1	 	 
128026	1	1	3	0	7	7	1	 	0
128030	1	1	3	0	1	5	1	 	0
128030	2	1	3	0	1	5	1	 	0
128032	1	1	2	0	2	3	1	 	 
128032	2	1	3	0	1	5	1	 	1
128039	1	1	1	0	4	1	1	 	1
128039	2	1	3	0	1	5	1	 	1
128045	1	1	3	0	2	3	1	 	0
128047	1	3	3	1	1	7	1	 	0
138002	1	1	2	1	5	5	1	 	 
138017	1	 	 	 	 	 	 	 	 
138021	1	1	3	0	1	5	1	 	0
138045	1	1	7	1	20	2	1	 	 
138053	1	1	1	0	5	4	1	 	1
148008	1	1	7	1	3	2	0	12	 
148009	1	1	1	0	15	3	1	 	1
148015	1	1	3	0	1	7	1	 	0
148029	1	1	7	1	36	7	1	 	 
148046	1	1	3	0	4	6	1	 	1
158013	1	1	7	0	0	1	1	 	 
158015	1	2	3	0	3	6	1	 	1
158025	1	1	1	0	104	5	0	4	1
158036	1	1	1	0	1	1	1	 	0
158036	2	1	1	0	1	1	1	 	1
158044	1	1	3	0	1	4	0	1	1
158050	1	1	1	0	104	5	1	 	1
158051	1	1	1	0	8	5	0	4	1
158057	1	1	3	1	54	5	0	54	1
178003	1	1	5	0	0	4	1	 	 
178004	1	1	3	0	2	5	1	 	1
178006	1	1	2	1	20	5	1	 	 
178006	2	1	2	1	24	6	1	 	 
178011	1	1	2	1	12	5	1	 	 
178027	1	1	2	0	1	5	1	 	 
178030	1	4	2	0	20	5	1	 	 
188019	1	1	1	0	12	3	0	12	0
188026	1	1	2	0	3	5	1	 	 
198015	1	1	3	0	4	1	1	 	0
198028	1	1	1	1	11	5	0	20	1
208009	1	4	2	0	12	5	1	 	 
208033	1	1	3	0	1	7	1	 	1
208042	1	3	6	1	2	7	1	 	 
