CHILDCODE	SCSTIDR4	FEESR4	PAYPERR4	NUMPERR4
18032	1	 	 	 
18032	2	 	 	 
18032	3	 	 	 
18032	4	 	 	 
18032	5	 	 	 
18032	6	 	 	 
18032	7	 	 	 
18032	8	 	 	 
18034	1	100	3	2
18034	2	340	2	8
18034	3	0	88	0
18034	4	0	88	0
18034	5	80	2	8
18034	6	80	2	8
18034	7	40	2	12
18034	8	0	88	0
18035	1	20	3	1
18035	2	-88	88	-88
18035	3	-88	88	-88
18035	4	-88	88	-88
18035	5	-88	88	-88
18035	6	-88	88	-88
18035	7	-88	88	-88
18035	8	300	3	1
18036	1	0	88	0
18036	2	20	4	4
18036	3	0	88	0
18036	4	0	88	0
18036	5	0	88	0
18036	6	15	1	12
18036	7	0	88	0
18036	8	180	4	4
18037	1	89	4	2
18037	2	0	88	0
18037	3	0	88	0
18037	4	0	88	0
18037	5	25	1	32
18037	6	25	1	32
18037	7	0	88	0
18037	8	150	3	1
18038	1	 	 	 
18038	2	 	 	 
18038	3	 	 	 
18038	4	 	 	 
18038	5	 	 	 
18038	6	 	 	 
18038	7	 	 	 
18038	8	 	 	 
18039	1	25	3	25
18039	2	0	88	0
18039	3	0	88	0
18039	4	0	88	0
18039	5	0	88	0
18039	6	0	88	0
18039	7	0	88	0
18039	8	50	3	50
18040	1	480	3	1
18040	2	2400	3	1
18040	3	90	3	1
18040	4	0	88	-88
18040	5	0	88	-88
18040	6	360	3	1
18040	7	0	88	-88
18040	8	400	3	1
18041	1	150	6	2
18041	2	310	2	12
18041	3	0	88	0
18041	4	15	6	3
18041	5	0	88	0
18041	6	80	2	12
18041	7	0	88	0
18041	8	55	3	1
18042	1	450	6	3
18042	2	220	2	12
18042	3	0	88	0
18042	4	0	88	0
18042	5	50	2	12
18042	6	72	2	12
18042	7	50	5	1
18042	8	200	4	1
18043	1	 	 	 
18043	2	 	 	 
18043	3	 	 	 
18043	4	 	 	 
18043	5	 	 	 
18043	6	 	 	 
18043	7	 	 	 
18043	8	 	 	 
18044	1	 	 	 
18044	2	 	 	 
18044	3	 	 	 
18044	4	 	 	 
18044	5	 	 	 
18044	6	 	 	 
18044	7	 	 	 
18044	8	 	 	 
18045	1	 	 	 
18045	2	 	 	 
18045	3	 	 	 
18045	4	 	 	 
18045	5	 	 	 
18045	6	 	 	 
18045	7	 	 	 
18045	8	 	 	 
18046	1	0	88	0
18046	2	0	88	0
18046	3	0	88	0
18046	4	0	88	0
18046	5	0	88	0
18046	6	0	88	0
18046	7	0	88	0
18046	8	0	88	0
18047	1	 	 	 
18047	2	 	 	 
18047	3	 	 	 
18047	4	 	 	 
18047	5	 	 	 
18047	6	 	 	 
18047	7	 	 	 
18047	8	 	 	 
18048	1	30	6	2
18048	2	100	2	12
18048	3	0	88	0
18048	4	80	5	36
18048	5	0	88	0
18048	6	0	88	0
18048	7	100	88	0
18048	8	0	88	0
18049	1	 	 	 
18049	2	 	 	 
18049	3	 	 	 
18049	4	 	 	 
18049	5	 	 	 
18049	6	 	 	 
18049	7	 	 	 
18049	8	 	 	 
18050	1	520	4	3
18050	2	270	2	12
