CHILDCODE	SITUIDR4	LADCURR4	LADOLDR4
18041	4	2	1
18041	5	1	1
18041	6	2	1
18041	7	1	1
18041	8	1	1
18042	1	2	2
18042	2	2	2
18042	3	2	2
18042	4	5	3
18042	5	6	4
18042	6	2	1
18042	7	1	1
18042	8	1	1
18043	1	7	5
18043	2	5	4
18043	3	5	5
18043	4	7	5
18043	5	7	7
18043	6	5	4
18043	7	5	4
18043	8	4	3
18044	1	5	9
18044	2	3	6
18044	3	2	1
18044	4	8	7
18044	5	2	5
18044	6	5	6
18044	7	3	6
18044	8	4	9
18045	1	9	9
18045	2	9	7
18045	3	7	7
18045	4	9	7
18045	5	5	9
18045	6	7	5
18045	7	4	8
18045	8	3	7
18046	1	7	6
18046	2	5	5
18046	3	7	5
18046	4	7	7
18046	5	5	7
18046	6	3	5
18046	7	7	7
18046	8	8	77
18047	1	7	5
18047	2	5	3
18047	3	8	5
18047	4	5	7
18047	5	7	4
18047	6	6	8
18047	7	7	5
18047	8	5	3
18048	1	6	5
18048	2	4	4
18048	3	5	5
18048	4	4	3
18048	5	6	3
18048	6	4	2
18048	7	4	2
18048	8	5	3
18049	1	9	1
18049	2	5	5
18049	3	9	9
18049	4	5	5
18049	5	9	1
18049	6	1	1
18049	7	5	5
18049	8	1	1
18050	1	7	3
18050	2	8	5
18050	3	6	5
18050	4	6	3
18050	5	7	5
18050	6	5	5
18050	7	5	5
18050	8	1	3
28001	1	4	4
28001	2	6	4
28001	3	4	7
28001	4	4	5
28001	5	7	4
28001	6	9	4
28001	7	5	5
28001	8	4	6
28002	1	6	6
28002	2	7	3
28002	3	5	5
28002	4	5	5
28002	5	8	4
28002	6	7	3
28002	7	7	7
28002	8	7	4
28003	1	5	4
28003	2	5	3
28003	3	6	4
28003	4	7	5
28003	5	7	5
28003	6	6	4
28003	7	6	3
28003	8	7	5
28004	1	4	5
28004	2	4	5
28004	3	3	5
28004	4	7	6
28004	5	7	3
28004	6	8	6
28004	7	8	6
28004	8	8	6
28006	1	4	3
28006	2	3	3
28006	3	4	3
28006	4	2	2
28006	5	7	6
28006	6	8	8
28006	7	5	5
28006	8	4	4
28007	1	7	5
28007	2	8	6
28007	3	7	5
28007	4	9	7
28007	5	7	5
28007	6	5	8
28007	7	7	5
28007	8	6	4
28008	1	4	2
28008	2	3	2
28008	3	5	6
28008	4	6	5
28008	5	5	3
28008	6	5	3
28008	7	4	4
28008	8	1	1
28009	1	5	3
28009	2	7	5
28009	3	7	7
28009	4	2	1
28009	5	8	3
28009	6	7	3
28009	7	9	7
28009	8	2	2
28011	1	4	6
28011	2	5	4
28011	3	7	5
28011	4	8	7
28011	5	8	5
28011	6	7	4
28011	7	8	8
28011	8	6	6
28012	1	8	6
28012	2	5	7
28012	3	6	6
28012	4	7	5
28012	5	8	5
28012	6	4	6
28012	7	5	4
28012	8	8	8
28013	1	5	4
28013	2	5	4
28013	3	6	6
28013	4	7	7
28013	5	8	8
28013	6	5	6
28013	7	6	6
28013	8	3	3
28014	1	5	5
28014	2	6	7
28014	3	7	7
28014	4	7	5
28014	5	8	4
28014	6	8	4
28014	7	7	5
28014	8	6	5
28015	1	4	6
28015	2	1	9
28015	3	5	8
28015	4	3	3
28015	5	3	3
28015	6	2	4
28015	7	7	3
28015	8	1	1
28016	1	3	2
28016	2	4	2
28016	3	5	4
28016	4	5	3
28016	5	5	5
28016	6	4	5
28016	7	4	5
28016	8	4	2
28017	1	3	3
28017	2	2	4
28017	3	5	6
28017	4	4	4
28017	5	4	4
28017	6	5	6
28017	7	5	4
28017	8	2	2
28018	1	4	6
28018	2	5	7
28018	3	6	6
28018	4	7	8
28018	5	5	7
28018	6	7	7
28018	7	8	7
28018	8	7	7
28020	1	4	5
28020	2	4	3
28020	3	4	5
28020	4	5	4
28020	5	4	2
28020	6	4	3
28020	7	5	4
28020	8	3	3
28021	1	7	5
28021	2	7	4
28021	3	9	5
28021	4	7	4
28021	5	9	7
28021	6	7	3
28021	7	7	5
28021	8	5	3
28022	1	5	3
28022	2	4	2
28022	3	5	7
28022	4	6	4
28022	5	6	6
28022	6	5	4
28022	7	8	5
28022	8	5	3
28023	1	9	7
28023	2	8	6
28023	3	4	2
28023	4	9	5
28023	5	8	6
28023	6	8	5
28023	7	8	8
28023	8	3	3
28024	1	6	4
28024	2	6	4
28024	3	4	7
28024	4	6	3
28024	5	6	3
28024	6	5	6
28024	7	6	6
28024	8	4	2
28025	1	5	7
28025	2	4	8
28025	3	5	4
28025	4	6	8
28025	5	8	8
28025	6	4	7
28025	7	8	8
28025	8	4	4
38001	1	5	3
38001	2	4	2
38001	3	3	6
38001	4	7	8
38001	5	9	9
38001	6	5	7
38001	7	4	4
38001	8	5	5
38002	1	6	5
38002	2	8	5
38002	3	3	4
38002	4	7	8
38002	5	9	6
38002	6	7	3
38002	7	8	9
38002	8	6	3
38003	1	6	7
38003	2	8	5
38003	3	7	5
38003	4	1	1
38003	5	4	4
38003	6	3	3
38003	7	2	4
38003	8	5	5
38004	1	2	4
38004	2	1	3
38004	3	4	6
38004	4	8	7
38004	5	9	4
38004	6	2	1
38004	7	3	8
38004	8	6	5
38005	1	4	77
38005	2	6	5
38005	3	2	7
38005	4	8	3
38005	5	1	1
38005	6	4	6
38005	7	3	5
38005	8	3	2
38006	1	6	6
38006	2	8	8
38006	3	5	8
38006	4	7	7
38006	5	6	6
38006	6	5	5
38006	7	4	4
38006	8	5	5
38007	1	5	2
38007	2	6	1
38007	3	5	3
38007	4	6	2
38007	5	4	2
38007	6	4	7
38007	7	6	3
38007	8	1	1
38008	1	8	3
38008	2	9	4
38008	3	3	7
38008	4	9	5
38008	5	9	2
38008	6	5	7
38008	7	1	7
38008	8	7	4
38010	1	6	3
38010	2	8	5
38010	3	8	5
38010	4	8	4
38010	5	7	5
38010	6	8	6
38010	7	9	6
38010	8	7	4
38011	1	6	6
38011	2	7	8
38011	3	3	8
38011	4	6	8
38011	5	7	6
38011	6	6	9
38011	7	4	8
38011	8	5	5
38012	1	 	 
38012	2	 	 
38012	3	 	 
38012	4	 	 
38012	5	 	 
38012	6	 	 
38012	7	 	 
38012	8	 	 
38013	1	7	4
38013	2	5	4
38013	3	7	4
38013	4	4	4
38013	5	3	7
38013	6	4	6
38013	7	2	5
38013	8	4	3
38015	1	8	6
38015	2	9	2
38015	3	3	6
38015	4	9	7
38015	5	8	6
38015	6	4	9
38015	7	3	9
38015	8	5	6
38017	1	6	4
38017	2	7	7
38017	3	5	7
38017	4	5	5
38017	5	6	6
38017	6	7	7
38017	7	9	9
38017	8	6	5
38019	1	4	2
38019	2	5	1
38019	3	2	1
38019	4	3	1
38019	5	3	1
38019	6	4	2
38019	7	1	3
38019	8	1	5
38020	1	 	 
38020	2	 	 
38020	3	 	 
38020	4	 	 
38020	5	 	 
38020	6	 	 
38020	7	 	 
38020	8	 	 
38021	1	5	3
38021	2	7	5
38021	3	5	8
38021	4	6	4
38021	5	8	9
38021	6	4	8
38021	7	2	7
38021	8	7	4
38022	1	 	 
38022	2	 	 
38022	3	 	 
38022	4	 	 
38022	5	 	 
38022	6	 	 
38022	7	 	 
38022	8	 	 
38023	1	3	7
38023	2	3	9
38023	3	5	7
38023	4	5	8
38023	5	7	9
38023	6	7	3
38023	7	6	2
38023	8	4	5
38024	1	5	5
38024	2	7	2
38024	3	2	7
38024	4	8	7
38024	5	8	9
38024	6	3	8
38024	7	7	8
38024	8	3	4
38025	1	5	7
38025	2	4	4
38025	3	5	6
38025	4	6	4
38025	5	6	3
38025	6	4	4
38025	7	5	3
38025	8	3	3
48001	1	8	5
48001	2	7	4
48001	3	8	2
48001	4	9	7
48001	5	9	5
48001	6	2	8
48001	7	4	8
48001	8	1	1
48002	1	4	4
48002	2	6	6
48002	3	6	6
48002	4	6	5
48002	5	5	6
48002	6	5	5
48002	7	7	7
48002	8	4	3
48003	1	3	4
48003	2	2	1
48003	3	5	4
48003	4	7	7
