CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
18023	9	1	5	4	1	 
18023	10	1	6	4	1	 
18023	11	1	18	4	0	1
18023	12	1	18	4	1	 
18023	13	0	 	 	 	 
18024	9	1	9	4	1	 
18024	10	1	10	1	0	24
18024	11	1	11	1	1	 
18024	12	1	15	4	0	24
18024	13	1	15	4	1	 
18025	9	1	10	4	1	 
18025	10	1	11	4	1	 
18025	11	1	15	1	0	24
18025	12	1	15	1	1	 
18025	13	1	13	4	0	24
18026	9	1	9	4	1	 
18026	10	1	9	4	1	 
18026	11	1	10	4	1	 
18026	12	1	11	3	1	 
18026	13	1	15	1	0	24
18027	9	1	10	4	1	 
18027	10	1	10	4	0	15
18027	11	0	 	 	 	 
18027	12	0	 	 	 	 
18027	13	0	 	 	 	 
18028	9	1	6	4	0	24
18028	10	1	7	4	1	 
18028	11	1	8	4	1	 
18028	12	0	 	 	 	 
18028	13	0	 	 	 	 
18029	9	1	9	4	1	 
18029	10	1	10	4	1	 
18029	11	1	11	4	1	 
18029	12	0	 	 	 	 
18029	13	0	 	 	 	 
18030	9	1	9	4	1	 
18030	10	1	10	1	1	 
18030	11	1	11	4	0	13
18030	12	0	 	 	 	 
18030	13	0	 	 	 	 
18031	9	1	8	4	1	 
18031	10	1	9	4	0	7
18031	11	1	10	4	0	24
18031	12	1	11	4	1	 
18031	13	1	15	1	0	24
18032	9	1	10	4	1	 
18032	10	0	 	 	 	 
18032	11	0	 	 	 	 
18032	12	0	 	 	 	 
18032	13	0	 	 	 	 
18034	9	1	10	4	1	 
18034	10	1	11	4	1	 
18034	11	1	15	1	0	24
18034	12	1	15	1	1	 
18034	13	1	15	1	1	 
18035	9	1	7	4	1	 
18035	10	1	8	4	1	 
18035	11	1	9	4	1	 
18035	12	1	10	4	1	 
18035	13	1	11	4	1	 
18036	9	1	9	4	1	 
18036	10	1	10	4	1	 
18036	11	1	11	4	1	 
18036	12	0	 	 	 	 
18036	13	1	21	4	3	24
18037	9	1	10	4	1	 
18037	10	1	11	4	1	 
18037	11	1	15	4	0	24
18037	12	1	15	4	1	 
18037	13	1	15	4	1	 
18038	9	1	9	4	1	 
18038	10	0	 	 	 	 
18038	11	0	 	 	 	 
18038	12	0	 	 	 	 
18038	13	0	 	 	 	 
18039	9	1	8	4	1	 
18039	10	0	 	 	 	 
18039	11	1	8	4	0	24
18039	12	1	9	4	1	 
18039	13	1	10	4	1	 
18040	9	1	10	4	1	 
18040	10	1	11	4	1	 
18040	11	1	15	1	0	24
18040	12	1	15	1	1	 
18040	13	1	15	1	1	 
18041	9	1	10	4	1	 
18041	10	1	11	4	1	 
18041	11	0	 	 	 	 
18041	12	1	15	1	0	24
