CHILDCODE	ACTIDR4	DESWRKR4	ECNSCTR4	ACTR4	ACTFORR4	ACTMTHR4	ACTDAYMTR4	ACTWEKR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
18001	1	 	9	11	1	0	0	2	6	8	1	25	0	2	 	1	12
18001	2	 	20	11	3	4	20	4	5	4	1	150	0	4	 	0	 
18001	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18002	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18002	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18002	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18003	1	 	7	11	3	12	24	4	6	11	1	180	0	3	 	1	12
18003	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18003	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18004	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18004	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18004	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18005	1	 	20	23	3	1	15	2	6	4	1	40	0	2	 	1	12
18005	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18005	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18006	1	 	18	10	7	4	4	4	1	7	1	25	0	2	 	1	3
18006	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18006	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18007	1	 	20	23	3	0	2	0	0	3	1	30	0	5	 	0	 
18007	2	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18007	3	 	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18008	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18008	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18008	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18009	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18009	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
