CHILDCODE	MOVEIDR4	CNTRYR4	DPTMNTR4	TYPRESR4	YRMOVER4	MTHSTYR4	MVEMEMR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
18001	1	51	24	1	2011	0	1	28	88	1	7
18002	1	51	14	5	2009	12	0	5	88	0	 
18002	2	51	24	5	2010	0	0	22	88	1	1
18004	1	51	24	1	2013	0	1	9	13	1	4
18006	1	51	24	1	2013	0	1	9	88	1	5
18009	1	51	24	1	2012	13	0	24	11	1	3
18009	2	51	24	1	2013	3	1	27	22	1	1
18009	3	51	24	1	2013	0	1	11	88	1	3
18011	1	51	24	1	2012	4	0	9	1	1	5
18018	1	51	24	1	2011	5	1	20	88	1	4
18018	2	51	24	1	2011	0	1	20	88	1	1
18021	1	51	24	1	2010	0	1	27	88	1	4
18022	1	51	24	1	2013	0	0	11	88	1	3
18023	1	51	1	5	2011	0	1	35	5	0	 
18027	1	51	15	5	2010	0	0	4	88	0	 
18030	1	51	13	5	2011	12	1	35	5	0	 
18030	2	51	13	5	2012	0	1	4	88	1	2
18031	1	51	24	5	2009	0	0	21	88	1	4
18038	1	51	15	5	2011	0	0	2	13	0	 
18045	1	51	7	5	2011	0	0	11	88	0	 
18047	1	51	24	1	2012	0	0	11	9	0	 
28004	1	51	20	3	2012	12	0	1	88	1	4
28004	2	51	20	3	2012	0	0	3	88	1	1
28016	1	51	20	2	2010	0	1	5	88	0	 
28024	1	51	15	5	2013	6	0	1	88	1	4
28024	2	51	20	5	2013	0	0	3	88	1	1
38001	1	51	22	5	2011	4	0	2	88	1	4
38001	2	51	20	5	2011	3	1	23	35	1	4
38001	3	51	22	5	2012	17	0	1	2	1	4
38001	4	51	20	5	2013	0	0	23	88	1	4
38003	1	51	20	1	2011	0	0	11	88	1	3
38004	1	51	6	5	2011	8	1	1	9	0	 
38004	2	51	20	5	2011	0	1	22	88	1	2
38006	1	51	14	4	2012	0	0	2	17	1	4
38007	1	51	15	5	2013	9	0	1	5	1	2
38007	2	51	14	5	2013	0	0	1	8	1	1
38008	1	51	7	5	2012	12	0	2	88	1	2
38008	2	51	15	3	2013	0	0	13	2	0	 
38010	1	51	20	3	2012	3	0	5	88	1	4
38010	2	51	20	3	2012	3	0	22	88	1	1
38010	3	51	20	3	2012	0	0	6	5	1	4
38011	1	51	20	3	2012	0	1	5	88	1	2
38013	1	51	20	3	2011	0	1	5	88	1	4
38015	1	51	20	3	2012	0	0	5	88	1	4
38017	1	51	20	2	2011	0	0	20	24	1	3
38019	1	51	20	3	2012	0	0	1	5	0	 
38021	1	51	22	4	2012	4	1	2	5	1	4
38021	2	51	15	5	2012	0	0	2	5	1	4
38023	1	51	20	3	2010	24	1	5	88	0	 
38023	2	51	20	1	2012	5	1	5	88	0	 
38023	3	51	20	1	2013	0	1	13	88	0	 
38024	1	51	15	5	2012	0	1	2	5	1	5
38025	1	51	20	3	2011	0	0	5	88	1	4
48001	1	51	15	5	2013	0	0	2	88	1	4
48002	1	51	1	2	2010	0	0	11	24	1	1
48003	1	51	1	1	2010	0	0	13	22	1	1
48004	1	51	1	2	2012	0	0	5	88	1	2
48005	1	51	15	5	2012	0	1	5	2	1	4
48009	1	51	15	5	2013	9	0	17	2	1	2
48009	2	51	1	5	2013	0	0	24	88	1	1
48014	1	51	1	2	2012	3	0	27	28	1	1
48014	2	51	1	2	2012	8	0	11	88	1	3
48014	3	51	15	5	2013	0	0	12	28	0	 
48015	1	51	1	2	2012	0	1	22	88	1	4
48016	1	51	1	3	2011	6	0	2	88	0	 
48016	2	51	1	3	2012	0	0	22	88	1	1
48017	1	51	1	2	2012	0	1	5	88	1	2
48018	1	51	16	4	2012	4	0	20	88	0	 
48018	2	51	1	4	2012	14	1	11	22	1	1
48018	3	51	15	5	2013	0	1	2	5	1	4
48019	1	51	1	4	2011	14	0	6	88	0	 
48019	2	51	3	5	2012	4	0	6	88	0	 
48019	3	51	22	5	2013	0	0	22	88	1	1
48020	1	51	15	5	2012	12	0	5	88	1	4
48020	2	51	1	3	2013	0	0	5	88	1	4
48021	1	51	1	3	2010	0	0	1	5	0	 
48022	1	51	2	5	2011	24	1	4	88	0	 
48022	2	51	25	5	2013	0	0	2	88	1	4
48023	1	51	1	3	2012	0	0	11	88	1	3
48025	1	51	15	5	2011	8	0	1	88	1	5
48025	2	51	1	5	2011	8	0	22	88	1	1
48025	3	51	22	4	2012	4	0	1	88	1	4
48025	4	51	1	4	2012	0	0	22	88	1	1
58004	1	51	15	2	2011	22	0	5	88	1	4
58004	2	51	15	1	2013	0	1	35	88	1	4
58006	1	51	22	1	2009	36	1	5	13	1	4
58006	2	51	22	1	2012	3	1	9	24	1	4
58006	3	51	22	1	2012	0	1	13	22	1	4
58007	1	51	15	4	2013	0	0	2	88	0	 
58011	1	51	6	1	2012	7	0	20	88	0	 
58011	2	51	6	1	2012	0	1	22	88	1	1
58014	1	51	22	3	2013	0	0	5	88	0	 
58015	1	51	22	1	2010	30	0	11	88	0	 
58015	2	51	22	1	2013	0	1	22	88	1	1
58017	1	51	15	5	2013	6	0	4	88	1	4
58017	2	51	4	5	2013	4	0	4	88	0	 
58017	3	51	15	5	2013	0	0	4	88	1	4
58020	1	51	22	4	2011	4	1	4	88	1	1
58020	2	51	15	5	2012	12	0	12	88	1	4
58020	3	51	15	2	2013	0	1	22	88	1	2
58022	1	51	22	3	2012	6	0	1	88	1	4
58022	2	51	22	3	2012	3	0	22	88	1	1
58022	3	51	7	5	2013	3	0	1	88	1	4
58022	4	51	13	4	2013	3	0	4	88	1	5
58022	5	51	22	5	2013	3	0	22	88	1	1
58022	6	51	1	4	2013	0	0	1	88	1	5
58023	1	51	22	3	2013	0	0	5	88	0	 
58026	1	51	22	3	2012	0	1	5	88	1	4
58027	1	51	22	3	2012	0	0	5	88	0	 
58028	1	51	15	5	2013	6	1	2	88	1	5
58028	2	51	22	5	2014	0	1	22	88	1	1
58030	1	51	15	5	2013	6	1	2	88	1	2
58030	2	51	15	5	2014	0	0	13	28	1	2
68005	1	51	22	2	2013	0	0	11	88	1	3
68006	1	51	15	5	2012	5	1	5	88	1	2
68006	2	51	22	5	2012	0	1	5	88	1	2
68007	1	51	16	4	2010	3	0	2	88	0	 
68007	2	51	15	5	2011	18	0	5	88	1	4
68007	3	51	22	5	2012	0	1	5	88	1	1
68008	1	51	22	2	2012	0	1	13	88	1	4
68012	1	51	22	3	2011	0	0	11	24	0	 
68015	1	51	16	1	2012	0	1	16	88	1	2
68021	1	51	22	1	2010	12	1	27	88	1	4
68021	2	51	22	1	2011	24	1	13	88	0	 
68021	3	51	22	1	2013	0	1	1	88	0	 
68023	1	51	15	5	2012	5	1	5	88	1	1
68023	2	51	22	5	2013	0	1	5	88	1	1
78001	1	51	15	5	2013	0	0	5	88	1	2
78002	1	51	6	1	2011	0	1	17	13	0	 
78003	1	51	6	1	2009	40	1	13	88	0	 
78003	2	51	6	1	2013	0	1	17	88	0	 
78005	1	51	13	4	2012	6	1	22	88	1	1
78005	2	51	6	4	2012	0	0	27	88	1	4
78010	1	51	15	5	2011	0	0	5	88	1	4
78016	1	51	6	1	2011	0	1	1	88	1	5
78018	1	51	6	1	2013	0	0	20	88	0	 
78032	1	51	6	1	2010	12	1	9	12	1	4
78032	2	51	6	1	2011	8	1	13	88	0	 
78032	3	51	6	1	2011	0	1	13	88	1	5
78035	1	51	15	1	2013	0	1	13	88	0	 
78039	1	51	13	5	2012	4	0	2	9	1	4
78039	2	51	6	5	2012	6	1	22	5	1	1
78039	3	51	14	4	2013	0	0	6	88	0	 
