CHILDID	planid	plan
VN061013	1	1
VN061014	1	4
VN061015	1	10
VN061015	2	4
VN061016	1	4
VN061016	2	8
VN061017	1	10
VN061017	2	2
VN061018	1	7
VN061019	1	7
VN061019	2	4
VN061020	1	8
VN061020	2	4
VN061021	1	1
VN061023	1	10
VN061024	1	3
VN061024	2	4
VN061025	1	8
VN061025	2	4
VN061026	1	4
VN061028	1	1
VN061029	1	2
VN061029	2	3
VN061030	1	4
VN061031	1	4
VN061032	1	4
VN061033	1	1
VN061034	1	10
VN061034	2	10
VN061035	1	5
VN061036	1	1
VN061037	1	8
VN061037	2	4
VN061038	1	1
VN061039	1	2
VN061039	2	4
VN061040	1	4
VN061040	2	2
VN061041	1	4
VN061042	1	2
VN061043	1	4
VN061044	1	4
VN061046	1	2
VN061046	2	4
VN061047	1	7
VN061047	2	4
VN061048	1	1
VN061049	1	4
VN061050	1	4
VN061052	1	10
VN061055	1	2
VN061056	1	8
VN061056	2	4
VN061057	1	1
VN061076	1	1
VN061079	1	4
VN061104	1	7
VN061104	2	10
VN071001	1	4
VN071002	1	4
VN071002	2	3
VN071003	1	4
VN071004	1	7
VN071004	2	4
VN071005	1	1
VN071006	1	4
VN071007	1	7
VN071007	2	4
VN071008	1	1
VN071009	1	7
VN071009	2	4
VN071010	1	4
VN071011	1	4
VN071011	2	7
VN071012	1	4
VN071013	1	2
VN071013	2	4
VN071014	1	7
VN071014	2	4
VN071015	1	4
VN071018	1	7
VN071018	2	4
VN071019	1	6
VN071019	2	4
VN071020	1	4
VN071021	1	1
VN071023	1	4
VN071023	2	2
VN071024	1	10
VN071025	1	4
VN071026	1	1
VN071027	1	4
VN071028	1	4
VN071029	1	3
VN071031	1	2
VN071031	2	4
VN071032	1	4
VN071033	1	4
VN071034	1	4
VN071035	1	1
VN071036	1	4
VN071037	1	2
VN071037	2	8
VN071038	1	4
VN071038	2	2
VN071039	1	7
VN071041	1	2
VN071041	2	7
VN071042	1	4
VN071042	2	2
VN071043	1	8
VN071043	2	4
VN071044	1	7
VN071044	2	4
VN071045	1	7
VN071046	1	2
VN071047	1	4
VN071048	1	4
VN071049	1	2
VN071073	1	2
VN071091	1	4
VN071097	1	1
VN071112	1	4
VN071120	1	4
VN071121	1	7
VN081001	1	4
VN081003	1	2
VN081003	2	10
VN081004	1	2
VN081005	1	4
VN081006	1	1
VN081007	1	1
VN081008	1	2
VN081009	1	10
VN081010	1	4
VN081011	1	8
VN081011	2	4
VN081012	1	4
VN081013	1	1
VN081017	1	7
VN081017	2	4
VN081018	1	4
VN081019	1	1
VN081020	1	4
VN081021	1	7
VN081021	2	4
VN081022	1	4
VN081023	1	2
VN081024	1	4
VN081024	2	10
VN081025	1	8
VN081025	2	4
VN081026	1	4
VN081026	2	7
VN081028	1	4
VN081029	1	4
VN081030	1	2
VN081031	1	1
VN081032	1	4
VN081032	2	10
VN081034	1	1
VN081035	1	10
VN081036	1	1
VN081038	1	4
VN081039	1	4
VN081041	1	4
VN081042	1	4
VN081042	2	10
VN081043	1	7
VN081045	1	4
VN081045	2	2
VN081046	1	4
VN081047	1	4
VN081049	1	1
VN081050	1	4
VN081050	2	2
VN081073	1	4
VN081092	1	2
VN081092	2	8
VN081105	1	8
VN081105	2	10
VN081108	1	2
VN081108	2	4
VN081120	1	4
VN081130	1	8
VN081130	2	4
VN081139	1	4
VN081145	1	4
VN081150	1	4
VN081152	1	8
VN081152	2	4
VN091001	1	2
VN091003	1	4
VN091003	2	10
VN091005	1	4
VN091006	1	2
VN091006	2	3
VN091008	1	1
VN091009	1	4
VN091010	1	1
VN091011	1	4
VN091012	1	1
VN091013	1	10
VN091014	1	4
VN091015	1	10
VN091016	1	4
VN091017	1	4
VN091018	1	8
VN091019	1	1
VN091020	1	2
VN091020	2	7
VN091021	1	10
VN091021	2	7
VN091022	1	6
VN091024	1	4
VN091025	1	4
VN091026	1	1
VN091027	1	2
VN091027	2	7
VN091028	1	10
VN091028	2	10
VN091029	1	1
VN091030	1	1
VN091031	1	10
VN091031	2	2
VN091032	1	4
VN091033	1	4
VN091036	1	10
VN091037	1	2
VN091039	1	4
VN091041	1	1
VN091042	1	1
VN091044	1	4
VN091045	1	1
VN091046	1	4
VN091047	1	2
VN091047	2	10
VN091048	1	10
VN091048	2	4
VN091049	1	8
VN091049	2	4
VN091050	1	4
VN091052	1	4
VN091052	2	10
VN091053	1	4
VN091056	1	4
VN091057	1	4
VN091057	2	10
VN091061	1	1
VN091062	1	1
VN091064	1	1
VN091070	1	1
VN091071	1	10
VN101001	1	10
VN101004	1	10
VN101004	2	10
VN101005	1	4
VN101005	2	7
VN101006	1	2
VN101006	2	3
VN101008	1	2
VN101009	1	4
VN101010	1	8
VN101010	2	10
VN101011	1	10
VN101013	1	7
VN101013	2	10
VN101014	1	2
VN101015	1	4
VN101016	1	7
VN101017	1	4
VN101018	1	4
VN101018	2	8
VN101019	1	4
VN101020	1	4
VN101021	1	10
VN101022	1	1
VN101023	1	4
VN101024	1	2
VN101024	2	3
VN101025	1	4
VN101026	1	10
VN101027	1	4
VN101028	1	4
VN101028	2	1
VN101029	1	2
VN101030	1	10
VN101030	2	4
VN101031	1	4
VN101034	1	10
VN101035	1	4
VN101036	1	2
VN101036	2	3
VN101037	1	4
VN101038	1	10
VN101038	2	8
VN101039	1	4
VN101040	1	4
VN101041	1	4
VN101042	1	4
VN101043	1	7
VN101044	1	4
VN101044	2	7
VN101045	1	4
VN101045	2	10
VN101047	1	4
VN101048	1	7
VN101049	1	4
VN101050	1	10
VN101050	2	8
VN101051	1	4
VN101054	1	2
VN101054	2	10
VN101059	1	1
VN101064	1	4
VN101067	1	4
VN101075	1	4
VN101083	1	4
VN111001	1	7
VN111002	1	4
VN111002	2	10
VN111003	1	2
VN111003	2	7
VN111004	1	4
VN111005	1	4
VN111006	1	2
VN111006	2	3
VN111008	1	4
VN111009	1	10
VN111010	1	4
VN111011	1	4
VN111012	1	2
VN111013	1	4
VN111013	2	2
VN111014	1	4
VN111015	1	4
VN111016	1	2
VN111016	2	10
VN111017	1	4
VN111018	1	4
VN111019	1	4
VN111019	2	7
VN111020	1	4
VN111021	1	7
VN111021	2	10
VN111022	1	4
VN111025	1	4
VN111027	1	4
VN111027	2	10
VN111028	1	2
VN111028	2	4
VN111030	1	10
VN111031	1	7
VN111031	2	4
VN111032	1	2
VN111032	2	3
VN111033	1	4
VN111033	2	7
VN111034	1	2
VN111034	2	4
VN111035	1	10
VN111035	2	2
VN111036	1	4
VN111037	1	10
VN111038	1	4
VN111039	1	4
VN111040	1	10
VN111040	2	8
VN111041	1	4
VN111042	1	10
VN111042	2	8
VN111043	1	4
VN111043	2	2
VN111044	1	4
VN111045	1	2
VN111045	2	4
VN111047	1	8
VN111048	1	4
VN111048	2	2
VN111050	1	10
VN111050	2	10
VN111057	1	10
VN111057	2	4
VN111065	1	3
VN111065	2	2
VN111069	1	4
VN111086	1	4
VN111086	2	8
VN111109	1	4
VN111109	2	10
VN111111	1	8
VN111111	2	4
VN111119	1	7
VN121001	1	4
VN121002	1	4
VN121003	1	2
VN121003	2	10
VN121004	1	4
VN121005	1	4
VN121005	2	10
VN121006	1	4
VN121007	1	4
VN121008	1	4
VN121009	1	4
VN121011	1	8
VN121011	2	10
VN121012	1	4
VN121013	1	2
VN121013	2	4
VN121014	1	10
VN121014	2	4
VN121019	1	4
VN121020	1	1
VN121021	1	10
VN121021	2	4
VN121022	1	8
VN121022	2	10
VN121023	1	2
VN121025	1	4
VN121028	1	4
VN121030	1	7
VN121031	1	10
VN121031	2	2
VN121032	1	10
VN121033	1	4
VN121034	1	4
VN121035	1	10
VN121035	2	7
VN121036	1	4
VN121037	1	10
VN121037	2	10
VN121038	1	4
VN121039	1	4
VN121040	1	4
VN121041	1	4
VN121041	2	8
