CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
VN011031	2	2	2	4	1	51
VN011031	3	2	2	6	2	1
VN011031	4	3	2	6	1	52
VN011031	5	3	2	6	3	1
VN011031	6	3	1	2	1	20
VN011032	1	1	2	6	2	1
VN011032	2	1	1	12	1	20
VN011032	3	2	1	12	1	1
VN011033	1	1	1	12	1	80
VN011033	2	1	2	6	2	1
VN011033	3	2	2	12	1	52
VN011033	4	2	2	6	3	1
VN011033	5	4	2	12	2	52
VN011034	1	1	1	12	1	45
VN011034	2	1	2	9	3	1
VN011034	3	1	2	12	2	52
VN011034	4	2	2	9	3	1
VN011034	5	2	2	12	1	1
VN011034	6	2	2	12	1	52
VN011035	1	1	2	6	1	1
VN011035	2	2	1	12	1	45
VN011035	3	2	2	2	3	1
VN011035	4	1	1	2	2	1
VN011037	1	1	1	12	2	26
VN011037	2	1	2	12	3	1
VN011037	3	1	2	11	3	1
VN011037	4	2	2	12	1	1
VN011037	5	2	2	12	3	1
VN011037	6	2	1	9	1	20
VN011038	1	2	2	7	3	1
VN011038	2	3	2	12	1	52
VN011038	3	3	2	7	2	1
VN011038	4	3	2	2	1	1
VN011038	5	4	2	12	1	52
VN011038	6	4	2	7	2	1
VN011038	7	4	2	2	1	1
VN011038	8	5	2	2	2	1
VN011039	1	1	2	12	1	1
VN011039	2	1	2	8	2	1
VN011039	3	1	1	9	4	93
VN011039	4	2	2	8	2	1
VN011039	5	2	2	12	1	1
VN011039	6	3	1	2	1	45
VN011039	7	3	2	12	3	1
VN011039	8	4	1	4	1	15
VN011039	9	4	2	12	3	1
VN011039	10	5	2	12	4	1
VN011039	11	3	2	8	3	1
VN011039	12	4	2	8	3	1
VN011040	1	1	2	9	2	20
VN011040	2	1	2	4	4	1
VN011040	3	1	2	5	1	1
VN011040	4	2	2	6	2	1
VN011040	5	2	2	4	1	1
VN011040	6	2	2	12	1	1
VN011040	7	3	1	5	1	93
VN011040	8	3	2	6	3	1
VN011040	9	3	2	3	2	1
VN011041	1	1	2	9	1	1
VN011041	2	1	2	12	2	1
VN011041	3	1	2	9	1	18
VN011041	4	2	1	12	1	93
VN011041	5	2	2	1	3	1
VN011041	6	2	2	9	2	1
VN011041	7	3	2	3	3	93
VN011042	1	1	2	12	1	1
VN011042	2	2	2	8	2	1
VN011042	3	2	1	10	1	93
VN011043	1	1	1	4	2	1
VN011043	2	1	1	4	2	1
VN011043	3	1	1	2	2	1
VN011043	4	2	1	2	2	1
VN011043	5	2	1	2	2	1
VN011043	6	2	1	4	2	1
VN011043	7	3	1	11	1	93
VN011044	1	1	2	12	4	51
VN011044	2	1	2	12	1	1
VN011044	3	1	2	6	4	1
VN011044	4	2	2	8	1	1
VN011044	5	2	2	6	3	1
VN011044	6	2	2	12	1	1
VN011047	1	2	2	7	2	1
VN011047	2	2	2	10	1	1
VN011047	3	3	1	10	1	45
VN011047	4	3	2	2	1	1
VN011047	5	4	1	10	1	93
VN011047	6	4	2	7	2	1
VN011047	7	4	2	10	1	1
VN011048	1	1	2	3	2	1
VN011048	2	1	1	12	2	93
VN011048	3	2	2	8	2	1
VN011048	4	2	1	3	1	1
VN011050	1	1	2	8	2	1
VN011050	2	1	2	3	2	51
VN011050	3	1	2	12	1	1
VN011050	4	2	2	8	2	1
VN011050	5	2	2	12	1	1
VN011050	6	2	2	12	1	1
VN011050	7	3	1	5	2	93
VN011050	8	4	1	5	2	93
VN011050	9	5	1	5	2	93
VN011052	1	1	2	6	4	1
VN011052	2	1	1	12	1	51
VN011052	3	1	2	12	1	1
VN011052	4	2	2	6	4	1
VN011052	5	2	2	12	1	1
VN011061	1	1	2	6	3	1
VN011061	2	1	1	7	1	20
VN011061	3	1	2	12	1	52
VN011061	4	2	2	12	1	52
VN011061	5	2	2	6	4	1
VN011061	6	2	2	12	1	1
VN011063	1	1	2	12	2	2
VN011063	2	1	2	3	2	1
VN011063	3	1	2	6	2	1
VN011063	4	2	2	12	1	52
VN011063	5	2	2	6	3	1
VN011063	6	2	2	12	1	1
VN011063	7	3	2	12	3	1
VN011069	1	2	2	9	3	1
VN011069	2	2	2	6	2	1
VN011069	3	2	2	9	1	1
VN011069	4	3	2	9	2	1
VN011069	5	3	2	6	2	1
VN011069	6	3	1	3	3	20
VN011069	7	4	1	4	2	45
VN011069	8	4	2	3	2	1
VN011069	9	4	2	5	2	1
VN011069	10	5	1	5	2	93
VN011074	1	1	1	7	1	45
VN011074	2	1	2	6	3	1
VN011074	3	1	2	12	1	1
VN011074	4	2	2	6	3	1
VN011074	5	2	1	12	1	93
VN011074	6	2	2	12	1	1
VN011074	7	3	1	12	3	93
VN011074	8	3	2	12	3	1
VN011088	1	1	2	12	1	1
VN011088	2	1	2	4	1	1
VN011088	3	1	2	6	4	1
VN011088	4	2	2	12	1	1
VN011088	5	2	2	6	4	1
VN011088	6	2	1	4	1	93
VN021002	1	1	2	4	2	1
VN021002	2	1	2	11	2	1
VN021002	3	1	2	3	1	1
VN021002	4	2	2	4	1	1
VN021002	5	2	2	3	1	1
VN021002	7	3	2	12	1	1
VN021003	1	1	2	8	1	52
VN021003	2	1	2	2	1	52
VN021003	3	2	1	9	1	5
VN021003	4	2	1	2	2	5
VN021004	1	1	2	6	1	5
VN021004	2	1	2	12	2	15
VN021004	3	2	2	12	3	52
VN021005	1	1	2	12	2	52
VN021005	2	1	2	12	3	52
VN021005	3	2	2	12	1	60
VN021006	1	1	2	12	4	1
VN021006	2	2	2	8	2	52
VN021006	3	2	2	12	2	15
VN021006	4	2	2	6	1	1
VN021006	5	3	2	8	1	52
VN021006	6	3	2	12	3	15
VN021006	7	3	2	12	1	1
VN021006	8	5	2	8	4	15
VN021006	9	6	2	8	2	52
VN021006	10	6	2	12	3	15
VN021006	11	6	2	12	3	1
VN021006	12	7	2	12	4	93
VN021007	1	1	1	12	1	5
VN021007	2	2	2	12	1	52
VN021007	3	2	1	2	3	93
VN021008	1	1	2	12	2	15
VN021008	2	1	1	3	1	45
VN021008	3	1	2	3	2	1
VN021008	4	2	2	12	1	52
VN021008	5	2	2	12	3	52
VN021008	6	2	2	3	3	1
VN021008	7	3	2	12	2	15
VN021008	8	4	2	3	2	1
VN021008	9	5	2	3	2	1
VN021009	1	3	2	9	1	72
VN021009	2	4	2	12	1	52
VN021009	3	4	2	12	1	15
VN021011	1	1	2	6	2	15
VN021011	2	1	2	6	2	5
VN021011	3	2	2	6	2	15
VN021011	5	2	2	3	2	52
VN021011	6	3	2	8	2	5
VN021011	7	4	2	6	2	15
VN021011	8	5	2	6	4	15
VN021012	1	1	1	12	1	14
VN021012	2	1	2	4	2	1
VN021012	3	3	2	4	1	60
VN021012	4	3	1	1	1	5
VN021012	5	4	2	12	1	1
VN021012	6	3	2	4	2	1
VN021012	7	1	2	4	1	1
VN021013	1	1	1	8	1	5
VN021013	2	1	2	9	3	1
VN021013	3	1	1	2	2	93
VN021013	4	2	2	8	2	1
VN021013	5	2	1	12	3	93
VN021014	1	1	1	8	1	5
VN021014	2	2	2	12	1	52
VN021015	1	1	1	8	1	5
VN021015	2	1	2	3	2	5
VN021015	3	2	1	10	1	93
VN021017	1	1	2	12	1	60
VN021017	2	1	2	12	3	52
VN021017	3	1	2	12	1	1
VN021017	4	2	2	12	1	52
VN021017	5	2	2	12	1	1
VN021017	6	3	2	12	1	52
VN021017	7	3	2	12	3	1
VN021017	8	3	2	12	4	50
VN021017	9	2	2	12	1	50
VN021018	1	1	1	9	1	5
VN021018	2	1	2	12	2	15
VN021018	3	1	2	12	2	1
VN021018	4	2	2	12	1	15
VN021018	5	2	2	12	1	1
VN021018	6	2	1	12	3	93
VN021018	7	3	2	12	3	1
VN021018	8	3	2	12	3	15
VN021020	1	2	1	8	1	5
VN021020	2	2	2	5	2	1
VN021020	3	3	2	10	1	52
VN021020	4	3	2	12	1	1
VN021020	5	4	2	4	2	1
VN021020	6	5	2	4	2	1
VN021022	1	1	1	12	1	45
