CHILDID	PLOT	LAREA	LOWN	LUSE
VN011001	1	200	4	7
VN011001	2	2000	4	1
VN011002	1	2100	4	1
VN011003	1	500	4	1
VN011003	2	1500	4	6
VN011004	1	2000	4	1
VN011005	1	2000	4	1
VN011006	1	1565	4	1
VN011006	2	8435	1	1
VN011006	3	200	4	7
VN011007	1	2350	4	1
VN011008	1	2370	4	1
VN011008	2	1497	1	1
VN011009	1	1400	4	1
VN011009	2	1500	1	1
VN011010	1	2500	4	1
VN011011	1	1000	4	1
VN011012	1	3150	4	1
VN011013	1	3500	4	1
VN011013	2	1000	1	1
VN011014	1	2500	4	1
VN011015	1	3000	4	1
VN011016	1	3000	4	1
VN011017	1	2000	4	6
VN011018	1	910	4	6
VN011019	1	2500	4	1
VN011020	1	2500	4	1
VN011021	1	1270	4	1
VN011022	1	2950	4	1
VN011024	1	2500	4	1
VN011025	1	2350	4	1
VN011025	2	500	4	8
VN011026	1	2950	4	1
VN011028	1	1000	4	1
VN011029	1	1150	4	1
VN011029	2	1950	1	1
VN011030	1	1880	4	1
VN011031	1	1200	4	1
VN011031	2	550	4	6
VN011032	1	1410	4	1
VN011033	1	1500	4	1
VN011034	1	1330	4	1
VN011035	1	1750	4	1
VN011037	1	1297	4	1
VN011038	1	3290	4	1
VN011039	1	2820	4	1
VN011040	1	1850	4	1
VN011040	2	2000	1	1
VN011041	1	2000	4	1
VN011042	1	1350	4	1
VN011044	1	2500	1	1
VN011044	2	1500	4	1
VN011047	1	2350	4	1
VN011048	1	1400	4	1
VN011050	1	3000	4	1
VN011050	2	1000	1	1
VN011052	1	1750	4	1
VN011061	1	1410	4	1
VN011063	1	1750	4	1
VN011069	1	2750	4	1
VN011074	1	1880	4	1
VN011088	1	1000	4	1
VN011088	2	2000	1	8
VN021002	1	2400	4	1
VN021002	2	1000	4	8
VN021002	3	750	4	8
VN021003	1	28	4	7
VN021006	1	2250	4	1
VN021007	1	50	4	4
VN021008	1	300	4	7
VN021009	1	48	4	4
VN021009	2	70	4	8
VN021011	1	70	4	5
VN021012	1	5000	4	1
VN021013	1	2750	4	1
VN021022	1	1700	4	1
VN021022	2	1000	4	8
VN021023	1	1500	4	1
VN021023	2	500	4	8
VN021024	1	3000	4	8
VN021024	2	2500	4	1
VN021025	1	750	4	8
VN021025	2	1500	4	1
VN021025	3	5500	4	8
VN021027	1	750	4	1
VN021029	1	2250	4	1
VN021030	1	4000	4	1
VN021031	1	5500	4	1
VN021032	1	2500	4	1
VN021032	2	4500	1	1
VN021033	1	2000	4	1
VN021033	2	1000	4	8
VN021034	1	3000	4	8
VN021034	2	1000	4	1
VN021036	1	2000	4	1
VN021037	1	5000	4	1
VN021037	2	2000	1	1
VN021037	3	500	4	2
VN021038	2	500	4	1
VN021038	3	1500	4	8
VN021039	1	1250	4	1
VN021039	2	70	4	4
VN021040	1	3250	4	7
VN021040	2	1750	4	1
VN021041	1	10000	4	1
VN021042	1	2500	4	1
VN021042	2	2500	4	8
VN021042	3	1000	1	1
VN021043	1	2150	4	1
VN021044	1	500	4	8
VN021044	2	1500	4	1
VN021044	3	3200	1	8
VN021046	1	1750	4	1
VN021046	2	3000	1	1
VN021047	1	2000	4	1
VN021048	1	2700	4	6
VN021048	2	500	4	9
VN021049	1	1400	4	1
VN021056	1	3500	4	1
VN021069	1	2000	4	8
VN021069	2	2500	4	1
VN021072	1	1800	4	8
VN021072	2	1000	1	1
VN021072	3	900	4	1
VN021078	1	600	4	4
VN021089	1	3000	4	1
VN021090	1	2400	4	6
VN021090	2	8000	4	9
VN021094	1	3500	4	1
VN021094	2	1500	4	8
VN031001	1	10000	4	8
VN031002	1	40000	4	8
VN031002	2	10000	4	1
VN031003	1	20000	4	8
VN031003	2	3000	4	1
VN031004	1	10000	4	1
VN031004	2	10000	4	8
VN031005	1	30000	4	8
VN031005	2	5800	4	1
VN031006	1	7000	4	8
VN031006	2	10000	4	1
VN031007	1	10000	4	1
VN031007	2	10000	4	8
VN031008	1	30000	4	1
VN031008	2	10000	4	7
VN031009	1	17000	4	1
VN031009	2	1000	4	8
VN031010	1	15000	4	8
VN031010	2	3500	4	1
VN031011	1	30000	4	1
VN031012	1	10000	4	1
VN031012	2	8000	4	8
VN031012	3	2000	4	7
VN031013	1	7000	4	1
VN031018	1	27000	4	8
VN031018	2	10000	4	1
VN031020	1	5000	4	8
VN031020	2	1000	4	1
VN031021	1	10000	4	8
VN031023	1	20000	4	1
VN031024	1	15000	4	1
VN031025	1	26000	4	8
VN031025	2	6000	4	1
VN031027	1	8000	4	1
VN031027	2	1000	4	8
VN031028	1	10000	4	1
VN031029	1	10000	4	1
VN031029	2	20000	4	8
VN031031	1	10000	4	1
VN031032	1	30000	4	1
VN031033	1	14000	4	8
VN031033	2	4500	4	1
VN031034	1	12000	4	1
VN031035	1	16000	4	8
VN031035	2	24000	4	1
VN031038	1	17000	4	8
VN031038	2	3000	4	1
VN031038	3	3000	4	8
