CHILDID	ID	AGE	SEX	RELATE	STILL	YRSCHOOL	DISABLED	SUPPORT	V2020510	V2020511
VN011024	3	25	2	5	2	42	2	1	0	0
VN011024	4	18	1	5	2	43	2	1	0	0
VN011024	5	13	1	5	1	43	2	2	0	0
VN011025	1	43	2	1	2	42	2	1	0	0
VN011025	2	37	1	1	2	42	2	1	0	0
VN011025	3	18	2	5	2	43	2	2	0	0
VN011025	4	11	1	5	1	43	2	2	0	0
VN011025	5	10	2	5	1	42	2	2	0	0
VN011026	1	44	1	1	2	42	2	1	0	0
VN011026	2	42	2	1	2	42	2	1	0	0
VN011026	3	16	2	5	2	42	2	1	0	0
VN011026	4	14	2	5	1	43	2	2	0	0
VN011026	5	10	2	5	1	42	2	2	0	0
VN011028	1	32	1	1	2	42	2	1	7	0
VN011028	2	30	2	1	2	43	2	1	0	0
VN011028	3	7	2	5	1	42	2	2	0	0
VN011029	1	28	1	1	2	42	2	1	3	0
VN011029	2	31	2	1	2	43	2	1	0	0
VN011029	3	7	2	5	1	42	2	2	0	0
VN011029	17	3	2	5	88	88	2	88	88	88
VN011030	1	36	1	1	2	42	2	1	10	0
VN011030	2	33	2	1	2	44	2	1	0	0
VN011030	3	11	1	5	1	43	2	2	0	0
VN011030	17	4	1	5	88	88	2	88	88	88
VN011031	1	78	2	3	2	99	2	2	0	0
VN011031	2	35	1	1	2	42	2	1	10	0
VN011031	3	31	2	1	2	0	2	1	0	0
VN011031	4	10	2	5	1	42	2	2	0	0
VN011031	5	6	1	5	1	42	2	2	0	0
VN011032	1	46	2	1	2	0	2	1	0	0
VN011032	2	17	1	5	2	43	2	1	0	0
VN011033	1	41	1	1	1	46	2	1	20	0
VN011033	2	36	2	1	2	43	2	1	0	0
VN011033	3	13	1	5	2	0	1	2	0	0
VN011033	4	11	2	5	1	43	2	2	0	0
VN011033	17	2	2	5	88	88	2	88	88	88
VN011034	1	33	1	1	2	44	2	1	5	0
VN011034	2	30	2	1	2	43	2	1	0	0
VN011034	17	3	1	5	88	88	2	88	88	88
VN011035	1	32	2	1	2	0	2	1	0	0
VN011035	2	31	1	1	2	42	2	1	0	0
VN011035	3	11	2	5	1	43	2	2	0	0
VN011037	1	30	1	1	2	42	2	1	0	0
VN011037	2	28	2	1	2	42	2	1	0	0
VN011037	17	4	1	5	88	88	2	88	88	88
VN011038	1	91	1	13	2	99	2	2	0	0
VN011038	2	61	2	3	2	99	2	2	0	0
VN011038	3	36	2	1	2	43	2	1	0	0
VN011038	4	35	1	1	2	43	2	1	10	0
VN011038	5	15	2	5	1	44	2	2	0	0
VN011038	6	14	1	5	1	43	2	2	0	0
VN011039	1	50	1	1	2	42	2	1	20	0
VN011039	2	47	2	1	2	0	2	1	0	0
VN011039	3	22	1	5	2	0	2	1	0	0
VN011039	4	15	2	5	2	42	2	1	0	0
VN011039	5	13	1	5	1	43	2	2	0	0
VN011040	1	30	1	1	2	42	2	1	20	0
VN011040	2	33	2	1	2	43	2	1	0	0
VN011040	3	11	2	5	1	43	2	2	0	0
VN011041	1	34	1	1	2	43	2	1	3	0
VN011041	2	30	2	1	2	42	2	1	0	0
VN011041	3	11	1	5	1	42	2	2	0	0
VN011042	1	79	1	3	2	0	2	1	0	0
VN011042	2	32	2	1	2	0	2	1	0	0
VN011043	1	50	1	1	2	42	2	1	12	0
VN011043	2	41	2	1	2	42	2	1	0	0
VN011043	3	20	2	5	2	0	2	2	0	0
VN011043	4	14	2	5	2	0	2	2	0	0
VN011043	5	11	2	5	1	42	2	2	0	0
VN011043	6	5	1	5	2	0	2	2	0	0
VN011044	1	33	1	1	2	99	2	1	3	0
VN011044	2	33	2	1	2	43	2	1	0	0
VN011044	3	12	1	5	1	43	2	2	0	0
VN011047	1	76	1	3	2	44	2	2	3	0
VN011047	2	66	2	3	2	42	2	1	3	0
VN011047	3	27	1	1	2	42	2	1	10	0
VN011047	4	26	2	1	2	0	2	1	0	0
VN011048	1	33	1	1	2	99	2	1	20	0
VN011048	2	38	2	1	2	0	2	1	0	0
VN011048	3	6	1	5	1	42	2	2	0	0
VN011050	1	40	1	1	2	43	2	1	10	0
VN011050	2	39	2	1	2	42	2	1	0	0
VN011050	3	15	2	5	1	44	2	2	0	0
VN011050	4	12	1	5	1	43	2	2	0	0
VN011050	5	11	2	5	1	43	2	2	0	0
VN011052	1	36	1	1	2	45	2	1	10	0
VN011052	2	33	2	1	2	44	2	1	0	0
VN011052	3	12	1	5	1	43	2	2	0	0
VN011061	1	36	1	1	2	42	2	1	10	0
VN011061	2	33	2	1	2	43	2	1	0	0
VN011061	17	3	1	5	88	88	2	88	88	88
VN011063	1	38	1	1	2	44	2	1	0	0
VN011063	2	31	2	1	2	42	2	1	0	0
VN011063	3	12	2	5	1	43	2	2	0	0
VN011069	1	93	2	13	2	99	1	2	0	0
VN011069	2	39	2	1	2	0	2	1	0	0
VN011069	3	37	1	1	2	0	2	1	6	0
VN011069	4	17	1	5	2	42	2	2	10	0
VN011069	5	13	1	5	1	43	2	2	0	0
VN011069	17	4	1	5	88	88	2	88	88	88
VN011069	18	2	1	5	88	88	2	88	88	88
VN011074	1	35	1	1	2	42	2	1	10	0
VN011074	2	33	2	1	2	42	2	1	0	0
VN011074	3	12	2	5	1	43	2	2	0	0
VN011074	17	2	1	5	88	88	2	88	88	88
VN011088	1	32	1	1	2	43	2	1	20	0
VN011088	2	30	2	1	2	43	2	1	0	0
VN011088	17	4	1	5	88	88	2	88	88	88
VN021002	1	33	2	1	2	42	2	1	0	0
VN021002	2	32	1	1	2	0	2	1	20	0
VN021002	3	10	1	5	1	42	2	2	0	0
VN021002	17	4	1	5	88	88	2	88	88	88
VN021003	1	32	2	1	2	0	2	1	0	0
VN021003	2	30	1	1	2	42	2	1	0	0
VN021003	3	6	2	5	1	42	2	2	0	0
VN021004	1	34	1	1	2	42	2	1	0	0
VN021004	2	32	2	1	2	42	2	1	0	0
VN021004	3	11	1	5	1	42	2	2	0	0
VN021004	4	9	1	5	1	42	2	2	0	0
VN021004	17	2	2	5	88	88	2	88	88	88
VN021005	1	44	2	1	2	0	2	1	20	0
VN021005	2	39	1	1	2	45	2	1	0	0
VN021005	17	3	1	5	88	88	2	88	88	88
VN021006	1	78	2	3	2	0	2	2	0	0
VN021006	2	49	1	1	2	43	2	1	4	0
VN021006	3	42	2	1	2	42	2	1	0	0
VN021006	4	20	1	5	2	44	2	2	0	0
VN021006	5	18	2	5	1	44	2	2	0	0
VN021006	6	17	2	5	2	42	2	1	0	0
VN021006	7	14	1	5	1	43	2	2	0	0
VN021007	1	33	1	1	2	42	2	1	1	0
VN021007	2	32	2	1	2	42	2	1	0	0
VN021008	1	46	1	1	2	0	2	1	0	0
VN021008	2	45	2	1	2	0	2	1	0	0
VN021008	3	17	1	5	1	44	2	2	0	0
VN021008	4	15	1	5	1	43	2	2	0	0
VN021008	5	12	1	5	1	42	2	2	0	0
VN021008	6	10	2	5	1	42	2	2	0	0
VN021009	1	71	1	3	2	0	2	2	4	0
VN021009	2	71	2	3	2	0	2	2	0	0
VN021009	3	34	1	1	2	45	2	1	5	0
VN021009	4	33	2	1	2	43	2	1	0	0
VN021009	17	2	2	5	88	88	2	88	88	88
VN021011	1	45	1	1	2	42	2	1	20	0
VN021011	2	43	2	1	2	0	2	1	0	0
VN021011	3	24	1	5	2	0	2	1	1	0
VN021011	4	19	2	5	2	42	2	2	0	0
VN021011	5	17	2	5	1	44	2	2	0	0
