CHILDID	LINECODE	PAYMT	PLACE	MONTHS	DAYS	actcode
VN011008	21	2	4	3	3	1
VN011013	21	1	1	3	3	93
VN011020	21	2	1	10	3	15
VN011020	22	1	1	6	2	93
VN011031	21	2	5	5	1	52
VN011032	21	1	1	3	1	93
VN011040	21	2	6	3	2	1
VN011040	22	1	1	5	1	93
VN011042	21	1	1	5	2	93
VN011050	21	1	1	3	2	93
VN011069	21	1	1	5	2	93
VN011088	21	1	1	4	2	93
VN021002	21	2	4	12	1	1
VN021030	21	2	1	5	2	15
VN021032	21	2	4	12	2	1
VN021078	21	2	1	12	2	52
VN021089	21	2	1	9	2	52
VN031006	21	2	1	12	2	15
VN031018	21	2	4	3	3	0
VN031018	22	2	1	12	1	1
VN031098	21	2	4	3	3	1
VN041001	21	2	6	1	2	5
VN041005	21	2	6	6	2	93
VN041010	21	2	1	6	2	17
VN041017	21	2	1	3	2	1
VN041038	21	1	6	3	2	93
VN051003	21	2	1	99	4	1
VN051006	21	2	1	4	4	5
VN051006	22	2	1	3	1	1
VN051010	21	2	1	12	2	1
VN051013	21	2	1	12	2	1
VN051013	22	2	1	3	2	93
VN051042	21	2	1	12	2	1
VN051047	21	2	1	12	3	1
VN061004	21	2	1	12	2	52
VN061024	21	2	4	12	2	5
VN061024	22	2	1	12	2	1
VN061039	21	2	1	3	2	1
VN061048	21	2	4	12	1	1
VN071009	21	2	1	7	1	52
VN071010	21	2	1	12	1	52
VN071011	21	2	1	12	4	1
VN071013	21	2	4	3	2	1
VN071013	22	2	1	12	2	1
VN071015	21	2	1	12	2	1
VN071023	21	2	4	12	4	1
VN071026	21	2	1	12	3	1
VN071031	21	2	1	8	1	20
VN071031	22	2	1	12	3	1
VN071033	21	2	1	12	1	1
VN071033	22	2	6	12	3	52
VN071034	21	2	1	12	3	1
VN071034	22	2	6	4	1	15
VN071038	21	2	1	12	3	1
VN071041	21	1	6	1	1	1
VN071043	21	2	1	12	3	1
VN071044	21	2	1	12	2	1
VN071046	21	2	1	12	3	52
VN071047	21	2	1	12	2	1
VN071049	21	2	5	12	3	0
VN071120	21	2	1	12	3	1
VN081007	21	2	1	12	1	1
VN081021	21	2	1	12	1	1
VN081021	22	2	4	12	3	5
VN081026	21	2	1	12	3	52
VN081026	22	2	1	12	3	1
VN081030	21	2	4	2	2	1
VN081030	22	2	1	12	3	1
VN081031	21	2	4	6	3	52
VN081034	21	2	1	12	3	15
VN081034	22	2	1	12	2	1
VN081038	21	2	1	12	2	52
VN081049	21	2	1	12	1	52
VN081105	21	2	1	12	2	52
VN081152	21	1	1	12	2	17
VN091003	21	2	1	12	3	1
VN091032	21	2	4	12	1	1
VN091032	22	2	1	12	1	1
VN091042	21	2	4	12	2	1
VN091042	22	2	4	9	2	1
VN091042	23	2	1	12	1	1
VN091057	21	2	4	4	3	1
VN091057	22	2	4	10	1	1
VN091057	23	2	1	12	1	1
VN101004	21	2	4	5	1	1
VN101011	21	2	4	12	4	1
VN101037	21	2	1	12	2	1
VN101042	21	2	1	12	3	1
VN101050	21	2	1	12	2	1
VN101054	21	2	1	12	1	1
VN101054	22	2	1	12	3	1
VN111008	21	2	1	12	2	1
VN111019	21	2	1	2	1	1
VN111022	21	1	3	3	2	26
VN111027	21	2	4	2	3	1
VN111038	21	2	1	12	1	1
VN111057	21	2	4	9	1	1
VN111069	21	2	4	12	2	1
VN111069	22	2	4	10	2	1
VN111069	23	2	4	12	3	2
VN111109	21	2	4	12	3	1
VN111109	22	2	1	12	1	1
VN111119	21	2	4	12	2	1
VN121004	21	1	4	12	2	1
VN121004	22	2	4	7	2	1
VN121008	21	2	6	12	3	2
VN121012	21	1	2	1	3	15
VN121020	21	2	1	10	2	1
VN121020	22	2	1	12	3	1
VN121021	21	2	1	7	1	1
VN121022	21	2	4	5	1	2
VN121022	22	2	4	12	3	2
VN121022	23	2	4	12	2	1
VN121025	21	2	1	12	2	1
VN121032	21	2	6	12	1	1
VN121074	21	2	6	12	1	1
VN121109	21	2	6	10	1	1
VN121124	21	2	4	2	3	1
VN131011	13	2	4	2	2	1
VN131011	14	2	4	2	3	1
VN131045	13	2	1	12	1	1
VN141014	13	2	4	2	3	1
VN141049	13	2	4	2	3	1
VN141049	14	2	4	3	3	1
VN151002	13	2	1	2	3	1
VN151003	13	2	4	2	3	1
VN151003	14	2	1	8	1	1
VN151006	13	2	4	1	3	1
VN151006	14	2	1	4	4	1
VN151006	15	2	1	3	4	5
VN151013	13	2	1	12	2	1
VN151015	13	1	2	12	2	93
VN151034	13	2	1	12	1	1
VN151037	15	2	1	2	2	1
VN151041	13	2	1	12	2	1
VN151046	13	2	1	12	1	1
VN151084	13	2	4	4	2	1
VN161002	13	1	1	1	4	0
VN161002	14	2	1	1	2	0
VN161012	13	1	2	1	3	15
VN161024	13	2	4	12	2	75
VN161026	13	2	1	12	1	1
VN161026	14	2	4	1	3	1
VN161034	13	2	1	12	1	1
VN161042	13	2	1	12	1	1
VN161042	14	2	1	5	3	5
VN161042	15	2	4	1	2	1
VN161043	13	2	4	12	1	0
VN161043	14	2	1	12	2	1
VN161047	13	2	1	2	2	1
VN161047	14	1	2	1	3	15
VN171005	21	2	1	11	2	52
VN171021	21	2	5	3	1	0
VN171021	22	2	5	3	1	0
VN171033	21	2	1	9	2	15
VN171043	21	2	1	12	1	52
VN171043	22	2	1	12	1	50
VN171053	21	2	1	12	4	52
VN181037	21	2	5	8	2	52
VN181037	22	2	5	8	2	52
