CHILDCODE	EDCHSTR5	EDAGR5	ATDSCHR5	EDGRADER5	CMPGRDR5	SMESCHR5	TYSCR5	REGNR5	ZONER5	SCHNMER5
10033	4	14	1	8	4	1	 	 	 	 
10036	1	12	1	6	1	1	4	14	1407	82
10036	2	13	1	7	1	1	 	 	 	 
10036	3	14	1	8	1	1	 	 	 	 
10036	4	15	1	9	4	0	4	14	1408	12
10037	1	12	1	7	2	1	1	14	1404	1577
10037	2	13	1	7	1	1	 	 	 	 
10037	3	14	1	8	1	0	3	14	1407	1578
10037	4	15	1	9	1	1	 	 	 	 
10038	1	11	1	6	1	1	4	14	1407	82
10038	2	12	1	7	2	1	 	 	 	 
10038	3	13	1	7	1	1	 	 	 	 
10038	4	14	1	8	4	1	 	 	 	 
10040	1	12	1	6	1	1	4	14	1407	82
10040	2	13	1	7	2	1	 	 	 	 
10040	3	14	1	7	1	1	 	 	 	 
10040	4	15	1	8	4	1	 	 	 	 
10041	1	12	1	7	1	1	4	14	1407	569
10041	2	13	1	8	1	1	 	 	 	 
10041	3	14	1	9	1	0	4	14	1407	269
10041	4	15	1	10	4	1	 	 	 	 
10042	1	12	1	5	1	1	4	14	1407	118
10042	2	13	1	6	1	1	 	 	 	 
10042	3	14	1	7	1	1	 	 	 	 
10042	4	15	1	8	4	1	 	 	 	 
10043	1	12	1	6	1	1	4	14	1404	1579
10043	2	13	1	7	1	1	 	 	 	 
10043	3	14	1	8	1	1	 	 	 	 
10043	4	15	1	9	4	0	4	14	1407	12
10044	1	11	1	5	1	1	4	14	1407	1580
10044	2	12	1	6	1	1	 	 	 	 
10044	3	13	1	7	1	1	 	 	 	 
10044	4	14	1	8	4	1	 	 	 	 
10045	1	11	1	5	1	1	4	14	1404	640
10045	2	12	1	6	1	1	 	 	 	 
10045	3	13	1	7	2	1	 	 	 	 
10045	4	14	1	7	4	1	 	 	 	 
10046	1	12	1	7	1	1	4	14	1407	82
10046	2	13	1	8	1	1	 	 	 	 
10046	3	14	1	9	1	0	4	14	1407	545
10046	4	15	1	10	4	1	 	 	 	 
10047	1	12	1	6	1	1	4	14	1409	1581
10047	2	13	1	7	1	1	 	 	 	 
10047	3	14	1	8	1	1	 	 	 	 
10047	4	15	1	9	4	1	 	 	 	 
10049	1	12	1	6	1	1	4	14	1407	12
10049	2	13	1	7	1	1	 	 	 	 
10049	3	14	1	8	1	1	 	 	 	 
10049	4	15	1	9	4	1	 	 	 	 
10050	1	12	1	6	1	1	4	3	302	810
10050	2	13	1	7	3	1	 	 	 	 
10050	3	14	1	7	1	0	1	14	1407	1582
10050	4	15	1	8	4	1	 	 	 	 
10051	1	12	1	6	1	1	4	14	1407	82
10051	2	13	1	7	1	1	 	 	 	 
10051	3	14	1	8	1	1	 	 	 	 
10051	4	15	1	9	4	0	4	14	1407	12
10052	1	11	1	6	1	1	4	14	1407	82
10052	2	12	1	7	1	1	 	 	 	 
10052	3	13	1	8	1	1	 	 	 	 
10052	4	14	1	9	4	0	4	14	1407	12
10053	1	11	1	4	1	1	1	14	1407	82
10053	2	12	1	5	1	1	 	 	 	 
10053	3	13	1	6	1	1	 	 	 	 
10053	4	14	1	7	4	1	 	 	 	 
10055	1	12	1	7	1	1	4	1	105	1212
10055	2	13	1	8	1	1	 	 	 	 
10055	3	14	1	9	1	0	4	1	105	1177
10055	4	15	1	10	4	1	 	 	 	 
10057	1	12	1	6	1	1	4	14	1407	82
10057	2	13	1	7	1	1	 	 	 	 
10057	3	14	1	8	1	1	 	 	 	 
10057	4	15	1	9	4	0	4	14	1407	12
10060	1	12	1	6	1	1	1	14	1408	1593
10060	2	13	1	7	1	1	 	 	 	 
10060	3	14	1	8	1	1	 	 	 	 
10060	4	15	1	9	4	1	 	 	 	 
10061	1	12	1	6	1	1	4	14	1407	269
10061	2	13	1	7	1	1	 	 	 	 
10061	3	14	1	8	1	1	 	 	 	 
10061	4	15	1	9	4	1	 	 	 	 
10062	1	12	1	6	1	1	4	14	1407	569
10062	2	13	1	7	1	1	 	 	 	 
10062	3	14	1	8	1	1	 	 	 	 
10062	4	15	1	9	4	0	4	14	1407	269
10063	1	11	1	2	1	1	4	14	1402	1584
10063	2	12	1	3	1	1	 	 	 	 
10063	3	13	1	4	1	1	 	 	 	 
10063	4	14	1	5	4	1	 	 	 	 
10064	1	11	1	5	1	1	4	14	1407	82
10064	2	12	1	6	1	1	 	 	 	 
10064	3	13	1	7	1	1	 	 	 	 
10064	4	14	1	8	4	1	 	 	 	 
10065	1	11	1	5	1	1	1	14	1407	1585
10065	2	12	1	6	1	1	 	 	 	 
10065	3	13	1	7	1	1	 	 	 	 
10065	4	14	1	8	4	1	 	 	 	 
10066	1	12	1	3	1	1	4	14	1407	82
10066	2	13	1	4	3	1	 	 	 	 
10066	3	14	1	4	1	1	 	 	 	 
10066	4	15	0	 	 	 	 	 	 	 
10067	1	12	1	6	1	1	4	14	1407	82
10067	2	13	1	7	1	1	 	 	 	 
10067	3	14	1	8	1	1	 	 	 	 
10067	4	15	1	9	4	0	4	14	1407	545
10068	1	12	1	4	1	1	4	14	1407	82
10068	2	13	1	5	1	1	 	 	 	 
10068	3	14	1	6	1	1	 	 	 	 
10068	4	15	1	7	4	1	 	 	 	 
10069	1	11	1	4	1	1	4	14	1403	1586
10069	2	12	1	5	1	1	 	 	 	 
10069	3	13	1	6	1	1	 	 	 	 
10069	4	14	1	7	4	0	1	14	1407	587
10070	1	12	1	5	1	0	2	14	1405	1587
10070	2	13	1	6	1	1	 	 	 	 
10070	3	14	1	7	1	1	 	 	 	 
10070	4	15	1	8	4	1	 	 	 	 
10071	1	12	1	6	1	1	4	14	1407	82
10071	2	13	1	7	2	1	 	 	 	 
10071	3	14	1	7	1	1	 	 	 	 
10071	4	15	1	8	4	1	 	 	 	 
10072	1	12	1	6	1	1	4	14	1407	82
10072	2	13	1	7	2	1	 	 	 	 
10072	3	14	1	7	1	1	 	 	 	 
10072	4	15	1	8	4	1	 	 	 	 
10073	1	11	1	4	1	1	4	14	1407	82
10073	2	12	1	5	1	1	 	 	 	 
10073	3	13	1	6	2	1	 	 	 	 
10073	4	14	1	6	4	1	 	 	 	 
10074	1	12	1	5	1	1	4	14	1404	134
10074	2	13	1	6	1	0	4	4	405	1588
10074	3	14	1	7	2	1	 	 	 	 
10074	4	15	1	8	4	1	 	 	 	 
10075	1	12	1	5	2	1	3	14	1407	781
10075	2	13	1	6	1	1	 	 	 	 
10075	3	14	1	7	1	1	 	 	 	 
10075	4	15	1	8	4	1	 	 	 	 
10076	1	11	1	5	1	1	4	14	1407	569
10076	2	12	1	6	1	1	 	 	 	 
10076	3	13	1	7	1	0	3	14	1407	587
10076	4	14	1	8	4	1	 	 	 	 
10077	1	12	1	6	3	0	4	14	1402	1591
10077	2	13	1	6	2	0	4	14	1407	1592
10077	3	14	1	6	1	1	 	 	 	 
10077	4	15	1	7	4	1	 	 	 	 
10079	1	12	1	7	1	1	4	14	1407	269
10079	2	13	1	8	1	1	 	 	 	 
10079	3	14	1	9	1	1	 	 	 	 
10079	4	15	1	10	4	1	 	 	 	 
10080	1	11	1	5	1	1	4	14	1407	82
10080	2	12	1	6	1	1	 	 	 	 
10080	3	13	1	7	1	1	 	 	 	 
10080	4	14	1	8	4	1	 	 	 	 
10081	1	12	1	7	1	1	3	14	1408	1593
10081	2	13	1	8	1	1	 	 	 	 
10081	3	14	1	9	1	1	 	 	 	 
10081	4	15	1	10	4	1	 	 	 	 
10082	1	12	1	6	1	1	4	14	1407	82
10082	2	13	1	7	1	1	 	 	 	 
10082	3	14	1	8	1	1	 	 	 	 
10082	4	15	1	9	4	0	4	14	1407	12
10083	1	12	1	5	1	1	4	14	1407	118
10083	2	13	1	6	1	1	 	 	 	 
10083	3	14	1	7	1	1	 	 	 	 
10083	4	15	1	8	4	1	 	 	 	 
10084	1	12	1	7	1	0	4	14	1407	12
10084	2	13	1	8	1	1	 	 	 	 
10084	3	14	1	9	1	1	 	 	 	 
10084	4	15	1	10	4	1	 	 	 	 
10085	1	11	1	5	1	0	4	14	1407	82
10085	2	12	1	6	1	1	 	 	 	 
10085	3	13	1	7	1	1	 	 	 	 
10085	4	14	1	8	1	1	 	 	 	 
10086	1	12	1	7	1	1	4	14	1407	564
10086	2	13	1	8	1	1	 	 	 	 
10086	3	14	1	9	1	0	4	14	1407	269
10086	4	15	1	10	4	1	 	 	 	 
10087	1	12	1	7	1	1	4	14	1407	564
10087	2	13	1	8	1	1	 	 	 	 
10087	3	14	1	9	1	0	4	14	1407	269
10087	4	15	1	10	4	1	 	 	 	 
10088	1	11	1	7	2	1	4	14	1407	82
10088	2	12	1	7	1	1	 	 	 	 
10088	3	13	1	8	1	1	 	 	 	 
10088	4	14	1	9	4	0	4	14	1407	269
10089	1	12	1	4	1	1	4	14	1407	82
10089	2	13	1	5	1	1	 	 	 	 
10089	3	14	1	6	3	1	 	 	 	 
10089	4	15	1	6	4	1	 	 	 	 
10090	1	11	1	6	1	1	1	14	1403	1594
10090	2	12	1	7	1	1	 	 	 	 
10090	3	13	1	8	1	1	 	 	 	 
10090	4	14	1	9	4	1	 	 	 	 
10091	1	12	1	7	1	1	4	14	1407	569
10091	2	13	1	8	1	0	4	14	1407	569
10091	3	14	1	9	1	0	4	14	1407	1898
10091	4	15	1	10	4	1	 	 	 	 
10093	1	12	1	6	1	1	4	14	1407	82
10093	2	13	1	7	2	1	 	 	 	 
10093	3	14	1	7	1	1	 	 	 	 
10093	4	15	1	8	4	1	 	 	 	 
10094	1	12	1	6	1	1	4	14	1407	546
10094	2	13	1	7	1	1	 	 	 	 
10094	3	14	1	8	1	1	 	 	 	 
10094	4	15	1	9	4	0	4	14	1407	545
10095	1	12	1	6	1	1	4	14	1407	82
10095	2	13	1	7	1	1	 	 	 	 
10095	3	14	1	8	1	1	 	 	 	 
10095	4	15	1	9	4	0	4	14	1407	269
10096	1	12	1	7	1	1	1	14	1408	1593
10096	2	13	1	8	1	1	 	 	 	 
10096	3	14	1	9	1	1	 	 	 	 
10096	4	15	1	10	4	1	 	 	 	 
10097	1	12	1	5	1	1	4	14	1407	118
10097	2	13	1	6	1	1	 	 	 	 
10097	3	14	1	7	3	1	 	 	 	 
10097	4	15	1	7	4	1	 	 	 	 
10098	1	11	1	6	1	1	4	14	1407	269
10098	2	12	1	7	1	1	 	 	 	 
10098	3	13	1	8	1	1	 	 	 	 
10098	4	14	1	9	4	1	 	 	 	 
10099	1	11	1	5	1	1	1	14	1405	755
10099	2	12	1	6	1	1	 	 	 	 
10099	3	13	1	7	1	1	 	 	 	 
10099	4	14	1	8	4	1	 	 	 	 
10100	1	12	1	4	1	0	1	14	1401	739
10100	2	13	1	5	1	1	 	 	 	 
10100	3	14	1	6	2	1	 	 	 	 
10100	4	15	1	7	4	1	 	 	 	 
20001	1	11	1	5	1	1	4	14	1401	62
20001	2	12	1	6	1	1	 	 	 	 
20001	3	13	1	7	1	1	 	 	 	 
20001	4	14	1	8	4	1	 	 	 	 
20002	1	12	1	6	1	1	4	14	1401	62
20002	2	13	1	7	1	1	 	 	 	 
20002	3	14	1	8	1	1	 	 	 	 
20002	4	15	1	9	4	0	4	14	1401	33
20003	1	10	1	4	1	1	4	14	1401	62
20003	2	11	1	5	1	1	 	 	 	 
20003	3	12	1	4	1	0	1	14	1401	743
20003	4	13	1	5	4	1	 	 	 	 
20004	1	12	1	5	1	1	1	14	1401	743
20004	2	13	1	6	1	0	4	14	1401	62
20004	3	14	1	7	1	1	 	 	 	 
20004	4	15	1	8	4	1	 	 	 	 
20005	1	11	1	5	1	1	4	14	1401	62
20005	2	12	1	6	1	1	 	 	 	 
20005	3	13	1	7	1	1	 	 	 	 
20005	4	14	1	8	4	1	 	 	 	 
20007	1	11	1	5	1	1	4	14	1401	62
20007	2	12	1	6	1	1	 	 	 	 
20007	3	13	1	7	1	1	 	 	 	 
20007	4	14	1	8	4	1	 	 	 	 
20008	1	11	1	6	1	1	4	14	1401	62
20008	2	12	1	7	1	1	 	 	 	 
20008	3	13	1	8	2	1	 	 	 	 
20008	4	14	1	8	4	1	 	 	 	 
20011	1	12	1	6	1	1	4	14	1401	62
20011	2	13	1	7	1	1	 	 	 	 
20011	3	14	1	8	1	1	 	 	 	 
20011	4	15	1	9	4	0	4	14	1401	33
20012	1	12	1	4	1	1	4	14	1401	62
20012	2	13	1	5	2	1	 	 	 	 
20012	3	14	1	5	1	1	 	 	 	 
20012	4	15	1	6	4	1	 	 	 	 
20013	1	12	1	6	1	1	4	14	1401	62
20013	2	13	1	7	1	1	 	 	 	 
20013	3	14	1	8	2	1	 	 	 	 
20013	4	15	1	8	4	1	 	 	 	 
20014	1	12	1	5	1	1	4	4	407	978
20014	2	13	1	6	1	1	 	 	 	 
20014	3	14	1	7	1	1	 	 	 	 
20014	4	15	1	8	4	1	 	 	 	 
20015	1	12	1	6	1	1	1	14	1401	1597
20015	2	13	1	7	1	1	 	 	 	 
20015	3	14	1	8	1	1	 	 	 	 
20015	4	15	1	9	4	0	3	14	1401	1614
20018	1	12	1	5	1	1	4	14	1401	62
20018	2	13	1	6	1	1	 	 	 	 
20018	3	14	1	7	1	1	 	 	 	 
20018	4	15	1	8	4	1	 	 	 	 
20019	1	11	1	5	1	1	1	14	1401	743
20019	2	12	1	6	1	1	 	 	 	 
20019	3	13	1	7	1	1	 	 	 	 
20019	4	14	1	8	4	1	 	 	 	 
20020	1	12	1	3	1	1	4	14	1401	62
20020	2	13	1	4	1	1	 	 	 	 
20020	3	14	1	5	1	1	 	 	 	 
20020	4	15	1	6	4	1	 	 	 	 
20022	1	12	1	6	1	1	4	4	9999	939
20022	2	13	1	7	1	1	 	 	 	 
20022	3	14	1	8	1	1	 	 	 	 
20022	4	15	1	9	4	0	4	4	9999	1598
20023	1	11	1	5	1	1	4	14	1401	62
20023	2	12	1	6	2	1	 	 	 	 
20023	3	13	1	6	1	1	 	 	 	 
20023	4	14	1	7	4	1	 	 	 	 
20024	1	12	1	6	1	1	1	14	1401	1614
20024	2	13	1	7	1	1	 	 	 	 
20024	3	14	1	8	1	1	 	 	 	 
20024	4	15	1	9	4	1	 	 	 	 
20025	1	12	1	7	1	1	4	14	1401	62
20025	2	14	1	8	1	1	 	 	 	 
20025	3	14	1	9	1	0	4	14	1401	33
20025	4	15	1	10	4	1	 	 	 	 
20026	1	12	1	6	1	1	4	14	1401	62
20026	2	13	1	7	1	0	1	14	1401	1614
20026	3	14	1	8	1	1	 	 	 	 
20026	4	15	1	9	4	1	 	 	 	 
20027	1	12	1	5	1	1	4	14	1401	62
20027	2	13	1	6	1	1	 	 	 	 
20027	3	14	1	7	1	1	 	 	 	 
20027	4	15	1	8	4	1	 	 	 	 
20028	1	12	1	6	1	1	4	14	1401	1599
20028	2	13	1	7	1	1	 	 	 	 
20028	3	14	1	8	2	1	 	 	 	 
20028	4	15	1	8	4	1	 	 	 	 
20029	1	13	1	5	1	1	4	14	1401	121
20029	2	14	1	6	1	1	 	 	 	 
20029	3	15	1	7	1	1	 	 	 	 
20029	4	16	1	8	4	1	 	 	 	 
20030	1	11	1	4	2	1	4	14	1401	62
20030	2	12	0	 	 	 	 	 	 	 
20030	3	13	0	 	 	 	 	 	 	 
20030	4	14	1	4	4	1	 	 	 	 
20031	1	12	1	5	1	1	4	14	1401	62
20031	2	13	1	6	2	1	 	 	 	 
20031	3	14	1	6	1	1	 	 	 	 
20031	4	15	1	7	4	1	 	 	 	 
20032	1	11	1	6	1	1	4	14	1401	62
20032	2	12	1	7	1	1	 	 	 	 
20032	3	13	1	8	2	1	 	 	 	 
20032	4	14	1	8	4	1	 	 	 	 
20033	1	12	1	4	1	1	4	14	1401	121
20033	2	13	1	5	1	1	 	 	 	 
20033	3	14	1	6	2	1	 	 	 	 
20033	4	15	1	6	4	1	 	 	 	 
20034	1	12	1	6	1	1	4	14	1401	505
20034	2	13	1	7	1	1	 	 	 	 
20034	3	14	1	8	2	1	 	 	 	 
20034	4	15	1	8	4	1	 	 	 	 
20035	1	11	1	4	1	1	4	14	1401	121
20035	2	12	1	5	2	1	 	 	 	 
20035	3	13	1	5	2	1	 	 	 	 
20035	4	14	1	5	4	1	 	 	 	 
20036	1	12	1	6	1	1	4	14	1401	505
20036	2	13	1	7	1	1	 	 	 	 
20036	3	14	1	8	1	1	 	 	 	 
20036	4	15	1	9	4	0	4	14	1401	1600
20037	1	11	1	5	1	1	4	14	1401	505
20037	2	12	1	5	1	0	1	14	1401	745
20037	3	13	1	6	1	1	 	 	 	 
20037	4	14	1	7	4	1	 	 	 	 
20038	1	11	1	4	1	1	4	14	1401	62
20038	2	12	1	5	2	1	 	 	 	 
20038	3	13	1	5	1	1	 	 	 	 
20038	4	14	1	6	4	1	 	 	 	 
20039	1	11	1	6	1	1	4	14	1401	121
20039	2	12	1	7	2	1	 	 	 	 
20039	3	13	1	7	1	1	 	 	 	 
20039	4	14	1	8	4	1	 	 	 	 
20040	1	12	1	5	1	1	4	14	1401	121
20040	2	13	1	6	1	1	 	 	 	 
20040	3	14	1	7	1	1	 	 	 	 
20040	4	15	1	8	4	1	 	 	 	 
20041	1	11	1	7	1	1	4	14	1401	1601
20041	2	12	1	8	1	1	 	 	 	 
20041	3	13	1	9	1	0	4	14	1401	1601
20041	4	14	1	10	4	1	 	 	 	 
20042	1	12	1	4	1	1	4	14	1401	1602
20042	2	13	1	5	1	1	 	 	 	 
