PLACEID	ANMLFDID	PRICE	ACCOUNT
IN001	1	10	3
IN001	2	2	2
IN001	3	60	1
IN001	4	150	1
IN001	5	30	1
IN002	1	9	3
IN002	2	2	4
IN002	3	40	1
IN002	4	48	1
IN002	5	120	1
IN003	1	10	3
IN003	2	2	4
IN003	3	76	1
IN003	4	150	1
IN003	5	40	1
IN004	1	160	1
IN004	2	50	1
IN004	3	30	1
IN004	4	10	3
IN004	5	2	2
IN005	1	10	3
IN005	2	20	4
IN005	3	120	1
IN005	4	65	1
IN006	1	10	3
IN006	2	2	2
IN006	3	75	1
IN006	4	150	1
IN006	5	30	1
IN007	1	50	1
IN007	2	60	1
IN007	3	80	1
IN007	4	2.5	2
IN008	1	80	1
IN008	2	150	1
IN008	3	45	1
IN008	4	2.5	2
IN009	1	80	1
IN009	2	150	1
IN009	3	2	2
IN010	1	80	1
IN010	2	50	1
IN010	3	2.5	2
IN010	4	150	1
IN011	1	15	3
IN011	2	80	1
IN011	3	160	1
IN011	4	50	1
IN011	5	40	1
IN012	1	10	3
IN012	2	2	2
IN012	3	65	1
IN012	4	30	1
IN012	5	120	1
IN013	1	10	3
IN013	2	2	2
IN013	3	60	1
IN013	4	140	1
IN013	5	25	1
IN014	1	8	3
IN014	2	2	2
IN014	3	70	1
IN014	4	150	1
IN014	5	40	1
IN015	1	10	3
IN015	2	2	2
IN015	3	80	1
IN015	4	160	1
IN015	5	30	1
IN016	1	10	3
IN016	2	2	2
IN016	3	60	1
IN016	4	150	1
IN016	5	30	1
IN017	1	7	3
IN017	2	2	4
IN017	3	70	1
IN017	4	125	1
IN017	5	30	1
IN018	1	8	3
IN018	2	2	2
IN018	3	70	1
IN018	4	150	1
IN018	5	35	1
IN019	1	12	3
IN019	2	2	2
IN019	3	75	1
IN019	4	160	1
IN019	5	40	1
IN020	1	10	3
IN020	2	2	2
IN020	3	70	1
IN020	4	110	1
IN021	1	10	3
IN021	2	2	2
IN021	3	60	1
IN021	4	150	1
IN021	5	40	1
IN022	1	10	3
IN022	2	2	2
IN022	3	70	1
IN022	4	150	1
IN022	5	30	1
IN023	1	10	3
IN023	2	2	2
IN023	3	70	1
IN023	4	150	1
IN023	5	40	1
IN024	1	70	1
IN024	2	140	1
IN024	3	2	2
IN024	4	40	1
IN024	5	15	3
IN025	1	16	3
IN025	2	2	2
IN025	3	75	1
IN025	4	120	1
IN026	1	16	3
IN026	2	2	2
IN026	3	75	1
IN026	4	120	1
IN027	1	80	1
IN027	2	160	1
IN027	3	50	1
IN027	4	2	2
IN027	5	12	3
IN028	1	60	1
IN028	2	40	1
IN028	3	2	2
IN028	4	12	3
IN028	5	150	1
IN029	1	80	1
IN029	2	150	1
IN029	3	50	1
IN029	4	2	2
IN029	5	12	3
IN030	1	60	1
IN030	2	40	1
IN030	3	2	2
IN030	4	30	1
IN030	5	150	1
IN031	1	80	1
IN031	2	150	1
IN031	3	50	1
IN031	4	2	2
IN031	5	12	3
IN032	1	70	1
IN032	2	40	1
IN032	3	2	2
IN032	4	15	3
IN032	5	150	1
IN033	1	80	1
IN033	2	120	1
IN033	3	2	2
IN033	4	16	3
IN033	5	60	1
IN034	1	70	1
IN034	2	150	1
IN034	3	40	1
IN034	4	15	3
IN034	5	2	2
IN035	1	60	1
IN035	2	120	1
IN035	3	40	1
IN035	4	2	2
IN035	5	10	3
IN036	1	60	1
