PLACEID	LOCLTYID	CODE	ROUTE	TRNSPTNT	TIMEARRV
IN031	5	3	1	1	60
IN032	1	2	2	5	30
IN032	2	2	2	8	10
IN032	3	2	2	8	10
IN032	4	2	2	5	30
IN032	5	2	2	1	10
IN033	1	7	2	1	20
IN033	2	7	2	1	25
IN033	3	7	2	1	15
IN033	4	7	2	1	10
IN033	5	7	2	1	10
IN034	1	2	2	5	30
IN034	2	2	2	5	40
IN034	3	2	2	5	30
IN034	4	2	2	8	40
IN034	5	2	2	8	15
IN035	1	2	1	5	10
IN035	2	2	1	5	5
IN035	3	2	1	5	20
IN035	4	2	1	5	30
IN035	5	2	1	5	30
IN036	1	2	1	5	60
IN036	2	6	8	60	3
IN036	3	2	1	5	20
IN036	4	2	1	5	30
IN036	5	2	1	5	60
IN037	1	2	1	1	10
IN037	2	2	1	5	20
IN037	3	2	1	5	20
IN037	4	2	1	5	30
IN037	5	2	1	5	20
IN038	1	2	1	5	10
IN038	2	2	1	5	40
IN038	3	2	1	5	5
IN038	4	2	1	5	20
IN038	5	2	1	5	30
IN040	1	2	1	8	20
IN040	2	2	1	8	30
IN040	3	2	1	8	30
IN040	4	2	1	8	15
IN040	5	2	1	8	20
IN041	1	2	1	1	10
IN041	2	2	1	5	15
IN041	3	2	1	8	20
IN041	4	2	1	5	15
IN041	5	2	1	5	20
IN042	1	2	3	 	20
IN042	2	2	3	5	15
IN042	3	2	3	5	10
IN042	4	2	3	5	15
IN042	5	3	3	8	45
IN043	1	2	77	8	20
IN043	2	2	77	8	30
IN043	3	2	77	8	20
IN043	4	2	77	8	20
IN043	5	2	77	8	15
IN044	1	1	1	1	10
IN044	2	2	1	8	15
IN044	3	2	1	8	10
IN044	4	2	1	8	15
IN044	5	2	1	8	30
IN045	1	2	2	8	20
IN045	2	2	2	8	30
IN045	3	2	3	8	20
IN045	4	2	3	8	20
IN045	5	2	1	8	15
IN046	1	2	1	8	15
IN046	2	23	1	8	30
IN046	3	2	1	5	20
IN046	4	2	1	8	15
IN046	5	2	1	8	25
IN047	1	1	2	5	10
IN047	2	1	2	5	5
IN047	3	1	2	5	10
IN047	4	1	2	5	10
IN047	5	1	2	5	10
IN048	1	1	2	5	15
IN048	2	2	2	8	30
IN048	3	1	2	5	15
IN048	4	1	2	5	15
IN048	5	1	2	5	30
IN049	1	7	2	5	1
IN049	2	1	2	10	1
IN049	3	7	2	15	1
IN049	4	7	2	10	1
IN049	5	7	2	15	1
IN050	1	2	2	8	25
IN050	2	2	2	8	30
