PLACEID	DISASTID	DISASTER	LONGAGO	PPLAFTCD	ASKHELP1	ASKHELP2	ASKHELP3	RECVHELP	RECHELP2	RECHELP3	TYPEHLP1	YOUASK1	ENOUGH1	TYPEHLP2	YOUASK2	ENOUGH2	TYPEHLP3	YOUASK3	ENOUGH3
IN044	2	2	12	980	1	77	77	1	77	77	1	1	1	7	1	0	0	0	0
IN044	3	3	6	980	1	77	77	1	77	77	1	1	0	0	0	0	0	0	0
IN045	1	3	24	452	1	77	77	1	77	77	1	1	0	7	1	0	77	77	77
IN045	2	2	12	300	1	77	77	1	77	77	1	1	0	7	1	0	77	77	77
IN046	1	3	24	450	1	77	77	1	77	77	1	1	0	7	1	0	77	77	77
IN047	1	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
IN047	2	0	88	88	88	88	88	88	 	 	0	0	0	0	0	0	0	0	0
IN047	3	0	88	88	88	88	88	88	 	 	0	0	0	0	0	0	0	0	0
IN047	4	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN047	5	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN050	1	3	24	350	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN051	1	3	36	225	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN051	2	10	2	345	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN052	1	3	36	400	1	3	0	1	0	0	2	1	0	1	1	0	0	0	0
IN053	1	3	36	415	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN055	1	6	36	60	1	3	0	1	0	0	1	1	0	7	0	0	0	0	0
IN055	2	3	12	120	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0
IN056	1	3	36	400	1	0	0	1	0	0	2	1	0	1	1	0	0	0	0
IN058	1	1	40	400	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN059	1	6	36	75	1	3	0	0	0	0	 	 	 	 	 	 	 	 	 
IN060	1	2	2002	60	1	2	3	1	3	0	2	1	0	4	1	0	0	0	0
IN061	1	3	24	180	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN061	2	10	12	150	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN062	1	11	10	7	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN062	2	3	12	100	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN063	1	3	36	300	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN063	2	10	24	200	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN064	1	10	15	40	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN064	2	3	6	100	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN065	1	3	6	100	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN065	2	2	20	25	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN065	3	10	24	30	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN065	4	9	15	7	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
IN065	5	9	3	10	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN066	1	11	36	5	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN066	2	3	24	150	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN067	1	6	10	65	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN067	2	3	24	320	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN068	1	6	8	200	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
IN068	2	2	44	150	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
IN069	1	3	36	200	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN069	2	11	24	4	0	0	4	0	0	0	 	 	 	 	 	 	 	 	 
IN070	1	3	24	200	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN070	2	10	12	150	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN071	1	2	12	180	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 
IN072	1	2	11	350	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 
IN072	2	2	11	30	1	 	 	1	 	 	1	1	 	 	 	 	 	 	 
IN073	1	2	36	200	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 
IN074	1	3	11	803	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 
IN074	2	2	11	129	1	3	 	1	 	 	 	 	 	 	 	 	 	 	 
IN074	3	10	12	200	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 
IN075	1	2	12	300	1	 	 	1	 	 	1	1	0	0	1	0	0	1	0
IN075	2	3	24	275	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 
IN076	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN076	1	10	12	150	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN077	1	3	24	400	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN078	1	3	24	300	0	3	1	0	0	3	1	1	0	0	0	0	0	0	0
IN078	2	10	12	60	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN079	1	3	6	170	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN079	2	11	12	25	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 
IN079	3	2	32	25	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
IN079	4	9	50	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN080	1	3	24	400	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0
IN080	2	11	14	60	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN081	1	3	12	300	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN081	2	2	6	250	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0
IN082	1	3	36	300	1	0	0	1	0	0	7	1	0	0	1	0	0	0	0
IN082	2	6	6	150	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0
IN083	1	2	1	250	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0
IN083	2	3	24	200	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0
IN084	1	3	36	150	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN084	2	2	10	225	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0
IN084	3	2	10	90	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0
IN085	1	3	18	250	1	0	0	1	 	 	1	1	0	0	1	0	1	0	0
IN085	2	2	12	210	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0
IN085	3	6	5	150	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0
IN086	1	6	4	50	1	0	0	1	0	0	1	1	0	1	1	0	7	1	0
IN087	1	6	1	200	1	0	0	1	0	0	1	1	0	2	1	0	0	1	0
IN088	1	6	1	40	1	0	0	1	0	0	1	1	0	2	1	0	0	1	0
IN089	1	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN089	2	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN089	3	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN089	4	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN089	5	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN090	1	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN090	2	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN090	3	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN090	4	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN090	5	0	88	88	88	88	88	88	 	 	88	88	88	88	88	88	88	88	88
IN091	1	6	36	20	1	0	0	1	0	0	7	0	0	0	0	0	0	0	0
IN092	1	2	26	68	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN092	2	2	2	100	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN093	1	2	15	125	1	0	0	1	0	0	1	1	0	2	1	0	0	0	0
IN093	2	2	4	85	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN094	1	6	24	15	1	0	0	1	0	0	1	0	0	4	1	0	2	1	0
IN094	2	6	12	12	1	0	0	1	0	0	1	0	0	4	1	0	2	1	0
IN096	1	3	12	4000	1	0	0	1	0	0	1	1	0	2	1	0	0	0	0
IN096	2	2	11	250	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0
IN097	1	3	13	40	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN097	2	10	5	2	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN099	1	3	36	380	1	0	0	0	0	0	 	 	 	 	 	 	 	 	 
IN099	2	2	2	30	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0
IN102	1	2	4	420	1	0	0	1	0	0	1	1	1	2	1	1	0	0	0
