CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
ET020010	1	1	1	12	1	17
ET020011	1	2	1	12	2	65
ET020014	1	1	1	12	1	55
ET020015	1	1	1	12	1	60
ET020015	2	2	1	12	2	74
ET020016	1	1	1	12	1	60
ET020017	1	1	2	12	1	52
ET020018	1	1	1	12	2	20
ET020019	1	4	1	12	2	74
ET020019	2	6	1	12	2	74
ET020020	1	1	1	12	1	51
ET020020	2	2	1	12	1	51
ET020022	1	1	1	12	2	20
ET020023	1	1	1	12	1	67
ET020024	1	1	1	12	1	67
ET020025	1	1	1	12	1	17
ET020025	2	4	1	5	2	27
ET020026	1	3	1	12	1	74
ET020026	2	5	1	5	2	74
ET020026	3	6	1	3	3	74
ET020027	1	1	2	12	1	17
ET020027	2	2	2	12	2	17
ET020028	1	1	2	12	3	15
ET020028	2	2	1	12	1	15
ET020029	1	1	1	2	1	74
ET020029	2	2	1	12	3	95
ET020030	1	1	2	12	1	63
ET020032	1	1	1	9	1	74
ET020033	1	1	2	12	1	14
ET020033	2	1	2	12	3	36
ET020034	1	1	1	12	2	67
ET020034	2	2	2	12	2	15
ET020035	1	2	1	12	1	74
ET020035	2	3	2	12	1	15
ET020036	1	1	1	8	2	45
ET020037	1	1	2	12	1	52
ET020038	1	3	1	12	1	17
ET020039	1	2	2	12	1	91
ET020039	2	3	2	6	1	74
ET020040	1	2	1	12	1	95
ET020041	1	1	2	12	1	52
ET020041	2	3	2	10	1	52
ET020041	3	2	2	10	2	52
ET020042	1	1	1	7	1	67
ET020042	2	2	2	12	1	52
ET020043	1	1	2	12	1	52
ET020043	2	2	2	9	1	52
ET020045	1	1	1	12	1	19
ET020046	1	1	1	12	1	17
ET020046	2	2	1	12	1	17
ET020047	1	1	1	7	1	45
ET020048	1	1	1	12	1	60
ET020048	2	2	1	8	1	85
ET020049	1	1	1	12	1	67
ET020050	1	1	1	9	2	74
ET020050	2	2	2	12	1	15
ET020051	1	1	1	12	1	17
ET020051	2	2	1	12	1	64
ET020053	1	1	1	12	1	17
ET020053	2	2	1	12	2	17
ET020054	1	1	1	10	1	74
ET020055	1	1	1	12	1	17
ET020055	2	2	1	8	1	17
ET020056	1	1	1	12	1	24
ET020057	1	1	1	10	1	74
ET020058	1	1	1	12	1	27
ET020059	1	1	1	6	1	74
ET020059	2	2	1	4	1	74
ET020060	1	1	2	12	1	52
ET020060	2	2	2	6	1	52
ET020061	1	1	2	12	3	52
ET020062	1	1	1	12	1	17
ET020063	1	1	1	11	1	74
ET020064	1	2	2	12	1	52
ET020065	1	2	2	12	1	15
ET020066	1	1	1	12	1	17
ET020066	2	2	1	12	1	17
ET020067	1	2	2	12	3	15
ET020068	1	2	2	12	3	52
ET020069	1	1	2	12	1	52
ET020069	2	2	2	12	1	52
ET020070	1	3	1	12	1	17
ET020070	2	5	1	12	1	45
ET020071	1	1	1	12	1	67
ET020071	2	2	2	12	2	52
ET020072	1	1	1	12	1	67
ET020072	2	2	1	12	1	24
ET020073	1	1	1	12	1	74
ET020074	1	1	2	12	3	15
ET020075	1	1	1	12	1	17
ET020077	1	1	2	12	3	52
ET020078	1	1	2	12	1	52
ET020079	1	1	1	12	1	17
ET020080	1	2	1	10	1	74
ET020081	1	1	2	12	1	52
ET020081	2	2	2	12	3	15
ET020082	1	1	1	12	1	17
ET020083	1	1	1	10	1	74
ET020084	1	1	1	12	1	65
ET020085	1	1	1	6	1	17
ET020085	2	2	1	12	2	75
ET020086	1	1	2	12	1	52
ET020086	2	3	2	12	3	52
ET020087	1	1	1	12	1	17
ET020087	2	2	1	12	1	17
ET020087	3	3	1	12	3	95
ET020088	1	1	1	12	1	28
ET020088	2	2	2	1	4	15
ET020089	1	1	1	12	1	75
ET020090	1	1	1	12	1	17
ET020090	2	2	1	12	1	74
ET020091	1	1	1	12	1	65
ET020092	1	1	1	12	1	17
ET020092	2	3	1	8	1	74
ET020093	1	1	2	12	3	52
ET020093	2	2	2	6	3	15
ET020093	3	3	1	12	2	67
ET020094	1	1	1	12	1	17
ET020094	2	2	1	12	1	17
ET020095	1	2	1	12	1	52
ET020096	1	1	1	12	1	17
ET020097	1	1	1	12	2	67
ET020097	2	1	2	12	3	17
ET020098	1	2	1	12	1	91
ET020099	1	2	1	12	1	80
ET020099	2	4	2	12	1	63
ET020100	1	1	2	12	1	20
ET030001	1	1	1	6	2	74
ET030001	2	1	1	2	1	60
ET030002	1	1	1	6	1	45
ET030003	1	1	2	12	1	60
ET030003	2	3	1	12	1	60
ET030003	3	4	1	12	1	60
ET030003	4	5	1	12	1	60
ET030004	1	2	1	12	1	60
ET030005	1	1	2	12	1	55
ET030005	2	1	2	12	1	52
ET030006	1	1	1	12	2	75
ET030007	1	1	1	12	1	55
ET030007	2	2	1	6	1	74
ET030007	3	3	2	12	1	52
ET030007	4	1	2	12	1	60
ET030007	5	4	1	12	1	60
ET030007	6	3	1	12	3	93
ET030007	7	8	1	12	1	93
ET030008	1	1	1	12	2	50
ET030008	2	2	1	12	2	50
ET030009	1	1	1	12	2	55
ET030009	2	2	1	12	1	97
ET030009	3	3	1	12	2	50
ET030009	4	4	1	12	2	50
ET030010	1	1	1	6	1	60
ET030010	2	1	1	4	1	60
ET030011	1	1	2	12	1	51
ET030012	1	2	2	2	2	52
ET030013	1	1	1	12	1	75
ET030014	1	1	1	12	1	60
ET030015	1	3	1	12	3	93
ET030016	1	1	1	12	1	50
ET030017	1	1	2	5	1	52
ET030018	1	1	2	12	1	17
ET030018	2	1	1	1	1	75
ET030019	1	1	1	12	1	75
ET030019	2	2	1	6	2	85
ET030020	1	1	2	12	1	51
ET030020	2	2	2	12	1	51
ET030021	1	1	1	12	3	93
ET030022	1	2	2	12	1	52
ET030022	2	3	1	12	1	55
ET030022	3	10	1	12	1	50
ET030023	1	1	1	12	3	92
ET030023	2	2	2	12	2	55
ET030024	1	1	1	12	2	74
ET030025	1	1	1	12	1	93
ET030025	2	2	2	12	3	93
ET030026	1	2	1	12	1	36
ET030027	1	1	1	12	1	75
ET030028	1	1	1	12	1	75
ET030028	2	2	1	12	1	93
ET030029	1	1	1	12	1	85
ET030029	2	2	1	12	1	75
ET030031	1	1	1	12	1	75
ET030031	2	2	1	12	1	74
ET030032	1	1	1	12	1	29
ET030033	1	1	1	12	1	74
ET030034	1	2	1	12	1	55
ET030034	2	5	1	12	1	55
ET030034	3	5	1	6	1	55
ET030036	1	1	1	12	1	29
ET030037	1	1	1	12	1	55
ET030038	1	1	1	12	1	93
ET030039	1	1	1	12	1	80
ET030040	1	1	2	12	1	74
ET030040	2	2	1	12	1	31
ET030041	1	1	1	12	1	50
ET030041	2	1	2	1	4	93
ET030041	3	2	2	12	1	52
ET030042	1	1	2	12	1	51
ET030042	2	2	1	12	2	75
ET030043	1	2	1	12	1	29
ET030043	2	1	1	12	1	60
ET030043	3	4	1	12	1	60
ET030044	1	2	2	12	1	17
ET030046	1	1	1	12	1	50
ET030047	1	2	1	12	2	75
ET030048	1	1	1	12	2	75
ET030048	2	2	1	12	1	74
ET030049	1	1	1	4	1	92
ET030049	2	2	2	12	1	52
ET030050	1	1	2	7	3	92
ET030051	1	1	1	12	1	50
ET030052	1	1	2	12	2	52
ET030053	1	1	1	12	1	75
ET030054	1	1	2	12	1	52
ET030055	1	1	1	12	1	74
ET030056	1	2	2	12	1	52
ET030056	2	3	2	3	1	52
ET030057	1	1	1	12	1	60
ET030058	1	1	1	7	1	74
ET030058	2	2	1	12	1	93
ET030059	1	1	1	12	1	75
ET030060	1	1	1	12	1	75
ET030060	2	2	1	12	1	75
ET030062	1	1	2	12	1	74
ET030062	2	2	2	12	1	74
ET030062	3	3	2	12	1	51
ET030062	4	4	2	12	1	93
ET030062	5	5	2	12	1	93
ET030062	6	6	2	12	1	74
ET030063	1	1	2	12	1	55
ET030064	1	1	2	12	1	52
ET030064	2	2	1	12	1	60
ET030066	1	1	1	12	2	55
ET030066	2	2	2	4	1	52
ET030067	1	1	2	12	1	52
ET030067	2	2	1	12	1	50
ET030067	3	3	2	12	1	93
ET030067	4	6	2	12	1	93
ET030067	5	7	2	12	1	75
ET030067	6	8	2	12	1	52
ET030068	1	1	1	12	1	50
ET030069	1	1	1	12	1	50
ET030070	1	1	1	4	1	80
ET030070	2	1	1	9	1	75
ET030071	1	1	2	12	1	74
ET030072	1	1	1	12	2	93
ET030072	2	2	1	12	2	85
ET030073	1	2	1	12	2	52
ET030073	2	3	1	12	1	17
ET030075	1	1	1	12	1	60
ET030076	1	1	2	12	1	52
ET030077	1	1	1	9	1	29
ET030078	1	1	1	12	1	75
ET030078	2	2	1	8	1	85
ET030079	1	1	1	12	1	75
ET030080	1	1	1	12	2	75
ET030081	1	2	1	12	1	55
ET030082	1	1	1	12	2	55
ET030082	2	2	1	12	1	93
ET030083	1	1	1	12	1	60
ET030084	1	1	1	12	1	15
ET030085	1	2	2	12	3	93
ET030086	1	2	1	12	2	85
ET030087	1	1	2	12	1	52
ET030087	2	2	2	12	1	52
ET030088	1	1	1	12	1	80
ET030088	2	2	1	12	2	74
ET030089	1	1	1	12	2	75
ET030089	2	2	2	12	1	51
ET030090	1	1	2	1	2	51
ET030090	2	2	2	3	1	17
ET030091	1	1	2	6	2	75
ET030092	1	1	1	9	1	67
ET030092	2	3	1	12	1	20
ET030092	3	4	1	12	1	20
ET030093	1	1	2	12	1	52
ET030094	1	1	2	12	1	74
ET030095	1	1	2	12	2	17
ET030095	2	2	2	9	3	93
ET030096	1	1	2	12	1	52
ET030096	2	2	2	12	1	52
ET030097	1	1	1	12	2	60
ET030098	1	1	1	12	2	50
ET030098	2	2	1	12	1	74
ET030099	1	1	1	12	2	75
ET030100	1	1	1	12	2	75
ET040001	1	1	2	12	1	74
ET040002	1	1	2	6	1	1
ET040002	2	1	2	6	2	74
ET040002	3	2	2	6	2	52
ET040003	1	1	2	12	1	52
ET040003	2	1	2	2	1	52
ET040003	3	1	2	12	1	70
ET040004	1	3	2	12	1	52
ET040004	2	3	2	12	1	52
ET040004	3	4	2	5	3	52
ET040004	4	4	2	5	3	52
ET040004	5	6	2	12	1	52
ET040004	6	7	2	12	1	52
ET040004	7	5	1	12	1	95
ET040005	1	1	1	12	2	80
ET040005	2	2	1	12	2	75
ET040006	1	2	2	6	3	91
ET040006	2	2	2	8	2	74
ET040007	1	1	2	8	3	74
ET040007	2	2	2	6	1	74
ET040007	3	3	2	9	3	91
ET040009	1	1	2	12	1	24
ET040009	2	1	2	6	2	1
ET040009	3	2	2	6	2	1
ET040010	1	1	1	2	2	74
ET040010	2	1	1	3	2	1
ET040010	3	1	2	4	1	24
ET040010	4	2	2	6	1	17
ET040010	5	2	2	6	1	17
ET040011	1	1	2	12	3	52
ET040011	2	2	2	12	3	52
ET040011	3	2	1	12	4	63
ET040012	1	1	2	12	3	52
ET040012	2	1	2	7	1	1
ET040012	3	2	2	3	2	1
ET040013	1	1	2	12	1	74
ET040013	2	1	2	12	2	1
ET040013	3	4	1	12	1	97
ET040014	1	1	2	9	2	24
ET040014	2	1	2	12	4	51
ET040014	3	1	2	7	4	1
ET040014	4	2	2	12	1	1
ET040014	5	2	2	1	4	1
ET040014	6	4	2	12	1	1
ET040015	1	1	2	8	2	1
ET040015	2	1	1	12	1	91
ET040015	3	3	2	6	2	1
ET040015	4	1	2	12	1	70
ET040016	1	1	1	12	1	74
ET040017	1	1	1	12	3	20
ET040018	1	1	2	12	1	52
ET040019	1	1	2	12	1	70
ET040019	2	99	1	12	1	95
ET040020	1	1	1	12	1	75
ET040020	2	4	1	1	1	74
ET040021	1	1	2	12	4	52
ET040022	1	1	1	5	1	45
ET040023	1	1	1	12	1	75
ET040023	2	2	1	12	1	75
ET040024	1	1	1	12	1	50
ET040024	2	1	2	12	3	52
ET040025	1	1	1	6	2	1
ET040025	2	1	1	12	3	52
ET040025	3	1	1	12	3	74
ET040025	4	2	1	4	2	1
ET040025	6	2	1	12	1	95
ET040025	7	3	1	12	2	52
ET040026	1	1	2	12	1	52
ET040027	1	2	2	12	1	52
ET040027	2	1	2	4	2	1
ET040027	4	8	1	12	1	1
ET040027	5	3	2	1	2	1
ET040029	1	1	1	12	1	64
ET040030	1	2	1	12	1	75
ET040031	1	1	1	12	1	20
ET040032	1	2	2	12	1	52
ET040033	1	1	1	1	1	74
ET040034	1	3	1	12	1	74
ET040034	2	5	1	12	1	55
ET040035	1	1	2	8	1	1
ET040035	2	1	1	12	3	74
ET040035	3	2	2	2	2	1
ET040036	1	1	1	6	1	75
ET040037	1	1	1	9	1	15
ET040039	1	1	1	8	1	45
ET040039	2	1	2	3	3	74
ET040040	1	1	1	12	1	74
ET040041	1	1	2	12	1	27
ET040041	2	1	2	6	1	1
ET040041	3	2	1	12	2	95
ET040041	4	2	2	2	1	1
ET040042	1	1	1	12	2	74
ET040043	1	1	1	12	2	75
ET040044	1	1	1	12	1	60
ET040044	2	3	1	2	1	95
ET040045	1	1	1	12	1	95
ET040045	2	2	2	12	1	70
ET040045	3	2	2	12	1	15
ET040046	1	1	2	12	1	17
ET040046	2	1	2	12	1	74
ET040046	3	2	2	12	1	17
ET040047	1	1	1	12	1	20
ET040048	1	1	1	12	1	74
ET040049	1	1	2	12	1	1
ET040049	2	2	2	12	1	1
ET040049	3	3	2	12	1	1
ET040049	4	5	2	12	1	1
ET040050	1	1	1	12	1	60
ET040050	2	2	1	12	1	75
ET040051	1	1	2	12	1	52
ET040051	2	1	2	6	2	1
ET040052	1	1	2	12	1	52
ET040052	2	1	2	12	1	74
ET040052	3	2	2	12	1	52
