CHILDID	OUTID	REMREL	REMQNT	REMTYPE
ET010007	1	5	5	2
ET010022	1	5	1	2
ET010024	1	3	3	1
ET010034	1	5	2	2
ET010037	1	2	1	2
ET010057	1	2	6	3
ET010062	1	3	12	3
ET010062	2	2	12	3
ET010070	1	3	1	3
ET010080	1	2	12	3
ET010085	1	2	1	1
ET010085	2	3	9999	99
ET020024	1	5	20	1
ET020047	1	1	5	1
ET020072	1	3	2	1
ET020082	1	3	1	2
ET020090	1	2	1	1
ET020094	1	3	1	3
ET020098	1	4	12	1
ET030004	1	2	2	1
ET030005	1	3	4	1
ET030005	2	2	2	1
ET030008	1	3	12	1
ET030013	1	3	2	1
ET030016	1	3	3	1
ET030019	1	3	4	3
ET030019	2	2	2	1
ET030020	1	3	3	3
ET030043	1	6	1	2
ET030060	1	3	4	1
ET030094	1	3	12	2
ET030094	2	3	10	1
ET030099	1	3	2	1
ET040005	1	1	12	1
ET040027	1	6	9999	1
ET040046	1	3	12	3
ET040048	1	3	6	1
ET040051	1	1	6	2
ET040054	1	3	1	2
ET040062	1	4	1	1
ET040077	1	1	2	1
ET040080	1	1	1	2
ET040089	1	4	2	2
ET040089	2	4	2	2
ET040089	6	4	1	2
ET050034	1	1	2	3
ET050077	1	1	3	3
ET070069	1	2	1	2
ET070079	2	2	1	1
ET070090	1	1	1	2
ET070094	1	6	1	1
ET070099	1	5	1	2
ET080008	1	1	1	2
ET080008	2	2	2	1
ET090005	1	1	1	2
ET090005	2	5	1	2
ET090014	1	4	1	2
ET090014	2	3	1	2
ET090014	3	2	1	2
ET090045	1	5	4	2
ET090051	1	1	2	2
ET090051	2	3	1	1
ET090071	1	1	1	2
ET090071	2	5	12	2
ET090077	1	5	2	2
ET090084	1	2	1	1
ET090088	1	6	4	2
ET090092	1	1	1	2
ET090095	1	3	1	2
ET090100	1	6	9999	1
ET100006	1	1	5	99
ET100006	2	3	3	99
ET100006	3	4	7	99
ET100007	1	1	3	3
ET100013	1	1	3	1
ET100025	1	1	10	1
ET100026	1	1	2	3
ET100029	1	1	12	3
ET100034	1	4	12	1
ET100035	1	1	7	3
ET100052	1	1	4	1
ET100060	1	1	12	1
ET100067	1	4	12	1
ET100073	1	1	12	1
ET100075	1	3	3	1
ET100090	1	4	3	3
ET100090	2	5	5	3
ET110008	1	6	1	3
ET110047	1	4	12	3
ET110056	1	2	1	1
ET110057	1	3	12	3
ET110065	1	3	2	3
ET120001	1	1	3	3
ET120001	2	2	2	3
ET120001	3	4	4	3
ET120001	4	5	6	3
ET120004	1	5	5	2
ET120005	1	1	1	3
ET120006	1	2	3	2
ET120006	2	5	2	2
ET120008	1	5	2	2
ET120008	2	6	1	2
ET120010	1	1	4	3
ET120010	2	4	2	3
ET120016	1	1	4	3
ET120016	2	4	5	3
ET120016	3	5	3	3
ET120018	1	1	3	3
ET120018	2	2	1	2
ET120018	3	3	2	2
ET120024	1	3	12	2
ET120025	1	1	2	2
ET120026	1	1	2	3
ET120028	1	5	6	2
ET120030	1	1	2	3
ET120032	1	1	3	3
ET120032	2	4	1	2
ET120035	1	1	2	1
ET120035	2	3	2	2
ET120036	1	1	3	3
ET120036	2	4	1	2
ET120040	1	1	3	2
ET120040	2	4	2	2
ET120040	3	5	4	2
ET120042	1	1	1	2
ET120042	2	5	2	2
ET120044	1	1	1	2
ET120045	1	4	6	2
ET120046	1	2	3	3
ET120046	2	4	2	2
ET120046	3	5	1	2
ET120049	1	1	1	2
ET120049	2	2	2	2
ET120050	1	1	6	1
ET120050	2	4	6	2
ET120050	3	5	2	2
ET120051	1	4	2	2
ET120052	1	1	1	3
ET120060	1	4	1	2
ET120062	1	1	1	3
ET120062	2	4	1	2
ET120063	1	1	2	2
ET120064	1	1	2	1
ET120065	1	2	12	2
ET120065	2	5	6	2
ET120066	1	3	12	3
ET120067	1	1	1	2
ET120072	1	5	3	2
ET120073	1	1	3	3
ET120073	2	4	4	3
ET120073	3	5	4	3
ET120074	1	1	2	3
ET120074	2	2	2	3
ET120074	3	4	4	3
ET120074	4	5	4	3
ET120081	1	3	1	1
ET120084	1	1	2	3
ET120084	2	4	2	3
ET120084	3	5	4	3
ET120085	1	1	2	1
ET120085	2	4	2	2
ET120085	3	5	3	2
ET120086	1	1	1	2
ET120086	2	4	2	2
ET120086	3	5	3	2
ET120087	1	1	3	1
ET120087	2	2	2	2
ET120087	3	5	4	3
ET120088	1	1	4	3
ET120088	2	4	2	3
ET120088	3	5	3	3
ET120091	1	1	4	1
ET120091	2	2	1	3
ET120091	3	4	3	3
ET120091	4	5	3	3
ET120092	1	1	2	3
ET120092	2	4	2	3
ET120092	3	5	2	3
ET120093	1	1	4	3
ET120093	2	2	3	3
ET120093	3	3	1	3
ET120093	4	5	7	3
ET120094	1	1	3	3
ET120096	1	1	2	3
ET120098	1	1	2	3
ET120100	1	1	2	3
ET130016	1	4	2	3
ET130028	1	1	3	1
ET130031	1	3	3	1
ET130031	2	5	2	2
ET130031	3	4	2	3
ET130037	1	5	3	1
ET130037	2	4	2	3
ET130041	1	6	3	1
ET130042	1	5	3	1
ET130095	1	6	2	1
ET130095	2	4	3	2
ET140015	1	2	3	1
ET140015	2	3	3	1
ET140015	3	4	2	1
ET140026	1	6	6	1
ET140028	1	5	1	1
ET140034	1	5	2	1
ET140039	1	5	3	1
ET140044	1	1	2	3
ET140051	1	3	4	3
ET140051	2	2	4	3
ET140052	1	3	5	99
ET140052	2	2	12	99
ET140053	1	3	3	3
ET140053	2	5	2	3
ET140053	3	2	1	3
ET140053	4	5	1	1
ET140056	1	3	4	3
ET140056	2	6	1	2
ET140056	3	2	1	2
ET140065	1	1	3	1
ET140068	1	5	1	1
ET140069	1	5	1	2
ET140070	1	5	1	1
ET140080	1	1	5	3
ET140084	1	5	2	3
ET140086	1	6	5	1
ET140088	1	5	3	1
ET140092	1	5	4	1
ET140093	1	5	3	3
ET140096	1	3	2	3
ET160001	1	3	2	2
ET160001	2	6	3	3
ET160017	1	1	2	2
ET160049	1	5	1	1
ET160049	2	5	1	1
ET160049	3	5	1	1
ET160053	1	2	2	2
ET160077	1	2	4	2
ET160080	1	2	1	2
ET160083	1	5	2	2
ET160091	1	2	1	2
ET170045	1	5	1	2
ET180054	1	1	30	2
ET180054	2	5	10	1
ET180078	1	2	12	3
ET190087	1	3	12	3
ET190087	2	4	12	3
ET190091	1	2	1	1
ET200001	1	1	4	1
ET200016	1	1	2	3
