CHILDID	CAID	WHO	TIMECARE	PAYCARE
ET010018	1	2	2	2
ET010084	1	2	4	2
ET010098	1	1	1	2
ET020022	1	2	1	2
ET020065	1	2	1	2
ET030005	1	1	1	2
ET030006	1	1	4	2
ET030008	1	1	2	2
ET030009	1	3	3	2
ET030013	1	1	1	2
ET030014	1	2	1	2
ET030015	1	2	2	2
ET030016	1	1	4	2
ET030017	1	1	1	2
ET030018	1	1	4	2
ET030054	1	1	2	2
ET030054	2	2	2	2
ET030066	1	2	4	2
ET030067	1	2	4	2
ET030073	1	1	4	2
ET030078	1	3	4	1
ET030079	1	3	4	1
ET030080	1	3	4	1
ET040020	1	1	4	2
ET040039	1	1	2	2
ET040040	1	1	1	2
ET040054	1	1	2	1
ET040066	1	1	1	2
ET040068	1	1	1	1
ET040069	1	2	1	2
ET040080	1	1	1	2
ET040084	1	1	1	99
ET040084	2	99	99	99
ET040093	1	1	1	2
ET050001	1	1	4	2
ET050003	1	1	1	2
ET050009	1	1	1	2
ET050011	1	1	2	2
ET050027	1	1	1	2
ET050031	1	1	2	2
ET050034	1	1	1	2
ET050034	2	2	1	2
ET050035	1	1	1	2
ET050037	1	1	1	2
ET050038	1	1	4	2
ET050067	1	1	2	2
ET050069	1	1	4	2
ET050077	1	1	1	2
ET050084	1	1	2	2
ET050085	1	1	2	2
ET050086	1	1	2	2
ET050092	1	1	2	2
ET050099	1	1	4	2
ET060004	1	2	1	2
ET060008	1	1	1	2
ET060010	1	1	4	2
ET060013	1	1	1	2
ET060014	1	1	1	2
ET060017	1	1	1	2
ET060019	1	1	4	2
ET060020	1	2	1	2
ET060025	1	1	99	2
ET060027	1	1	4	2
ET060028	1	1	4	2
ET060029	1	1	4	2
ET060032	1	1	1	2
ET060033	1	1	1	2
ET060037	1	2	4	2
ET060043	1	1	4	2
ET060048	1	1	4	2
ET060050	1	1	1	2
ET060067	1	1	1	2
ET060072	1	1	1	2
ET060073	1	1	1	1
ET060073	2	99	99	99
ET060079	1	1	1	2
ET060095	1	1	1	2
ET070003	1	1	4	2
ET070004	1	2	2	2
ET070004	2	2	2	2
ET070005	1	1	4	1
ET070009	1	1	2	2
ET070009	2	2	2	2
ET070013	1	1	2	99
ET070013	2	2	1	99
ET070014	1	2	1	2
ET070019	1	1	2	99
ET070024	1	1	1	2
ET070025	1	1	1	2
ET070027	1	2	1	2
ET070029	1	2	1	2
ET070031	1	1	1	2
ET070032	1	1	1	2
ET070033	1	1	1	2
ET070034	1	2	1	2
ET070035	1	1	1	2
ET070039	1	2	1	2
ET070040	1	2	1	2
ET070042	1	1	4	2
ET070049	1	1	2	2
ET070054	1	1	4	2
ET070055	1	1	3	2
ET070056	1	1	1	2
ET070057	1	2	4	2
ET070058	1	1	2	2
ET070059	1	2	3	2
ET070060	1	1	1	2
ET070061	1	1	1	2
ET070062	1	1	1	2
ET070065	1	2	1	2
ET070066	1	1	4	2
ET070070	1	1	1	2
ET070072	1	1	1	2
ET070075	1	1	1	2
ET070077	1	1	1	2
ET070080	1	1	1	2
ET070082	1	2	4	2
ET070085	1	2	1	2
ET070087	1	1	1	2
ET070088	1	1	1	2
ET070090	1	1	1	2
ET070094	1	1	2	2
ET070096	1	1	2	2
ET070097	1	2	1	2
ET070098	1	1	1	2
ET070099	1	1	2	2
ET070100	1	1	1	2
ET090004	1	1	4	2
ET090004	2	2	2	2
ET090007	1	2	4	2
ET090008	1	1	4	2
ET090020	1	1	1	2
ET090022	1	1	1	2
ET090033	1	1	4	2
ET090039	1	2	1	2
ET090043	1	1	1	2
ET090047	1	1	1	2
ET090052	1	1	1	2
ET090057	1	1	1	2
ET090067	1	1	3	2
ET090067	2	2	3	2
ET090068	1	1	3	2
ET090068	2	2	3	2
ET090070	1	1	3	2
ET090070	2	2	3	2
ET090073	1	1	3	2
ET090075	1	1	3	2
ET090076	1	1	3	2
ET090077	1	1	4	2
ET090082	1	2	2	2
ET090084	1	1	2	2
