CHILDID	REMID	REMREL	REMQNT	REMTYPE
ET010003	1	5	3	1
ET010007	1	2	6	1
ET010007	2	5	5	2
ET010023	1	2	12	1
ET010024	1	2	1	1
ET010027	1	3	12	1
ET010031	1	2	3	1
ET010033	1	5	4	3
ET010034	1	2	3	3
ET010034	2	5	0	2
ET010034	3	1	7	3
ET010039	1	2	1	1
ET010047	1	1	2	3
ET010070	1	2	6	1
ET010079	1	5	1	2
ET010080	1	5	3	3
ET010087	1	6	9999	99
ET020004	1	3	3	1
ET020011	1	5	3	1
ET020012	1	1	12	3
ET020021	1	5	4	99
ET020036	1	6	2	2
ET020044	7	6	12	2
ET020054	1	4	1	3
ET020054	2	3	1	1
ET020056	1	4	2	3
ET020057	1	3	4	3
ET020059	1	1	4	3
ET020061	1	5	1	2
ET020063	1	6	2	1
ET020064	1	6	3	1
ET020065	1	6	12	1
ET020074	1	1	2	2
ET020076	1	3	12	3
ET020077	1	2	2	1
ET020077	2	6	3	2
ET020077	3	1	12	1
ET020078	1	1	12	1
ET020080	1	6	6	3
ET030001	1	5	3	3
ET030003	1	2	1	3
ET030005	1	6	3	1
ET030008	1	2	4	1
ET030015	1	6	12	3
ET030017	1	1	3	1
ET030017	2	5	2	2
ET030020	1	2	3	1
ET030024	1	2	4	2
ET030030	1	6	12	3
ET030035	1	5	6	3
ET030043	1	6	9	2
ET030061	1	5	9999	1
ET030062	1	2	5	3
ET030063	1	3	12	3
ET030063	2	2	12	1
ET030064	1	5	1	1
ET030072	1	2	1	2
ET030072	2	2	1	1
ET030074	1	2	12	1
ET030085	1	2	1	3
ET030085	2	5	2	3
ET040008	1	6	12	3
ET040019	1	4	3	1
ET040019	2	4	3	1
ET040020	1	6	1	2
ET040028	1	2	2	1
ET040028	2	1	12	1
ET040036	1	3	2	2
ET040038	1	2	4	1
ET040038	2	1	1	3
ET040048	1	3	1	2
ET040048	2	2	1	2
ET040078	1	4	1	2
ET040093	1	5	6	3
ET040093	2	1	1	1
ET040094	1	1	12	1
ET040100	1	6	18	1
ET050008	1	1	12	2
ET050025	1	1	12	3
ET050036	1	1	2	3
ET050036	2	3	1	2
ET050041	1	1	12	3
ET050050	1	2	1	2
ET050055	1	5	12	3
ET050057	1	1	2	2
ET050057	2	3	1	2
ET050057	3	1	2	2
ET050063	1	1	8	1
ET050069	1	1	12	2
ET050069	2	6	12	1
ET070037	1	3	3	2
ET070053	1	4	1	1
ET070077	1	1	8	3
ET070087	1	4	2	2
ET070090	1	4	4	1
ET070099	1	5	1	2
ET090041	1	1	9	2
ET090086	1	1	12	3
ET090086	2	3	3	3
ET090088	1	2	1	1
ET090092	1	4	1	1
ET090093	1	6	1	2
ET090093	2	6	1	2
ET090095	1	3	1	2
ET100099	1	4	12	3
ET120001	1	1	2	2
ET120001	2	2	2	3
ET120001	3	4	4	3
ET120002	1	3	12	3
ET120013	1	2	6	2
ET120014	1	2	12	2
ET120014	2	3	12	2
ET120016	1	1	2	1
ET120016	2	2	1	3
ET120016	3	4	6	3
ET120016	4	5	4	3
ET120020	1	1	2	2
ET120022	1	5	12	2
ET120026	1	2	1	1
ET120028	1	2	6	3
ET120034	1	2	2	2
ET120034	2	3	3	2
ET120038	1	1	12	2
ET120040	1	1	5	3
ET120040	2	4	3	3
ET120040	3	5	7	3
ET120042	1	1	3	2
ET120042	2	3	1	2
ET120042	3	2	1	1
ET120045	1	3	4	3
ET120048	1	4	3	2
ET120048	2	5	1	2
ET120050	1	1	6	3
ET120050	2	4	4	3
ET120050	3	5	3	3
ET120053	1	1	3	3
ET120054	1	2	8	2
ET120060	1	2	1	2
ET120063	1	2	1	2
ET120063	3	3	3	2
ET120066	1	2	5	3
ET120067	1	2	1	2
ET120070	1	5	3	2
ET120071	1	2	2	2
ET120073	1	1	3	3
ET120073	2	4	4	3
ET120073	3	5	2	3
ET120074	1	1	4	3
ET120074	2	2	2	3
ET120074	3	3	2	3
ET120074	4	4	6	3
ET120074	5	5	5	2
ET120075	1	3	5	2
ET120075	2	2	8	3
ET120076	1	4	12	2
ET120080	1	3	12	2
ET120084	1	1	2	2
ET120084	2	4	2	3
ET120084	3	5	4	3
ET120085	1	4	2	1
ET120085	2	5	4	2
ET120086	1	1	2	2
ET120086	2	2	1	2
ET120086	3	3	1	2
ET120086	4	1	2	2
ET120086	5	5	1	2
ET120087	1	1	2	3
ET120087	2	2	2	3
ET120087	3	3	3	3
ET120087	4	4	2	3
ET120087	5	5	2	3
ET120088	1	4	3	3
ET120088	2	5	5	3
ET120090	1	5	1	2
ET120091	1	1	2	3
ET120091	2	2	2	3
ET120091	3	4	3	3
ET120091	4	5	3	3
ET120092	1	1	3	3
ET120092	2	4	5	3
ET120092	3	5	7	3
ET120093	1	1	2	2
ET120093	2	4	6	2
ET120093	3	5	6	2
ET120098	1	1	1	2
ET130028	1	1	2	2
ET130041	1	1	1	2
ET140009	1	2	4	1
ET140009	2	6	3	1
ET140021	1	1	12	3
ET140028	1	5	1	1
ET140042	1	1	12	3
ET140044	1	6	6	3
ET140044	2	6	6	3
ET140067	1	1	3	2
ET140086	1	4	10	3
ET140089	1	1	1	1
ET140092	1	1	6	1
ET140093	1	1	12	3
ET160003	1	2	4	3
ET160007	1	5	1	2
ET160007	2	2	1	1
ET160008	1	5	2	2
ET160009	1	2	2	2
ET160009	2	3	5	3
ET160013	1	2	4	2
ET160014	1	5	5	2
ET160016	1	5	1	2
ET160019	1	6	4	2
ET160031	1	3	2	3
ET160040	1	2	3	3
ET160055	1	3	2	1
ET160057	1	2	3	3
ET160058	1	5	3	2
ET160061	1	2	1	2
ET160069	1	5	2	1
ET160070	1	5	4	2
ET160071	1	2	4	2
ET160073	1	2	2	3
ET160075	1	2	6	3
ET160076	1	5	2	2
ET160078	1	5	4	2
ET160080	1	2	1	2
ET160083	1	5	1	2
ET160085	1	2	5	2
ET160085	2	3	9	2
ET160087	1	5	4	2
ET160091	1	5	1	2
ET160092	1	5	2	3
